	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠単:的中	枠単:配当	枠単:人気
200145010101	ダ	左	1400	晴	良	11:00	C3九　十		2001-1-1	12	川崎	1	(定量)																																										12.6 - 13.8 - 13.0 - 13.8 - 14.3 - 12.7 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.6 - 26.4 - 39.4 - 53.2 - 67.5 - 80.2 - 80.2 - 80.2 - 80.2 - 80.2 - 80.2 - 80.2 - 80.2 - 80.2 (0.0-40.8)			
200145010102	ダ	左	1400	晴	良	11:30	C3九　十		2001-1-1	12	川崎	1	(定量)																																										12.3 - 13.8 - 12.6 - 12.8 - 13.4 - 13.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.3 - 26.1 - 38.7 - 51.5 - 64.9 - 77.9 - 77.9 - 77.9 - 77.9 - 77.9 - 77.9 - 77.9 - 77.9 - 77.9 (0.0-39.2)			
200145010103	ダ	左	1500	晴	良	12:05	3歳		2001-1-1	12	川崎	1	244万円以上300万円未満	(定量)																																									11.6 - 12.9 - 14.0 - 12.6 - 13.7 - 14.4 - 14.2 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	11.6 - 24.5 - 38.5 - 51.1 - 64.8 - 79.2 - 93.4 - 93.4 - 93.4 - 93.4 - 93.4 - 93.4 - 93.4 - 93.4 (0.0-42.3)			
200145010104	ダ	左	1500	晴	良	12:40	C2三　四		2001-1-1	12	川崎	1	(定量)																																										11.7 - 12.3 - 13.6 - 12.7 - 13.5 - 13.9 - 13.5 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	11.7 - 24.0 - 37.6 - 50.3 - 63.8 - 77.7 - 91.2 - 91.2 - 91.2 - 91.2 - 91.2 - 91.2 - 91.2 - 91.2 (0.0-40.9)			
200145010105	ダ	左	1500	晴	良	13:15	C2三　四		2001-1-1	12	川崎	1	(定量)																																										11.4 - 12.6 - 14.0 - 12.7 - 13.2 - 14.4 - 13.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	11.4 - 24.0 - 38.0 - 50.7 - 63.9 - 78.3 - 91.3 - 91.3 - 91.3 - 91.3 - 91.3 - 91.3 - 91.3 - 91.3 (0.0-40.6)			
200145010106	ダ	左	1500	晴	良	13:50	C1五　六		2001-1-1	12	川崎	1	(定量)																																										11.3 - 12.8 - 13.8 - 12.3 - 13.5 - 14.4 - 13.5 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	11.3 - 24.1 - 37.9 - 50.2 - 63.7 - 78.1 - 91.6 - 91.6 - 91.6 - 91.6 - 91.6 - 91.6 - 91.6 - 91.6 (0.0-41.4)			
200145010107	ダ	左	1500	晴	良	14:25	C1五　六		2001-1-1	12	川崎	1	(定量)																																										11.3 - 12.1 - 13.4 - 12.6 - 13.7 - 13.6 - 13.4 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	11.3 - 23.4 - 36.8 - 49.4 - 63.1 - 76.7 - 90.1 - 90.1 - 90.1 - 90.1 - 90.1 - 90.1 - 90.1 - 90.1 (0.0-40.7)			
200145010108	ダ	左	1500	晴	良	15:05	初日の出賞 		2001-1-1	12	川崎	1	356万円以上	(定量)																																									10.9 - 12.3 - 14.1 - 13.1 - 13.4 - 14.3 - 13.2 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	10.9 - 23.2 - 37.3 - 50.4 - 63.8 - 78.1 - 91.3 - 91.3 - 91.3 - 91.3 - 91.3 - 91.3 - 91.3 - 91.3 (0.0-40.9)			
200145010501	ダ	左	900	晴	良	11:00	3歳　イ　未出走		2001-1-5	12	川崎	5	(定量)																																										10.9 - 12.3 - 12.5 - 13.3 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	10.9 - 23.2 - 35.7 - 49.0 - 49.0 - 49.0 - 49.0 - 49.0 - 49.0 - 49.0 - 49.0 - 49.0 - 49.0 - 49.0 (0.0-38.1)			
200145010502	ダ	左	900	晴	良	11:30	3歳　ロ　未出走		2001-1-5	12	川崎	5	(定量)																																										10.8 - 12.0 - 13.2 - 12.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	10.8 - 22.8 - 36.0 - 48.0 - 48.0 - 48.0 - 48.0 - 48.0 - 48.0 - 48.0 - 48.0 - 48.0 - 48.0 - 48.0 (0.0-37.2)			
200145010503	ダ	左	1400	晴	良	12:00	4歳		2001-1-5	12	川崎	5	111万円未満	(定量)																																									12.6 - 14.3 - 12.5 - 13.2 - 13.9 - 13.1 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.6 - 26.9 - 39.4 - 52.6 - 66.5 - 79.6 - 79.6 - 79.6 - 79.6 - 79.6 - 79.6 - 79.6 - 79.6 - 79.6 (0.0-40.2)			
200145010504	ダ	左	1500	晴	良	12:30	C3二　三		2001-1-5	12	川崎	5	(定量)																																										11.6 - 12.7 - 13.9 - 12.2 - 13.3 - 14.2 - 13.7 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	11.6 - 24.3 - 38.2 - 50.4 - 63.7 - 77.9 - 91.6 - 91.6 - 91.6 - 91.6 - 91.6 - 91.6 - 91.6 - 91.6 (0.0-41.2)			
