	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200147011001	ダ	右	800	晴	不良	11:10	3歳ニ　新馬		2001-1-10	17	笠松	4																																										18627453.0		
200147011002	ダ	右	1400	晴	不良	11:40	3歳ハ		2001-1-10	17	笠松	4																																								471532896.0	475312896.0	745312869.0		
200147011003	ダ	右	1400	晴	不良	12:10	C3ヘ		2001-1-10	17	笠松	4																																								47510618293.0	47510162983.0	47510219683.0		
200147011004	ダ	右	1400	晴	不良	12:40	C3ホ		2001-1-10	17	笠松	4																																								239756148.0	239675418.0	239657418.0		
200147011005	ダ	右	1400	晴	不良	13:15	C3ニ		2001-1-10	17	笠松	4																																								81013729564.0	8,3,1,10,9,7,5,2-4,6	8,3,1-10,9,5,7,2-4,6		
200147011006	ダ	右	1400	晴	不良	13:50	3歳イ　特別 		2001-1-10	17	笠松	4																																								7563412.0	7632514.0	7632154.0		
200147011007	ダ	右	1400	晴	不良	14:25	若竹賞		2001-1-10	17	笠松	4	(別定)																																							3,5,8,1,7,(2,9),6,4	352871469	3,5,2,8,1,7,4-9,6		
200147011008	ダ	右	1400	晴	不良	15:00	若松賞		2001-1-10	17	笠松	4	(別定)																																							9,5,8,2,4,3,7-1,6	5,8,2,4,9,3,7-(1,6)	258493761		
200147021201	ダ	右	1400	晴	良	11:00	C3ロ		2001-2-12	19	笠松	2																																								618235947	618352974	6,1,8-3,5,2,9,7,4		
200147021202	ダ	右	1400	晴	良	11:25	C4ニ		2001-2-12	19	笠松	2																																								279516834.0	275913648.0	219563478.0		
200147021203	ダ	右	1400	晴	良	11:55	C4ハ		2001-2-12	19	笠松	2																																								1,2,6,8,3,7,5-4	12678534	12678543		
200147021204	ダ	右	1400	晴	良	12:25	C3イ　選抜		2001-2-12	19	笠松	2																																								27185941063	2,7,1,8,9,10,5,6,(3,4)	27185109643		
200147021205	ダ	右	1400	晴	良	12:55	C3ヌ		2001-2-12	19	笠松	2																																								69152103784.0	69152810743.0	69518247310.0		
200147021206	ダ	右	1400	晴	良	13:25	C3リ		2001-2-12	19	笠松	2																																								31410295867	3,4,1,10,2,9-5,7,8,6	3,4,10,1,2,9-8,5,7,6		
200147021207	ダ	右	1400	晴	良	13:55	C2ロ　選抜		2001-2-12	19	笠松	2																																								16584732109	16487592310	1,6,7,4,5,8,9-10,2,3		
200147021208	ダ	右	1400	晴	良	14:30	3歳イ　特別 		2001-2-12	19	笠松	2																																								25617439810.0	56214371098.0	56412391078.0		
