	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200161123001	ダ	左	1000	晴	良	10:40	アラ3歳3組		2001-12-30	1	中京(地)	1																																												
200161123002	ダ	左	1000	晴	良	11:10	アラ3歳2組		2001-12-30	1	中京(地)	1																																												
200161123003	ダ	左	1500	晴	良	11:45	アラA11組		2001-12-30	1	中京(地)	1																																												
200161123004	ダ	左	1500	晴	良	12:20	サラC16組		2001-12-30	1	中京(地)	1																																												
200161010101	ダ	左	1500	晴	良	10:20	サラ4歳5組		2001-1-1	1	中京(地)	3																																												
200161010102	ダ	左	1500	晴	良	10:50	サラ4歳4組		2001-1-1	1	中京(地)	3																																												
200161010103	ダ	左	1500	晴	良	11:20	サラ3歳選抜		2001-1-1	1	中京(地)	3																																												
200161010104	ダ	左	1500	晴	良	11:50	アラ系A8組		2001-1-1	1	中京(地)	3																																												
200161010105	ダ	左	1500	晴	良	12:20	アラ系A7組		2001-1-1	1	中京(地)	3																																												
200161010106	ダ	左	1500	晴	良	12:55	サラC7組		2001-1-1	1	中京(地)	3																																												
200161010107	ダ	左	1500	晴	良	13:35	サラC6組		2001-1-1	1	中京(地)	3																																												
200161010108	ダ	左	1500	晴	良	14:15	サラ系B7組		2001-1-1	1	中京(地)	3																																												
200161010109	ダ	左	1500	晴	良	14:55	サラ系B6組		2001-1-1	1	中京(地)	3																																												
200161123005	ダ	左	1500	晴	良	12:55	サラC15組		2001-12-30	1	中京(地)	1																																												
200161123006	ダ	左	1500	晴	良	13:30	年の瀬特別 		2001-12-30	1	中京(地)	1																																												
200161123007	ダ	左	1500	晴	良	14:10	サラC14組		2001-12-30	1	中京(地)	1																																												
200161010201	ダ	左	1000	晴	良	10:20	サラ3歳4組		2001-1-2	1	中京(地)	4																																												
200161010202	ダ	左	1500	晴	良	10:55	サラ3歳3組		2001-1-2	1	中京(地)	4																																												
200161010203	ダ	左	1500	曇	良	11:30	アラ系A6組		2001-1-2	1	中京(地)	4																																												
200161010204	ダ	左	1500	曇	良	12:10	サラ4歳3組		2001-1-2	1	中京(地)	4																																												
200161010205	ダ	左	1500	曇	良	12:50	サラC5組		2001-1-2	1	中京(地)	4																																												
200161010206	ダ	左	1500	曇	良	13:30	サラ系B9組		2001-1-2	1	中京(地)	4																																												
200161010208	ダ	左	1600	曇	良	14:50	サラ系A4組		2001-1-2	1	中京(地)	4																																												
200161010209	ダ	左	1600	曇	良	15:30	初夢特別 		2001-1-2	1	中京(地)	4																																												
200161010210	ダ	左	1000	曇	良	16:10	新春グランプリ	G	2001-1-2	1	中京(地)	4	(ハンデ)																																											
200161010110	ダ	左	1000	晴	良	15:35	新春ペガサスカップ	G	2001-1-1	1	中京(地)	3	(馬齢)																																											
200161010301	ダ	左	1000	曇	良	10:20	サラ3歳7組		2001-1-3	1	中京(地)	5																																												
200161010302	ダ	左	1000	曇	良	10:55	サラ3歳6組		2001-1-3	1	中京(地)	5																																												
200161010303	ダ	左	1000	曇	良	11:30	サラ3歳5組		2001-1-3	1	中京(地)	5																																												
200161010304	ダ	左	1500	曇	良	12:10	サラ4歳2組		2001-1-3	1	中京(地)	5																																												
200161010305	ダ	左	1500	曇	良	12:50	アラ系A5組		2001-1-3	1	中京(地)	5																																												
200161010306	ダ	左	1500	曇	良	13:30	サラC4組		2001-1-3	1	中京(地)	5																																												
200161123101	ダ	左	1000	晴	良	10:40	アラ2歳2組		2001-12-31	1	中京(地)	2																																												
200161123102	ダ	左	1500	晴	良	11:10	サラC13組		2001-12-31	1	中京(地)	2																																												
200161123103	ダ	左	1500	晴	良	11:40	サラC12組		2001-12-31	1	中京(地)	2																																												
200161123104	ダ	左	1500	晴	良	12:10	中京アラブ2歳特別 		2001-12-31	1	中京(地)	2																																												
200161123105	ダ	左	1500	曇	良	12:40	アラA10組		2001-12-31	1	中京(地)	2																																												
200161123106	ダ	左	1500	曇	良	13:15	アラ系A9組		2001-12-31	1	中京(地)	2																																												
200161123107	ダ	左	1500	曇	良	13:50	サラC11組		2001-12-31	1	中京(地)	2																																												
