	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気
200203010101	ダ	右	1000	曇	良	10:00	3歳未勝利		2002-6-15	1	福島	1	3歳未勝利	(父)(馬齢)	1	120	1	1	100	1	3	200	4	8	690	8	1-3	700	3	1-3	680.0	3.0	1-3	350	3.0	1-8	1,220	14.0	3-8	3,370	31.0	1-3-8	7650	24			(*1,3)-2-8-(7,9,11)(4,12)-6,10,5	(*1,3)-2-8-(7,9,11)-4-12,6,5,10	12.4 - 10.6 - 11.3 - 12.6 - 12.9	12.4 - 23.0 - 34.3 - 46.9 - 59.8 (34.3-36.8)			
200203010102	ダ	右	1700	曇	良	10:25	3歳未勝利		2002-6-15	1	福島	1	3歳未勝利	(混)(馬齢)	6	330	2	6	130	1	7	590	6	1	690	7	5-5	3900	12	6-7	3380.0	11.0	6-7	1,040	11.0	1-6	1,640	18.0	1-7	6,080	38.0	1-6-7	41680	81	(*1,3,7,8)-(6,11,13)4(5,9)(2,10)12	(1,*7,8)-3,6(4,11)(5,13)(2,9,10)12	(1,*7,8)-6(11,10)(3,4)(5,9,12)2-13	(*1,7)-(6,8)10-3,11(4,9)(5,2)12=13	7.2 - 11.2 - 11.8 - 12.3 - 13.2 - 12.9 - 12.5 - 12.8 - 13.6	7.2 - 18.4 - 30.2 - 42.5 - 55.7 - 68.6 - 81.1 - 93.9 - 107.5 (30.2-38.9)			
200203010103	ダ	右	1700	曇	良	10:50	3歳未勝利		2002-6-15	1	福島	1	3歳未勝利	(馬齢)	10	190	1	10	110	1	6	250	4	11	500	7	5-7	590	3	6-10	770.0	3.0	6-10	390	3.0	10-11	820	9.0	6-11	2,320	23.0	6-10-11	5320	18	(*6,7)(3,9,10)11(5,8,13)(1,12)(2,4)	(*6,7)(3,9)(11,10,13)(5,8)1,12,2,4	(*6,7)(9,10,13)11(3,8)(5,1,12)-2,4	(*6,7)10(11,9)13(3,8)5-(2,1)-(4,12)	7.1 - 11.2 - 12.1 - 13.2 - 13.9 - 13.0 - 12.7 - 12.8 - 12.6	7.1 - 18.3 - 30.4 - 43.6 - 57.5 - 70.5 - 83.2 - 96.0 - 108.6 (30.4-38.1)			
200203010104	ダ	右	1000	曇	良	11:20	2歳新馬		2002-6-15	1	福島	1	2歳新馬	(混)(馬齢)	7	1200	6	7	430	7	9	320	5	12	170	2	6-7	1770	7	7-9	8060.0	26.0	7-9	2,010	26.0	7-12	1,060	9.0	9-12	840	8.0	7-9-12	8460	28			7,12,8,4,5(11,9)1(3,6)10=2	7(12,8)(4,5)9-11-1,3,6,10=2	12.7 - 11.4 - 11.9 - 12.2 - 12.3	12.7 - 24.1 - 36.0 - 48.2 - 60.5 (36.0-36.4)	7=>9	17260.0	55.0
200203010105	障		2750	曇	良	11:50	障害3歳以上未勝利		2002-6-15	1	福島	1	障害3歳以上未勝利	(馬齢)	3	410	2	3	150	2	10	230	5	8	110	1	3-7	2260	10	3-10	2510.0	11.0	3-10	670	10.0	3-8	250	1.0	8-10	420	5.0	3-8-10	1440	4	8,12,3(6,1,13)11,9,4,2=10 7,5	8,3(1,12)(6,13)-11-2-9-4,10 7,5	3,1,6-(8,13)12(11,2)-10-9=4 7,5	3-6,1-(8,13)11,10,2,12-9=4 7,5			3=>10	3940.0	16.0
200203010106	芝	右	1200	曇	良	12:50	2歳新馬		2002-6-15	1	福島	1	2歳新馬	(混)(馬齢)	6	720	2	6	170	2	4	110	1	5	690	10	3-4	420	1	4-6	500.0	1.0	4-6	260	1.0	5-6	2,470	28.0	4-5	1,260	13.0	4-5-6	4390	9			(*9,4)(6,14)=10-(1,5)(8,13)-(3,12)(2,11)-7-15	(*9,4)(6,14)=10,5,1=13-(8,12)(7,3,2,11)=15	12.2 - 10.9 - 11.1 - 11.6 - 12.4 - 13.0	12.2 - 23.1 - 34.2 - 45.8 - 58.2 - 71.2 (34.2-37.0)	6=>4	1570.0	4.0
200203010107	芝	右	1800	曇	良	13:20	3歳未勝利		2002-6-15	1	福島	1	3歳未勝利	牝(馬齢)	6	1480	6	6	330	4	1	1,040	12	14	180	2	1-4	16070	30	1-6	27960.0	59.0	1-6	6,430	60.0	6-14	1,380	14.0	1-14	3,760	42.0	1-6-14	38820	107	9(11,12)(4,5,10)3(2,15)-13(1,14)6-(7,8)	(9,*11)12(4,5)10(3,2,15)-(13,14)1,6-8-7	(*11,12)(9,5,10)(3,2)(4,15,14)6(1,13)8-7	11(12,10)(5,2,14)(3,15,6)(9,1,13)(4,8)-7	12.6 - 10.9 - 11.7 - 12.3 - 12.3 - 12.3 - 12.5 - 12.6 - 12.4	12.6 - 23.5 - 35.2 - 47.5 - 59.8 - 72.1 - 84.6 - 97.2 - 109.6 (35.2-37.5)	6=>1	46550.0	107.0
200203010108	芝	右	1200	曇	良	13:55	3歳未勝利		2002-6-15	1	福島	1	3歳未勝利	(馬齢)	7	1520	7	7	350	6	2	390	7	6	160	1	1-4	2350	10	2-7	12150.0	37.0	2-7	2,880	36.0	6-7	920	9.0	2-6	1,320	19.0	2-6-7	13210	48			(*4,8)(1,10)6(3,11)(2,5,12)(7,13)14,15-16 9	(4,*8,10)(1,6)(11,12)(3,5,7)(2,13)(15,14)=16 9	12.1 - 10.8 - 11.3 - 11.8 - 12.2 - 12.0	12.1 - 22.9 - 34.2 - 46.0 - 58.2 - 70.2 (34.2-36.0)	7=>2	30700.0	87.0
200203010109	芝	右	1200	曇	良	14:35	田舎館特別 		2002-6-15	1	福島	1	3歳以上500万下	(混)(定量)	13	960	4	13	210	2	10	140	1	1	550	9	5-7	470	1	10-13	1430.0	3.0	10-13	670	4.0	1-13	3,580	42.0	1-10	1,070	10.0	1-10-13	9650	29			(*10,12)15,16(11,14)(4,13)(7,6)(1,2)5-9,3 8	(*10,12)15(11,16)(14,13)(4,6)(1,7)(5,2)-(9,3) 8	12.0 - 10.3 - 10.7 - 11.4 - 12.2 - 12.9	12.0 - 22.3 - 33.0 - 44.4 - 56.6 - 69.5 (33.0-36.5)	13=>10	3930.0	10.0
200203010110	ダ	右	1700	曇	良	15:05	横手特別 		2002-6-15	1	福島	1	3歳以上500万下	(混)(定量)	4	830	4	4	170	3	2	410	8	12	110	1	2-4	5300	15	2-4	6850.0	21.0	2-4	1,310	14.0	4-12	300	3.0	2-12	630	7.0	2-4-12	3380	14	(*8,13)6(4,9)11(3,12)2,5-(1,7)10	8,13,6,4,9(3,11)2,12-5,1,7-10	(*8,13)6(4,12)(2,9,11)-(3,1)5-7=10	8,13(4,6)(2,12)-(9,11)(3,1)-5-7=10	7.0 - 11.2 - 11.8 - 12.7 - 12.7 - 12.1 - 12.2 - 12.6 - 12.6	7.0 - 18.2 - 30.0 - 42.7 - 55.4 - 67.5 - 79.7 - 92.3 - 104.9 (30.0-37.4)	4=>2	14140.0	41.0
