	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気
200204010101	ダ	左	1200	晴	良	09:55	3歳未出走		2002-4-20	1	新潟	1	3歳未出走	(混)[指](馬齢)	14	2890	9	14	810	9	5	150	2	12.0	430	6.0	4-8	810	3	5-14	5290.0	18.0	5-14	2,200	26.0	12-14	3,720	38.0	5-12	860	10.0					12.2 - 10.7 - 11.6 - 12.2 - 12.7 - 13.9	12.2 - 22.9 - 34.5 - 46.7 - 59.4 - 73.3 (12.2-12.2)						
200204010102	芝	左	1800	晴	良	10:20	3歳未出走		2002-4-20	1	新潟	1	3歳未出走	(混)[指](馬齢)	12	1390	6	12	360	5	16	190	3	13.0	1,320	10.0	6-8	980	4	12-16	1420.0	4.0	12-16	640	5.0	12-13	4,270	39.0	13-16	3,040	31.0					12.8 - 11.4 - 12.3 - 13.2 - 13.2 - 13.1 - 11.8 - 10.6 - 11.5	12.8 - 24.2 - 36.5 - 49.7 - 62.9 - 76.0 - 87.8 - 98.4 - 109.9 (12.8-12.8)						
200204010103	ダ	左	1200	晴	良	10:45	3歳未勝利		2002-4-20	1	新潟	1	3歳未勝利	牝[指](馬齢)	2	730	6	2	190	3	12	320	6	13.0	260	4.0	2-7	1000	4	2-12	1700.0	10.0	2-12	930	12.0	2-13	1,110	16.0	12-13	850	11.0					12.4 - 10.9 - 11.5 - 12.6 - 12.9 - 13.4	12.4 - 23.3 - 34.8 - 47.4 - 60.3 - 73.7 (12.4-12.4)						
200204010104	ダ	左	1800	晴	良	11:15	3歳未勝利		2002-4-20	1	新潟	1	3歳未勝利	[指](馬齢)	4	460	3	4	180	4	7	120	1	1.0	220	5.0	4-6	910	5	4-7	910.0	4.0	4-7	380	4.0	1-4	790	11.0	1-7	530	7.0					13.4 - 11.4 - 13.1 - 13.4 - 12.6 - 12.6 - 12.8 - 12.9 - 13.2	13.4 - 24.8 - 37.9 - 51.3 - 63.9 - 76.5 - 89.3 - 102.2 - 115.4 (13.4-13.4)						
200204010105	芝	左	2400	晴	良	11:45	3歳未勝利		2002-4-20	1	新潟	1	3歳未勝利	(混)[指](馬齢)	10	700	3	10	230	3	4	390	6	12.0	180	2.0	3-6	3860	13	4-10	4320.0	17.0	4-10	1,460	18.0	10-12	720	7.0	4-12	1,250	15.0					12.2 - 11.5 - 11.2 - 12.4 - 13.2 - 13.2 - 12.8 - 12.0 - 12.8 - 11.8 - 12.0 - 12.7	12.2 - 23.7 - 34.9 - 47.3 - 60.5 - 73.7 - 86.5 - 98.5 - 111.3 - 123.1 - 135.1 - 147.8 (12.2-12.2)						
200204010106	芝	直	1000	晴	良	12:45	3歳未勝利		2002-4-20	1	新潟	1	3歳未勝利	[指](馬齢)	4	200	1	4	120	1	3	200	3	13.0	260	5.0	2-2	950	5	3-4	1010.0	3.0	3-4	400	2.0	4-13	640	4.0	3-13	1,020	11.0					12.1 - 10.3 - 11.1 - 10.7 - 12.3	12.1 - 22.4 - 33.5 - 44.2 - 56.5 (12.1-12.1)						
200204010107	芝	左	2200	晴	良	13:15	4歳以上500万下		2002-4-20	1	新潟	1	4歳以上500万下	[指](別定)	11	1140	4	11	330	5	14	470	6	2.0	260	3.0	6-7	1310	7	11-14	11750.0	39.0	11-14	3,390	37.0	2-11	1,280	14.0	2-14	2,120	20.0					12.5 - 10.7 - 11.2 - 12.3 - 12.4 - 12.5 - 12.3 - 12.7 - 12.4 - 12.0 - 12.5	12.5 - 23.2 - 34.4 - 46.7 - 59.1 - 71.6 - 83.9 - 96.6 - 109.0 - 121.0 - 133.5 (12.5-12.5)						
200204010108	ダ	左	1200	晴	良	13:50	4歳以上500万下		2002-4-20	1	新潟	1	4歳以上500万下	牝[指](別定)	6	1330	4	6	350	4	8	1,340	10	2.0	290	3.0	4-5	4910	16	6-8	32030.0	42.0	6-8	4,770	37.0	2-6	1,160	12.0	2-8	2,910	28.0					12.1 - 10.9 - 11.6 - 12.1 - 12.8 - 13.2	12.1 - 23.0 - 34.6 - 46.7 - 59.5 - 72.7 (12.1-12.1)						
200204010109	芝	左	1800	晴	良	14:25	ゆきつばき賞 		2002-4-20	1	新潟	1	3歳500万下	(特指)(馬齢)	11	2390	8	11	500	8	3	120	1	7.0	230	3.0	3-8	1950	6	3-11	2330.0	8.0	3-11	860	10.0	7-11	1,570	22.0	3-7	320	2.0					12.8 - 10.9 - 11.4 - 11.8 - 12.1 - 12.3 - 11.4 - 11.8 - 12.3	12.8 - 23.7 - 35.1 - 46.9 - 59.0 - 71.3 - 82.7 - 94.5 - 106.8 (12.8-12.8)						
200204010201	ダ	左	1800	曇	良	09:55	3歳未出走		2002-4-21	1	新潟	2	3歳未出走	(馬齢)	10	220	1	10	140	1	11	430	6	8.0	290	4.0	6-7	1340	6	10-11	2040.0	7.0	10-11	900	9.0	8-10	520	3.0	8-11	1,910	25.0					13.1 - 11.6 - 12.8 - 13.2 - 13.0 - 12.9 - 12.9 - 13.0 - 13.4	13.1 - 24.7 - 37.5 - 50.7 - 63.7 - 76.6 - 89.5 - 102.5 - 115.9 (13.1-13.1)						
