	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200206010101	ダ	右	1200	晴	良	10:00	3歳未勝利		2002-2-23	1	中山	1	3歳未勝利	(父)[指](馬齢)	16	210	1	16	120	1	2	200	3	4.0	1,900	11.0	1-8	460	1	2-16	1040.0	4.0	2-16	490	4.0	4-16	3,110	32.0	2-4	5,510	41.0					12.2 - 10.8 - 11.8 - 12.6 - 12.8 - 13.0	12.2 - 23.0 - 34.8 - 47.4 - 60.2 - 73.2 (12.2-12.2)									
200206010102	ダ	右	1800	晴	良	10:25	3歳未勝利		2002-2-23	1	中山	1	3歳未勝利	(混)[指](馬齢)	5	330	2	5	130	2	7	130	1	4.0	290	5.0	3-4	370	1	5-7	560.0	1.0	5-7	220	1.0	4-5	710	6.0	4-7	740	8.0					13.2 - 11.7 - 12.6 - 13.2 - 12.8 - 13.1 - 13.5 - 13.4 - 13.5	13.2 - 24.9 - 37.5 - 50.7 - 63.5 - 76.6 - 90.1 - 103.5 - 117.0 (13.2-13.2)									
200206010103	ダ	右	1200	晴	良	10:50	3歳未勝利		2002-2-23	1	中山	1	3歳未勝利	(混)[指](馬齢)	12	420	2	12	140	3	16	140	2	5.0	100	1.0	6-8	820	4	12-16	930.0	4.0	12-16	330	4.0	5-12	200	1.0	5-16	230	2.0					12.3 - 10.7 - 11.2 - 12.5 - 13.0 - 13.1	12.3 - 23.0 - 34.2 - 46.7 - 59.7 - 72.8 (12.3-12.3)									
200206010104	ダ	右	1800	晴	良	11:20	3歳新馬		2002-2-23	1	中山	1	3歳新馬	(父)[指](馬齢)	6	380	2	6	160	3	9	360	5	8.0	250	4.0	5-7	1440	6	6-9	2360.0	9.0	6-9	830	8.0	6-8	600	5.0	8-9	1,430	17.0					13.0 - 12.0 - 13.5 - 13.2 - 12.6 - 12.7 - 13.4 - 14.0 - 13.0	13.0 - 25.0 - 38.5 - 51.7 - 64.3 - 77.0 - 90.4 - 104.4 - 117.4 (13.0-13.0)									
200206010105	障		2700	晴	良  ダート	11:50	障害4歳以上未勝利		2002-2-23	1	中山	1	障害4歳以上未勝利	(混)(馬齢)	7	650	4	7	210	4	12	170	2	4.0	390	6.0	5-7	870	6	7-12	1370.0	6.0	7-12	570	6.0	4-7	1,110	14.0	4-12	1,110	13.0															
200206010106	ダ	右	1200	晴	良	12:50	3歳新馬		2002-2-23	1	中山	1	3歳新馬	[指](馬齢)	13	170	1	13	120	1	14	270	5	12.0	1,080	8.0	7-7	950	4	13-14	900.0	3.0	13-14	480	5.0	12-13	2,020	19.0	12-14	7,170	43.0					12.6 - 10.8 - 11.2 - 12.2 - 12.7 - 13.1	12.6 - 23.4 - 34.6 - 46.8 - 59.5 - 72.6 (12.6-12.6)									
200206010107	芝	右	2000	晴	良	13:20	3歳新馬		2002-2-23	1	中山	1	3歳新馬	(混)[指](馬齢)	8	1660	7	8	360	7	16	190	2	13.0	220	3.0	4-8	990	4	8-16	2930.0	11.0	8-16	1,050	11.0	8-13	1,630	21.0	13-16	650	5.0					12.8 - 11.3 - 12.6 - 13.4 - 13.0 - 12.6 - 12.6 - 11.7 - 12.0 - 11.7	12.8 - 24.1 - 36.7 - 50.1 - 63.1 - 75.7 - 88.3 - 100.0 - 112.0 - 123.7 (12.8-12.8)									
200206010108	ダ	右	1800	晴	良	13:55	4歳以上500万下		2002-2-23	1	中山	1	4歳以上500万下	(混)[指](別定)	13	830	4	13	290	4	5	550	7	12.0	140	1.0	3-7	4650	18	5-13	11960.0	31.0	5-13	3,260	34.0	12-13	720	5.0	5-12	1,420	14.0					12.7 - 11.9 - 13.0 - 13.3 - 12.8 - 12.9 - 12.7 - 12.6 - 12.6	12.7 - 24.6 - 37.6 - 50.9 - 63.7 - 76.6 - 89.3 - 101.9 - 114.5 (12.7-12.7)									
200206010109	芝	右	2200	晴	良	14:30	水仙賞 		2002-2-23	1	中山	1	3歳500万下	(混)(特指)(馬齢)	1	840	4	1	250	4	6	310	5	3.0	390	6.0	1-3	1220	6	1-6	3570.0	15.0	1-6	1,020	12.0	1-3	1,240	17.0	3-6	1,350	18.0					12.6 - 10.9 - 12.5 - 13.1 - 12.5 - 12.6 - 12.3 - 12.4 - 11.9 - 11.7 - 11.7	12.6 - 23.5 - 36.0 - 49.1 - 61.6 - 74.2 - 86.5 - 98.9 - 110.8 - 122.5 - 134.2 (12.6-12.6)									
200206010110	芝	右	1600	晴	良	15:00	房総特別 		2002-2-23	1	中山	1	4歳以上1000万下	(混)[指](別定)	14	290	1	14	130	1	1	200	3	5.0	140	2.0	1-7	700	2	1-14	1230.0	2.0	1-14	560	3.0	5-14	310	1.0	1-5	630	4.0					12.4 - 10.9 - 11.0 - 11.4 - 11.7 - 11.8 - 11.9 - 12.5	12.4 - 23.3 - 34.3 - 45.7 - 57.4 - 69.2 - 81.1 - 93.6 (12.4-12.4)									
