	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬連:的中	馬連:配当	馬連:人気
200210010101	ダ	右	1700	晴	重	09:55	3歳未勝利		2002-1-19	1	小倉	1	3歳未勝利	(混)[指](馬齢)	1	1140	4	1	170	4	8	110	2	4.0	100	1.0	1-8	1410	4																							7.1 - 12.1 - 13.1 - 13.5 - 13.1 - 12.7 - 12.4 - 12.3 - 13.2	7.1 - 19.2 - 32.3 - 45.8 - 58.9 - 71.6 - 84.0 - 96.3 - 109.5 (7.1-7.1)			
200210010102	芝	右	1200	晴	良	10:20	3歳未勝利		2002-1-19	1	小倉	1	3歳未勝利	[指](馬齢)	1	440	2	1	150	2	4	330	6	6.0	120	1.0	1-2	4710	18	1-4	1,140	12.0	1-6	320.0	1.0	4-6	1,270	17.0														12.0 - 10.3 - 11.1 - 11.5 - 12.2 - 12.6	12.0 - 22.3 - 33.4 - 44.9 - 57.1 - 69.7 (12.0-12.0)	1-4	2450.0	9.0
200210010103	芝	右	1800	晴	良	10:45	3歳未勝利		2002-1-19	1	小倉	1	3歳未勝利	(混)[指](馬齢)	4	230	1	4	130	1	2	220	4	5.0	440	8.0	1-2	700	3	2-4	420	3.0	4-5	690.0	7.0	2-5	1,410	19.0														12.6 - 11.3 - 11.7 - 11.9 - 11.8 - 12.1 - 12.5 - 13.0 - 13.1	12.6 - 23.9 - 35.6 - 47.5 - 59.3 - 71.4 - 83.9 - 96.9 - 110.0 (12.6-12.6)	2-4	1000.0	3.0
200210010104	芝	右	1800	晴	良	11:15	3歳新馬		2002-1-19	1	小倉	1	3歳新馬	[指](馬齢)	1	320	2	1	150	2	8	260	5	11.0	140	1.0	1-5	1720	8	1-8	800	6.0	1-11	270.0	1.0	8-11	890	7.0														12.6 - 11.5 - 12.1 - 13.1 - 12.8 - 12.3 - 11.9 - 12.5 - 12.1	12.6 - 24.1 - 36.2 - 49.3 - 62.1 - 74.4 - 86.3 - 98.8 - 110.9 (12.6-12.6)	1-8	2960.0	9.0
200210010105	ダ	右	1700	晴	重	11:45	4歳以上500万下		2002-1-19	1	小倉	1	4歳以上500万下	牝[指](別定)	4	270	1	4	140	2	10	120	1	3.0	340	5.0	3-6	380	1	4-10	210	1.0	3-4	820.0	9.0	3-10	750	8.0														7.1 - 11.4 - 12.6 - 13.8 - 13.3 - 12.8 - 12.9 - 13.3 - 13.7	7.1 - 18.5 - 31.1 - 44.9 - 58.2 - 71.0 - 83.9 - 97.2 - 110.9 (7.1-7.1)	4-10	480.0	1.0
200210010106	ダ	右	1000	晴	稍重	12:45	4歳以上500万下		2002-1-19	1	小倉	1	4歳以上500万下	(混)[指](別定)	8	1270	4	8	270	4	2	120	1	9.0	490	7.0	2-5	1080	4	2-8	460	4.0	8-9	2,110	18.0	2-9	830	7.0														12.4 - 10.7 - 11.6 - 12.4 - 13.0	12.4 - 23.1 - 34.7 - 47.1 - 60.1 (12.4-12.4)	2-8	960.0	3.0
200210010107	芝	右	2600	晴	良	13:15	4歳以上500万下		2002-1-19	1	小倉	1	4歳以上500万下	(混)[指](別定)	2	7570	12	2	1,300	11	3	230	3	5.0	150	1.0	1-2	2850	14	2-3	7,520	56.0	2-5	4,110	40.0	3-5	650	5.0														12.7 - 10.8 - 11.4 - 12.3 - 13.2 - 13.6 - 13.5 - 12.4 - 12.0 - 12.2 - 11.9 - 12.1 - 12.3	12.7 - 23.5 - 34.9 - 47.2 - 60.4 - 74.0 - 87.5 - 99.9 - 111.9 - 124.1 - 136.0 - 148.1 - 160.4 (12.7-12.7)	2-3	31970.0	56.0
200210010108	芝	右	1200	晴	良	13:50	4歳以上500万下		2002-1-19	1	小倉	1	4歳以上500万下	牝[指](別定)	6	1620	8	6	470	6	5	160	1	15.0	540	9.0	3-3	5130	22	5-6	1,360	11.0	6-15	4,560	56.0	5-15	1,480	12.0														12.0 - 10.4 - 11.2 - 11.5 - 12.1 - 12.5	12.0 - 22.4 - 33.6 - 45.1 - 57.2 - 69.7 (12.0-12.0)	5-6	4810.0	17.0
200210010110	ダ	右	1700	晴	稍重	14:55	筑前特別 		2002-1-19	1	小倉	1	4歳以上500万下	(混)[指](別定)	11	1290	6	11	320	6	2	140	3	3.0	130	1.0	2-6	1420	6	2-11	1,140	12.0	3-11	860	10.0	2-3	310	2.0														7.1 - 11.2 - 12.2 - 13.0 - 12.8 - 13.1 - 12.7 - 12.8 - 13.5	7.1 - 18.3 - 30.5 - 43.5 - 56.3 - 69.4 - 82.1 - 94.9 - 108.4 (7.1-7.1)	2-11	3230.0	12.0
200210010111	芝	右	1200	晴	良	15:30	帆柱山特別 		2002-1-19	1	小倉	1	4歳以上1000万下	(混)[指](ハンデ)	10	3190	10	10	890	10	1	1,530	12	2.0	3,080	16.0	1-5	8170	29	1-10	20,210	124.0	2-10	17,370	113.0	1-2	22,630	129.0														12.0 - 10.2 - 10.9 - 11.4 - 12.2 - 12.3	12.0 - 22.2 - 33.1 - 44.5 - 56.7 - 69.0 (12.0-12.0)	1-10	82320.0	122.0
