着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	6	6	---	4	1999101036	牡	3	481.0	-1.0	52.0	97.9	0	6-5-6-6	39.7	05409	a01a6	x02d6d	170.0	200244010701
2	7	7	---	1	1999102977	牡	3	433.0	-13.0	54.0	98.1	1	3-3-5-2	40.1	05000	a01e1	393008	68.0	200244010701
3	8	9	---	7	1999102301	牡	3	457.0	2.0	54.0	98.5	2	1-1-1-1	41.1	05423	a01a0	981006	51.0	200244010701
4	1	1	---	6	1999107230	牝	3	436.0	2.0	53.0	98.5	ハナ	8-8-8-8	40.0	a013e	a01a1	984002	25.5	200244010701
5	4	4	---	3	1999104326	牡	3	455.0	-4.0	54.0	98.9	2	2-2-2-4	41.1	00422	a0190	x00b0c	17.0	200244010701
6	2	2	---	8	1999103276	牝	3	434.0	-4.0	53.0	99.1	1	5-6-7-7	40.8	a013d	05498	866009	0.0	200244010701
7	5	5	---	2	1999101209	牡	3	455.0	2.0	54.0	99.3	1	3-4-4-5	41.3	00817	05536	369800	0.0	200244010701
8	8	8	---	9	1999104466	牡	3	481.0	2.0	54.0	99.4	1/2	9-9-9-9	40.1	05403	a01a7	952800	0.0	200244010701
9	3	3	---	5	1999106380	牡	3	468.0	-2.0	54.0	100.2	4	7-7-2-3	42.7	05062	a01ab	531006	0.0	200244010701
1	3	3	---	6	1999103919	牡	3	438.0	1.0	54.0	98.4	0	9-10-10-10	39.0	a0127	a01a9	145002	180.0	200244010702
2	7	11	---	2	1999109452	牡	3	469.0	-1.0	54.0	98.5	3/4	5-6-3-4	40.0	00422	a01ae	x005bf	72.0	200244010702
3	7	10	---	5	1999107460	牝	3	460.0	-6.0	53.0	98.6	3/4	4-4-6-6	40.1	05165	05570	x00024	54.0	200244010702
4	8	12	---	12	1999101071	牡	3	427.0	-6.0	54.0	98.7	クビ	6-7-2-1	40.7	05396	a0192	x00c7b	27.0	200244010702
5	1	1	---	3	1999101203	牡	3	481.0	-11.0	54.0	99.0	1.1/2	7-5-7-7	40.4	00574	a01a5	x00e93	18.0	200244010702
6	8	13	---	4	1999104360	牡	3	445.0	-1.0	54.0	99.1	1/2	1-2-3-5	40.9	00817	05536	x01524	0.0	200244010702
7	6	9	---	9	1999102965	牝	3	436.0	-3.0	53.0	99.2	1/2	1-1-1-1	41.3	05386	a0190	859007	0.0	200244010702
8	2	2	---	1	1999101996	牡	3	478.0	-6.0	54.0	99.2	ハナ	3-3-5-5	41.0	00874	a019a	168006	0.0	200244010702
9	5	7	---	10	1999107477	牡	3	453.0	-5.0	54.0	99.2	ハナ	11-11-10-11	39.9	a0131	05541	x00132	0.0	200244010702
10	6	8	---	8	1999102037	牡	3	505.0	2.0	54.0	99.4	1	8-9-8-8	40.6	a013f	a019f	163800	0.0	200244010702
11	5	6	---	7	1999105412	牝	3	467.0	-4.0	53.0	99.5	1/2	10-8-9-9	40.5	05423	05568	134007	0.0	200244010702
12	4	4	---	11	1999104984	牝	3	421.0	-4.0	52.0	99.9	2	12-12-13-13	40.0	05352	a0190	x00064	0.0	200244010702
13	4	5	---	12	1999104005	牡	3	469.0	-9.0	54.0	100.1	1	13-13-12-12	40.3	a0137	a0194	929007	0.0	200244010702
1	6	6	---	2	1998102402	牡	4	478.0	-2.0	55.0	90.2	0	5-3-3	39.7	05540	00888	x00fef	125.0	200244010703
2	3	3	---	1	1998103239	牝	4	524.0	-7.0	53.0	90.5	1.1/2	1-1-1	40.2	05423	a01a0	981006	50.0	200244010703
3	8	11	---	9	1998103665	牡	4	463.0	-7.0	55.0	90.6	3/4	7-4-4	39.7	05000	a019b	x01182	37.5	200244010703
4	5	5	---	5	1998106734	牝	4	477.0	-16.0	53.0	91.6	5	6-8-8	39.8	00863	a01ab	038002	18.8	200244010703
5	8	10	---	6	1998100597	牡	4	474.0	1.0	55.0	91.6	アタマ	11-9-10	39.6	a0127	a01e1	976002	12.5	200244010703
6	6	7	---	8	1998101007	牡	4	508.0	19.0	55.0	91.6	アタマ	9-9-9	39.6	05403	a01a6	676002	0.0	200244010703
7	2	2	---	3	1998100417	牝	4	498.0	-13.0	53.0	92.3	3	3-1-2	42.0	00582	a01e1	319007	0.0	200244010703
8	1	1	---	4	1998106034	牝	4	463.0	-6.0	53.0	92.3	アタマ	2-7-7	40.6	05386	a0190	202006	0.0	200244010703
9	7	8	---	11	1998100483	牝	4	411.0	-5.0	53.0	92.4	クビ	10-11-11	40.0	a013d	05498	010006	0.0	200244010703
10	7	9	---	7	1998109451	牡	4	499.0	-2.0	55.0	92.9	2.1/2	8-6-6	41.5	05396	a0192	042030	0.0	200244010703
11	4	4	---	10	1998103410	牝	4	489.0	-6.0	53.0	93.2	1.1/2	4-5-5	42.2	a013b	a01a8	x00c10	0.0	200244010703
1	6	8	---	9	1995106809	牡	7	491.0	3.0	55.0	88.7	0	6-4-3	39.6	a0138	a01a3	801002	135.0	200244010704
2	6	7	---	1	1996104460	牡	6	491.0	2.0	55.0	88.7	ハナ	8-7-6	39.2	00422	a01ae	532008	54.0	200244010704
3	1	1	---	2	1997107006	牡	5	478.0	-4.0	54.0	88.8	1/2	7-5-5	39.5	a0183	a01cd	219006	40.5	200244010704
4	7	9	---	4	1997104757	セ	5	426.0	-3.0	55.0	89.4	3	2-1-1	40.7	00426	a0192	x0279f	20.3	200244010704
5	7	10	---	3	1996101636	牡	6	527.0	-3.0	55.0	89.7	1.1/2	3-4-3	40.7	05000	a01e1	140008	13.5	200244010704
6	8	12	---	6	1996106314	牡	6	439.0	-2.0	55.0	89.8	1/2	11-10-9	39.4	05062	00806	x00479	0.0	200244010704
7	4	4	---	7	1997101762	牡	5	463.0	3.0	55.0	90.0	1	9-12-12	38.8	05165	a01a3	x011b1	0.0	200244010704
8	5	5	---	12	1995103883	牡	7	436.0	3.0	55.0	90.4	2	12-11-11	39.8	a0131	a01a1	984002	0.0	200244010704
9	2	2	---	11	1996105941	牝	6	428.0	0.0	53.0	90.5	3/4	3-8-8	40.6	a0140	a019e	x031fe	0.0	200244010704
10	3	3	---	8	1997103203	牝	5	456.0	-6.0	53.0	90.7	3/4	1-1-2	42.0	00872	a01cd	x0106b	0.0	200244010704
11	5	6	---	5	1996109309	牡	6	466.0	1.0	53.0	90.8	1/2	10-9-7	40.9	05409	a01a6	981002	0.0	200244010704
12	8	11	---	10	1996100704	牡	6	494.0	18.0	55.0	94.8	大	3-8-10	45.3	a016a	05570	x00bca	0.0	200244010704
1	5	6	---	2	1997102350	牡	5	487.0	1.0	55.0	103.7	0	1-1-1-1	39.9	00425	00861	388005	135.0	200244010705
2	5	5	---	1	1996107856	牡	6	488.0	3.0	54.0	104.6	5	5-4-3-3	40.5	a0183	a01aa	x013c5	54.0	200244010705
3	4	4	---	3	1997101319	牡	5	441.0	-9.0	55.0	105.0	2	8-8-5-4	40.5	00422	00976	295002	40.5	200244010705
4	6	8	---	4	1997104216	牝	5	482.0	-1.0	53.0	105.3	1.1/2	2-2-2-2	41.4	00426	a01ad	309008	20.3	200244010705
5	3	3	---	9	1997104517	牝	5	419.0	-3.0	53.0	105.5	1	10-9-8-9	40.7	05396	a018f	553006	13.5	200244010705
6	7	9	---	10	1996104920	牡	6	487.0	-3.0	55.0	105.6	1/2	8-11-9-8	40.7	05403	a01b0	x00fd7	0.0	200244010705
7	6	7	---	5	1996107521	牡	6	488.0	3.0	55.0	106.0	2	12-11-12-10	40.8	00582	a01a2	x0191d	0.0	200244010705
8	1	1	---	8	1997109137	牡	5	466.0	0.0	53.0	106.2	1	7-6-6-6	41.6	05409	a01cd	x00011	0.0	200244010705
9	7	10	---	6	1997106383	牝	5	427.0	-7.0	53.0	106.4	3/4	3-4-6-8	41.8	05386	05120	249006	0.0	200244010705
10	2	2	---	11	1997104586	牝	5	482.0	6.0	53.0	106.9	2.1/2	4-3-4-4	42.6	a0137	05020	x00062	0.0	200244010705
11	8	11	---	7	1996105371	牝	6	485.0	4.0	53.0	107.9	5	6-7-11-10	43.1	05165	a01cd	253002	0.0	200244010705
12	8	12	---	12	1997109184	牝	5	467.0	-10.0	53.0	109.1	6	11-11-11-10	44.1	00574	a019e	x011b2	0.0	200244010705
1	1	1	---	1	1997105001	牡	5	461.0	-1.0	55.0	87.6	0	1-1-1	38.2	a012a	a01a7	079007	175.0	200244010706
2	5	6	---	2	1997103747	牡	5	475.0	0.0	55.0	87.6	アタマ	5-4-5	37.7	a0127	a018f	038002	70.0	200244010706
3	6	7	---	7	1997101655	牝	5	452.0	-5.0	53.0	88.0	2	3-4-4	38.1	05423	a0199	x01d8c	52.5	200244010706
4	6	8	---	4	1997110309	牡	5	519.0	-5.0	55.0	88.2	1	6-11-10	37.6	00817	05508	x002a1	26.3	200244010706
5	7	9	---	11	1996100679	牡	6	460.0	-7.0	55.0	88.3	1/2	11-1-3	38.9	05000	a01cd	031008	17.5	200244010706
6	2	2	---	5	1996105583	牡	6	458.0	0.0	55.0	88.3	ハナ	4-7-6	38.1	05396	a0192	x00c7b	0.0	200244010706
7	7	10	---	8	1995101398	牡	7	463.0	-4.0	55.0	88.4	3/4	9-13-12	37.4	05386	a01a2	200006	0.0	200244010706
8	8	12	---	6	1997105344	牡	5	534.0	-6.0	55.0	88.5	1/2	6-7-7	38.4	00574	a01a5	x01100	0.0	200244010706
9	3	3	---	9	1996102560	牡	6	515.0	0.0	55.0	88.7	1	1-1-2	39.3	a0136	a01a4	x0068a	0.0	200244010706
10	4	4	---	3	1998101235	牝	4	504.0	-3.0	53.0	88.8	1/2	9-9-8	38.2	00422	00976	290007	0.0	200244010706
11	8	11	---	10	1998104041	牡	4	465.0	2.0	55.0	89.1	1.1/2	12-9-11	38.5	05199	a01a9	x005bf	0.0	200244010706
12	5	5	---	12	1998102863	牡	4	474.0	-3.0	55.0	90.1	5	8-8-8	39.8	a013e	a01a1	942009	0.0	200244010706
1	7	7	---	1	1997102038	牡	5	473.0	-3.0	55.0	102.5	0	1-1-1-1	39.6	00441	a01ad	367800	175.0	200244010707
2	3	3	---	3	1996106459	牡	6	533.0	1.0	55.0	103.1	3	2-2-2-2	40.1	00872	a01a7	266006	70.0	200244010707
3	6	6	---	4	1998102200	牡	4	460.0	-2.0	55.0	103.4	1.1/2	9-9-9-9	38.7	00577	05498	x00e53	52.5	200244010707
4	1	1	---	7	1998109247	牡	4	415.0	0.0	54.0	103.4	アタマ	8-7-7-7	39.3	a0183	a01aa	168002	26.3	200244010707
5	5	5	---	8	1996106691	牡	6	464.0	2.0	55.0	103.5	クビ	6-5-5-4	39.9	a012b	00837	413008	17.5	200244010707
6	2	2	---	5	1995101587	牝	7	522.0	5.0	50.0	103.7	1	3-3-3-3	40.4	05420	00888	277007	0.0	200244010707
7	8	8	---	2	1996110334	牡	6	501.0	-6.0	55.0	104.1	2	4-4-4-4	40.8	00574	a01e7	038002	0.0	200244010707
8	4	4	---	9	1997104439	牡	5	492.0	-2.0	53.0	104.3	1	5-6-6-6	40.5	05409	05506	787002	0.0	200244010707
9	8	9	---	6	1997105589	牡	5	499.0	2.0	55.0	104.7	2	7-7-8-9	40.4	a0136	a01af	104007	0.0	200244010707
1	5	8	---	5	1998101253	牡	4	459.0	-5.0	52.0	103.4	0	1-1-1-1	39.8	05420	00861	859007	165.0	200244010708
2	1	1	---	4	1998105084	牡	4	488.0	7.0	55.0	103.7	1.1/2	2-2-2-2	40.0	05199	a01ab	307008	66.0	200244010708
3	6	10	---	7	1995103777	牝	7	487.0	-5.0	53.0	103.8	3/4	14-13-8-9	39.1	00582	a01a9	x00493	49.5	200244010708
4	3	4	---	2	1998106407	牡	4	504.0	5.0	55.0	104.0	1	10-10-12-11	39.0	00817	a01ad	967009	24.8	200244010708
5	4	5	---	1	1998106245	牡	4	434.0	-16.0	55.0	104.0	ハナ	4-3-4-4	39.8	05230	05584	362800	16.5	200244010708
6	2	2	---	9	1995107093	牡	7	526.0	3.0	55.0	104.0	ハナ	9-7-9-8	39.2	05062	05064	x0017a	0.0	200244010708
7	6	9	---	14	1998104809	牡	4	491.0	1.0	53.0	104.1	1/2	6-5-5-5	39.5	05409	a019d	488800	0.0	200244010708
8	8	13	---	13	1997104124	牡	5	453.0	-4.0	55.0	104.6	2.1/2	8-7-2-3	40.9	a013b	a019b	x00038	0.0	200244010708
9	8	14	---	6	1998102051	牡	4	496.0	2.0	55.0	104.7	クビ	5-6-9-10	40.0	00874	a019a	x005bf	0.0	200244010708
10	5	7	---	10	1996103330	牝	6	433.0	4.0	53.0	104.8	1/2	13-13-7-6	40.4	05165	05570	x01088	0.0	200244010708
11	7	11	---	11	1998106053	牡	4	477.0	-4.0	55.0	104.8	クビ	7-7-12-12	40.0	05000	05007	104007	0.0	200244010708
12	4	6	---	12	1998101051	牝	4	437.0	0.0	53.0	105.2	2	11-11-14-13	40.3	05386	a0190	x03485	0.0	200244010708
13	7	12	---	3	1998102344	牡	4	506.0	-3.0	55.0	105.3	3/4	3-3-8-7	41.0	00422	05602	x0129d	0.0	200244010708
