着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	4	4	---	1	1999100374	牝	3	418.0	-2.0	54	63.0	0			5026	05025	x03800	20.0	200258042401
2	7	7	---	3	1999103040	牡	3	504.0	12.0	55	63.4	2			5059	05105	883009	4.0	200258042401
3	2	2	---	5	1999106048	牝	3	454.0	-2.0	54	63.5	3/4			5186	a0101	x0080a	3.0	200258042401
4	1	1	---	4	1999102400	牡	3	458.0	-6.0	55	63.6	1/2			5090	05162	x008d3	2.0	200258042401
5	3	3	---	2	1999200044	牝	3	408.0	2.0	54	64.2	3			5069	00862	090002	1.0	200258042401
6	6	6	---	7	1999103896	牝	3	362.0	-8.0	54	64.8	3			5021	05021	135008	0.0	200258042401
7	5	5	---	6	1999106390	牝	3	402.0	-6.0	54	65.2	2			5141	05158	x00786	0.0	200258042401
1	8	12	---	2	1998103206	牡	4	516.0	-6.0	56	62.0	0			5141	05229	x0051e	20.0	200258042402
2	7	9	---	1	1998105630	牡	4	512.0	-6.0	56	62.6	3			5186	05311	x005af	4.0	200258042402
3	2	2	---	3	1998106588	牡	4	508.0	-8.0	56	62.9	1.1/2			5026	00862	x00e92	3.0	200258042402
4	4	4	---	4	1999103435	牡	3	446.0	-14.0	55	62.9	アタマ			5286	05164	x00014	2.0	200258042402
5	7	10	---	6	1998104378	セ	4	502.0	0.0	56	64.2	6			5094	05111	702002	1.0	200258042402
6	6	7	---	10	1999103233	牝	3	426.0	2.0	51	64.6	2			5388	00887	616005	0.0	200258042402
7	1	1	---	5	1998104033	牡	4	508.0	0.0	56	64.9	1.1/2			5069	00862	910009	0.0	200258042402
8	3	3	---	12	1998101338	牡	4	510.0	2.0	56	65.1	1			5090	05162	984007	0.0	200258042402
9	6	8	---	11	1998104379	牡	4	512.0	-4.0	56	65.2	クビ			5103	05110	873005	0.0	200258042402
10	8	11	---	7	1998102100	牝	4	476.0	-8.0	55	65.2	クビ			5295	05056	x00dab	0.0	200258042402
11	5	6	---	8	1999107445	牡	3	482.0	-4.0	55	65.4	1			5091	00844	086007	0.0	200258042402
12	5	5	---	9	1998105718	牝	4	446.0	0.0	55	65.5	3/4			5021	05460	077008	0.0	200258042402
1	4	4	---	4	2000105707	牝	2	390.0	0.0	53	63.1	0			5073	05025	112008	240.0	200258042403
2	1	1	---	2	2000102228	牡	2	420.0	0.0	53	63.5	2			413	00864	x0176d	48.0	200258042403
3	6	6	---	1	2000103277	牝	2	442.0	0.0	53	63.9	2			579	00863	590007	36.0	200258042403
4	8	9	---	3	2000103000	牡	2	442.0	0.0	53	63.9	クビ			5059	05105	523005	24.0	200258042403
5	5	5	---	5	2000107149	牝	2	442.0	0.0	53	64.3	2			5091	05090	138008	12.0	200258042403
6	3	3	---	6	2000102132	牝	2	462.0	0.0	53	64.4	1/2			439	05364	x00a93	0.0	200258042403
7	7	7	---	7	2000104433	牝	2	430.0	0.0	53	64.9	2.1/2			5089	05301	138008	0.0	200258042403
8	2	2	---	8	2000106256	牡	2	424.0	0.0	53	65.9	5			5286	05164	081007	0.0	200258042403
9	8	8	---	9	2000102181	牝	2	424.0	0.0	53	69.0	大			5092	00887	975009	0.0	200258042403
1	4	4	---	2	1999103266	牡	3	454.0	-4.0	55	111.6	0			00439	00845	366800	20.0	200258042404
2	3	3	---	1	1999102477	牡	3	452.0	2.0	55	112.1	2.1/2			05059	05090	077008	4.0	200258042404
3	8	10	---	3	1999103638	牡	3	464.0	-2.0	55	112.4	1.1/2			05182	05095	320008	3.0	200258042404
4	6	7	---	4	1999103903	牡	3	496.0	-10.0	55	113.6	6			05286	05164	833007	2.0	200258042404
5	7	9	---	8	1999106437	牝	3	446.0	-2.0	54	113.7	3/4			00413	05090	643005	1.0	200258042404
6	2	2	---	5	1999106454	牡	3	456.0	-2.0	55	114.1	2			05103	05460	x0082b	0.0	200258042404
7	1	1	---	10	1999107149	牡	3	450.0	-4.0	55	115.4	6			05351	00846	x013e9	0.0	200258042404
8	8	11	---	7	1999100939	牝	3	434.0	-6.0	54	115.5	1/2			05054	05056	x01f65	0.0	200258042404
9	5	5	---	6	1999102455	セ	3	466.0	-16.0	55	117.4	9			05094	05233	477008	0.0	200258042404
10	7	8	---	11	1999105006	牡	3	408.0	-4.0	55	117.6	3/4			05069	05228	x0014a	0.0	200258042404
11	6	6	---	9	1999103026	牝	3	522.0	-6.0	51	123.5	大			a01b9	a0100	856009	0.0	200258042404
1	5	5	---	2	2000107088	牝	2	468.0	0.0	53	62.3	0			05059	00886	573002	240.0	200258042405
2	4	4	---	4	2000105448	牝	2	396.0	0.0	53	63.0	3			05073	05228	860007	48.0	200258042405
3	3	3	---	3	2000106065	牝	2	422.0	0.0	53	64.4	7			00413	00864	010007	36.0	200258042405
4	8	8	---	1	2000107162	牡	2	460.0	0.0	53	64.8	2			05054	05364	812007	24.0	200258042405
5	1	1	---	6	2000105652	牝	2	376.0	0.0	53	65.0	1			05091	00885	x01700	12.0	200258042405
6	7	7	---	7	2000105700	牝	2	410.0	0.0	53	65.4	2			05089	05301	112008	0.0	200258042405
7	2	2	---	8	2000102358	牝	2	454.0	0.0	53	65.4	アタマ			05351	05091	x01307	0.0	200258042405
8	6	6	---	5	2000101742	牡	2	522.0	0.0	53	65.5	3/4			00439	05229	300005	0.0	200258042405
1	8	9	---	2	2000105287	牝	2	410.0	0.0	53	62.1	0			05094	05093	740009	240.0	200258042406
2	1	1	---	1	2000102198	牝	2	404.0	0.0	53	62.3	1			05026	05364	141008	48.0	200258042406
3	2	2	---	4	2000102234	牝	2	428.0	0.0	53	63.6	6			05059	05105	x013ab	36.0	200258042406
4	4	4	---	3	2000105758	牝	2	430.0	0.0	53	63.7	1/2			05091	05233	779008	24.0	200258042406
5	5	5	---	8	2000106352	牝	2	446.0	0.0	53	63.7	クビ			05073	05311	609007	12.0	200258042406
6	7	8	---	7	2000104998	牝	2	416.0	0.0	53	64.1	2			05069	05228	x01838	0.0	200258042406
7	7	7	---	6	2000105337	牝	2	406.0	0.0	53	64.4	1.1/2			05054	05061	453009	0.0	200258042406
8	6	6	---	5	2000105967	牝	2	416.0	0.0	53	64.5	1/2			00400	05055	630007	0.0	200258042406
9	3	3	---	9	2000102183	牝	2	414.0	0.0	53	64.8	1.1/2			05092	00887	975009	0.0	200258042406
10	8	10	---	10	2000100171	牝	2	434.0	0.0	53	69.2	大			05186	a0101	x0080a	0.0	200258042406
1	8	11	---	1	2000104506	牝	2	476.0	0.0	53	62.1	0			00579	05087	808001	240.0	200258042407
2	6	6	---	2	2000101740	牝	2	430.0	0.0	53	62.4	1.1/2			05089	05229	300005	48.0	200258042407
3	2	2	---	5	2000100637	牝	2	452.0	0.0	53	63.1	3			05059	05105	309008	36.0	200258042407
4	3	3	---	3	2000100174	牝	2	442.0	0.0	53	63.3	1			00413	00864	10007	24.0	200258042407
5	6	7	---	4	2000106103	牝	2	464.0	0.0	53	63.3	アタマ			00439	00845	219007	12.0	200258042407
6	1	1	---	9	2000101144	牝	2	436.0	0.0	53	63.6	1.1/2			05054	05061	946800	0.0	200258042407
7	5	5	---	6	2000100818	牝	2	456.0	0.0	53	63.7	1/2			05286	00885	393008	0.0	200258042407
8	8	10	---	7	2000100054	牝	2	484.0	0.0	53	64.1	2			05021	05091	146008	0.0	200258042407
9	7	9	---	11	2000102006	牝	2	366.0	0.0	53	64.6	2.1/2			05092	05226	367800	0.0	200258042407
10	4	4	---	8	2000103534	牝	2	426.0	0.0	53	64.6	ハナ			05094	05093	190008	0.0	200258042407
11	7	8	---	10	2000100211	牝	2	394.0	0.0	53	66.1	7			00400	05055	632005	0.0	200258042407
1	1	1	---	9	1992502010	牡	10	440.0	-14.0	58	109.3	0			05186	05311	x00435	40.0	200258042408
2	2	2	---	3	1995102507	牡	7	466.0	0.0	56	109.4	クビ			00579	00863	133008	8.0	200258042408
3	6	7	---	1	1997103637	牡	5	494.0	-20.0	56	109.4	クビ			05091	05233	902008	6.0	200258042408
4	6	6	---	6	1997103131	牡	5	478.0	0.0	56	109.4	クビ			05103	05460	x0082b	4.0	200258042408
5	3	3	---	4	1992501353	牡	10	528.0	-2.0	56	110.0	3			05069	00862	304007	2.0	200258042408
6	7	9	---	2	1997501498	牝	5	448.0	4.0	56	110.1	3/4			05054	05056	373800	0.0	200258042408
7	8	11	---	7	1997102969	牡	5	486.0	-8.0	56	110.6	2.1/2			05073	05228	304007	0.0	200258042408
8	7	8	---	8	1996501836	牝	6	470.0	0.0	54	110.7	1/2			05095	00846	x013e9	0.0	200258042408
9	4	4	---	10	1996102191	牡	6	466.0	0.0	56	110.7	クビ			05141	05158	084007	0.0	200258042408
10	8	10	---	5	1998101363	牝	4	438.0	-14.0	55	111.1	2			05089	05301	x00c86	0.0	200258042408
11	5	5	---	11	1997106716	牝	5	438.0	8.0	55	111.7	3			05182	a0100	041002	0.0	200258042408
1	4	4	---	3	1997107039	牡	5	464.0	-6.0	55	108.7	0			05026	00862	x00e92	40.0	200258042409
2	7	9	---	1	1997105749	牡	5	468.0	2.0	57	108.7	アタマ			05094	05093	398008	8.0	200258042409
3	2	2	---	6	1995100390	牡	7	544.0	-2.0	56	109.2	2.1/2			05182	05095	367800	6.0	200258042409
4	6	7	---	2	1996103692	牡	6	462.0	-6.0	55	109.5	1.1/2			05054	00886	482002	4.0	200258042409
5	1	1	---	11	1995106207	牝	7	452.0	-9.0	56	109.5	アタマ			00439	00845	514007	2.0	200258042409
6	7	10	---	7	1997101285	牡	5	476.0	-2.0	56	110.0	2.1/2			05089	05301	x037c6	0.0	200258042409
7	8	12	---	4	1997102978	牡	5	484.0	-12.0	54	110.7	3			05073	00862	304007	0.0	200258042409
8	3	3	---	8	1996103435	牡	6	484.0	6.0	56	111.0	1.1/2			05286	05228	420008	0.0	200258042409
9	8	11	---	5	1997102295	牡	5	494.0	-8.0	55	111.1	クビ			00579	05095	019800	0.0	200258042409
10	5	5	---	10	1992108941	牝	10	452.0	0.0	54	111.1	アタマ			05095	05108	345007	0.0	200258042409
11	6	8	---	9	1994103561	牡	8	482.0	-6.0	55	112.4	6			05096	00845	x0054a	0.0	200258042409
12	5	6	---	12	1995104223	牝	7	434.0	-10.0	54	113.6	6			a0177	00885	393008	0.0	200258042409
1	8	11	---	1	1999103191	牝	3	470.0	-2.0	54	62.1	0			05141	05158	x01a83	20.0	200258042901
2	1	1	---	2	1999100294	牡	3	454.0	-6.0	55	62.4	1.1/2			05095	05108	367800	4.0	200258042901
3	7	8	---	3	1999102085	牝	3	452.0	2.0	54	62.7	1.1/2			05073	00862	157006	3.0	200258042901
4	8	10	---	6	1999107401	牝	3	464.0	6.0	54	63.1	2			05286	00885	288009	2.0	200258042901
5	3	3	---	8	1999102734	牡	3	456.0	2.0	55	63.2	3/4			00579	00863	059008	1.0	200258042901
6	4	4	---	9	1999104791	牝	3	486.0	-2.0	54	63.3	クビ			05059	05105	829007	0.0	200258042901
7	6	7	---	10	1999103885	牝	3	416.0	-2.0	51	63.3	ハナ			a01a1	05087	808001	0.0	200258042901
8	6	6	---	5	1999105720	牝	3	434.0	2.0	54	63.3	アタマ			05089	05226	x03200	0.0	200258042901
9	2	2	---	7	1999106047	牝	3	426.0	-6.0	54	63.5	1			05186	a0101	x0080a	0.0	200258042901
10	7	9	---	4	1999106378	牝	3	430.0	-8.0	54	63.9	2			05140	00886	861002	0.0	200258042901
11	5	5	---	11	1999102542	牝	3	398.0	-4.0	51	64.0	1/2			a01b9	00846	x007d1	0.0	200258042901
1	7	8	---	1	1998106291	牡	4	522.0	-8.0	56	102.9	0			00413	00864	856009	20.0	200258042902
2	6	6	---	2	1998100705	セ	4	476.0	-20.0	56	104.0	5			05286	05228	090002	4.0	200258042902
3	4	4	---	4	1998106171	牡	4	494.0	-10.0	56	104.0	アタマ			05059	05105	x0339f	3.0	200258042902
4	3	3	---	3	1998100232	牝	4	480.0	-4.0	55	104.9	4			05089	05173	x02929	2.0	200258042902
5	8	9	---	7	1995101178	牝	7	448.0	-8.0	54	104.9	アタマ			05096	05229	x02547	1.0	200258042902
6	2	2	---	5	1995100214	牡	7	466.0	-10.0	52	105.2	1.1/2			a01ca	05229	x0052c	0.0	200258042902
7	1	1	---	9	1998105310	牝	4	378.0	-10.0	52	105.6	2			a01b9	05021	909007	0.0	200258042902
8	7	7	---	6	1991103938	牡	11	424.0	2.0	55	106.0	2			05179	05164	x02a88	0.0	200258042902
9	8	10	---	8	1998100775	セ	4	460.0	-4.0	56	106.4	2			05021	05021	566002	0.0	200258042902
10	5	5	---	10	1998106433	牝	4	406.0	-10.0	55	107.0	3			a0177	00846	195006	0.0	200258042902
1	8	10	---	3	1999102481	牝	3	486.0	0.0	54	109.5	0			05089	05056	77008	25.0	200258042903
2	4	4	---	1	1999103444	牡	3	500.0	6.0	55	109.6	1/2			05054	05061	12007	5.0	200258042903
3	3	3	---	6	1999105056	牡	3	476.0	4.0	52	110.4	4			a01ca	05091	427004	3.8	200258042903
4	5	5	---	8	1999101737	牡	3	470.0	-12.0	55	110.6	1			05182	a0100	285002	2.5	200258042903
5	7	8	---	4	1999100798	牡	3	480.0	-10.0	55	111.1	2.1/2			05351	05233	497007	1.2	200258042903
6	8	9	---	7	1999102841	牝	3	430.0	2.0	54	111.1	クビ			05295	05056	465007	0.0	200258042903
7	1	1	---	2	1999102222	牝	3	444.0	-6.0	54	111.8	3			05094	05093	556007	0.0	200258042903
8	7	7	---	10	1999104919	牝	3	436.0	-10.0	54	112.5	3			05059	00886	410008	0.0	200258042903
9	6	6	---	9	1999106648	牡	3	478.0	-6.0	55	113.0	2.1/2			05092	05095	310800	0.0	200258042903
10	2	2	---	5	1999100540	牡	3	496.0	-6.0	55	113.4	2			00439	05229	300005	0.0	200258042903
1	1	1	---	1	2000106332	牝	2	438.0	-6.0	53	62.7	0			05073	00862	003008	180.0	200258042904
2	6	6	---	4	2000104439	牡	2	512.0	6.0	53	63.0	1.1/2			05026	05301	138008	36.0	200258042904
3	4	4	---	5	2000103420	牝	2	450.0	-4.0	53	63.2	1			05286	05087	249008	27.0	200258042904
4	3	3	---	2	2000103811	牡	2	424.0	-2.0	53	63.7	2.1/2			05089	05301	215002	18.0	200258042904
5	5	5	---	6	2000105854	牝	2	420.0	-12.0	53	63.8	クビ			05054	05061	320008	9.0	200258042904
6	7	7	---	3	2000100819	牝	2	440.0	-6.0	53	64.1	1.1/2			00439	00885	051030	0.0	200258042904
7	8	8	---	8	2000106196	牡	2	416.0	6.0	53	64.2	クビ			05021	05056	x01a83	0.0	200258042904
8	2	2	---	7	2000100909	牡	2	416.0	-14.0	53	64.7	2.1/2			05141	00885	x01152	0.0	200258042904
1	4	4	---	1	1998104868	牡	4	506.0	40.0	56	62.1	0			05286	05228	304007	20.0	200258042905
2	3	3	---	4	1998104363	牡	4	502.0	-4.0	56	62.6	2.1/2			05092	00887	094008	4.0	200258042905
3	7	8	---	9	1998105134	牡	4	496.0	-6.0	56	62.9	1.1/2			05095	00846	388007	3.0	200258042905
4	8	10	---	7	1999101193	牝	3	386.0	8.0	54	63.0	1/2			05351	05233	x03659	2.0	200258042905
5	6	7	---	6	1997106032	牡	5	490.0	-2.0	56	63.2	1			05141	05158	x0217c	1.0	200258042905
6	1	1	---	8	1996102039	牡	6	450.0	-4.0	55	63.2	ハナ			a0177	05164	078007	0.0	200258042905
7	5	5	---	3	1997104066	牝	5	460.0	2.0	55	63.2	アタマ			05140	05301	x021f6	0.0	200258042905
8	8	11	---	2	1999103125	牡	3	472.0	-4.0	55	63.2	アタマ			05054	05056	981006	0.0	200258042905
9	2	2	---	5	1998102272	牝	4	430.0	-8.0	55	63.3	1/2			05089	05173	590007	0.0	200258042905
10	6	6	---	11	1996104254	牝	6	394.0	-8.0	54	63.3	アタマ			05179	00846	x00808	0.0	200258042905
11	7	9	---	10	1998101002	牝	4	418.0	-14.0	55	63.6	1.1/2			05090	05162	x00cfa	0.0	200258042905
1	5	6	---	1	1998105499	牡	4	526.0	-4.0	56	103.6	0			05091	00844	086007	20.0	200258042906
2	1	1	---	2	1998104014	牝	4	444.0	-12.0	55	104.4	4			05021	05091	276007	4.0	200258042906
3	6	8	---	8	1996106407	牝	6	442.0	-4.0	51	104.4	クビ			a01ca	05229	x0052c	3.0	200258042906
4	4	4	---	9	1996106849	牝	6	456.0	-6.0	54	104.5	1/2			00579	05110	527007	2.0	200258042906
5	7	10	---	3	1998100507	牡	4	476.0	10.0	56	104.7	1			05089	05173	288006	1.0	200258042906
6	2	2	---	10	1998100749	牝	4	430.0	0.0	55	104.8	3/4			05095	05108	995007	0.0	200258042906
7	3	3	---	7	1998200034	牝	4	496.0	-6.0	55	104.9	クビ			05069	05228	112008	0.0	200258042906
8	6	7	---	4	1997106877	牝	5	478.0	-6.0	55	105.2	1.1/2			05092	05111	731009	0.0	200258042906
9	5	5	---	12	1998100616	牝	4	390.0	-2.0	55	105.3	1/2			05141	05158	x01859	0.0	200258042906
10	8	12	---	11	1998100327	牝	4	496.0	-2.0	55	105.5	1.1/2			05103	05158	x00786	0.0	200258042906
11	7	9	---	5	1998107533	牝	4	492.0	-8.0	55	106.1	3			05073	05087	962008	0.0	200258042906
12	8	11	---	6	1996103084	牝	6	524.0	18.0	54	106.1	ハナ			00439	00845	637007	0.0	200258042906
1	6	6	---	5	1998105725	牝	4	448.0	-4.0	52	104.2	0			a01b9	a0100	077008	25.0	200258042907
2	5	5	---	3	1998103186	牡	4	458.0	-4.0	56	104.6	2			05026	00862	879006	5.0	200258042907
3	1	1	---	2	1998106887	牡	4	424.0	-6.0	56	104.6	クビ			05140	00886	x012ab	3.8	200258042907
4	3	3	---	1	1997106328	牡	5	528.0	-12.0	56	104.9	1.1/2			05090	05162	873008	2.5	200258042907
5	6	7	---	9	1998103797	牝	4	450.0	-6.0	55	105.1	1.1/2			05095	05108	950006	1.2	200258042907
6	8	11	---	11	1998101137	牝	4	454.0	-2.0	55	105.2	1/2			05295	05056	691007	0.0	200258042907
