	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200242011501	ダ	左	1400	晴	良	10:50	3歳三		2002-1-15	11	浦和	1	145万円以上265万円未満	(別定)																																					47101895632	47110589632	10849157632	8,9,10,1,5,4,6,3-7-2	12.3 - 12.4 - 13.0 - 13.0 - 12.0 - 14.4 - 13.3 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.3 - 24.7 - 37.7 - 50.7 - 62.7 - 77.1 - 90.4 - 90.4 - 90.4 - 90.4 - 90.4 - 90.4 - 90.4 - 90.4 - 90.4 (37.7-39.7)
200242011502	ダ	左	1400	晴	良	11:20	3歳二		2002-1-15	11	浦和	1	265万円以上365万円未満	(別定)																																					(6,9),10,1,12,4,5,2,8,3,11,7	691104212358117	6,9,2,1,10,3,4,12,5,7,(11,8)	(6,2),3,1,9,12,10,7,11,8,4,5	12.1 - 11.9 - 12.8 - 13.3 - 12.0 - 14.3 - 13.7 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.1 - 24.0 - 36.8 - 50.1 - 62.1 - 76.4 - 90.1 - 90.1 - 90.1 - 90.1 - 90.1 - 90.1 - 90.1 - 90.1 - 90.1 (36.8-40.0)
200242011503	ダ	左	1400	晴	良	11:50	4歳五		2002-1-15	11	浦和	1	32万円以下	(別定)																																					1498723101165	1489723101165	1487911652103	1,4,9,7,8,6,5-10-3,2	12.6 - 11.9 - 12.7 - 13.8 - 12.9 - 15.8 - 12.9 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.6 - 24.5 - 37.2 - 51.0 - 63.9 - 79.7 - 92.6 - 92.6 - 92.6 - 92.6 - 92.6 - 92.6 - 92.6 - 92.6 - 92.6 (37.2-41.6)
200242011504	ダ	左	1400	晴	良	12:20	C3八		2002-1-15	11	浦和	1	(別定)																																						6,9,3,4,7,2,11,5,(1,10),8	6932471581110	6,9,3,(5,8),10,4,2,1,7,11	6810593241117	12.6 - 12.3 - 12.9 - 13.6 - 12.6 - 14.5 - 12.6 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.6 - 24.9 - 37.8 - 51.4 - 64.0 - 78.5 - 91.1 - 91.1 - 91.1 - 91.1 - 91.1 - 91.1 - 91.1 - 91.1 - 91.1 (37.8-39.7)
200242011505	ダ	左	1400	晴	良	12:50	C3七　イ		2002-1-15	11	浦和	1	(別定)																																						1962108115743	1,9,2,5,6,10,8,11,4,7-3	9,1,2,5,6,10,11,8,4,7-3	9215116104837	12.6 - 12.1 - 12.7 - 13.4 - 11.8 - 14.5 - 13.7 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.6 - 24.7 - 37.4 - 50.8 - 62.6 - 77.1 - 90.8 - 90.8 - 90.8 - 90.8 - 90.8 - 90.8 - 90.8 - 90.8 - 90.8 (37.4-40.0)
200242011506	ダ	左	1400	晴	良	13:20	C3七　ア		2002-1-15	11	浦和	1	(別定)																																						3,7,11,(8,9),10,2,5,6,4,1	3711891021564	3117108921564	1138102971456	12.5 - 11.8 - 12.5 - 13.3 - 12.2 - 15.1 - 13.6 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.5 - 24.3 - 36.8 - 50.1 - 62.3 - 77.4 - 91.0 - 91.0 - 91.0 - 91.0 - 91.0 - 91.0 - 91.0 - 91.0 - 91.0 (36.8-40.9)
200242011507	ダ	左	1400	晴	良	13:55	C2二　イ		2002-1-15	11	浦和	1	(別定)																																						1061125894371	1011625384971	1011265389741	1026113781594	12.7 - 12.2 - 12.6 - 13.1 - 12.1 - 14.0 - 12.3 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.7 - 24.9 - 37.5 - 50.6 - 62.7 - 76.7 - 89.0 - 89.0 - 89.0 - 89.0 - 89.0 - 89.0 - 89.0 - 89.0 - 89.0 (37.5-38.4)
200242011508	ダ	左	1400	晴	良	14:30	C2二　ア		2002-1-15	11	浦和	1	(別定)																																						834157629	831457269	831752469	831572649	12.5 - 12.3 - 12.4 - 12.9 - 11.9 - 14.3 - 12.8 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.5 - 24.8 - 37.2 - 50.1 - 62.0 - 76.3 - 89.1 - 89.1 - 89.1 - 89.1 - 89.1 - 89.1 - 89.1 - 89.1 - 89.1 (37.2-39.0)
200242011509	ダ	左	1600	晴	良	15:05	C1二		2002-1-15	11	浦和	1	(別定)																																						2657111431089	2561741138109	2567141138109	2516743811109	13.9 - 11.5 - 12.6 - 13.1 - 13.1 - 11.6 - 14.3 - 12.9 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.9 - 25.4 - 38.0 - 51.1 - 64.2 - 75.8 - 90.1 - 103.0 - 103.0 - 103.0 - 103.0 - 103.0 - 103.0 - 103.0 - 103.0 (38.0-38.8)
200242011601	ダ	左	1400	曇	良	10:50	3歳四　イ		2002-1-16	11	浦和	2	50万円以上145万円未満	(別定)																																					148297113121065	1,4,(2,8),9,7,11,3,12,5,6,10	1,4,8,2,9,7,3,5,12,(6,11),10	128431256971011	12.2 - 11.9 - 12.8 - 13.6 - 12.6 - 15.6 - 13.7 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.2 - 24.1 - 36.9 - 50.5 - 63.1 - 78.7 - 92.4 - 92.4 - 92.4 - 92.4 - 92.4 - 92.4 - 92.4 - 92.4 - 92.4 (36.9-41.9)
