	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200251022801	ダ	右	1400	曇	重	10:55	F3　3歳		2002-2-28	7	姫路	3	(馬齢)																																											
200251022802	ダ	右	1400	曇	重	11:20	F3　3歳		2002-2-28	7	姫路	3	(馬齢)																																											
200251022803	ダ	右	1400	曇	重	11:45	F3　3歳		2002-2-28	7	姫路	3	(馬齢)																																											
200251022804	ダ	右	1400	曇	重	12:15	C7　4歳以上		2002-2-28	7	姫路	3	(馬齢)																																											
200251022805	ダ	右	1400	曇	重	12:45	C7　4歳以上		2002-2-28	7	姫路	3	(馬齢)																																											
200251022806	ダ	右	1500	曇	重	13:15	B1　4歳以上 		2002-2-28	7	姫路	3	(馬齢)																																											
200251022807	ダ	右	1400	曇	重	13:45	C4　4歳以上		2002-2-28	7	姫路	3	(馬齢)																																											
200251022808	ダ	右	1400	曇	重	14:15	C4　4歳以上		2002-2-28	7	姫路	3	(馬齢)																																											
200251030601	ダ	右	1400	曇	不良	10:55	F1　3歳		2002-3-6	7	姫路	5	(馬齢)																																											
200251030602	ダ	右	1400	曇	不良	11:20	F1　3歳		2002-3-6	7	姫路	5	(馬齢)																																											
200251030603	ダ	右	1400	晴	不良	11:45	F1　3歳		2002-3-6	7	姫路	5	(馬齢)																																											
200251030604	ダ	右	1400	晴	不良	12:15	C5　4歳以上		2002-3-6	7	姫路	5	(馬齢)																																											
200251030605	ダ	右	1400	晴	不良	12:45	C5　4歳以上		2002-3-6	7	姫路	5	(馬齢)																																											
200251030606	ダ	右	1400	晴	不良	13:15	C2　4歳以上		2002-3-6	7	姫路	5	(馬齢)																																											
200251030607	ダ	右	1400	晴	不良	13:45	C2　4歳以上		2002-3-6	7	姫路	5	(馬齢)																																											
200251030608	ダ	右	1400	晴	不良	14:15	C2　4歳以上		2002-3-6	7	姫路	5	(馬齢)																																											
200251030609	ダ	右	1500	晴	不良	14:45	T2　3歳 		2002-3-6	7	姫路	5	(馬齢)																																											
200251030610	ダ	右	1800	晴	不良	15:15	S1　4歳以上 		2002-3-6	7	姫路	5	(別定)																																											
200251031201	ダ	右	1400	晴	稍重	10:55	F4　3歳		2002-3-12	8	姫路	2	(馬齢)																																											
200251031202	ダ	右	1400	晴	稍重	11:20	F4　3歳		2002-3-12	8	姫路	2	(馬齢)																																											
200251031203	ダ	右	1400	晴	稍重	11:45	F4　3歳		2002-3-12	8	姫路	2	(馬齢)																																											
200251031204	ダ	右	1400	晴	稍重	12:15	F4　3歳		2002-3-12	8	姫路	2	(馬齢)																																											
