着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	8	11	3.9	2.0	2000107406	牡	3	488.0	2.0	56.0	112.1	0	4-4-2-2	41.4	717	1038	515800	510.0	200310010101
2	5	5	28.8	8.0	2000106815	牝	3	482.0	-8.0	54.0	112.3	1	4-4-2-3	41.6	1038	1031	277009	200.0	200310010101
3	2	2	8.5	5.0	2000102639	牡	3	480.0	-8.0	56.0	113.0	4	1-1-1-1	42.7	635	366	619002	130.0	200310010101
4	6	6	8.3	4.0	2000102372	牝	3	440.0	2.0	54.0	113.6	3.1/2	6-6-5-5	42.1	1018	395	84800	77.0	200310010101
5	7	8	45.0	10.0	2000107284	牝	3	456.0	0.0	51.0	114.6	6	11-11-9-8	42.3	1075	101	957009	51.0	200310010101
6	6	7	2.4	1.0	2000110197	牡	3	478.0	-2.0	55.0	114.7	1/2	2-2-4-4	43.8	1066	216	382004	0.0	200310010101
7	7	9	19.2	6.0	2000104370	牡	3	430.0	0.0	56.0	115.3	3.1/2	7-7-7-7	43.3	1030	224	523005	0.0	200310010101
8	4	4	28.2	7.0	2000105333	牡	3	436.0	-12.0	54.0	115.5	1	8-8-6-6	43.8	1068	358	267002	0.0	200310010101
9	1	1	76.2	11.0	2000102858	牡	3	462.0	-2.0	54.0	115.6	1/2	8-8-9-8	43.3	1058	357	602002	0.0	200310010101
10	3	3	37.1	9.0	2000102697	牝	3	434.0	0.0	54.0	116.5	5	10-10-11-10	44.1	600	307	447003	0.0	200310010101
11	8	10	5.8	3.0	2000102333	牡	3	482.0	-8.0	56.0	121.2	大	2-2-8-11	49.0	5339	212	308004	0.0	200310010101
1	5	8	6.8	4.0	2000101583	牝	3	462.0	0.0	54.0	120.8	0	5-4-3-3	36.9	1019	1011	790005	510.0	200310010102
2	4	5	5.5	2.0	2000105153	牝	3	434.0	-8.0	54.0	120.8	クビ	8-7-3-2	36.8	690	337	506800	200.0	200310010102
3	6	10	1.9	1.0	2000105743	牝	3	418.0	-4.0	54.0	121.2	2.1/2	1-1-1-1	37.5	714	348	859002	130.0	200310010102
4	2	2	15.6	6.0	2000106533	牝	3	470.0	-14.0	54.0	121.7	3	2-2-2-3	37.9	5339	343	838005	77.0	200310010102
5	7	11	11.9	5.0	2000100929	牝	3	432.0	-8.0	54.0	122.2	3	5-6-6-5	38.0	1018	411	85800	51.0	200310010102
6	8	13	46.8	8.0	2000104253	牝	3	444.0	-10.0	51.0	122.5	1.3/4	4-5-7-7	38.1	1075	257	31002	0.0	200310010102
7	3	4	38.9	7.0	2000104009	牝	3	418.0	-12.0	54.0	122.8	1.3/4	10-10-10-8	37.9	1041	203	637006	0.0	200310010102
8	8	14	6.5	3.0	2000101799	牝	3	442.0	-26.0	54.0	122.9	1/2	2-3-3-5	38.9	504	388	966002	0.0	200310010102
