	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200301010101	芝	右	1200	晴	良	09:55	2歳未勝利		2003-8-16	1	札幌	1	2歳未勝利	(混)[指](馬齢)	2	190	1	2	100	1	12	120	2	9.0	400	6.0	1-6	230	1	2-12	300.0	1.0	2-12	150	1.0	2-9	580	7.0	9-12	1,010	12.0	2=>12	520	1	2-9-12	2080	5			(4,*6)2,10-11,1(14,16)(7,15,12)(8,13)(3,9) 5	(4,*6,2)-11(1,14,10)16(15,12)7(13,9)-(3,8) 5	12.1 - 10.7 - 11.0 - 11.6 - 12.3 - 13.0	12.1 - 22.8 - 33.8 - 45.4 - 57.7 - 70.7 (33.8-36.9)
200301010102	ダ	右	1700	晴	良	10:20	3歳未勝利		2003-8-16	1	札幌	1	3歳未勝利	牝[指](馬齢)	10	120	1	10	100	1	1	360	6	4.0	190	3.0	1-7	1100	5	1-10	1300.0	4.0	1-10	320	4.0	4-10	290	2.0	1-4	1,710	18.0	10=>1	1610	6	1-4-10	3390	11	10,13(1,4,11,12)5(3,7)8(2,6)9	10,13(1,4)11(3,5,12,8)7-(2,6)9	10,13(4,3)(1,8)2(11,12)(9,5)(7,6)	10-(4,13,3)(1,8)-(9,2,12)-(7,6)-5,11	6.9 - 11.5 - 12.3 - 13.1 - 13.1 - 13.0 - 12.8 - 12.7 - 13.3	6.9 - 18.4 - 30.7 - 43.8 - 56.9 - 69.9 - 82.7 - 95.4 - 108.7 (30.7-38.8)
200301010103	ダ	右	1000	曇	良	10:45	3歳未勝利		2003-8-16	1	札幌	1	3歳未勝利	[指](馬齢)	9	300	2	9	110	2	12	100	1	2.0	270	5.0	7-8	200	1	9-12	270.0	1.0	9-12	160	1.0	2-9	700	9.0	2-12	460	6.0	9=>12	660	2	2-9-12	1180	4			9,12(7,8,11)2(3,5)(4,10)=6 1	9,12(7,11)-(2,8,4)(3,10)5=6 1	12.6 - 11.4 - 11.8 - 11.6 - 12.1	12.6 - 24.0 - 35.8 - 47.4 - 59.5 (35.8-35.5)
200301010104	ダ	右	1700	曇	良	11:15	3歳未勝利		2003-8-16	1	札幌	1	3歳未勝利	(混)[指](馬齢)	9	410	3	9	140	2	13	120	1	5.0	210	5.0	6-8	410	2	9-13	470.0	2.0	9-13	220	1.0	5-9	790	9.0	5-13	720	8.0	9=>13	1060	4	5-9-13	2480	8	13,12(2,9)-10(3,5)(1,4,11)(8,7)6	13,12(2,9)-(3,5,10)1(6,4,11,7)8	13(2,12,9)(5,10)3(6,1,11,7)8-4	13(2,9)-10,5(3,12)-6-(1,8)7-(11,4)	6.7 - 11.5 - 12.0 - 12.7 - 12.7 - 12.8 - 13.0 - 13.0 - 13.5	6.7 - 18.2 - 30.2 - 42.9 - 55.6 - 68.4 - 81.4 - 94.4 - 107.9 (30.2-39.5)
200301010105	芝	右	1200	曇	良	12:15	2歳新馬		2003-8-16	1	札幌	1	2歳新馬	[指](馬齢)	3	530	3	3	180	3	9	440	5	5.0	160	2.0	3-7	3180	12	3-9	4690.0	14.0	3-9	1,380	17.0	3-5	440	3.0	5-9	1,270	15.0	3=>9	6800	18	3-5-9	6590	21			9(7,8)3(1,2,5)-10(6,11)=4	9,3(7,8,2,5)(1,10)11,6=4	12.4 - 10.8 - 12.1 - 11.8 - 11.8 - 11.9	12.4 - 23.2 - 35.3 - 47.1 - 58.9 - 70.8 (35.3-35.5)
200301010106	芝	右	2000	曇	良	12:45	3歳未勝利		2003-8-16	1	札幌	1	3歳未勝利	[指](馬齢)	8	480	2	8	170	2	14	180	4	2.0	150	1.0	4-7	770	1	8-14	1150.0	2.0	8-14	420	2.0	2-8	360	1.0	2-14	540	3.0	8=>14	2470	4	2-8-14	1750	1	8,11(2,7,9,14)(3,10,12)(6,4,5,16)(13,15)-1	8,11(2,7)14(3,9)12(6,4)(10,16)(13,15,5)-1	8,11(2,7,14)(3,4)12(6,15)(9,16,5)(13,10)-1	8(2,7)(11,14)(3,4)(15,12,5)16,13(6,10)1,9	12.8 - 11.1 - 12.3 - 12.6 - 12.8 - 12.8 - 12.4 - 12.0 - 12.3 - 12.0	12.8 - 23.9 - 36.2 - 48.8 - 61.6 - 74.4 - 86.8 - 98.8 - 111.1 - 123.1 (36.2-36.3)
200301010107	ダ	右	1700	曇	良	13:15	3歳以上500万下		2003-8-16	1	札幌	1	3歳以上500万下	[指](別定)	3	130	1	3	110	1	1	2,000	12	10.0	640	8.0	1-3	9740	16	1-3	8460.0	22.0	1-3	2,700	26.0	3-10	1,090	9.0	1-10	21,870	68.0	3=>1	10040	22	1-3-10	60250	99	11(5,8)(1,3,9)-(2,7)(6,13)-(4,10,12)	11-(5,8)9(1,3)-7,2,13,6(10,12)-4	(*11,8)9(5,3)(1,2)(6,7)13(10,12)-4	(*9,2)(11,8,3)5(1,6)10-(13,7)12-4	6.8 - 11.1 - 11.8 - 12.4 - 12.3 - 12.5 - 12.8 - 12.6 - 13.3	6.8 - 17.9 - 29.7 - 42.1 - 54.4 - 66.9 - 79.7 - 92.3 - 105.6 (29.7-38.7)
200301010108	ダ	右	1000	晴	良	13:45	3歳以上500万下		2003-8-16	1	札幌	1	3歳以上500万下	(特指)(別定)	7	7460	8	7	1,520	10	5	150	2	3.0	720	6.0	5-6	270	1	5-7	10350.0	21.0	5-7	3,310	27.0	3-7	7,390	46.0	3-5	1,890	16.0	7=>5	37030	65	3-5-7	52380	94			7,10,11(5,8)(1,3,4,12)(6,9)2	7,10,11,8,5(1,3)4(6,12)(2,9)	12.4 - 11.0 - 11.7 - 11.7 - 12.5	12.4 - 23.4 - 35.1 - 46.8 - 59.3 (35.1-35.9)
200301010109	ダ	右	1700	晴	良	14:20	3歳以上500万下		2003-8-16	1	札幌	1	3歳以上500万下	(混)[指](別定)	11	190	1	11	110	1	12	130	2	2.0	360	7.0	7-8	260	1	11-12	330.0	1.0	11-12	170	1.0	2-11	730	9.0	2-12	1,070	12.0	11=>12	540	1	2-11-12	2420	5	7,12,2,13,10(5,11)-(3,6)(8,9)4,1	7,12,2-(10,13)11(5,6)3(8,9)4-1	11(7,12)13,2,10(8,6,9)(4,1)5-3	11,7,12-2,13,10(8,6,1)4,9-5,3	6.9 - 11.0 - 12.0 - 13.0 - 12.8 - 12.1 - 12.4 - 12.3 - 12.7	6.9 - 17.9 - 29.9 - 42.9 - 55.7 - 67.8 - 80.2 - 92.5 - 105.2 (29.9-37.4)
200301010110	芝	右	1500	晴	良	14:55	手稲山特別 		2003-8-16	1	札幌	1	3歳以上500万下	(混)[指](別定)	7	610	2	7	230	2	10	490	7	1.0	530	8.0	6-7	1090	5	7-10	6220.0	20.0	7-10	1,980	22.0	1-7	2,330	27.0	1-10	5,460	39.0	7=>10	11530	39	1-7-10	41310	84		11(6,12)7(4,8,10)-(5,9)(1,3)2	(*11,12)(4,6,7)10(8,5,3)(1,9,2)	(11,*12,7)(4,6,10)(8,5,3)(9,2)1	6.8 - 11.4 - 11.4 - 11.9 - 12.0 - 11.9 - 12.0 - 12.3	6.8 - 18.2 - 29.6 - 41.5 - 53.5 - 65.4 - 77.4 - 89.7 (29.6-36.2)
