	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200302010101	ダ	右	1700	晴	重	09:55	3歳未勝利		2003-6-21	1	函館	1	3歳未勝利	[指](馬齢)	5	220	1	5	120	1	4	350	5	8.0	510	7.0	4-5	1730	9	4-5	1840.0	7.0	4-5	540	5.0	5-8	840	8.0	4-8	4,080	33.0	5=>4	2920	10	4-5-8	8520	30	11,5(2,8)10(1,4)(3,6,9)-7	11(5,8)(2,10)(4,9)(1,6)3,7	(11,*5)(2,8)(4,10)(1,6,7)3,9	5(2,8)(11,10,7)4(1,3,6)=9	6.8 - 10.9 - 12.1 - 13.3 - 13.5 - 13.1 - 13.0 - 13.0 - 12.5	6.8 - 17.7 - 29.8 - 43.1 - 56.6 - 69.7 - 82.7 - 95.7 - 108.2 (29.8-38.5)
200302010102	ダ	右	1000	晴	重	10:20	3歳未勝利		2003-6-21	1	函館	1	3歳未勝利	牝[指](馬齢)	10	330	2	10	170	2	5	490	7	11.0	1,440	8.0	5-7	1730	7	5-10	2180.0	8.0	5-10	580	6.0	10-11	2,530	21.0	5-11	9,250	44.0	10=>5	3230	12	5-10-11	31970	61			(*10,12)(5,9,11)2(4,8)-7,1,3,6	10(12,11)5-(2,9)-(4,8)1,7,3-6	12.5 - 11.0 - 11.8 - 12.0 - 12.5	12.5 - 23.5 - 35.3 - 47.3 - 59.8 (35.3-36.3)
200302010103	ダ	右	1700	晴	重	10:45	3歳未勝利		2003-6-21	1	函館	1	3歳未勝利	[指](馬齢)	7	590	3	7	210	3	5	1,300	9	9.0	350	6.0	5-6	870	5	5-7	14760.0	32.0	5-7	3,970	31.0	7-9	750	8.0	5-9	7,410	39.0	7=>5	16920	48	5-7-9	39090	81	8,10,7(1,2,4)(6,9,11,12)3=5	8,10,7(1,2,4)(3,6,9)(11,12)-5	8(10,7)-(2,5,4)3(6,9)-(1,11,12)	(*8,7)10(5,4)2(6,3,9)-(1,11,12)	6.7 - 10.8 - 11.8 - 12.4 - 13.2 - 13.2 - 13.2 - 13.3 - 13.7	6.7 - 17.5 - 29.3 - 41.7 - 54.9 - 68.1 - 81.3 - 94.6 - 108.3 (29.3-40.2)
200302010104	芝	右	2000	晴	稍重	11:15	3歳未勝利		2003-6-21	1	函館	1	3歳未勝利	(混)[指](馬齢)	1	390	2	1	180	2	5	470	9	12.0	150	1.0	1-3	870	4	1-5	4400.0	20.0	1-5	1,770	23.0	1-12	380	2.0	5-12	2,180	27.0	1=>5	7470	32	1-5-12	9570	34	5,6(2,7,10,12)(1,4,8,14)11,13,3-9=15	5,6,2(7,10,12)(1,4,8,14)(3,11,13)9=15	5,6,2(7,12)1,14(4,13)(10,11)(8,9)3,15	5,6(2,7,12)(1,14)4(8,11)13-9(15,10,3)	12.2 - 10.7 - 12.0 - 12.7 - 13.1 - 13.2 - 12.7 - 12.4 - 12.1 - 12.6	12.2 - 22.9 - 34.9 - 47.6 - 60.7 - 73.9 - 86.6 - 99.0 - 111.1 - 123.7 (34.9-37.1)
200302010105	芝	右	1000	晴	稍重	12:15	2歳新馬		2003-6-21	1	函館	1	2歳新馬	[指](馬齢)	6	430	2	6	130	2	1	180	4	12.0	130	1.0	1-5	1110	4	1-6	1690.0	6.0	1-6	480	5.0	6-12	230	1.0	1-12	380	4.0	6=>1	3160	9	1-6-12	1480	2			(*6,7)-1,10(3,12)(4,11,8)(2,5)9	6,7,1-(3,12)(4,10)(2,11,8)(9,5)	12.5 - 10.8 - 11.4 - 11.4 - 11.7	12.5 - 23.3 - 34.7 - 46.1 - 57.8 (34.7-34.5)
200302010106	ダ	右	1700	晴	稍重	12:45	3歳以上500万下		2003-6-21	1	函館	1	3歳以上500万下	[指](定量)	5	170	1	5	120	1	10	210	4	6.0	190	3.0	4-7	730	3	5-10	970.0	3.0	5-10	340	3.0	5-6	280	2.0	6-10	780	10.0	5=>10	1240	4	5-6-10	2000	6	5,7(6,11)(2,9)(3,13)(1,4)10,12-8	5-7(6,11)-(2,9,13)(1,3,4)10-12,8	5,6-10(7,11)(13,4)(1,9)-(2,3)8,12	5-6,10-4,13,11,1-(7,9)(2,8,3)-12	6.8 - 10.9 - 11.8 - 12.5 - 12.8 - 12.2 - 12.6 - 12.4 - 13.4	6.8 - 17.7 - 29.5 - 42.0 - 54.8 - 67.0 - 79.6 - 92.0 - 105.4 (29.5-38.4)
200302010107	ダ	右	1000	晴	稍重	13:15	3歳以上500万下		2003-6-21	1	函館	1	3歳以上500万下	牝[指](定量)	7	890	4	7	250	3	9	660	9	11.0	500	5.0	6-7	1450	6	7-9	13280.0	34.0	7-9	2,870	30.0	7-11	2,010	22.0	9-11	4,250	40.0	7=>9	21490	56	7-9-11	29030	84			12-7,3,10(5,11)9(2,4)(6,8)-1	12,7-3(10,11)5,9(2,4)(6,8)-1	12.0 - 10.7 - 11.4 - 11.8 - 13.0	12.0 - 22.7 - 34.1 - 45.9 - 58.9 (34.1-36.2)
200302010108	ダ	右	1700	晴	稍重	13:45	3歳以上500万下		2003-6-21	1	函館	1	3歳以上500万下	[指](定量)	6	590	3	6	200	3	12	330	6	11.0	260	4.0	5-8	3920	18	6-12	5240.0	20.0	6-12	1,710	16.0	6-11	880	10.0	11-12	1,580	15.0	6=>12	8700	34	6-11-12	10800	35	8,12,13(1,3,6)-11(4,7)-5(9,10)2	8,12(1,13)6,3,11,4,7,10,9(5,2)	(*8,12)-(3,13)6,11,10,1(7,2)4(5,9)	12(8,6)3,11,13(10,2)(1,7)-(4,5)9	6.7 - 11.0 - 12.0 - 12.7 - 13.1 - 12.7 - 12.2 - 12.3 - 12.8	6.7 - 17.7 - 29.7 - 42.4 - 55.5 - 68.2 - 80.4 - 92.7 - 105.5 (29.7-37.3)
200302010109	芝	右	1200	晴	良	14:20	3歳以上500万下		2003-6-21	1	函館	1	3歳以上500万下	(特指)(定量)	10	1200	7	10	420	6	4	800	9	3.0	2,070	13.0	2-5	8110	22	4-10	10960.0	35.0	4-10	3,830	38.0	3-10	13,750	91.0	3-4	15,840	98.0	10=>4	21740	67	3-4-10	254430	374			(*5,11,16)-(10,12)(3,8)(2,4,6,14)-7(9,15)1,13	(5,*16)(11,10)(3,12,8)4,6(2,14)(7,1)9,13-15	12.0 - 10.5 - 11.2 - 11.9 - 11.9 - 12.4	12.0 - 22.5 - 33.7 - 45.6 - 57.5 - 69.9 (33.7-36.2)
200302010110	芝	右	2600	晴	良	15:00	横津岳特別 		2003-6-21	1	函館	1	3歳以上500万下	(混)(特指)(定量)	5	260	1	5	110	1	9	130	2	10.0	210	5.0	5-7	330	1	5-9	460.0	1.0	5-9	190	1.0	5-10	450	7.0	9-10	550	8.0	5=>9	780	1	5-9-10	1420	4	4,5(1,11)2(6,9)-(8,12)10,3-7	4,5(6,1,2)9,11(8,12)(7,3,10)	4(5,1)(6,9,10)2(8,12,3)7=11	(4,*5,1)(9,10)-(8,3)6(7,12)2=11	13.0 - 11.9 - 12.3 - 12.5 - 12.5 - 13.1 - 13.6 - 13.5 - 13.2 - 12.3 - 12.2 - 11.5 - 12.2	13.0 - 24.9 - 37.2 - 49.7 - 62.2 - 75.3 - 88.9 - 102.4 - 115.6 - 127.9 - 140.1 - 151.6 - 163.8 (37.2-35.9)
