	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200303010101	ダ	右	1700	雨	稍重	09:55	3歳未勝利		2003-4-5	1	福島	1	3歳未勝利	[指](馬齢)	2	260	1	2	120	1	3	200	4	6.0	230	6.0	2-3	1040	4	2-3	1020.0	4.0	2-3	390	4.0	2-6	720	10.0	3-6	1,470	15.0	2=>3	1590	6	2-3-6	4570	15	(2,*6)8(3,9)(1,5)(4,7)-10	6,2,8(1,9)3-(4,5)(10,7)	(*6,2)(3,8,9)4,1-5,7,10	(*6,2)(3,9)-8(1,4)=(10,7,5)	6.9 - 12.0 - 12.0 - 12.5 - 13.0 - 12.8 - 12.9 - 12.8 - 14.0	6.9 - 18.9 - 30.9 - 43.4 - 56.4 - 69.2 - 82.1 - 94.9 - 108.9 (30.9-39.7)
200303010102	ダ	右	1000	雨	稍重	10:20	3歳未勝利		2003-4-5	1	福島	1	3歳未勝利	[指](馬齢)	3	1140	4	3	320	4	9	1,610	12	10.0	240	3.0	3-7	4420	15	3-9	40330.0	53.0	3-9	6,780	47.0	3-10	1,390	15.0	9-10	7,950	54.0	3=>9	71030	97	3-9-10	97960	158			8(12,10)(5,11)9(3,6)1,2-4,7	(*12,10)(3,5,11)6(1,9)2=4-7 8	12.5 - 11.0 - 12.5 - 12.7 - 13.3	12.5 - 23.5 - 36.0 - 48.7 - 62.0 (36.0-38.5)
200303010103	ダ	右	1700	雨	稍重	10:45	3歳未勝利		2003-4-5	1	福島	1	3歳未勝利	[指](馬齢)	8	650	4	8	170	4	2	130	1	3.0	150	3.0	2-6	1240	7	2-8	1260.0	6.0	2-8	410	3.0	3-8	720	11.0	2-3	340	2.0	8=>2	3440	15	2-3-8	2110	6	(*3,10)-6(2,8)(5,9)(7,11,12)-4,1	(*3,10)(2,6)8-(5,9)-7,12(4,11,1)	(*3,10)(2,6,1)(8,5,9)11(7,4,12)	(*3,10)(8,2)6,1,5(7,4)-(12,9,11)	6.9 - 11.6 - 11.7 - 12.5 - 13.5 - 13.5 - 13.1 - 13.0 - 12.4	6.9 - 18.5 - 30.2 - 42.7 - 56.2 - 69.7 - 82.8 - 95.8 - 108.2 (30.2-38.5)
200303010104	芝	右	2000	雨	良	11:15	3歳未勝利		2003-4-5	1	福島	1	3歳未勝利	(混)[指](馬齢)	9	360	2	9	180	2	13	980	11	10.0	300	5.0	5-7	510	1	9-13	9940.0	30.0	9-13	3,390	35.0	9-10	540	4.0	10-13	5,010	46.0	9=>13	15900	46	9-10-13	20680	62	8-4,9,10(2,5,15)(3,6,7,12)(13,11)1=14	8-4,9(2,10)(5,15)3(6,7,12)(1,13)11-14	8-(4,9)(2,10,15)12-(3,13,5)6-(1,7)11=14	(*8,9)(2,10)(13,15)(3,12)4(6,5)-1,11,7=14	12.3 - 11.0 - 11.3 - 12.3 - 12.3 - 12.7 - 12.3 - 12.5 - 12.6 - 12.8	12.3 - 23.3 - 34.6 - 46.9 - 59.2 - 71.9 - 84.2 - 96.7 - 109.3 - 122.1 (34.6-37.9)
200303010105	芝	右	1200	雨	良	11:45	3歳未勝利		2003-4-5	1	福島	1	3歳未勝利	[指](馬齢)	6	450	3	6	160	3	16	140	2	1.0	140	1.0	3-8	970	4	6-16	1190.0	3.0	6-16	430	2.0	1-6	430	4.0	1-16	240	1.0	6=>16	2490	8	1-6-16	1160	1			16-7(3,4,6)-(1,9)-(5,2)14(8,10,11,13)15,12	16,7,6,4(3,1,9)(5,2)-(14,13)(8,10)-11,15-12	12.1 - 10.6 - 11.4 - 11.9 - 11.9 - 12.7	12.1 - 22.7 - 34.1 - 46.0 - 57.9 - 70.6 (34.1-36.5)
200303010106	ダ	右	1000	雨	稍重	12:45	4歳以上500万下		2003-4-5	1	福島	1	4歳以上500万下	(混)[指](別定)	2	660	6	2	240	5	4	230	4	1.0	640	9.0	2-4	2060	9	2-4	2150.0	9.0	2-4	630	6.0	1-2	1,590	19.0	1-4	1,340	16.0	2=>4	4950	25	1-2-4	8500	30			2(11,12)(4,8)1(7,9)(10,6)5-3	2-(4,11,12)-(1,8)9(5,7,6)10,3	12.3 - 10.9 - 11.6 - 12.2 - 12.9	12.3 - 23.2 - 34.8 - 47.0 - 59.9 (34.8-36.7)
200303010107	芝	右	1200	雨	良	13:15	4歳以上500万下		2003-4-5	1	福島	1	4歳以上500万下	牝[指](別定)	16	370	1	16	180	1	4	470	10	10.0	1,280	12.0	2-8	730	1	4-16	3040.0	12.0	4-16	1,410	16.0	10-16	3,040	44.0	4-10	5,290	62.0	16=>4	5330	17	4-10-16	37100	138			16,4(2,14,15)(1,3)(5,9)11(10,6,8,13)-12 7	16,4,2(14,15)(10,1,3)(6,9,11)(5,8,13)-12 7	12.0 - 10.9 - 11.2 - 11.8 - 11.8 - 12.5	12.0 - 22.9 - 34.1 - 45.9 - 57.7 - 70.2 (34.1-36.1)
200303010108	芝	右	1800	雨	良	13:50	4歳以上500万下		2003-4-5	1	福島	1	4歳以上500万下	(混)[指](別定)	9	1240	6	9	280	5	7	130	1	5.0	210	3.0	4-5	1570	7	7-9	1940.0	5.0	7-9	620	4.0	5-9	1,890	24.0	5-7	470	2.0	9=>7	5940	20	5-7-9	6600	15	(*9,16)(4,6,7,14)(5,10,12,13)11,8(1,3,15)2	(9,*16)-(6,14)(7,13)4(5,10,12)11(1,15)(2,8)3	(9,*16,7)(14,13)(6,5,12)(10,11,15)(4,1,2)8,3	9,16,7(6,5,13)12(14,2,11,15)1(3,8,10)4	12.6 - 11.2 - 12.3 - 12.2 - 12.3 - 12.1 - 11.9 - 11.8 - 12.4	12.6 - 23.8 - 36.1 - 48.3 - 60.6 - 72.7 - 84.6 - 96.4 - 108.8 (36.1-36.1)
200303010109	ダ	右	1700	雨	稍重	14:20	4歳以上500万下		2003-4-5	1	福島	1	4歳以上500万下	牝[指](別定)	2	420	2	2	200	2	8	460	6	7.0	240	3.0	2-5	1260	6	2-8	5050.0	18.0	2-8	1,470	15.0	2-7	630	5.0	7-8	1,730	18.0	2=>8	7950	28	2-7-8	11130	35	11(3,10)(12,13)7(1,2,5)(6,8,9,14)=4	11(3,10)(1,2,12,13)(5,7)(6,8,9)-14-4	11-(3,10)2-(1,5,13)(7,9)(8,12)6,14,4	11-2,3-(1,5)10,7,13(8,9)(6,4)14-12	6.8 - 11.2 - 11.5 - 11.9 - 12.3 - 12.1 - 12.6 - 13.3 - 14.4	6.8 - 18.0 - 29.5 - 41.4 - 53.7 - 65.8 - 78.4 - 91.7 - 106.1 (29.5-40.3)
200303010110	芝	右	1200	雨	稍重	14:55	雪うさぎ賞 		2003-4-5	1	福島	1	3歳500万下	(混)(特指)(馬齢)	4	2880	9	4	710	9	9	4,130	15	5.0	350	5.0	2-5	5870	19	4-9	30440.0	71.0	4-9	12,650	90.0	4-5	3,790	45.0	5-9	10,860	86.0	4=>9	121970	180	4-5-9	169250	320			4,1(7,15)13(2,8,11,14)12,16(3,6)9(5,10)	4-1-(7,15)(2,8,11,13,14)(3,12)9(5,6)10,16	12.1 - 10.4 - 10.9 - 11.6 - 12.3 - 13.5	12.1 - 22.5 - 33.4 - 45.0 - 57.3 - 70.8 (33.4-37.4)
