	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
200304010101	ダ	左	1800	晴	良	09:55	3歳未勝利		2003-5-3	1	新潟	1	3歳未勝利	(父)(馬齢)	3	250	1	3.0	110	1.0	4.0	150	4.0	2.0	110	2.0	3-4	760	5	3=>4	1250	6	2-3-4	760	4	3,4(2,8)-(1,5)-6-7	3,4(2,8)(1,5)-6-7	3,4(2,8)1-5(6,7)	(*3,4)2,8,1-5,7,6	13.2 - 11.8 - 13.1 - 13.8 - 13.2 - 12.7 - 12.6 - 12.2 - 12.9	13.2 - 25.0 - 38.1 - 51.9 - 65.1 - 77.8 - 90.4 - 102.6 - 115.5 (38.1-37.7)												
200304010103	芝	左	2400	晴	良	10:50	3歳未勝利		2003-5-3	1	新潟	1	3歳未勝利	(混)(馬齢)	2	170	1	2.0	110	1.0	5.0	150	3.0	7.0	150	4.0	2-5	520	2	2=>5	780	3	2-5-7	820	2	6(5,7,3)1-(2,4)-8	6(5,7,3)1(2,4)8	(*6,5)(1,7,3)2(8,4)	(*6,5)-(1,7,3)2(8,4)	12.8 - 12.2 - 11.5 - 12.4 - 12.7 - 12.6 - 12.5 - 12.4 - 12.6 - 12.5 - 12.4 - 12.4	12.8 - 25.0 - 36.5 - 48.9 - 61.6 - 74.2 - 86.7 - 99.1 - 111.7 - 124.2 - 136.6 - 149.0 (36.5-37.3)												
200304010104	芝	直	1000	晴	良	11:15	3歳未勝利		2003-5-3	1	新潟	1	3歳未勝利	(馬齢)	12	970	5	12.0	430	5.0	16.0	520	7.0	9.0	520	6.0	6-8	3220	17	12=>16	17940	61	9-12-16	29650	110					12.3 - 10.4 - 11.5 - 10.7 - 11.5	12.3 - 22.7 - 34.2 - 44.9 - 56.4 (34.2-33.7)	12-16	8430.0	31.0	12-16	3,500	46.0	9-12	2,990	37.0	9-16	2,740	33.0
200304010105	ダ	左	1200	晴	良	11:45	3歳未勝利		2003-5-3	1	新潟	1	3歳未勝利	(馬齢)	9	750	5	9.0	280	5.0	12.0	810	9.0	2.0	170	2.0	5-7	2340	10	9=>12	21100	62	2-9-12	16120	49			9,8(3,6)(7,15)-(2,10)-12(1,13)(4,11,14)5	9,8(7,6,15)3,2,10,12-(1,13)14(4,11)-5	12.4 - 10.8 - 11.9 - 12.8 - 12.7 - 12.8	12.4 - 23.2 - 35.1 - 47.9 - 60.6 - 73.4 (35.1-38.3)	9-12	12520.0	33.0	9-12	2,940	33.0	2-9	980	11.0	2-12	1,730	19.0
200304010106	芝	左	1600	晴	良	12:45	3歳未勝利		2003-5-3	1	新潟	1	3歳未勝利	(馬齢)	11	210	1	11.0	120	1.0	8.0	630	9.0	1.0	190	3.0	5-6	2670	11	11=>8	5670	18	1-8-11	9170	27			(10,*14)-9(8,13)3(4,15)(1,11)12(2,7,5,6)	(*10,14)-9(8,13)(3,15)(1,4)(7,11)(2,6)(5,12)	12.9 - 11.1 - 12.1 - 12.3 - 12.4 - 11.9 - 11.0 - 12.1	12.9 - 24.0 - 36.1 - 48.4 - 60.8 - 72.7 - 83.7 - 95.8 (36.1-35.0)	8-11	4080.0	15.0	8-11	1,530	17.0	1-11	440	2.0	1-8	3,140	34.0
200304010107	ダ	左	1800	晴	良	13:15	4歳以上500万下		2003-5-3	1	新潟	1	4歳以上500万下	(別定)	9	220	1	9.0	120	1.0	11.0	240	6.0	3.0	170	2.0	5-6	910	3	9=>11	1550	4	3-9-11	1840	4	(*15,12)(4,7,8,9,13)14,11(1,10)(2,3)(5,6)	15,12(4,8)(7,9,13)(1,11,14)(2,10,3)(5,6)	15,12(8,9)(7,11,13)(4,14)3(10,6)(1,5)-2	15(12,9)8(7,11,13,14)(6,3)4(10,5)1,2	13.1 - 11.8 - 12.8 - 13.5 - 13.1 - 12.4 - 12.9 - 12.5 - 12.5	13.1 - 24.9 - 37.7 - 51.2 - 64.3 - 76.7 - 89.6 - 102.1 - 114.6 (37.7-37.9)	9-11	1230.0	4.0	9-11	560	7.0	3-9	190	1.0	3-11	720	9.0
200304010108	ダ	左	1200	晴	良	13:45	4歳以上500万下		2003-5-3	1	新潟	1	4歳以上500万下	(別定)	1	160	1	1.0	120	1.0	8.0	260	4.0	11.0	470	7.0	1-5	440	1	1=>8	920	2	1-8-11	6480	23			3(1,13,8,10)15,2(6,4,7)(11,5,12)9 14	3(1,13,8)(10,15)2,4(6,7)11(5,12)9 14	12.2 - 10.5 - 11.5 - 12.2 - 12.8 - 13.4	12.2 - 22.7 - 34.2 - 46.4 - 59.2 - 72.6 (34.2-38.4)	1-8	710.0	2.0	1-8	370	3.0	1-11	770	7.0	8-11	4,540	46.0
200304010109	芝	直	1000	晴	良	14:20	4歳以上500万下		2003-5-3	1	新潟	1	4歳以上500万下	牝(別定)	5	250	1	5.0	110	1.0	9.0	250	4.0	12.0	130	2.0	3-5	930	2	5=>9	2060	4	5-9-12	1530	2					12.1 - 10.3 - 10.8 - 10.5 - 11.8	12.1 - 22.4 - 33.2 - 43.7 - 55.5 (33.2-33.1)	5-9	1380.0	3.0	5-9	580	4.0	5-12	200	1.0	9-12	600	5.0
200304010110	ダ	左	1800	晴	良	14:55	三条特別 		2003-5-3	1	新潟	1	4歳以上500万下	(混)(別定)	13	460	3	13.0	210	2.0	11.0	270	4.0	1.0	630	10.0	6-7	1880	10	13=>11	3620	12	1-11-13	23750	85	(*11,14)(3,4,15)(1,10)8(5,6,13)7-9-12=2	11,14(3,4,15)(1,10,8)(5,6,13)7-9-12=2	11(14,15)(3,4,13)(6,7)(1,10)(8,5)-(12,9)=2	11(14,15,13)4(3,7)(1,6)10(8,5)-(12,9)=2	12.8 - 11.1 - 12.6 - 13.3 - 13.3 - 12.7 - 12.7 - 12.6 - 12.7	12.8 - 23.9 - 36.5 - 49.8 - 63.1 - 75.8 - 88.5 - 101.1 - 113.8 (36.5-38.0)	11-13	1970.0	5.0	11-13	870	8.0	1-13	2,490	32.0	1-11	3,420	39.0
200304010111	芝	左	2000	晴	良	15:30	赤倉特別 		2003-5-3	1	新潟	1	4歳以上1000万下	(混)(ハンデ)	4	1170	8	4.0	420	8.0	7.0	200	2.0	8.0	250	5.0	3-4	1990	9	4=>7	7540	36	4-7-8	9100	33			15-1-6,12(2,5,11)4(8,7,14)(10,9,13)-3	15,1-6,12(2,5,11)4(8,7,14)(10,9,13)3	12.6 - 11.0 - 11.5 - 12.1 - 12.6 - 12.6 - 12.2 - 11.7 - 11.1 - 11.5	12.6 - 23.6 - 35.1 - 47.2 - 59.8 - 72.4 - 84.6 - 96.3 - 107.4 - 118.9 (35.1-34.3)	4-7	3460.0	16.0	4-7	1,390	20.0	4-8	1,730	24.0	7-8	830	8.0
200304010112	芝	左	1800	晴	良	16:10	中ノ岳特別 		2003-5-3	1	新潟	1	4歳以上500万下	(混)(別定)	13	850	4	13.0	350	5.0	10.0	310	4.0	1.0	400	6.0	5-7	3150	14	13=>10	9680	34	1-10-13	12800	39			1,13,11(6,9,14)(10,16)(7,12)(8,15)=(3,5)-4,2	1,13,11(9,14,16)(6,10,12)(7,15)8=(3,5)-(2,4)	12.8 - 11.5 - 11.7 - 12.1 - 12.4 - 11.8 - 11.6 - 11.0 - 11.7	12.8 - 24.3 - 36.0 - 48.1 - 60.5 - 72.3 - 83.9 - 94.9 - 106.6 (36.0-34.3)	10-13	4490.0	18.0	10-13	1,650	17.0	1-13	1,790	19.0	1-10	1,520	16.0
200304010201	ダ	左	1800	晴	良	09:55	3歳未勝利		2003-5-4	1	新潟	2	3歳未勝利	[指](馬齢)	8	860	4	8.0	190	4.0	3.0	110	1.0	9.0	170	3.0	3-7	760	4	8=>3	2170	7	3-8-9	1400	3	8(4,9)7(1,5)3,6,2-10	8(4,9)(1,7)5,3-6,2,10	8,9(4,7)(1,3)(5,2)10-6	8(9,7)(4,3)(1,2)5,10-6	13.3 - 11.9 - 13.7 - 13.9 - 13.5 - 12.7 - 12.8 - 12.5 - 12.9	13.3 - 25.2 - 38.9 - 52.8 - 66.3 - 79.0 - 91.8 - 104.3 - 117.2 (38.9-38.2)	3-8	910.0	3.0	3-8	320	3.0	8-9	570	6.0	3-9	210	2.0
200304010202	芝	左	1800	晴	良	10:20	3歳未勝利		2003-5-4	1	新潟	2	3歳未勝利	[指](馬齢)	7	360	2	7.0	130	2.0	1.0	120	1.0	6.0	390	6.0	1-7	200	1	7=>1	910	2	1-6-7	1860	6			9,10(6,7,8)(4,3)(2,5)1	9(10,8)(6,7)(4,3)1(2,5)	13.2 - 12.1 - 12.5 - 12.6 - 13.7 - 13.2 - 12.0 - 10.8 - 11.3	13.2 - 25.3 - 37.8 - 50.4 - 64.1 - 77.3 - 89.3 - 100.1 - 111.4 (37.8-34.1)	1-7	390.0	1.0	1-7	180	1.0	6-7	1,020	13.0	1-6	590	8.0
200304010203	ダ	左	1800	晴	良	10:45	3歳未勝利		2003-5-4	1	新潟	2	3歳未勝利	[指](馬齢)	11	420	2	11.0	120	2.0	1.0	120	1.0	4.0	240	4.0	1-8	370	1	11=>1	1010	3	1-4-11	1170	2	(*1,2)-3,12(4,8)-(5,11,9)-7,6 10	1,2(3,12)(4,8)(11,9)5,7-6 10	(*1,2)(3,12,8)4,11(5,7,9)-6 10	1(2,12)(3,8)4,11,5(7,9)-6 10	13.0 - 11.2 - 13.1 - 14.2 - 13.8 - 13.0 - 13.2 - 13.1 - 12.8	13.0 - 24.2 - 37.3 - 51.5 - 65.3 - 78.3 - 91.5 - 104.6 - 117.4 (37.3-39.1)	1-11	410.0	1.0	1-11	180	1.0	4-11	550	5.0	1-4	330	4.0
200304010204	ダ	左	1200	晴	良	11:10	3歳未勝利		2003-5-4	1	新潟	2	3歳未勝利	(混)[指](馬齢)	11	610	4	11.0	200	5.0	12.0	130	1.0	5.0	190	3.0	6-7	1360	8	11=>12	3480	16	5-11-12	2480	9			12(6,11)(1,5)(7,14)(8,13)10-(2,9)-4-15=3	12,11(6,5)1(7,14)8,13-10,9,2=4=15=3	12.3 - 11.3 - 11.6 - 12.6 - 12.6 - 12.7	12.3 - 23.6 - 35.2 - 47.8 - 60.4 - 73.1 (35.2-37.9)	11-12	1370.0	6.0	11-12	460	7.0	5-11	700	10.0	5-12	450	6.0
200304010205	芝	左	1400	晴	良	11:35	3歳未勝利		2003-5-4	1	新潟	2	3歳未勝利	(混)[指](馬齢)	7	330	1	7.0	160	1.0	11.0	160	2.0	2.0	640	9.0	5-7	440	2	7=>11	1420	3	2-7-11	7840	27			8(7,9)(3,4)2(5,11)(6,10,12)(1,14)-13	(*8,7,9)(3,4)(5,2,11)6(10,12)(1,14)-13	12.2 - 10.7 - 10.8 - 12.0 - 12.3 - 12.4 - 12.5	12.2 - 22.9 - 33.7 - 45.7 - 58.0 - 70.4 - 82.9 (33.7-37.2)	7-11	890.0	2.0	7-11	330	2.0	2-7	1,740	21.0	2-11	2,450	31.0
200304010206	ダ	左	1800	晴	良	12:35	4歳以上500万下		2003-5-4	1	新潟	2	4歳以上500万下	牝[指](別定)	8	2760	8	8.0	690	9.0	14.0	170	3.0	4.0	250	4.0	5-8	510	1	8=>14	14000	43	4-8-14	13320	41	(*10,2,8)(1,4)3(6,7,13)5(9,14)(11,12)	10,2,8(1,4)(3,7,13)6-(5,14)9(11,12)	(*10,2,8)(1,4,13)(3,7,6)14-9,5-12-11	(*10,2,8,13)(1,4,6,14)(3,7)9-5-12=11	12.5 - 11.7 - 12.8 - 13.5 - 12.9 - 12.7 - 13.2 - 13.1 - 13.0	12.5 - 24.2 - 37.0 - 50.5 - 63.4 - 76.1 - 89.3 - 102.4 - 115.4 (37.0-39.3)	8-14	5670.0	17.0	8-14	1,800	17.0	4-8	1,970	21.0	4-14	680	7.0
200304010207	芝	左	2200	晴	良	13:05	4歳以上500万下		2003-5-4	1	新潟	2	4歳以上500万下	[指](別定)	8	2700	8	8.0	570	8.0	2.0	230	4.0	11.0	150	1.0	1-4	2620	12	8=>2	6840	29	2-8-11	10480	37	6(5,2,11)(1,3,12)8(7,10)-9(14,15)16-4-13	6-(5,2,11)(3,12)(1,8)(7,10)-14(16,9,15)-(13,4)	6,2(5,11)(1,3)(8,10,12)16,7-(14,15)=(13,4)9	6,2(5,11)(1,3,10)8(7,16,12)-(14,15)=(13,4)-9	12.5 - 11.6 - 12.2 - 13.0 - 12.8 - 12.9 - 12.6 - 12.3 - 12.0 - 12.1 - 11.5	12.5 - 24.1 - 36.3 - 49.3 - 62.1 - 75.0 - 87.6 - 99.9 - 111.9 - 124.0 - 135.5 (36.3-35.6)	2-8	5860.0	25.0	2-8	2,650	27.0	8-11	1,700	19.0	2-11	590	5.0
