	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200305010101	芝	左	2000	曇	良	10:00	3歳未勝利		2003-4-26	1	東京	1	3歳未勝利	[指](馬齢)	5	330	1	5	160	3	1	130	1	4.0	160	4.0	1-5	690	2	1-5	750.0	2.0	1-5	310	3.0	4-5	530	8.0	1-4	400	5.0	5=>1	1390	4	1-4-5	1560	5		3,5(1,8)(4,7)9(2,6)	3,5(1,7,8)4,9(2,6)	3,5,1(7,8)(4,9)(2,6)	13.5 - 12.4 - 12.4 - 12.3 - 12.8 - 13.0 - 12.9 - 12.0 - 11.4 - 11.5	13.5 - 25.9 - 38.3 - 50.6 - 63.4 - 76.4 - 89.3 - 101.3 - 112.7 - 124.2 (38.3-34.9)
200305010102	ダ	左	1600	曇	稍重	10:25	3歳未勝利		2003-4-26	1	東京	1	3歳未勝利	(混)[指](馬齢)	3	200	1	3	100	1	9	110	2	5.0	150	4.0	3-8	220	1	3-9	230.0	1.0	3-9	130	1.0	3-5	280	4.0	5-9	330	5.0	3=>9	400	1	3-5-9	580	2			(*3,2)(1,9)-(5,8)(4,6)-7	(*3,2)9,1(4,5)(6,8)-7	12.8 - 11.7 - 12.3 - 13.0 - 13.1 - 12.8 - 12.5 - 13.1	12.8 - 24.5 - 36.8 - 49.8 - 62.9 - 75.7 - 88.2 - 101.3 (36.8-38.4)
200305010103	ダ	左	1400	曇	稍重	10:50	3歳未勝利		2003-4-26	1	東京	1	3歳未勝利	(父)[指](馬齢)	16	2710	7	16	450	5	12	6,190	16	1.0	240	3.0	6-8	22730	31	12-16	196440.0	84.0	12-16	29,950	84.0	1-16	1,430	15.0	1-12	18,240	69.0	16=>12	361840	163	1-12-16	319770	246			(*3,11)13-7(1,9)(6,14)16(5,15)(8,12,2)-(4,10)	3(11,13)(1,7)16(5,9)12(6,14)(8,15)2-4=10	12.9 - 11.3 - 11.9 - 13.0 - 13.1 - 13.2 - 13.4	12.9 - 24.2 - 36.1 - 49.1 - 62.2 - 75.4 - 88.8 (36.1-39.7)
200305010104	ダ	左	1300	晴	良	11:20	3歳未勝利		2003-4-26	1	東京	1	3歳未勝利	[指](馬齢)	2	350	1	2	180	2	15	650	8	9.0	770	9.0	2-8	1230	6	2-15	4550.0	19.0	2-15	1,680	20.0	2-9	2,790	30.0	9-15	7,950	59.0	2=>15	6540	29	2-9-15	55370	136			2(1,3,7)(4,5,10)(11,8,13)(6,14)(12,15)-9	2(1,3,7)-4,11(8,13)(5,14)-(6,15)10-(12,9)	7.1 - 11.1 - 11.8 - 12.2 - 12.5 - 13.1 - 13.2	7.1 - 18.2 - 30.0 - 42.2 - 54.7 - 67.8 - 81.0 (30.0-38.8)
200305010105	障		3000	晴	良  ダート	11:50	障害4歳以上未勝利		2003-4-26	1	東京	1	障害4歳以上未勝利	(混)(定量)	13	150	1	13	110	1	4	330	7	2.0	170	2.0	3-8	510	1	4-13	1490.0	7.0	4-13	600	7.0	2-13	250	1.0	2-4	1,290	17.0	13=>4	1850	8	2-4-13	2420	7	1,3-2-8(14,13)6,9(4,5)=12=10=7-11	1,3(2,13)14(8,5)6(4,9)=12-10=7-11	(*1,2)-5-13-(3,4)-(8,14)6=10-12=7-11 9	(1,*2)-5,13,4=3(8,6)14=10=12=7-11 9		
200305010106	芝	左	1600	晴	良	12:50	3歳未勝利		2003-4-26	1	東京	1	3歳未勝利	[指](馬齢)	4	260	2	4	110	2	8	110	1	10.0	160	3.0	4-6	210	1	4-8	280.0	1.0	4-8	140	1.0	4-10	260	2.0	8-10	320	4.0	4=>8	520	1	4-8-10	680	2			4(2,11)8(3,10)(1,7,12)=5(9,6)	4(2,11)(3,8)10,12,7,1=(9,5,6)	12.4 - 10.7 - 11.3 - 11.9 - 12.2 - 11.5 - 11.4 - 12.3	12.4 - 23.1 - 34.4 - 46.3 - 58.5 - 70.0 - 81.4 - 93.7 (34.4-35.2)
200305010107	ダ	左	1600	晴	良	13:20	3歳500万下		2003-4-26	1	東京	1	3歳500万下	(混)(特指)(馬齢)	1	440	3	1	180	3	2	290	5	13.0	140	2.0	1-2	2430	12	1-2	2540.0	11.0	1-2	1,010	15.0	1-13	420	3.0	2-13	1,070	17.0	1=>2	4370	18	1-2-13	4540	17			7(1,10,12)(2,8)(13,11)3,14(6,5)(4,9)	7(1,10,12)(2,8)13-11,6,3,14,4(5,9)	12.6 - 11.7 - 11.9 - 12.6 - 13.1 - 12.7 - 12.6 - 12.7	12.6 - 24.3 - 36.2 - 48.8 - 61.9 - 74.6 - 87.2 - 99.9 (36.2-38.0)
200305010108	ダ	左	1600	晴	良	13:55	4歳以上500万下		2003-4-26	1	東京	1	4歳以上500万下	[指](別定)	2	270	1	2	120	1	14	130	2	1.0	170	4.0	1-7	370	1	2-14	460.0	1.0	2-14	200	1.0	1-2	380	4.0	1-14	530	7.0	2=>14	730	1	1-2-14	1250	2			11,14(2,15)4(1,12)-6(3,9)-5,10,8(16,13)-7	11,14(2,15)(1,4,12)6,3-(5,9)(10,16,13)8-7	12.8 - 11.1 - 11.8 - 12.5 - 12.4 - 12.7 - 12.5 - 13.3	12.8 - 23.9 - 35.7 - 48.2 - 60.6 - 73.3 - 85.8 - 99.1 (35.7-38.5)
200305010109	芝	左	2300	晴	良	14:30	新緑賞 		2003-4-26	1	東京	1	3歳500万下	(混)(特指)(馬齢)	13	2750	8	13	520	8	2	130	1	12.0	130	2.0	1-7	2610	10	2-13	3150.0	13.0	2-13	1,590	20.0	12-13	1,110	13.0	2-12	240	1.0	13=>2	12560	40	2-12-13	4240	11	(5,*9)(4,7,15)(1,6,16)8-(2,11,13)(12,3,10,14)	9(5,7)(4,6,15)(1,8,16)(11,13)2(12,10,14)3	6(7,15)9,5(8,16)(4,11)13(1,2,14)(12,3,10)	(*6,7)15(9,5,16)(4,11,8,13)14(1,2)(3,10)12	7.0 - 11.2 - 11.7 - 12.9 - 13.1 - 13.4 - 13.2 - 13.2 - 12.8 - 11.7 - 11.6 - 11.7	7.0 - 18.2 - 29.9 - 42.8 - 55.9 - 69.3 - 82.5 - 95.7 - 108.5 - 120.2 - 131.8 - 143.5 (29.9-35.0)
200305010110	芝	左	1600	晴	良	15:05	高尾特別 		2003-4-26	1	東京	1	4歳以上1000万下	(混)[指](別定)	11	260	1	11	130	1	7	140	2	1.0	200	5.0	4-6	550	2	7-11	560.0	1.0	7-11	240	1.0	1-11	560	7.0	1-7	570	8.0	11=>7	950	1	1-7-11	1240	3			18,4(1,2)6,8(5,11,7,12)14(17,16)-15,13(3,10,9)	(*18,4)(1,2)6,8(5,7,12)(11,14)17(15,16,13)10,3,9	12.3 - 10.9 - 11.6 - 11.7 - 11.8 - 11.5 - 11.4 - 11.7	12.3 - 23.2 - 34.8 - 46.5 - 58.3 - 69.8 - 81.2 - 92.9 (34.8-34.6)
