	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200306010101	ダ	右	1200	晴	重	10:00	3歳未勝利		2003-1-5	1	中山	1	3歳未勝利	(混)[指](馬齢)	12	1000	2	12	280	3	11	210	2	6.0	370	5.0	6-6	2900	8	11-12	2670.0	9.0	11-12	840	8.0	6-12	1,610	15.0	6-11	790	7.0	12=>11	6440	19	6-11-12	7620	24			2(10,12)11,6(15,16)(9,3,13)(7,14)(1,8)-4,5	(2,*12)-(10,11)6-15-16(9,3,13)(7,14,8)1,4,5	12.4 - 10.5 - 11.4 - 12.4 - 12.8 - 13.6	12.4 - 22.9 - 34.3 - 46.7 - 59.5 - 73.1 (34.3-38.8)
200306010102	ダ	右	1800	晴	重	10:25	3歳未勝利		2003-1-5	1	中山	1	3歳未勝利	[指](馬齢)	11	390	2	11	130	2	10	190	4	16.0	110	1.0	5-6	1180	6	10-11	1500.0	5.0	10-11	470	5.0	11-16	210	1.0	10-16	410	4.0	11=>10	2540	9	10-11-16	1290	2	16,9(8,10,12)7(2,6,13,15)(1,3,4)(5,11,14)	16(9,10,12)8-7,2(6,13,15)(4,11)(1,3,5,14)	16,9(8,10)(11,12)(13,15,4)-(7,5)(2,6,14)(1,3)	16(8,9,10)11-(13,15)5,4(7,6,12)-1-(2,14,3)	12.8 - 12.1 - 12.7 - 13.0 - 12.7 - 13.0 - 13.3 - 13.2 - 13.2	12.8 - 24.9 - 37.6 - 50.6 - 63.3 - 76.3 - 89.6 - 102.8 - 116.0 (37.6-39.7)
200306010103	ダ	右	1200	晴	重	10:50	3歳新馬		2003-1-5	1	中山	1	3歳新馬	[指](馬齢)	6	1560	7	6	440	7	16	390	5	12.0	3,570	14.0	3-8	2730	9	6-16	5620.0	20.0	6-16	1,590	20.0	6-12	19,380	86.0	12-16	14,900	77.0	6=>16	14740	48	6-12-16	302270	283			(*7,13)6(9,11,16)2,15,8(3,4,12)14-(1,5,10)	(*7,13)(6,16)=(11,2)(4,12)(9,3)(8,5,15)1,14-10	12.4 - 11.1 - 11.8 - 12.7 - 13.1 - 12.9	12.4 - 23.5 - 35.3 - 48.0 - 61.1 - 74.0 (35.3-38.7)
200306010104	ダ	右	1800	晴	重	11:20	3歳新馬		2003-1-5	1	中山	1	3歳新馬	[指](馬齢)	6	380	2	6	140	1	8	380	6	10.0	200	3.0	3-4	1660	8	6-8	3380.0	14.0	6-8	1,120	11.0	6-10	510	3.0	8-10	1,690	20.0	6=>8	4820	19	6-8-10	5860	16	(2,*7,9)(1,10,11,14,16)-6(12,15)(5,13)-4-(3,8)	(*2,7,9)(1,10,14,16)11(6,12,15)(5,13)-(4,8)3	(2,7,*9)(10,14,16,15)(1,6)(11,12,13)(4,3,5,8)	(9,16,*15)(2,10,6)7,1(3,14,13)(4,12)(11,8)5	13.0 - 11.8 - 13.4 - 13.5 - 13.1 - 13.1 - 13.4 - 13.7 - 13.3	13.0 - 24.8 - 38.2 - 51.7 - 64.8 - 77.9 - 91.3 - 105.0 - 118.3 (38.2-40.4)
200306010105	ダ	右	1800	晴	重	11:50	3歳新馬		2003-1-5	1	中山	1	3歳新馬	(混)[指](馬齢)	15	910	3	15	260	3	5	140	1	16.0	750	10.0	3-8	610	4	5-15	1170.0	3.0	5-15	480	2.0	15-16	4,070	46.0	5-16	1,550	16.0	15=>5	3340	11	5-15-16	13260	41	5,12(6,16)(8,11)3(4,14)15(1,2,7,13)-10,9	5,12,6(8,16)(3,11)(4,14)(1,15,13)(2,7)(9,10)	(*5,12)16(6,8,11)(3,4,15)(14,7,13)(1,10)9=2	(*5,12,16)(6,8,11)15,7(3,4,13)10(1,9)14-2	13.1 - 12.1 - 13.7 - 14.7 - 13.5 - 13.2 - 13.3 - 12.7 - 12.6	13.1 - 25.2 - 38.9 - 53.6 - 67.1 - 80.3 - 93.6 - 106.3 - 118.9 (38.9-38.6)
200306010106	ダ	右	1200	曇	重	12:50	3歳500万下		2003-1-5	1	中山	1	3歳500万下	(混)(特指)(馬齢)	8	180	1	8	120	1	9	180	3	15.0	300	4.0	4-5	640	2	8-9	690.0	2.0	8-9	300	2.0	8-15	730	4.0	9-15	1,730	18.0	8=>9	1030	3	8-9-15	3660	9			(*8,13,15)(6,16)(5,14)(3,10,9,11)1(2,4)12=7	(*8,15)6(13,16,9,11)(5,14)(3,10)(1,4)2,12=7	12.1 - 10.8 - 11.6 - 12.3 - 12.4 - 13.0	12.1 - 22.9 - 34.5 - 46.8 - 59.2 - 72.2 (34.5-37.7)
200306010107	ダ	右	2400	曇	重	13:20	4歳以上500万下		2003-1-5	1	中山	1	4歳以上500万下	(混)[指](別定)	11	2670	6	11	470	6	15	110	1	1.0	260	4.0	6-8	1370	5	11-15	1740.0	6.0	11-15	780	7.0	1-11	2,380	24.0	1-15	460	3.0	11=>15	6750	20	1-11-15	5170	17	(*12,15,7)-10,5(8,4)(3,9,2)(14,6,1)-(11,13)	12(15,7)10(5,4)8(3,2)1(14,9,11)6,13	11(12,15)-(5,1)(3,8,2)(7,4)(14,10,6)(13,9)	11,15,1-5(12,8,2)3-(14,6)-(13,7,10)(4,9)	13.0 - 11.7 - 12.8 - 13.5 - 13.9 - 13.7 - 13.8 - 13.1 - 12.2 - 12.9 - 13.0 - 13.9	13.0 - 24.7 - 37.5 - 51.0 - 64.9 - 78.6 - 92.4 - 105.5 - 117.7 - 130.6 - 143.6 - 157.5 (37.5-39.8)
200306010108	ダ	右	1200	曇	重	13:50	4歳以上500万下		2003-1-5	1	中山	1	4歳以上500万下	牝[指](別定)	14	13880	15	14	2,160	14	8	200	2	11.0	460	7.0	4-7	5710	21	8-14	39540.0	68.0	8-14	9,080	70.0	11-14	13,890	90.0	8-11	1,900	18.0	14=>8	117790	150	8-11-14	190790	281			(*10,7,16)13(9,11,15)(5,6)-14(2,8,12)(3,4)1	(*10,7,16)13(11,15)6(9,5,14)(2,8)(1,3,4)12	11.8 - 10.7 - 11.3 - 12.4 - 13.1 - 13.5	11.8 - 22.5 - 33.8 - 46.2 - 59.3 - 72.8 (33.8-39.0)
200306010109	芝	右	1600	曇	良	14:25	ジュニアカップ 		2003-1-5	1	中山	1	3歳オープン	(混)(特指)(別定)	8	1810	7	8	370	7	11	170	2	3.0	130	1.0	5-7	1650	6	8-11	3730.0	15.0	8-11	1,230	16.0	3-8	890	10.0	3-11	340	1.0	8=>11	10090	37	3-8-11	2980	9		(7,8,*14)(1,4,13)(6,9)(2,5,12)(3,10)11	(*8,14)13(7,6)(4,12)(1,5,3,10)11(2,9)	8(14,13)(7,6,12,11)10(1,4,5,3)(2,9)	12.5 - 11.0 - 11.5 - 11.6 - 12.2 - 12.2 - 12.1 - 12.5	12.5 - 23.5 - 35.0 - 46.6 - 58.8 - 71.0 - 83.1 - 95.6 (35.0-36.8)
200306010110	芝	右	2000	曇	良	15:00	初日の出賞 		2003-1-5	1	中山	1	4歳以上1000万下	(混)[指](別定)	9	1050	4	9	290	4	1	590	8	16.0	370	5.0	1-5	4470	18	1-9	10590.0	33.0	1-9	3,010	33.0	9-16	1,820	18.0	1-16	2,660	29.0	9=>1	20070	57	1-9-16	32960	91	12-1(4,11)(3,9,14)(10,15)(5,7,16)8(2,6,13)	12,1-(4,11)14(3,9)15(10,16)7(5,8)(2,6,13)	(*12,1)(4,11,14)(3,9,15)(7,16)(10,8)(5,6,13)2	(*12,1)11(4,9,14,15)(3,16,8)(10,7,6,13)(5,2)	12.6 - 11.6 - 12.7 - 13.0 - 12.6 - 12.1 - 12.2 - 12.0 - 11.9 - 11.8	12.6 - 24.2 - 36.9 - 49.9 - 62.5 - 74.6 - 86.8 - 98.8 - 110.7 - 122.5 (36.9-35.7)
