	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200307010101	ダ	左	1000	晴	不良	09:55	3歳未勝利		2003-3-8	1	中京	1	3歳未勝利	[指](馬齢)	5	270	1	5	100	1	2	110	2	3	120	3	1-3	390	2	2-5	460	1	2-5	200	3	3-5	190	2	2-3	280	4	5=>2	880	2	2-3-5	430	1			(*2,5)12(3,14)11(9,16)15-(6,8,10)(7,13)(1,4)	2,5(3,12)14-(9,11)-(15,16)(8,10)6(1,4,7)13	12.5 - 10.8 - 12.1 - 12.3 - 12.4	12.5 - 23.3 - 35.4 - 47.7 - 60.1 (35.4-36.8)
200307010102	ダ	左	1700	晴	不良	10:20	3歳未勝利		2003-3-8	1	中京	1	3歳未勝利	[指](馬齢)	6	360	2	6	140	2	12	120	1	10	200	4	3-6	280	1	6-12	560	1	6-12	150	1	6-10	380	4	10-12	510	5	6=>12	920	1	6-10-12	1310	2	7,12(4,10,11)5(1,6)3,16-2,8(9,14,13)-15	(*7,12)(4,10,11)(1,5)6-3-16-2-8(9,14,13)-15	(*12,11)(10,6)7(4,1)-(5,3)-16-(14,13)-2-(9,8,15)	(*12,11)(10,6)(4,1)-(7,5)3-16(14,13)2=(8,15)9	7.0 - 11.3 - 11.8 - 12.8 - 12.4 - 12.6 - 13.3 - 13.6 - 12.7	7.0 - 18.3 - 30.1 - 42.9 - 55.3 - 67.9 - 81.2 - 94.8 - 107.5 (30.1-39.6)
200307010103	ダ	左	1000	晴	重	10:45	3歳未勝利		2003-3-8	1	中京	1	3歳未勝利	牝[指](馬齢)	16	1170	4	16	370	5	12	210	3	15	1,420	11	6-8	2510	7	12-16	5480	18	12-16	1,440	15	15-16	12,600	63	12-15	5,020	40	16=>12	11170	34	12-15-16	71450	137			16-12(10,14)(5,15)13(4,6,9)(3,7)(1,2,11)=8	16-12(10,14)15,5(6,13)4(3,9)(1,7)-(2,11)=8	12.5 - 10.7 - 11.9 - 12.6 - 13.0	12.5 - 23.2 - 35.1 - 47.7 - 60.7 (35.1-37.5)
200307010104	芝	左	1800	晴	稍重	11:15	3歳未勝利		2003-3-8	1	中京	1	3歳未勝利	(混)[指](馬齢)	5	360	1	5	130	1	12	200	3	13	180	2	3-6	720	1	5-12	920	1	5-12	300	1	5-13	430	4	12-13	720	7	5=>12	1510	1	5-12-13	2370	4	(*2,3)(1,6)(7,12)(5,13)11(4,15)(10,9,16)8-14	(*2,3)(1,6,12)(5,7)(4,13)(11,15)(10,16)9(8,14)	(2,*3,12)(1,6,7)13(5,4,15,16)(9,11)8(10,14)	(*2,3)(1,6,12)7,5(4,13)(9,16)(11,15)-8(10,14)	12.4 - 11.8 - 13.1 - 13.4 - 12.7 - 12.4 - 11.9 - 12.2 - 12.1	12.4 - 24.2 - 37.3 - 50.7 - 63.4 - 75.8 - 87.7 - 99.9 - 112.0 (37.3-36.2)
200307010105	ダ	左	1000	晴	重	11:45	4歳以上500万下		2003-3-8	1	中京	1	4歳以上500万下	[指](別定)	4	2250	9	4	580	11	5	650	13	6	150	1	2-3	1640	6	4-5	43380	92	4-5	10,150	88	4-6	1,300	11	5-6	2,080	20	4=>5	85610	181	4-5-6	37010	132			4,9(12,13)5(3,10,16)(6,8,11)2(1,14)(7,15)	4,9,12(5,13)(3,6,10)(8,16)(2,11,14)1(7,15)	12.2 - 10.7 - 11.7 - 12.3 - 12.6	12.2 - 22.9 - 34.6 - 46.9 - 59.5 (34.6-36.6)
200307010106	ダ	左	1700	晴	重	12:45	4歳以上500万下		2003-3-8	1	中京	1	4歳以上500万下	(父)[指](別定)	5	2560	9	5	930	13	9	150	1	7	240	3	3-5	1290	4	5-9	5130	21	5-9	1,770	21	5-7	2,860	33	7-9	540	2	5=>9	13760	49	5-7-9	10660	30	(*5,13)(9,11)(3,4)7(8,10)(12,15)6,2,16,1-14	(*5,13)9(3,4,11)-7,8(12,10)15,6,2(1,16)-14	5,9,13(3,4,11)(8,7)(6,15)(12,10)(1,2)-16,14	5,9-13,4(3,11,7)(8,6)(10,15)(1,2)(12,16)14	7.2 - 11.1 - 11.9 - 13.0 - 12.8 - 12.6 - 12.7 - 12.7 - 13.1	7.2 - 18.3 - 30.2 - 43.2 - 56.0 - 68.6 - 81.3 - 94.0 - 107.1 (30.2-38.5)
200307010107	芝	左	2500	晴	良	13:15	4歳以上500万下		2003-3-8	1	中京	1	4歳以上500万下	(混)[指](別定)	10	370	2	10	130	2	7	130	1	12	420	7	4-5	430	1	7-10	450	1	7-10	200	1	10-12	1,070	11	7-12	1,150	14	10=>7	890	2	7-10-12	3060	7	16,15(5,14)9(3,10)12(7,6)(2,4,11)-(13,1) 8	16,15(5,14)9(3,10)(7,12)6(2,4)(13,11)1 8	16(14,10)5(15,7,12)(9,1)6(3,2,4)(13,11) 8	(*16,10)(14,7,12,1)(5,6)-(15,2,9,4)(13,11)3 8	7.0 - 11.8 - 12.0 - 12.2 - 11.9 - 12.3 - 13.0 - 12.6 - 12.3 - 12.4 - 12.6 - 12.3 - 12.6	7.0 - 18.8 - 30.8 - 43.0 - 54.9 - 67.2 - 80.2 - 92.8 - 105.1 - 117.5 - 130.1 - 142.4 - 155.0 (30.8-37.5)
200307010108	ダ	左	1000	晴	重	13:50	4歳以上500万下		2003-3-8	1	中京	1	4歳以上500万下	(混)[指](別定)	16	710	4	16	240	3	11	370	6	8	200	2	6-8	1280	7	11-16	2870	10	11-16	1,470	17	8-16	670	5	8-11	700	6	16=>11	7090	28	8-11-16	5810	14			16-(8,11,12)15(1,13,14)(5,9)(10,6)3(4,7)2	16=(8,11)12(1,13,15)14(5,10,6,9)(3,7)4-2	12.1 - 10.3 - 11.2 - 11.8 - 13.3	12.1 - 22.4 - 33.6 - 45.4 - 58.7 (33.6-36.3)
200307010109	芝	左	1800	晴	良	14:25	あざみ賞 		2003-3-8	1	中京	1	3歳500万下	(混)(特指)(馬齢)	8	10120	15	8	2,810	14	6	840	6	13	1,140	7	4-5	1700	6	6-8	91790	88	6-8	20,390	88	8-13	17,660	83	6-13	9,400	59	8=>6	270430	182	6-8-13	606970	375	(*8,11)(7,13)(6,12,14)9(4,15)(1,3,10)(2,5)	(*8,11)(6,7,13)(12,14)9(4,15)(3,10)1(2,5)	8,13(6,12)(11,14)(9,7,3,15)(1,10)(4,5)-2	(*8,13)(6,12,15)(9,7,3)(14,10)(1,5)4(11,2)	12.4 - 11.5 - 12.4 - 12.5 - 12.3 - 12.0 - 12.3 - 12.5 - 12.3	12.4 - 23.9 - 36.3 - 48.8 - 61.1 - 73.1 - 85.4 - 97.9 - 110.2 (36.3-37.1)
200307010110	芝	左	1200	晴	良	14:55	岡崎特別 		2003-3-8	1	中京	1	4歳以上500万下	牝[指](別定)	5	600	2	5	220	2	15	320	4	3	1,260	13	3-8	790	3	5-15	2860	8	5-15	1,290	10	3-5	4,000	45	3-15	7,680	81	5=>15	4980	14	3-5-15	58740	184			5,12(4,13)(9,16)(2,15)(6,7)(10,11)-(8,14)3-1	5-(4,12,13)(2,9)(6,15,16,11)(7,10)(3,8)14-1	12.0 - 10.6 - 11.1 - 11.7 - 12.2 - 12.6	12.0 - 22.6 - 33.7 - 45.4 - 57.6 - 70.2 (33.7-36.5)
