	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200308010101	ダ	右	1200	晴	不良	10:05	3歳未勝利		2003-1-5	1	京都	1	3歳未勝利	牝[指](馬齢)	9	1420	5	9	370	5	7	4,300	15	10.0	540	7.0	4-5	1230	5	7-9	99170.0	88.0	7-9	19,220	87.0	9-10	1,590	18.0	7-10	36,380	112.0	9=>7	207830	168	7-9-10	472430	372			12(5,6,8)(7,9)(15,16)(1,4,11,14)10(3,13)=2	12-5(7,6,8)9(4,16)(11,14)15(1,3,10,13)-2	12.8 - 11.3 - 12.1 - 12.3 - 13.2 - 12.5	12.8 - 24.1 - 36.2 - 48.5 - 61.7 - 74.2 (36.2-38.0)
200308010102	ダ	右	1800	晴	不良	10:30	3歳未勝利		2003-1-5	1	京都	1	3歳未勝利	(混)[指](馬齢)	2	450	3	2	150	2	7	300	6	9.0	130	1.0	1-4	2170	12	2-7	2250.0	9.0	2-7	740	8.0	2-9	290	1.0	7-9	680	6.0	2=>7	3980	16	2-7-9	2830	5	1,2(4,5,6)-9,10(3,8,11)(7,13,16)14,12,15	1,2(4,5,6)-9,10-(3,8,11,13)16,7,14,12,15	(*1,2)4,9,10,11(5,6,8)(3,7)(12,14,13,16)-15	2(1,4)9(8,11)(10,7)=(6,14)(5,3,13)12(15,16)	12.2 - 10.9 - 12.2 - 12.6 - 12.9 - 13.2 - 13.0 - 13.5 - 12.5	12.2 - 23.1 - 35.3 - 47.9 - 60.8 - 74.0 - 87.0 - 100.5 - 113.0 (35.3-39.0)
200308010103	ダ	右	1200	晴	不良	10:55	3歳新馬		2003-1-5	1	京都	1	3歳新馬	[指](馬齢)	4	420	2	4	140	2	2	120	1	1.0	540	8.0	1-2	370	1	2-4	430.0	1.0	2-4	210	1.0	1-4	1,190	16.0	1-2	860	10.0	4=>2	1010	2	1-2-4	2420	5			(*7,4)(6,2)(9,13)1-12(8,15)(10,16)14,3=5-11	(*7,4)2-(6,13)1-(9,15)12,10,16(8,14)3,5,11	13.0 - 11.4 - 12.7 - 12.5 - 12.8 - 12.6	13.0 - 24.4 - 37.1 - 49.6 - 62.4 - 75.0 (37.1-37.9)
200308010104	ダ	右	1800	晴	不良	11:25	3歳新馬		2003-1-5	1	京都	1	3歳新馬	[指](馬齢)	10	3050	8	10	880	10	9	810	9	13.0	280	4.0	5-5	18030	32	9-10	22480.0	55.0	9-10	4,920	50.0	10-13	3,510	37.0	9-13	3,370	35.0	10=>9	54320	113	9-10-13	74910	172	12(7,14,11)9(8,13)(5,16)(4,15)-2(6,1)-(3,10)	12,14(7,11)(9,13)8(5,15)(4,16)1-2-6,10,3	(12,*14,11)(7,9)13(5,8,1)-4,15(16,10)-3=2,6	(12,*14)11,9,13,1(7,5)10,4,8-3,15,16=(6,2)	12.3 - 11.2 - 13.3 - 13.6 - 12.9 - 12.7 - 12.5 - 13.1 - 13.2	12.3 - 23.5 - 36.8 - 50.4 - 63.3 - 76.0 - 88.5 - 101.6 - 114.8 (36.8-38.8)
200308010105	芝	右	1600	晴	良	11:55	3歳新馬		2003-1-5	1	京都	1	3歳新馬	(混)[指](馬齢)	4	980	5	4	230	4	7	150	1	8.0	470	8.0	3-4	610	2	4-7	1090.0	3.0	4-7	490	4.0	4-8	1,800	21.0	7-8	1,080	14.0	4=>7	2890	9	4-7-8	5580	18			7-3(2,6,14)12,4(8,11)(1,5,13)9,10,15	7-3,6(2,4)(1,8,12)14(5,13,11)(10,9)=15	12.5 - 11.5 - 11.9 - 12.2 - 12.2 - 12.0 - 12.0 - 12.3	12.5 - 24.0 - 35.9 - 48.1 - 60.3 - 72.3 - 84.3 - 96.6 (35.9-36.3)
200308010106	ダ	右	1200	晴	不良	12:55	3歳500万下		2003-1-5	1	京都	1	3歳500万下	(混)(特指)(馬齢)	4	130	1	4	100	1	2	330	7	3.0	260	5.0	1-2	480	1	2-4	1200.0	6.0	2-4	540	6.0	3-4	400	5.0	2-3	2,090	22.0	4=>2	1540	6	2-3-4	3390	14			1(4,16)(2,3)(9,7)11(10,14)12(13,15)(5,6) 8	(*1,4)(2,3,16)-9,7(10,11)14(13,15)(5,6)12 8	12.7 - 11.0 - 11.8 - 12.1 - 12.3 - 12.3	12.7 - 23.7 - 35.5 - 47.6 - 59.9 - 72.2 (35.5-36.7)
200308010107	ダ	右	1400	晴	不良	13:25	4歳以上500万下		2003-1-5	1	京都	1	4歳以上500万下	(混)[指](別定)	3	1530	5	3	270	5	7	120	1	5.0	120	2.0	2-4	1930	7	3-7	2040.0	6.0	3-7	600	6.0	3-5	670	7.0	5-7	160	1.0	3=>7	6630	19	3-5-7	1150	3			(1,*5,7)14(3,9)8(2,4,13,16,12)(10,15)(6,11)	(*5,7)14(1,3,9)(8,12)(2,4,16)(13,15)11,10,6	12.5 - 11.3 - 12.1 - 12.5 - 12.4 - 12.4 - 12.5	12.5 - 23.8 - 35.9 - 48.4 - 60.8 - 73.2 - 85.7 (35.9-37.3)
200308010108	ダ	右	1800	晴	不良	14:00	4歳以上500万下		2003-1-5	1	京都	1	4歳以上500万下	(混)[指](別定)	5	330	1	5	150	1	7	1,090	11	14.0	330	5.0	3-4	4060	16	5-7	10390.0	36.0	5-7	3,160	38.0	5-14	900	6.0	7-14	5,990	57.0	5=>7	17240	65	5-7-14	35940	102	1,6,9(4,12)5,10,14,16(11,15)(2,7)-13,3-8	1,6,9(4,12)5,10(15,14)(11,16)2,7-13,3-8	(*1,6)9(4,5,12)(10,14,16)(15,2)11(13,7)3=8	(*1,6)(4,5,9)(12,14)(15,10)(11,2,16)13,7-3=8	12.3 - 10.9 - 12.3 - 12.9 - 12.8 - 12.7 - 12.8 - 12.6 - 12.7	12.3 - 23.2 - 35.5 - 48.4 - 61.2 - 73.9 - 86.7 - 99.3 - 112.0 (35.5-38.1)
200308010109	芝	右	2200	晴	良	14:35	初夢賞 		2003-1-5	1	京都	1	4歳以上1000万下	(混)[指](別定)	8	710	3	8	220	3	2	360	5	12.0	220	4.0	1-4	290	1	2-8	3180.0	11.0	2-8	1,260	13.0	8-12	760	7.0	2-12	1,330	15.0	8=>2	5220	19	2-8-12	6720	20	2,15,1(14,16)(4,12)(7,13)(3,11)(6,10)-9,8-5	2,15,1(14,16)(4,12)(7,13)11(3,10)6,9-8-5	8,2(1,15,16)(12,9)(4,13,10)(14,7,11)-(3,6)5	8,2(1,16)(15,9)12(4,7,10)13,11(14,6)(3,5)	12.7 - 10.6 - 12.1 - 12.5 - 13.0 - 13.4 - 12.2 - 11.9 - 11.4 - 11.3 - 11.8	12.7 - 23.3 - 35.4 - 47.9 - 60.9 - 74.3 - 86.5 - 98.4 - 109.8 - 121.1 - 132.9 (35.4-34.5)
200308010110	ダ	右	1800	晴	不良	15:10	雅ステークス 		2003-1-5	1	京都	1	4歳以上1600万下	(混)[指](別定)	10	7310	11	10	1,270	10	12	220	2	4.0	240	3.0	5-6	8590	23	10-12	22790.0	41.0	10-12	6,330	45.0	4-10	6,400	47.0	4-12	620	5.0	10=>12	71570	98	4-10-12	29170	72	1(10,16)(4,7,11,13)(2,8)3(12,15)(6,14)-(5,9)	1(10,16)(4,7,13)11,2,8,12(3,15,14)-6-(5,9)	(*1,10)(4,16)(7,13,12)11(2,8,5)15(14,6)9,3	(1,*10)12(4,7)16(2,5)11(15,13,8)6,9,3-14	12.1 - 11.0 - 12.6 - 12.7 - 12.8 - 12.7 - 12.4 - 12.1 - 12.2	12.1 - 23.1 - 35.7 - 48.4 - 61.2 - 73.9 - 86.3 - 98.4 - 110.6 (35.7-36.7)
200308010111	芝	右	1600	晴	良	15:45	スポニチ賞京都金杯	G3	2003-1-5	1	京都	1	4歳以上オープン	(混)[指](ハンデ)	7	580	3	7	210	3	8	230	4	2.0	310	6.0	4-4	2700	9	7-8	2250.0	11.0	7-8	850	11.0	2-7	1,050	12.0	2-8	1,360	15.0	7=>8	4040	16	2-7-8	9010	23			6-4(5,12)(8,13,14,15)(1,9,10)(2,11)(3,16)7	(*4,15)(5,8)(12,13,14)(1,9,10)(2,11,16)3(6,7)	12.3 - 10.5 - 11.8 - 12.2 - 12.1 - 11.6 - 11.5 - 11.7	12.3 - 22.8 - 34.6 - 46.8 - 58.9 - 70.5 - 82.0 - 93.7 (34.6-34.8)
200308010112	ダ	右	1800	晴	不良	16:20	4歳以上1000万下		2003-1-5	1	京都	1	4歳以上1000万下	[指](別定)	3	490	2	3	210	2	10	350	4	4.0	1,290	12.0	2-5	2520	12	3-10	2460.0	9.0	3-10	950	8.0	3-4	3,940	41.0	4-10	4,930	52.0	3=>10	4580	13	3-4-10	38600	111	4(10,7)(1,13,15)(8,11,14)(3,5,9)12,16-6-2	4(10,7)-(1,13,15)(8,11)(3,14)5,9,12,16-6-2	4,10(1,11,7,15)(3,8,12)14,13(9,5,16,6)=2	(*4,10)-(1,11,15)(3,12)7(8,14)(9,5,6)16,2-13	12.1 - 11.5 - 12.2 - 12.5 - 12.4 - 12.9 - 12.6 - 12.5 - 13.2	12.1 - 23.6 - 35.8 - 48.3 - 60.7 - 73.6 - 86.2 - 98.7 - 111.9 (35.8-38.3)
