	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200309010101	ダ	右	1800	雨	良	10:05	3歳未勝利		2003-3-1	1	阪神	1	3歳未勝利	(混)[指](馬齢)	1	420	2	1	150	2	14	260	5	13.0	780	9.0	1-7	1280	6	1-14	1530.0	6.0	1-14	490	3.0	1-13	2,420	29.0	13-14	3,070	32.0	1=>14	2790	9	1-13-14	14320	48	10,14-(13,16)4-(3,5)(11,15)1,8(2,9)(7,12)6	10,14-(13,16)-4-5(3,11)(1,15)-(2,8)9(7,12)6	10,14(13,16,3)(4,5)1(2,8,11)(12,15)(7,9)6	10,14(13,16,3)-(2,1,4)5(8,11)12(6,9)7-15	12.8 - 11.2 - 13.0 - 13.2 - 13.5 - 13.2 - 12.9 - 13.0 - 13.2	12.8 - 24.0 - 37.0 - 50.2 - 63.7 - 76.9 - 89.8 - 102.8 - 116.0 (37.0-39.1)
200309010102	ダ	右	1800	雨	稍重	10:30	3歳新馬		2003-3-1	1	阪神	1	3歳新馬	牝[指](馬齢)	3	430	2	3	220	2	9	410	8	15.0	250	3.0	2-5	660	1	3-9	4220.0	16.0	3-9	1,570	17.0	3-15	860	8.0	9-15	1,980	25.0	3=>9	7800	30	3-9-15	12680	43	15(6,12,10)9(3,16)4(2,11,14)(7,13)(1,5) 8	15(12,10)(6,9)-(3,16)4(2,11)14-(7,13,5)1 8	15(10,9)(12,6)4,3(16,11)2,14-5-(7,13)-1 8	15(10,9)-6-(3,4)(16,11)(12,2)-5-14(7,13)-1 8	12.9 - 11.5 - 13.2 - 12.8 - 13.3 - 12.9 - 13.0 - 12.8 - 13.7	12.9 - 24.4 - 37.6 - 50.4 - 63.7 - 76.6 - 89.6 - 102.4 - 116.1 (37.6-39.5)
200309010103	ダ	右	1200	雨	稍重	10:55	3歳新馬		2003-3-1	1	阪神	1	3歳新馬	(混)[指](馬齢)	15	200	1	15	110	1	5	140	2	1.0	300	5.0	3-8	290	1	5-15	350.0	1.0	5-15	140	1.0	1-15	600	6.0	1-5	830	10.0	15=>5	570	1	1-5-15	1580	3			(1,*7)12,8(2,13)(3,5,15)(4,14,16)(6,11)-10=9	(*1,7)-8(12,15)(5,13)2(14,16)11(3,4)6-10=9	12.8 - 11.6 - 12.0 - 12.0 - 12.7 - 13.5	12.8 - 24.4 - 36.4 - 48.4 - 61.1 - 74.6 (36.4-38.2)
200309010104	ダ	右	1400	雨	稍重	11:25	3歳未勝利		2003-3-1	1	阪神	1	3歳未勝利	牝[指](馬齢)	4	600	3	4	170	2	15	240	6	14.0	210	3.0	3-8	1060	5	4-15	2780.0	14.0	4-15	1,110	15.0	4-14	520	5.0	14-15	790	12.0	4=>15	6780	31	4-14-15	5060	17			(1,*14)15,7(2,13,12)10(4,8,11)-3-9,5,6	(1,*14)15-(7,13,12)(2,10,8)4(3,9,11)6,5	12.5 - 11.2 - 11.6 - 12.5 - 12.9 - 13.1 - 13.7	12.5 - 23.7 - 35.3 - 47.8 - 60.7 - 73.8 - 87.5 (35.3-39.7)
200309010105	障		3140	雨	良  ダート	12:00	障害4歳以上オープン		2003-3-1	1	阪神	1	障害4歳以上オープン	(混)(別定)	6	3620	10	6	590	10	1	170	1	5.0	200	4.0	1-5	1040	6	1-6	8330.0	30.0	1-6	2,080	29.0	5-6	1,770	21.0	1-5	470	4.0	6=>1	21490	65	1-5-6	11880	41	1-2,4(5,12)-3,6-11-8(10,7)=9	1,2(4,12)5(3,6)-11,7,8,10-9	2,1(4,12)(5,3,6)-11-7-8,10=9	2-1(12,3)6,4,5-11=7-8=10=9		
200309010106	芝	右	2200	雨	稍重	12:55	3歳新馬		2003-3-1	1	阪神	1	3歳新馬	(混)[指](馬齢)	3	750	4	3	270	5	10	230	4	1.0	390	6.0	3-8	2450	12	3-10	2820.0	12.0	3-10	940	11.0	1-3	1,450	15.0	1-10	1,520	18.0	3=>10	6250	23	1-3-10	10880	36	1,8(6,10)(4,7,9)5-3-2	1(6,8)10(4,7,9)-5,3-2	1,8,6,10(4,7,9)(5,3)-2	1(6,8)10-(4,7)3-9-5-2	13.1 - 12.0 - 12.8 - 14.2 - 13.8 - 13.2 - 12.6 - 12.0 - 11.8 - 11.9 - 12.9	13.1 - 25.1 - 37.9 - 52.1 - 65.9 - 79.1 - 91.7 - 103.7 - 115.5 - 127.4 - 140.3 (37.9-36.6)
200309010107	ダ	右	1800	雨	重	13:25	3歳500万下		2003-3-1	1	阪神	1	3歳500万下	(混)(特指)(馬齢)	6	180	1	6	110	1	12	160	2	11.0	600	10.0	3-6	370	1	6-12	500.0	1.0	6-12	230	1.0	6-11	950	8.0	11-12	2,200	23.0	6=>12	700	1	6-11-12	4110	9	1(3,9)(5,4,6,10)(15,16)(7,8)13,14,2(11,12)	1(3,9)(5,4,6)(7,8,10,15,16)-(14,13)2(11,12)	(*1,3,9)(5,4,6)(7,8,10)(14,16)(13,15)(2,12)11	1(5,3,6)(4,9)(7,10)(8,13)(14,12,16)(2,11)-15	12.5 - 10.6 - 12.6 - 12.4 - 12.7 - 12.7 - 12.7 - 12.8 - 13.1	12.5 - 23.1 - 35.7 - 48.1 - 60.8 - 73.5 - 86.2 - 99.0 - 112.1 (35.7-38.6)
200309010108	ダ	右	1400	雨	重	14:00	4歳以上500万下		2003-3-1	1	阪神	1	4歳以上500万下	(混)[指](別定)	10	1660	8	10	780	9	11	250	3	14.0	290	4.0	5-6	2350	12	10-11	6230.0	22.0	10-11	2,580	27.0	10-14	2,590	28.0	11-14	1,600	16.0	10=>11	14330	52	10-11-14	26290	87			10(1,14)(4,9,16)2(3,8,13)(11,12,7)(5,6)-15	10,14(1,9)(4,16)(2,8)(11,13)(3,7)-5,12,6,15	12.3 - 10.8 - 11.6 - 12.2 - 12.1 - 12.2 - 13.3	12.3 - 23.1 - 34.7 - 46.9 - 59.0 - 71.2 - 84.5 (34.7-37.6)
200309010109	芝	右	2500	雨	重	14:35	御堂筋ステークス 		2003-3-1	1	阪神	1	4歳以上1600万下	(混)[指](別定)	2	510	3	2	180	4	8	170	2	6.0	490	8.0	2-8	780	2	2-8	1170.0	3.0	2-8	380	3.0	2-6	1,390	22.0	6-8	1,610	24.0	2=>8	2510	7	2-6-8	6630	32	7,6(2,8)5(1,9)4,3	7,6(2,5,8)(1,9)4-3	7,6(2,8)(5,9)1,4-3	(*7,6)(2,8)(1,5,9)4,3	7.2 - 12.5 - 13.0 - 13.3 - 13.4 - 13.8 - 13.3 - 12.7 - 12.6 - 11.6 - 11.5 - 11.4 - 12.6	7.2 - 19.7 - 32.7 - 46.0 - 59.4 - 73.2 - 86.5 - 99.2 - 111.8 - 123.4 - 134.9 - 146.3 - 158.9 (32.7-35.5)
200309010110	芝	右	1400	雨	重	15:10	須磨特別 		2003-3-1	1	阪神	1	4歳以上1000万下	(混)[指](別定)	1	320	1	1	220	3	2	440	6	3.0	1,540	12.0	1-1	3060	11	1-2	3240.0	11.0	1-2	1,100	10.0	1-3	4,510	43.0	2-3	6,380	49.0	1=>2	5340	17	1-2-3	25210	76			1,8,6,11(3,2,13)(7,4,10)(5,9,12,15)(16,14)	1(6,8,11)(3,2,13)(7,4,16)5(10,14)9,12,15	12.4 - 11.1 - 11.7 - 11.8 - 11.7 - 11.6 - 12.4	12.4 - 23.5 - 35.2 - 47.0 - 58.7 - 70.3 - 82.7 (35.2-35.7)
200309010111	芝	右	1600	雨	重	15:45	アーリントンカップ	G3	2003-3-1	1	阪神	1	3歳オープン	(混)(特指)(別定)	4	1140	7	4	320	7	2	290	6	11.0	280	5.0	1-2	2770	8	2-4	3950.0	19.0	2-4	1,100	19.0	4-11	1,270	21.0	2-11	1,070	17.0	4=>2	10090	42	2-4-11	9270	34		2(4,11)9(1,3,7,14,15)(5,16)(8,12)(6,13)10	2,11(4,15)9(1,3,14)(5,7)(8,16)(6,13)(10,12)	(*2,11)(4,15)(9,14)(1,3,7)5(8,16)(6,13)(10,12)	12.7 - 11.3 - 11.8 - 12.4 - 12.3 - 12.0 - 11.6 - 12.7	12.7 - 24.0 - 35.8 - 48.2 - 60.5 - 72.5 - 84.1 - 96.8 (35.8-36.3)
200309010201	ダ	右	1200	晴	不良	10:05	3歳未勝利		2003-3-2	1	阪神	2	3歳未勝利	(混)[指](馬齢)	2	420	2	2	200	5	6	180	3	1.0	140	1.0	1-3	320	1	2-6	1610.0	10.0	2-6	520	6.0	1-2	370	1.0	1-6	590	10.0	2=>6	3020	16	1-2-6	1830	4			2,6(5,13)4(1,7,8,15)(3,16)-(9,14)11-(10,12)	2,6,5(4,13)8,1,7-(3,15)16-14,9,11,12,10	12.6 - 10.9 - 11.7 - 11.8 - 12.0 - 13.4	12.6 - 23.5 - 35.2 - 47.0 - 59.0 - 72.4 (35.2-37.2)
200309010202	ダ	右	1800	晴	不良	10:30	3歳未勝利		2003-3-2	1	阪神	2	3歳未勝利	[指](馬齢)	5	230	1	5	120	1	13	130	2	1.0	300	5.0	3-7	440	1	5-13	490.0	1.0	5-13	210	1.0	1-5	780	8.0	1-13	780	7.0	5=>13	750	1	1-5-13	2220	5	3,4(2,1,11)(8,14,16)(10,12)13,7,15(6,9)5	3,4(2,1,11)(8,14,16)10,12,13(7,5,15)(6,9)	3,4(2,1,11)(8,14)(10,16)(12,13)5,15(7,6)9	(*3,4)1,11(8,16)(13,14)(10,12,5)(6,15)-2-7=9	13.0 - 11.3 - 13.1 - 12.4 - 12.7 - 12.8 - 12.7 - 13.0 - 13.1	13.0 - 24.3 - 37.4 - 49.8 - 62.5 - 75.3 - 88.0 - 101.0 - 114.1 (37.4-38.8)
200309010203	ダ	右	1800	晴	不良	10:55	3歳新馬		2003-3-2	1	阪神	2	3歳新馬	(混)[指](馬齢)	9	180	1	9	120	1	11	130	2	2.0	440	7.0	7-8	230	1	9-11	320.0	1.0	9-11	170	1.0	2-9	1,110	14.0	2-11	2,120	24.0	9=>11	460	1	2-9-11	3590	12	(*7,10)11,3-2(1,6)4,8,9 5	(*7,10)-11-(3,2)6,1(9,4)8 5	(*7,10)(3,11)2(6,9)(1,4)8 5	(*7,10,11)(3,2,9)-(1,6)(8,4) 5	12.8 - 11.4 - 13.4 - 13.3 - 12.8 - 12.6 - 12.6 - 12.6 - 12.9	12.8 - 24.2 - 37.6 - 50.9 - 63.7 - 76.3 - 88.9 - 101.5 - 114.4 (37.6-38.1)
200309010204	ダ	右	1400	晴	不良	11:25	3歳新馬		2003-3-2	1	阪神	2	3歳新馬	[指](馬齢)	13	1040	5	13	340	4	5	790	10	2.0	350	5.0	3-7	5820	20	5-13	13700.0	38.0	5-13	3,620	39.0	2-13	1,390	16.0	2-5	2,210	25.0	13=>5	22870	71	2-5-13	28710	83			(*8,10,13)(2,9,15)(3,14)-12,6-(4,5)-11-1-7	(8,*13)(2,10,15)(9,14)(6,3)12,5-4,11-1=7	12.6 - 10.8 - 11.4 - 12.3 - 12.4 - 12.6 - 12.9	12.6 - 23.4 - 34.8 - 47.1 - 59.5 - 72.1 - 85.0 (34.8-37.9)
200309010205	障		3000	晴	稍重  ダート	11:55	障害4歳以上未勝利		2003-3-2	1	阪神	2	障害4歳以上未勝利	(定量)	1	400	2	1	180	2	8	240	5	14.0	190	3.0	1-5	1510	10	1-8	2130.0	10.0	1-8	830	12.0	1-14	800	10.0	8-14	810	11.0	1=>8	3630	14	1-8-14	5230	16	(*9,12)-3,1,7(4,8)14-(11,6)13=5=10-2	9,12(3,1)-7-(4,8)(14,6)(11,13)=5=10=2	(*12,1)(3,8)(4,9,14)7-6,11,13=5=10=2	8,1,14,12(4,3,7)=6(9,11)-13-5=10=2		
200309010206	芝	右	1600	晴	稍重	12:55	3歳新馬		2003-3-2	1	阪神	2	3歳新馬	[指](馬齢)	12	1090	4	12	270	2	4	340	5	7.0	270	3.0	2-6	1730	7	4-12	3980.0	12.0	4-12	1,390	13.0	7-12	1,130	9.0	4-7	970	8.0	12=>4	9740	28	4-7-12	7230	22		4(1,5)(2,10)12(7,11,16,15)14-8(3,6,13)-9	4-1(5,15)2(7,12)(14,16)(10,11,8,13)3=(6,9)	4-(1,15)(2,5)(7,12)(11,14,16)(8,13)-3=10-9,6	12.6 - 11.4 - 11.7 - 12.0 - 12.0 - 12.1 - 12.3 - 13.0	12.6 - 24.0 - 35.7 - 47.7 - 59.7 - 71.8 - 84.1 - 97.1 (35.7-37.4)
200309010207	芝	右	1200	晴	稍重	13:25	3歳500万下		2003-3-2	1	阪神	2	3歳500万下	(特指)(馬齢)	8	450	2	8	170	2	13	320	7	15.0	190	3.0	4-7	690	3	8-13	2340.0	11.0	8-13	1,090	16.0	8-15	460	4.0	13-15	1,280	19.0	8=>13	4120	16	8-13-15	4840	21			9,13,4(6,7,14,15)(3,8)(1,16)(2,12)(10,5)11	(9,*13)7(4,6)(15,14)(3,8)16,1,12-(2,5)(10,11)	12.2 - 10.8 - 11.3 - 11.5 - 11.7 - 12.5	12.2 - 23.0 - 34.3 - 45.8 - 57.5 - 70.0 (34.3-35.7)
200309010208	ダ	右	1800	晴	重	14:00	4歳以上1000万下		2003-3-2	1	阪神	2	4歳以上1000万下	牝[指](別定)	7	260	1	7	120	1	16	170	2	4.0	290	6.0	4-8	560	1	7-16	680.0	1.0	7-16	320	1.0	4-7	530	4.0	4-16	1,100	12.0	7=>16	1390	2	4-7-16	2410	3	(10,*15)(11,16)7(4,6)13(2,9)14,5-(8,12)-3,1	(*10,15)(11,16)-7,6,4(2,13)9(5,14)-(8,12)=(3,1)	(*10,15)(11,16)(7,6)(4,13,9)(2,5,14)-12,8-3,1	(*10,15)16(11,7,13)6(2,9)(4,14)(5,12)-8-3,1	12.5 - 11.0 - 12.8 - 12.2 - 12.6 - 12.6 - 12.7 - 12.3 - 12.7	12.5 - 23.5 - 36.3 - 48.5 - 61.1 - 73.7 - 86.4 - 98.7 - 111.4 (36.3-37.7)
