着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	1	1	---	2	1999101013	牝	4	474.0	-9.0	53.0	78.0	0	3-4-4	39.4	00907	a002c	x00315	100.0	200343012001
2	3	3	---	4	1999103900	牡	4	498.0	-2.0	55.0	79.7	8	6-5-5	40.5	a0019	a0015	x011dc	35.0	200343012001
3	6	6	---	5	1999107242	セ	4			55.0	79.8	クビ	3-4-1	42.2	05112	05545	967002	20.0	200343012001
4	4	4	---	3	1999105858	牝	4	473.0	-19.0	53.0	80.0	1	2-1-1	42.5	00423	05455	953009	15.0	200343012001
5	7	7	---	1	1999104320	牝	4	529.0	0.0	53.0	80.2	1	1-1-1	42.7	05341	05436	264800	10.0	200343012001
6	2	2	---	7	1999103623	牝	4	421.0	-11.0	53.0	82.0	9	7-7-7	41.1	05180	a001a	x0090f	0.0	200343012001
7	5	5	---	6	1999109106	牡	4	448.0	-9.0	55.0	82.0	アタマ	5-6-6	42.7	a01aa	a0023	x03b3a	0.0	200343012001
1	6	6	---	1	1999100674	牝	4	474.0	5.0	53.0	75.4	0	1-1-1	38.7	00441	05496	186001	100.0	200343012002
2	7	7	---	6	1999109336	牡	4	536.0	-3.0	55.0	76.6	6	4-6-7	38.9	05180	a000e	x0001f	35.0	200343012002
3	8	8	---	3	1999109339	牝	4	466.0	-14.0	52.0	76.8	3/4	3-4-4	39.4	05428	a000e	981002	20.0	200343012002
4	2	2	---	2	1999105813	牝	4	411.0	-21.0	53.0	77.1	1.1/2	8-8-6	39.2	00423	05383	x00181	15.0	200343012002
5	5	5	---	4	1999109285	牡	4	508.0	12.0	55.0	77.2	1/2	6-4-5	39.8	a001b	05545	099007	10.0	200343012002
6	8	9	---	5	1999107370	牡	4	461.0	-2.0	55.0	78.0	4	2-2-2	41.1	05124	05488	953009	0.0	200343012002
7	4	4	---	8	1999106488	牝	4	466.0	-11.0	53.0	78.1	1/2	6-3-3	41.0	05249	a0013	x030af	0.0	200343012002
8	3	3	---	7	1999109406	牡	4	445.0	3.0	52.0	79.4	6	5-7-8	41.7	a01cf	a01ff	x00e24	0.0	200343012002
取	1	1	---	0	1999101394	牝	4			53.0					a0011	05246	x011c0	0.0	200343012002
1	8	11	---	2	1998102674	牝	5	473.0	-4.0	53.0	77.4	0	2-2-2	40.4	05124	05315	523009	100.0	200343012003
2	6	7	---	3	1998105178	牝	5	506.0	22.0	53.0	77.9	2.1/2	1-1-1	41.1	00907	a002c	953009	35.0	200343012003
3	7	10	---	4	1998107114	牝	5	429.0	-2.0	53.0	77.9	クビ	4-3-3	40.5	05199	a0019	531006	20.0	200343012003
4	1	1	---	1	1998105530	牝	5	507.0	0.0	53.0	78.0	クビ	9-5-4	40.2	00441	a0013	861008	15.0	200343012003
5	7	9	---	10	1996102099	牝	7	399.0	-3.0	53.0	78.6	3	5-4-5	40.8	a0079	a0011	x02ead	10.0	200343012003
6	5	5	---	7	1996104938	牡	7	492.0	-2.0	55.0	78.6	クビ	7-8-6	40.4	00422	05535	x012b2	0.0	200343012003
7	5	6	---	5	1998107010	牝	5	460.0	7.0	53.0	78.7	1/2	10-10-10	39.7	05206	05238	x02605	0.0	200343012003
8	8	12	---	9	1998100164	セ	5	474.0	-4.0	55.0	79.1	2	8-7-7	41.0	00943	00975	x00d71	0.0	200343012003
9	2	2	---	8	1997109485	牝	6	443.0	3.0	53.0	79.5	2	6-9-9	41.0	05180	a001a	x00679	0.0	200343012003
10	4	4	---	6	1998105180	牝	5	408.0	23.0	53.0	80.5	5	3-6-8	42.5	05249	a01e9	953009	0.0	200343012003
11	6	8	---	12	1995108551	牝	8	474.0	-3.0	52.0	81.1	3	12-12-12	41.1	a001b	05246	x00003	0.0	200343012003
12	3	3	---	11	1997104453	牡	6	445.0	0.0	55.0	81.8	3	11-11-11	42.3	a0011	a0015	x011dc	0.0	200343012003
1	8	10	---	1	1998105182	牝	5	416.0	-7.0	53.0	77.6	0	1-2-1	40.4	00817	05648	953009	100.0	200343012004
2	7	8	---	4	1998107456	牝	5	411.0	7.0	53.0	77.8	1	6-4-3	40.0	a0182	a0011	x002eb	35.0	200343012004
3	1	1	---	3	1998100487	牡	5	482.0	8.0	55.0	78.1	1.1/2	10-9-8	39.7	00907	a01e9	x0030d	20.0	200343012004
4	6	7	---	9	1996109433	牝	7	406.0	-3.0	53.0	79.0	4	8-11-8	40.6	05180	a001a	x0090f	15.0	200343012004
5	4	4	---	5	1998105429	牝	5	440.0	-7.0	53.0	79.4	2	4-4-5	41.6	a0019	a0024	x0005d	10.0	200343012004
6	3	3	---	8	1997102230	牡	6	417.0	9.0	53.0	79.8	2	11-11-11	41.0	a01bd	a0010	609009	0.0	200343012004
7	8	11	---	6	1997105639	セ	6	502.0	-2.0	55.0	79.8	クビ	3-3-2	42.3	00943	05535	x002a7	0.0	200343012004
8	5	5	---	7	1998109167	牝	5	443.0	-5.0	53.0	80.3	2.1/2	7-8-10	41.9	05500	a0015	x011ef	0.0	200343012004
9	2	2	---	11	1998105331	牡	5	497.0	4.0	55.0	81.0	4	8-6-6	42.7	a0011	05246	x03182	0.0	200343012004
10	6	6	---	2	1998100649	牝	5	493.0	13.0	53.0	81.1	クビ	5-6-7	42.8	00426	a0019	604005	0.0	200343012004
11	7	9	---	10	1997109184	牝	6	486.0	7.0	53.0	83.7	大	1-1-4	46.5	05124	05455	x011b2	0.0	200343012004
1	4	4	---	3	1996103052	牡	7	529.0	27.0	55.0	92.8	0	2-2-3-3	40.1	00863	a0013	770006	100.0	200343012005
2	5	5	---	2	1998102027	牡	5	489.0	-3.0	55.0	93.2	2	6-5-6-4	40.2	00817	05648	x00027	35.0	200343012005
3	6	6	---	1	1998100641	牡	5	432.0	-3.0	55.0	93.3	クビ	4-4-4-4	40.4	a0182	05283	604005	20.0	200343012005
4	8	10	---	7	1998107438	牝	5	456.0	2.0	53.0	94.2	4	1-1-2-2	41.8	a0019	a0011	x002eb	15.0	200343012005
5	7	8	---	8	1996109132	牝	7	446.0	2.0	53.0	94.8	3	3-3-4-7	41.9	05206	05238	x0126e	10.0	200343012005
6	7	7	---	4	1997109143	牝	6	471.0	-5.0	53.0	94.8	クビ	8-8-1-1	42.7	00423	00975	x00011	0.0	200343012005
7	8	9	---	6	1998100075	牝	5	429.0	4.0	53.0	95.1	1.1/2	5-7-8-8	41.3	05341	05461	033008	0.0	200343012005
8	2	2	---	5	1998109522	牝	5	460.0	0.0	53.0	95.1	ハナ	7-6-7-7	41.7	a01aa	00923	x00150	0.0	200343012005
9	3	3	---	10	1994104706	牡	9	483.0	8.0	54.0	96.5	7	10-10-9-9	42.5	a0011	a0015	x011dc	0.0	200343012005
10	1	1	---	9	1998103483	牡	5	475.0	-11.0	53.0	98.2	9	9-9-10-10	44.0	a01bd	a0200	x0066f	0.0	200343012005
1	7	8	---	1	1998100457	牝	5	487.0	4.0	53.0	92.5	0	2-2-2-1	40.6	00863	05648	x0271e	100.0	200343012006
2	7	7	---	3	1998107527	牝	5	447.0	-5.0	53.0	92.8	1.1/2	7-7-7-6	40.4	00441	05545	x00652	35.0	200343012006
3	2	2	---	2	1996106599	牡	7	459.0	-6.0	52.0	93.1	1.1/2	6-5-4-4	40.9	05459	05310	095002	20.0	200343012006
4	8	10	---	4	1997105694	牡	6	450.0	8.0	55.0	93.5	2	3-3-3-2	41.5	05199	a0023	953009	15.0	200343012006
5	6	6	---	5	1998104402	牡	5	406.0	4.0	55.0	94.0	2.1/2	5-5-5-5	41.8	a0019	a0011	x036f1	10.0	200343012006
6	3	3	---	8	1998103283	牝	5	403.0	-2.0	53.0	94.1	1/2	9-10-10-9	41.6	a01aa	a0024	x0005d	0.0	200343012006
7	4	4	---	6	1996101705	牡	7	459.0	-1.0	52.0	94.3	1	10-9-8-7	41.8	a01cf	00923	143009	0.0	200343012006
8	5	5	---	9	1995104683	牡	8	435.0	9.0	53.0	94.3	ハナ	8-8-9-8	41.8	05428	05303	x024bb	0.0	200343012006
9	8	9	---	10	1996104243	牝	7	441.0	-1.0	53.0	96.0	9	4-4-6-10	43.8	00943	05461	x01497	0.0	200343012006
10	1	1	---	6	1998109173	牝	5	411.0	-4.0	53.0	96.3	1.1/2	1-1-1-3	44.6	a0079	05238	x02605	0.0	200343012006
1	3	3	---	4	2000106946	牡	3	472.0	14.0	54.0	98.7	0	2-2-2-2	40.0	00426	05461	x01197	130.0	200343012007
2	1	1	---	1	2000102291	牡	3	556.0	-11.0	54.0	99.1	2	1-1-1-1	40.5	00863	05113	835004	45.5	200343012007
3	6	6	---	3	2000102634	牡	3	449.0	6.0	54.0	99.5	2	6-5-5-3	39.9	00422	05315	x0112e	26.0	200343012007
4	8	8	---	5	2000104404	牝	3	459.0	13.0	53.0	100.4	4	4-4-3-3	41.1	05112	05174	x03aad	19.5	200343012007
5	7	7	---	7	2000109505	牝	3	474.0	-4.0	53.0	100.7	1.1/2	7-7-7-6	41.0	a0019	a0024	x00905	13.0	200343012007
6	2	2	---	6	2000101245	牝	3	464.0	-12.0	53.0	100.8	3/4	8-8-8-8	40.6	00817	05545	619002	0.0	200343012007
