着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	2	2	---	2	2000101956	牡	3	512.0	-2.0	54.0	93.3	0	4-3-3		a008a	05395	334009	60.0	200350010201
2	6	6	---	6	2000105661	牝	3	447.0	-6.0	53.0	93.3	ハナ	1-1-1		a0195	05316	029008	19.2	200350010201
3	1	1	---	3	2000102707	牝	3	440.0	-1.0	53.0	93.4	1/2	3-2-2		00894	05291	x007f7	9.6	200350010201
4	4	4	---	5	2000106427	牝	3	401.0	-13.0	53.0	93.5	3/4	5-6-5		a008c	a00bc	x003bc	6.0	200350010201
5	3	3	---	4	2000105844	牝	3	397.0	5.0	53.0	93.5	ハナ	7-5-4		05102	a00bb	x003ea	4.2	200350010201
6	7	7	---	7	2000109242	牡	3	432.0	1.0	54.0	94.1	4	5-6-6		05354	a00be	x03c6d	0.0	200350010201
7	5	5	---	1	2000101239	牝	3	396.0	-2.0	53.0	94.9	5	2-4-7		05270	05309	338008	0.0	200350010201
1	6	6	---	4	2000102732	牡	3	452.0	-5.0	53.0	92.4	0	4-3-2		05405	05466	191008	60.0	200350010202
2	2	2	---	1	2000102882	牡	3	460.0	-1.0	54.0	92.5	3/4	6-4-3		00894	05291	x002da	19.2	200350010202
3	1	1	---	5	2000106881	牝	3	427.0	4.0	53.0	92.8	1.1/2	7-7-5		05203	05347	193008	9.6	200350010202
4	7	7	---	2	2000100366	牝	3	465.0	-2.0	53.0	93.0	1.1/2	5-5-6		05270	05330	945007	6.0	200350010202
5	4	4	---	3	2000103476	牝	3	448.0	-6.0	53.0	93.1	クビ	2-2-4		05208	05330	x01f4d	4.2	200350010202
6	5	5	---	7	2000109095	牝	3	464.0	7.0	53.0	93.5	2.1/2	1-1-1		05282	05478	x004f3	0.0	200350010202
7	3	3	---	6	2000103392	牡	3	489.0	1.0	54.0	96.8	大	2-5-7		05259	05574	x00c3e	0.0	200350010202
1	2	2	---	2	1999500381	牝	4	420.0	-6.0	54.0	94.0	0	5-5-4		a0081	05381	x01095	40.0	200350010203
2	3	3	---	6	1995500676	牡	8	448.0	5.0	54.0	94.0	アタマ	6-5-7		a01b1	05599	x00c2f	12.8	200350010203
3	7	7	---	5	1996500625	牡	7	466.0	4.0	55.0	94.1	クビ	8-8-8		a007f	05599	x008f7	6.4	200350010203
4	5	5	---	1	1998500603	牡	5	506.0	3.0	56.0	94.1	クビ	2-2-1		05259	05316	x003d3	4.0	200350010203
5	8	8	---	4	1998500571	牝	5	497.0	7.0	52.0	94.5	2.1/2	3-3-4		a01d8	05317	x025c2	2.8	200350010203
6	1	1	---	3	1999500181	牝	4	422.0	-18.0	54.0	94.6	3/4	4-3-3		05203	05328	344030	0.0	200350010203
7	4	4	---	8	1994500311	牡	9	451.0	1.0	55.0	95.0	2.1/2	7-7-7		05379	a00b7	x00edb	0.0	200350010203
8	6	6	---	7	1998500239	牝	5	435.0	-10.0	54.0	96.0	6	1-1-2		05474	a00b7	x00edb	0.0	200350010203
1	8	8	---	1	1998104467	セ	5	454.0	-4.0	56.0	92.0	0	1-1-1		a0086	05387	x00c29	50.0	200350010204
2	6	6	---	2	1998100781	セ	5	451.0	-1.0	56.0	92.8	5	2-1-2		05223	05277	977008	16.0	200350010204
3	1	1	---	3	1997102493	牡	6	535.0	-9.0	56.0	93.0	1	7-1-3		05203	05557	x01ccd	8.0	200350010204
4	5	5	---	4	1999106652	牝	4	437.0	-1.0	54.0	93.2	3/4	5-5-5		05263	05321	768006	5.0	200350010204
5	4	4	---	6	1999102374	牡	4	509.0	-5.0	55.0	93.4	1	8-8-7		05317	05557	112008	3.5	200350010204
6	7	7	---	5	1998105594	牡	5	488.0	-3.0	56.0	93.4	ハナ	4-4-4		05354	05330	973006	0.0	200350010204
7	2	2	---	7	1998103012	牝	5	448.0	7.0	54.0	93.7	2	5-7-6		05282	05309	x01062	0.0	200350010204
8	3	3	---	8	1999100728	牝	4	475.0	-14.0	54.0	94.8	7	3-7-8		a0195	05316	992009	0.0	200350010204
