	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200340010801	ダ	右	1400	晴	重	10:50	C5ニ		2003-1-8	15	宇都宮	4																																								6783429111051.0	7,9,10,3,11,6,4,2,8,1-5			
200340010802	ダ	右	1300	晴	重	11:20	C5ハ		2003-1-8	15	宇都宮	4																																								4610715298.0	461071298.0			
200340010803	ダ	右	1300	晴	重	11:50	C4ニ		2003-1-8	15	宇都宮	4																																								37192106854.0	37101296584.0			
200340010804	ダ	右	1400	晴	重	12:20	C3ロ　C4イ		2003-1-8	15	宇都宮	4																																								9841172311056.0	8941173121056.0			
200340010805	ダ	右	1400	晴	重	12:50	3歳		2003-1-8	15	宇都宮	4																																								27148115639.0	27486115913.0			
200340010806	ダ	右	1400	晴	重	13:25	C1イ　C2イ		2003-1-8	15	宇都宮	4																																								5101143128967.0	5411191028763.0			
200340010807	ダ	右	800	晴	重	14:00	スパーク賞 		2003-1-8	15	宇都宮	4																																									48231079561.0			
200340010808	ダ	右	1900	晴	重	14:35	せんりょう特別 		2003-1-8	15	宇都宮	4																																								711101298652143.0	956112312748110.0			
200340010809	ダ	右	1500	晴	重	15:10	紅梅特別 		2003-1-8	15	宇都宮	4	牝																																							15264938710.0	10167258349.0			
200340021001	ダ	右	1300	曇	稍重	10:50	C4ニ		2003-2-10	16	宇都宮	4																																								5,8,9,4,6,1,7,10,3-2	5,8,4,9,6,3,1,(7,10),2			
