	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	三連単:的中	三連単:配当	三連単:人気
200401010101	芝	右	1200	晴	良	10:55	2歳未勝利		2004-8-14	1	札幌	1	2歳未勝利	(混)[指](馬齢)	3	220	2	3	130	2	6	240	3	1.0	600	6.0	3-6	1090	3	3=>6	1370	3	1-3-6	5930	14			4,3(1,8)-5(6,7)-2	4,3(1,8)-(5,6)-7,2	12.2 - 11.1 - 11.4 - 11.7 - 12.1 - 13.2	12.2 - 23.3 - 34.7 - 46.4 - 58.5 - 71.7 (34.7-37.0)															
200401010102	ダ	右	1700	晴	良	11:25	3歳未勝利		2004-8-14	1	札幌	1	3歳未勝利	牝[指](馬齢)	11	740	3	11	190	4	6	110	1	5.0	150	2.0	5-8	280	1	11=>6	2450	9	5-6-11	970	2	2,11(4,6)(7,10)(1,5)12(9,3)8	2(4,11)(6,7,10)(1,12,5)-(3,9)8	(*2,5)11(4,6)(3,1,7,10)12,9,8	(*2,5)11,6-(4,1)-10(7,12,8)-9 3	6.9 - 12.0 - 13.4 - 13.5 - 12.8 - 12.2 - 12.6 - 13.0 - 13.8	6.9 - 18.9 - 32.3 - 45.8 - 58.6 - 70.8 - 83.4 - 96.4 - 110.2 (32.3-39.4)	6-11	940.0	3.0	6-11	270.0	2.0	5-11	550.0	7.0	5-6	170.0	1.0			
200401010103	芝	右	1800	晴	良	11:55	2歳新馬		2004-8-14	1	札幌	1	2歳新馬	(混)[指](馬齢)	1	120	1	1	100	1	10	210	4	4.0	120	2.0	1-7	660	3	1=>10	920	3	1-4-10	1040	3	(*1,3,4,5)(8,9)(2,11)-(7,10)(6,12)	(*1,4)(3,5)(2,8,9,11)(7,10)(6,12)	(*1,4,5,11)(3,9,10)(7,12)(2,8)-6	(*1,4)(5,11)(3,9,10)(2,8)7-12=6	12.6 - 11.7 - 12.9 - 13.4 - 13.4 - 12.2 - 12.0 - 11.9 - 12.0	12.6 - 24.3 - 37.2 - 50.6 - 64.0 - 76.2 - 88.2 - 100.1 - 112.1 (37.2-35.9)	1-10	800.0	3.0	1-10	310.0	3.0	1-4	180.0	1.0	4-10	560.0	7.0			
200401010104	ダ	右	1700	晴	良	12:45	3歳未勝利		2004-8-14	1	札幌	1	3歳未勝利	(混)[指](馬齢)	3	220	1	3	130	1	5	370	7	12.0	170	2.0	3-4	1320	8	3=>5	5080	19	3-5-12	3900	10	(*4,7)(8,9)(6,13)=(5,12)-3,1,2(10,11)	(*4,7)9(6,8)-13(5,12)-3-1,2(10,11)	(*7,9)(4,5,12,2)(6,3)1(13,11)10,8	(*7,12)(5,2)3(9,1,11)=(10,8)-6-(4,13)	6.8 - 11.2 - 12.2 - 12.6 - 13.1 - 13.4 - 13.6 - 13.3 - 13.3	6.8 - 18.0 - 30.2 - 42.8 - 55.9 - 69.3 - 82.9 - 96.2 - 109.5 (30.2-40.2)	3-5	2930.0	10.0	3-5	1,020	13.0	3-12	240.0	1.0	5-12	1,310	19.0			
200401010105	芝	右	2000	晴	良	13:15	3歳未勝利		2004-8-14	1	札幌	1	3歳未勝利	[指](馬齢)	3	820	3	3	230	3	5	130	1	1.0	450	8.0	2-3	370	2	3=>5	2140	7	1-3-5	4980	16	4,6(2,5,8)(3,15)(7,13,16)1(12,14)9-10-11	4(2,6)(3,5,8)(1,7,15)(13,16)(9,12,14)-10,11	(*4,6,5)(2,3,15)(1,7,13)(8,16)(9,12)-10,11 14	(4,6,*5)(2,3)(1,15)(7,13)(9,12)-(10,16)=11-8 14	12.7 - 12.0 - 12.5 - 12.7 - 12.9 - 12.7 - 12.2 - 12.0 - 11.8 - 12.0	12.7 - 24.7 - 37.2 - 49.9 - 62.8 - 75.5 - 87.7 - 99.7 - 111.5 - 123.5 (37.2-35.8)	3-5	700.0	2.0	3-5	270	2.0	1-3	1,760	20.0	1-5	1,140	14.0			
200401010106	ダ	右	1700	晴	良	13:45	3歳以上500万下		2004-8-14	1	札幌	1	3歳以上500万下	牝[指](別定)	1	910	3	1	220	4	6	140	1	13.0	210	3.0	1-5	1040	5	1=>6	2880	10	1-6-13	2030	4	13(6,11)(2,4)(1,7)(5,10)3(8,12)9	13,6(2,11)(1,4)(5,7)3(8,10)(12,9)	13(6,11)(2,1,4)(3,5)(7,8,10)(12,9)	(*13,6)11,1-(2,4,10)(3,8,9)(12,5,7)	7.0 - 11.4 - 12.6 - 12.9 - 12.8 - 12.5 - 12.6 - 12.5 - 13.8	7.0 - 18.4 - 31.0 - 43.9 - 56.7 - 69.2 - 81.8 - 94.3 - 108.1 (31.0-38.9)	1-6	960.0	4.0	1-6	380	3.0	1-13	730	9.0	6-13	320	2.0			
200401010107	ダ	右	1000	晴	良	14:15	3歳以上500万下		2004-8-14	1	札幌	1	3歳以上500万下	(特指)(別定)	6	750	3	6	310	4	10	640	7	11.0	810	9.0	5-7	2940	12	6=>10	18330	47	6-10-11	82140	124			10(11,12)-(5,9)(7,8)(2,4)6-3 1	10(11,12)(5,9)-6-4,8-(7,2)3 1	12.6 - 10.7 - 11.7 - 12.1 - 13.1	12.6 - 23.3 - 35.0 - 47.1 - 60.2 (35.0-36.9)	6-10	10660.0	27.0	6-10	3,180	30.0	6-11	2,840	26.0	10-11	6,890	46.0			
200401010108	ダ	右	1700	晴	良	14:50	3歳以上500万下		2004-8-14	1	札幌	1	3歳以上500万下	(混)[指](別定)	2	320	1	2	140	1	4	160	2	10.0	620	9.0	2-4	550	1	2=>4	1270	1	2-4-10	9100	29	6(1,2,11)3(8,13)5,10,7(4,9)-12	(3,*6)(2,11)-1(8,13)5-10(4,7)-9,12	(*3,2,1)(11,8)13(5,10,7)(12,6)(4,9)	2(3,1)(10,8)(11,5,12,7)4,13-9=6	6.9 - 11.0 - 12.1 - 12.3 - 12.7 - 12.9 - 13.0 - 13.0 - 13.6	6.9 - 17.9 - 30.0 - 42.3 - 55.0 - 67.9 - 80.9 - 93.9 - 107.5 (30.0-39.6)	2-4	690.0	1.0	2-4	290	1.0	2-10	2,280	27.0	4-10	2,920	32.0			
200401010109	芝	右	1200	晴	良	15:25	札幌日刊スポーツ杯 		2004-8-14	1	札幌	1	3歳以上オープン	(混)(指)(別定)	7	480	2	7	220	4	9	230	6	5.0	230	5.0	4-5	2510	18	7=>9	4480	18	5-7-9	5550	21			9,3(1,7,14)(2,5,13)(8,11)10(4,6)15,12	(*9,3)(1,7,14)(2,5,13,11)(4,8,10)(12,6)15	12.1 - 10.5 - 11.2 - 11.5 - 11.5 - 12.2	12.1 - 22.6 - 33.8 - 45.3 - 56.8 - 69.0 (33.8-35.2)	7-9	2630.0	13.0	7-9	910	12.0	5-7	760	7.0	5-9	810	9.0	7=>9=>5	31770.0	96.0
200401010110	芝	右	1500	晴	良	16:05	3歳以上500万下		2004-8-14	1	札幌	1	3歳以上500万下	(混)[指](別定)	8	560	3	8	210	4	11	290	5	3.0	140	1.0	5-7	1560	5	8=>11	7190	32	3-8-11	3660	8		5,10,13(3,6)(4,7,14)(2,9)11(1,12)-8	(*5,10)13(3,14)(6,9)(4,7)(2,12)11-(1,8)	(*5,10)(3,13)14(6,11,9)(2,12)(4,7,8)1	6.7 - 11.3 - 11.3 - 11.6 - 11.5 - 11.7 - 12.1 - 12.6	6.7 - 18.0 - 29.3 - 40.9 - 52.4 - 64.1 - 76.2 - 88.8 (29.3-36.4)	8-11	4020.0	20.0	8-11	1,250	17.0	3-8	500	2.0	3-11	640	5.0			
200401010111	ダ	右	1700	晴	良	16:40	羊蹄山特別 		2004-8-14	1	札幌	1	3歳以上1000万下	(混)(特指)(別定)	10	330	2	10	140	2	6	630	10	9.0	200	3.0	5-7	4190	10	10=>6	7410	19	6-9-10	9980	25	(*6,10)12(4,8)(3,2,11)-(1,9)(5,7,13)	6,10,12,4,8(2,11)3-(1,9)(5,7,13)	(*6,10)12(4,2,11)(3,8,9)(5,7,13)1	(*6,10)-(4,12,9)11(3,5,7,13)(8,2)-1	7.0 - 11.2 - 11.8 - 12.4 - 12.7 - 12.5 - 12.4 - 12.6 - 13.0	7.0 - 18.2 - 30.0 - 42.4 - 55.1 - 67.6 - 80.0 - 92.6 - 105.6 (30.0-38.0)	6-10	5000.0	16.0	6-10	1,610	20.0	9-10	400	3.0	6-9	2,900	24.0			
200401010112	芝	右	1200	晴	良	17:10	羊ヶ丘特別 		2004-8-14	1	札幌	1	3歳以上1000万下	(混)[指](別定)	6	1520	5	6	310	5	4	180	3	2.0	170	2.0	4-6	920	4	6=>4	9130	26	2-4-6	4960	18			2(3,11)(5,6,9)7,1(8,4,10)	2,3(5,11,6,9)(1,8,7,4)10	12.3 - 10.8 - 11.0 - 11.5 - 11.7 - 12.2	12.3 - 23.1 - 34.1 - 45.6 - 57.3 - 69.5 (34.1-35.4)	4-6	3520.0	11.0	4-6	1,200	14.0	2-6	1,050	11.0	2-4	470	6.0	6=>4=>2	33900.0	103.0
200401010201	ダ	右	1000	晴	良	10:55	3歳未勝利		2004-8-15	1	札幌	2	3歳未勝利	[指](馬齢)	4	460	2	4	130	3	12	110	1	2.0	120	2.0	4-8	520	3	4=>12	1240	4	2-4-12	900	3			(*4,12)-(6,8,9)-(1,5,11)3(2,7)10	(*4,12)-(6,9)(8,11)(1,5)7(2,3)-10	12.7 - 11.0 - 11.6 - 12.1 - 12.9	12.7 - 23.7 - 35.3 - 47.4 - 60.3 (35.3-36.6)	4-12	520.0	3.0	4-12	230	3.0	2-4	390	5.0	2-12	180	2.0			
200401010202	ダ	右	1700	曇	良	11:25	3歳未勝利		2004-8-15	1	札幌	2	3歳未勝利	[指](馬齢)	8	580	3	8	180	4	12	180	3	4.0	120	1.0	6-8	2010	6	8=>12	5580	16	4-8-12	1460	3	3(10,11)(2,8)(1,4,6)7-(9,5,12)13	3(10,11)-(2,8)(1,4,7)-(6,12)9(5,13)	(*3,10)(2,11,4)8(7,12)1-(6,13)-(9,5)	(10,4,*12)(3,2,11)8-7(1,6,13)=9,5	6.9 - 11.2 - 12.1 - 12.9 - 12.7 - 12.8 - 13.3 - 12.7 - 13.2	6.9 - 18.1 - 30.2 - 43.1 - 55.8 - 68.6 - 81.9 - 94.6 - 107.8 (30.2-39.2)	8-12	2610.0	10.0	8-12	690	8.0	4-8	240	2.0	4-12	380	3.0			
200401010203	芝	右	1200	曇	良	11:55	2歳新馬		2004-8-15	1	札幌	2	2歳新馬	[指](馬齢)	13	550	3	13	200	2	8	230	4	5.0	280	5.0	4-7	2050	7	13=>8	3950	15	5-8-13	6840	19			(1,*12)(8,11,16)-(5,14)-(6,15)-(4,9)-(10,7)2(3,13)	(*1,16)(5,12,8)(6,11)(14,15)(4,9)-13-(2,7)3,10	12.5 - 10.9 - 11.4 - 11.8 - 12.4 - 12.3	12.5 - 23.4 - 34.8 - 46.6 - 59.0 - 71.3 (34.8-36.5)	8-13	2000.0	8.0	8-13	770	8.0	5-13	1,100	12.0	5-8	1,330	15.0			
200401010204	ダ	右	1000	雨	良	12:45	2歳新馬		2004-8-15	1	札幌	2	2歳新馬	(混)[指](馬齢)	11	590	3	11	190	2	12	490	6	8.0	240	4.0	8-8	3390	13	11=>12	8150	26	8-11-12	11340	31			(*12,11)(3,4)2(6,7)8,1,9-5-10	(12,*11)-4(3,2)-(6,8)9(1,7)-5,10	12.4 - 11.0 - 11.7 - 12.2 - 13.3	12.4 - 23.4 - 35.1 - 47.3 - 60.6 (35.1-37.2)	11-12	4350.0	13.0	11-12	1,200	12.0	8-11	640	6.0	8-12	1,830	20.0			
200401010205	芝	右	1200	曇	良	13:15	3歳未勝利		2004-8-15	1	札幌	2	3歳未勝利	(混)[指](馬齢)	15	300	2	15	140	2	5	300	6	3.0	130	1.0	3-8	990	5	15=>5	3030	12	3-5-15	1610	3			(*3,12,15)5(8,6,13)-(1,11,14)(7,9)(2,16)10,4	(*3,15)(5,6)12-(8,13)(11,1)(7,14)(2,16)-(4,9)-10	12.3 - 10.6 - 11.1 - 11.5 - 11.9 - 12.4	12.3 - 22.9 - 34.0 - 45.5 - 57.4 - 69.8 (34.0-35.8)	5-15	2010.0	8.0	5-15	680	8.0	3-15	210	1.0	3-5	540	6.0			
200401010206	ダ	右	1000	曇	良	13:45	3歳以上500万下		2004-8-15	1	札幌	2	3歳以上500万下	[指](別定)	2	200	1	2	120	1	11	130	2	3.0	260	5.0	2-8	260	1	2=>11	580	1	2-3-11	980	3			(*1,2)(3,11)(5,6)10,12(4,9)7-8	2(1,3,11)-5,6,12,10,9,7,4-8	12.5 - 11.0 - 11.5 - 12.0 - 12.8	12.5 - 23.5 - 35.0 - 47.0 - 59.8 (35.0-36.3)	2-11	340.0	1.0	2-11	180	1.0	2-3	350	4.0	3-11	550	7.0			
200401010207	芝	右	1200	曇	良	14:15	3歳以上500万下		2004-8-15	1	札幌	2	3歳以上500万下	牝(特指)(別定)	2	980	6	2	290	4	4	340	5	12.0	780	12.0	1-2	4040	15	2=>4	8180	29	2-4-12	47370	142			2(8,10)(4,12)(5,13,14)1,6(7,15)11(3,9,16)	2(4,8,10,12)(5,13,14)1,6-(7,15,11)(3,9,16)	12.2 - 11.0 - 11.4 - 11.5 - 11.5 - 12.2	12.2 - 23.2 - 34.6 - 46.1 - 57.6 - 69.8 (34.6-35.2)	2-4	4080.0	14.0	2-4	1,460	16.0	2-12	4,320	45.0	4-12	5,310	54.0			
200401010208	芝	右	2600	曇	良	14:50	富良野特別 		2004-8-15	1	札幌	2	3歳以上500万下	(混)(特指)(別定)	11	720	3	11	190	3	13	110	1	1.0	110	2.0	7-8	720	2	11=>13	2700	9	1-11-13	790	1	2-11-(5,8,10,7)14,9,3(1,12)13,6-4	2-(11,7)(5,10)(8,14)-9(3,1,12)13-(6,4)	11,7(5,14)(2,10,1,13)(8,12)9,4(3,6)	11-(5,7,14,13)10(1,12)9-4(8,3)-6=2	12.9 - 11.7 - 12.2 - 12.8 - 12.8 - 13.0 - 13.1 - 12.8 - 12.9 - 12.5 - 11.9 - 11.6 - 12.0	12.9 - 24.6 - 36.8 - 49.6 - 62.4 - 75.4 - 88.5 - 101.3 - 114.2 - 126.7 - 138.6 - 150.2 - 162.2 (36.8-35.5)	11-13	910.0	2.0	11-13	390	4.0	1-11	360	2.0	1-13	150	1.0			
200401010209	芝	右	1800	晴	良	15:25	クイーンステークス	G3	2004-8-15	1	札幌	2	3歳以上オープン	(混)	7	880	5	7	280	5	1	310	6	9.0	250	3.0	1-5	3010	19	7=>1	10340	48	1-7-9	9410	35	7,12(4,5,6,13)(3,9)(1,2,10)(8,11)	7(5,12)(4,6,13)(3,9)(1,2,10)(8,11)	7,12(5,13)(6,9)(4,3,10,11)1(2,8)	7-5(12,13)(4,6,3,1,9)(2,10,8)-11	12.6 - 11.5 - 11.8 - 11.9 - 12.2 - 11.9 - 11.4 - 11.5 - 12.7	12.6 - 24.1 - 35.9 - 47.8 - 60.0 - 71.9 - 83.3 - 94.8 - 107.5 (35.9-35.6)	1-7	4180.0	20.0	1-7	1,460	21.0	7-9	930	11.0	1-9	1,050	15.0	7=>1=>9	71170.0	266.0
