	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
200402010101	ダ	右	1700	曇	良	09:55	3歳未勝利		2004-6-19	1	函館	1	3歳未勝利	[指](馬齢)	4	1630	4	4	240	4	1	120	2	8.0	220	3.0	1-4	1780	5	4=>1	4930	13	1-4-8	3910	12	7,8,1(2,4)-(5,6)-3	7(1,8)(2,4)(5,6)-3	(*7,8)4(1,2)-5-(3,6)	4(7,8)1-2,5-3-6	6.9 - 11.2 - 11.9 - 13.2 - 13.0 - 12.7 - 13.1 - 12.6 - 13.2	6.9 - 18.1 - 30.0 - 43.2 - 56.2 - 68.9 - 82.0 - 94.6 - 107.8 (30.0-38.9)												
200402010102	ダ	右	1000	曇	良	10:25	3歳未勝利		2004-6-19	1	函館	1	3歳未勝利	[指](馬齢)	4	130	1	4	100	1	1	150	3	5.0	250	5.0	1-4	420	2	4=>1	520	2	1-4-5	1570	5			4,1=(5,8)7-3,2=6	4,1=(5,8)7,3,2=6	12.6 - 11.0 - 12.1 - 11.6 - 11.9	12.6 - 23.6 - 35.7 - 47.3 - 59.2 (35.7-35.6)												
200402010103	ダ	右	1700	曇	良	10:55	3歳未勝利		2004-6-19	1	函館	1	3歳未勝利	牝[指](馬齢)	11	410	2	11	150	1	4	310	6	7.0	210	5.0	4-8	1690	9	11=>4	3470	17	4-7-11	4600	20	9(2,11)-7(4,5,10)(3,8)6,1	9(2,11)-7(4,5)10(3,8)-6-1	(*9,11)(2,7)-4,3,10(5,8)-1,6	(*9,11,7)(2,4)-3-(10,8)-5-1-6	7.1 - 11.0 - 11.5 - 12.7 - 13.1 - 13.1 - 13.4 - 12.9 - 13.3	7.1 - 18.1 - 29.6 - 42.3 - 55.4 - 68.5 - 81.9 - 94.8 - 108.1 (29.6-39.6)	4-11	2120.0	12.0	4-11	860.0	13.0	7-11	520.0	6.0	4-7	1,340	21.0
200402010104	芝	右	1200	曇	良	11:25	3歳未勝利		2004-6-19	1	函館	1	3歳未勝利	(混)[指](馬齢)	6	230	1	6	160	2	2	310	5	12.0	870	9.0	2-5	1210	4	6=>2	2010	7	2-6-12	16520	44			(*2,12)(1,8,11)(3,6,9,10)(5,7)-4	(*2,12)(1,11)(8,10,7)(3,6,9)(5,4)	12.3 - 10.8 - 11.6 - 12.3 - 12.0 - 12.2	12.3 - 23.1 - 34.7 - 47.0 - 59.0 - 71.2 (34.7-36.5)	2-6	1390.0	5.0	2-6	660.0	6.0	6-12	2,430	21.0	2-12	5,340	32.0
200402010105	芝	右	1000	雨	良	11:55	2歳新馬		2004-6-19	1	函館	1	2歳新馬	[指](馬齢)	9	260	2	9	110	2	3	140	3	1.0	110	1.0	3-8	540	2	9=>3	1050	4	1-3-9	500	1			9(1,5)2(3,6,8)7,4	9(1,5)(2,8)(3,6)7,4	12.5 - 11.0 - 12.0 - 11.6 - 11.7	12.5 - 23.5 - 35.5 - 47.1 - 58.8 (35.5-35.3)	3-9	660.0	3.0	3-9	230.0	3.0	1-9	180	1.0	1-3	220	2.0
200402010106	芝	右	1800	雨	良	12:45	3歳未勝利		2004-6-19	1	函館	1	3歳未勝利	(混)[指](馬齢)	3	1550	7	3	510	7	11	160	2	8.0	1,000	10.0	3-8	2530	9	3=>11	8890	35	3-8-11	21150	64	(*8,11)(1,2,10)12,6,9,7-3(4,5)	(*8,11)(1,10)(2,12)(6,9)(7,3)(4,5)	(*8,11)(10,12,3)(1,2,9)(6,7)-(4,5)	(*8,11,10,3)(1,2,12)(6,9)7,4-5	12.2 - 11.2 - 13.3 - 14.0 - 13.5 - 12.3 - 11.9 - 11.4 - 12.4	12.2 - 23.4 - 36.7 - 50.7 - 64.2 - 76.5 - 88.4 - 99.8 - 112.2 (36.7-35.7)	3-11	4160.0	19.0	3-11	1,220	15.0	3-8	4,220	40.0	8-11	2,260	25.0
200402010107	ダ	右	1000	雨	良	13:15	3歳以上500万下		2004-6-19	1	函館	1	3歳以上500万下	[指](定量)	6	270	1	6	150	1	4	190	3	5.0	1,110	11.0	4-5	970	2	6=>4	1520	3	4-5-6	15850	52			(*4,6)(2,7)(5,10,12)(3,8,11)1 9	4,6(2,7)5(10,12)(3,8)(1,11) 9	12.3 - 10.8 - 11.8 - 11.7 - 12.6	12.3 - 23.1 - 34.9 - 46.6 - 59.2 (34.9-36.1)	4-6	950.0	2.0	4-6	380	3.0	5-6	2,770	28.0	4-5	4,310	36.0
200402010108	ダ	右	1700	雨	良	13:45	3歳以上500万下		2004-6-19	1	函館	1	3歳以上500万下	[指](定量)	8	450	2	8	160	2	10	110	1	7.0	500	8.0	6-7	350	1	8=>10	1100	2	7-8-10	4690	15	11,9,10,2(5,8)3,6(1,13)12(4,7)	11,9(2,10)5(3,8)(1,6)13,12(4,7)	(*11,9,10)(5,8)(2,3,7)(6,12)(1,13)-4	(11,*10,8)-(2,9,5,7)(1,3,6)(13,12)-4	6.9 - 10.9 - 11.5 - 13.5 - 13.1 - 12.6 - 12.4 - 12.0 - 12.7	6.9 - 17.8 - 29.3 - 42.8 - 55.9 - 68.5 - 80.9 - 92.9 - 105.6 (29.3-37.1)	8-10	470.0	1.0	8-10	210	1.0	7-8	2,550	25.0	7-10	1,170	14.0
200402010109	芝	右	2000	雨	良	14:20	3歳以上500万下		2004-6-19	1	函館	1	3歳以上500万下	(特指)(定量)	2	570	3	2	200	3	9	370	6	1.0	230	4.0	2-6	2600	10	2=>9	5100	18	1-2-9	6010	22	11(2,4,10,12)(5,6,13)9-7(3,8)-1	11(2,4,10,12)6(5,13)9-(7,8)(1,3)	11-(2,10)(5,6)(9,13)(4,7,12,8)1,3	11(2,6)-10(5,9,13,8)(1,7)=(4,3)12	12.4 - 11.2 - 11.7 - 12.3 - 12.1 - 12.0 - 12.4 - 12.7 - 11.6 - 13.1	12.4 - 23.6 - 35.3 - 47.6 - 59.7 - 71.7 - 84.1 - 96.8 - 108.4 - 121.5 (35.3-37.4)	2-9	2870.0	10.0	2-9	940	11.0	1-2	610	6.0	1-9	1,390	17.0
200402010110	芝	右	2600	雨	良	14:55	横津岳特別 		2004-6-19	1	函館	1	3歳以上500万下	(混)(特指)(定量)	9	400	2	9	140	2	8	130	1	1.0	170	4.0	8-8	820	4	9=>8	1760	4	1-8-9	1630	4	2(7,8,9)(1,6)(4,5)-3	(*2,8)(7,9)1(4,6)5,3	(*2,8,9)(7,1,6)(4,5,3)	(2,8,*9)1-(7,6)(4,5,3)	12.9 - 12.4 - 13.0 - 13.1 - 12.7 - 13.1 - 13.8 - 13.2 - 12.6 - 11.9 - 11.8 - 11.5 - 11.9	12.9 - 25.3 - 38.3 - 51.4 - 64.1 - 77.2 - 91.0 - 104.2 - 116.8 - 128.7 - 140.5 - 152.0 - 163.9 (38.3-35.2)	8-9	830.0	2.0	8-9	300	2.0	1-9	510	8.0	1-8	320	3.0
