	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連単:的中	三連単:配当	三連単:人気
200405010101	ダ	左	1400	晴	良	10:00	3歳未勝利		2004-1-31	1	東京	1	3歳未勝利	[指](馬齢)	6	410	2	6	140	2	1	980	9	15.0	290	4.0	1-3	1900	6	1-6	7150.0	20.0	1-6	1,910	19.0	6-15	630	5.0	1-15	5,780	39.0	6=>1	10580	30	1-6-15	17090	45			15(1,5)-4-(7,13,14)(8,10)(6,11)12(2,16)-(3,9)	15(1,5)4-(8,14)13(6,10,11)-(7,12)16(2,3,9)	12.7 - 11.3 - 11.7 - 12.9 - 13.1 - 13.2 - 13.6	12.7 - 24.0 - 35.7 - 48.6 - 61.7 - 74.9 - 88.5 (35.7-39.9)			
200405010102	ダ	左	1300	晴	良	10:30	3歳未勝利		2004-1-31	1	東京	1	3歳未勝利	[指](馬齢)	10	1000	6	10	230	4	1	790	10	6.0	120	1.0	1-7	8590	20	1-10	12150.0	34.0	1-10	3,240	35.0	6-10	470	4.0	1-6	1,400	17.0	10=>1	18070	53	1-6-10	10270	39			(*10,13)8(5,12)9(1,6)-(4,11)(2,7)3	10,13,8,12,5,6,9-1,4,11(2,7)-3	7.0 - 11.4 - 12.0 - 12.7 - 12.5 - 12.6 - 12.8	7.0 - 18.4 - 30.4 - 43.1 - 55.6 - 68.2 - 81.0 (30.4-37.9)			
200405010103	ダ	左	1400	晴	良	11:00	3歳新馬		2004-1-31	1	東京	1	3歳新馬	(混)[指](馬齢)	7	2000	5	7	250	5	1	100	1	10.0	190	4.0	1-7	600	4	1-7	810.0	4.0	1-7	370	4.0	7-10	1,220	14.0	1-10	290	3.0	7=>1	3800	12	1-7-10	2160	6			9,1-(3,10)7,6-(2,4)8-5	9,1,10(3,7)-6-(2,4)8-5	12.9 - 11.3 - 12.5 - 13.4 - 12.8 - 12.8 - 12.9	12.9 - 24.2 - 36.7 - 50.1 - 62.9 - 75.7 - 88.6 (36.7-38.5)			
200405010104	ダ	左	1600	晴	良	11:30	3歳未勝利		2004-1-31	1	東京	1	3歳未勝利	牝[指](馬齢)	2	17420	12	2	1,490	12	1	120	1	5.0	150	2.0	1-2	8550	18	1-2	20160.0	38.0	1-2	3,490	31.0	2-5	6,900	50.0	1-5	250	1.0	2=>1	53180	87	1-2-5	15900	44			(*9,15)13(1,4)5,2(10,11)(8,12)7-3(6,14)	(*9,15)13,1,5,2(4,8)(10,11)(7,12)-3,6,14	12.6 - 11.0 - 11.8 - 12.3 - 13.3 - 13.2 - 13.5 - 13.2	12.6 - 23.6 - 35.4 - 47.7 - 61.0 - 74.2 - 87.7 - 100.9 (35.4-39.9)			
200405010105	障		3000	晴	良  ダート	12:00	障害4歳以上未勝利		2004-1-31	1	東京	1	障害4歳以上未勝利	(定量)	3	250	1	3	140	1	13	1,230	10	10.0	230	4.0	3-8	4650	14	3-13	10390.0	30.0	3-13	2,890	33.0	3-10	510	4.0	10-13	6,690	52.0	3=>13	15280	51	3-10-13	23410	66	(*13,1)11=3=7-(10,12)-4-2=6=5=14-8,9	(13,*1)-11=3=7=10-12,4-2=6=5=(14,8)=9	(*13,1)=11-3=10-7-4,12=2=6=5=14,8=9	13-1-11-3=10-4=7,12-2-6=5=14,8=9					
200405010106	芝	左	2300	晴	良	12:50	3歳未勝利		2004-1-31	1	東京	1	3歳未勝利	(混)[指](馬齢)	5	370	1	5	160	1	10	1,130	12	11.0	170	2.0	3-5	8980	26	5-10	19550.0	51.0	5-10	3,430	44.0	5-11	390	1.0	10-11	2,790	39.0	5=>10	27680	88	5-10-11	21420	74	11-6,4,8,5,14(1,10)(3,15)(7,16)(2,9)(13,12)	11-6-4,8-5,14,16(1,10)-(3,15)(2,7,9)12,13	11-6-(4,8)5(14,16)3(1,10,9,15)-2(7,12)-13	11(6,4,8)(5,3)(14,16)(1,10)(2,12,9)(13,15)7	7.1 - 11.5 - 12.1 - 12.4 - 12.5 - 12.6 - 12.8 - 13.0 - 12.5 - 11.5 - 11.9 - 12.1	7.1 - 18.6 - 30.7 - 43.1 - 55.6 - 68.2 - 81.0 - 94.0 - 106.5 - 118.0 - 129.9 - 142.0 (30.7-35.5)			
200405010107	ダ	左	1600	晴	良	13:20	3歳500万下		2004-1-31	1	東京	1	3歳500万下	牝(特指)(馬齢)	12	10100	13	12	2,230	13	3	470	8	7.0	440	6.0	2-7	4950	18	3-12	65980.0	78.0	3-12	13,740	79.0	7-12	8,410	62.0	3-7	2,960	31.0	12=>3	187900	164	3-7-12	273250	302			(*3,13)(4,14,15)(6,7,10)11-8(9,12)5(1,2)	(*3,13)(4,14,15)(6,7)11,10(9,8)(1,5,12)-2	12.7 - 11.3 - 12.0 - 12.7 - 13.0 - 12.8 - 12.4 - 12.6	12.7 - 24.0 - 36.0 - 48.7 - 61.7 - 74.5 - 86.9 - 99.5 (36.0-37.8)			
200405010108	ダ	左	1400	晴	良	13:55	4歳以上500万下		2004-1-31	1	東京	1	4歳以上500万下	(混)[指](別定)	9	330	1	9	130	1	14	150	2	16.0	270	6.0	5-7	520	1	9-14	600.0	1.0	9-14	270	1.0	9-16	610	5.0	14-16	700	9.0	9=>14	1000	1	9-14-16	2260	4			12,14(1,16)(3,9)(2,7)11(4,8)-(5,10)6-(15,13)	12(1,14,16)(3,9)7(4,2,11,8)-(6,5)(15,10)=13	12.4 - 11.2 - 12.3 - 12.9 - 12.7 - 12.4 - 12.6	12.4 - 23.6 - 35.9 - 48.8 - 61.5 - 73.9 - 86.5 (35.9-37.7)			
200405010109	芝	左	1400	晴	良	14:30	クロッカスステークス 		2004-1-31	1	東京	1	3歳オープン	(混)(特指)(別定)	9	580	3	9	160	3	1	110	1	2.0	210	5.0	1-8	180	1	1-9	460.0	2.0	1-9	230	2.0	2-9	700	9.0	1-2	320	3.0	9=>1	1270	6	1-2-9	1230	4			(*9,8)(1,2)(5,7)(3,4,6)	9(1,8,2)(5,6,7,4)3	12.8 - 11.3 - 11.7 - 12.5 - 11.3 - 11.2 - 11.4	12.8 - 24.1 - 35.8 - 48.3 - 59.6 - 70.8 - 82.2 (35.8-33.9)			
200405010110	ダ	左	1600	晴	良	15:05	立川特別 		2004-1-31	1	東京	1	4歳以上1000万下	(混)[指](ハンデ)	1	150	1	1	110	1	11	120	2	9.0	310	5.0	1-6	350	1	1-11	360.0	1.0	1-11	180	1.0	1-9	560	5.0	9-11	760	8.0	1=>11	490	1	1-9-11	1590	4			10,6,1,13(8,16)(4,15,9)(3,7,11)-2-(5,14)12	10,1,6(4,16)13,9(3,8)(7,15,11)(2,14)(5,12)	12.1 - 10.8 - 11.5 - 12.4 - 12.8 - 13.2 - 12.1 - 12.3	12.1 - 22.9 - 34.4 - 46.8 - 59.6 - 72.8 - 84.9 - 97.2 (34.4-37.6)			
200405010111	ダ	左	1400	晴	良	15:40	根岸ステークス	G3	2004-1-31	1	東京	1	4歳以上オープン	(混)(指)(別定)	10	1450	7	10	340	4	13	950	10	12.0	260	3.0	5-7	1470	7	10-13	17560.0	41.0	10-13	4,480	41.0	10-12	1,440	16.0	12-13	5,150	43.0	10=>13	32560	79	10-12-13	44130	98			(3,*5)(9,14,15,16)2(8,4,7)6,10(13,12)1 11	3(5,9,14,15,16)(2,8,7)6(10,4)12(1,13) 11	12.3 - 10.9 - 11.6 - 12.1 - 12.3 - 12.1 - 12.7	12.3 - 23.2 - 34.8 - 46.9 - 59.2 - 71.3 - 84.0 (34.8-37.1)			
200405010112	ダ	左	2100	晴	良	16:15	4歳以上1000万下		2004-1-31	1	東京	1	4歳以上1000万下	(混)[指](別定)	10	610	3	10	210	2	4	370	5	8.0	610	10.0	2-5	1270	5	4-10	4590.0	21.0	4-10	1,360	16.0	8-10	2,250	30.0	4-8	4,080	50.0	10=>4	8230	37	4-8-10	33380	118	(5,*16)-(1,10)(4,15)(13,14)(3,6)11(2,8,12)-(7,9)	14,5,16,15(1,10,4)-(3,13)6,11(2,8,12)(7,9)	14-(5,15)4,16,10-12-(13,11,8)1(9,7)6,2-3	(*14,5,15)(4,10)16,12,8(13,9,11,7)2-(1,6)-3	7.1 - 11.4 - 12.3 - 12.0 - 11.7 - 12.5 - 13.2 - 13.5 - 13.2 - 12.9 - 12.9	7.1 - 18.5 - 30.8 - 42.8 - 54.5 - 67.0 - 80.2 - 93.7 - 106.9 - 119.8 - 132.7 (30.8-39.0)			
200405010201	ダ	左	1400	晴	良	10:00	3歳未勝利		2004-2-1	1	東京	2	3歳未勝利	牝[指](馬齢)	1	360	1	1	170	1	3	1,270	10	9.0	1,510	11.0	1-2	3860	16	1-3	9150.0	29.0	1-3	2,140	27.0	1-9	4,220	38.0	3-9	14,780	74.0	1=>3	14850	52	1-3-9	124350	187			5(6,7)(1,13)11(8,10)(4,15)-3-12(9,14)2	5(6,7,13)1,11(8,10)(4,15)(9,3)-(12,14)-2	12.7 - 11.8 - 12.1 - 12.6 - 12.7 - 12.6 - 13.1	12.7 - 24.5 - 36.6 - 49.2 - 61.9 - 74.5 - 87.6 (36.6-38.4)			
200405010202	ダ	左	1400	晴	良	10:30	3歳未勝利		2004-2-1	1	東京	2	3歳未勝利	(混)[指](馬齢)	12	130	1	12	110	1	13	590	11	15.0	530	10.0	7-7	2180	8	12-13	1920.0	9.0	12-13	890	10.0	12-15	780	8.0	13-15	7,860	67.0	12=>13	2370	9	12-13-15	11930	48			10(1,12)15(2,5,11)(3,7,8)(9,14)(6,13)4	10,12(1,15)5(2,11)(3,8)(7,14)9,6,13-4	12.8 - 11.3 - 12.2 - 13.2 - 13.1 - 12.4 - 12.7	12.8 - 24.1 - 36.3 - 49.5 - 62.6 - 75.0 - 87.7 (36.3-38.2)			
200405010203	ダ	左	1300	晴	良	11:00	3歳新馬		2004-2-1	1	東京	2	3歳新馬	牝[指](馬齢)	5	930	5	5	270	5	13	160	1	4.0	1,680	14.0	3-7	1610	9	5-13	1580.0	6.0	5-13	600	4.0	4-5	7,700	59.0	4-13	4,530	40.0	5=>13	3900	15	4-5-13	43550	101			3,1(7,12,13)(8,10,14,15)(2,9)-5(11,16)4,6	3,1(7,12,13)(14,15)8(10,9)2(4,5)-(11,16)=6	7.3 - 11.3 - 11.9 - 13.0 - 13.1 - 12.8 - 13.2	7.3 - 18.6 - 30.5 - 43.5 - 56.6 - 69.4 - 82.6 (30.5-39.1)			
200405010204	ダ	左	1600	晴	良	11:30	3歳未勝利		2004-2-1	1	東京	2	3歳未勝利	(混)[指](馬齢)	12	440	3	12	210	3	15	170	2	8.0	1,090	11.0	6-8	670	3	12-15	1220.0	4.0	12-15	600	4.0	8-12	4,280	43.0	8-15	2,380	27.0	12=>15	2560	9	8-12-15	22460	72			(*4,5)12(9,14,16)8(2,11,15)-3,13,7(6,10)-1	4(5,12)(8,11,9,16)(15,14)2(13,3)10(6,7)-1	12.4 - 10.8 - 12.1 - 12.9 - 13.2 - 13.1 - 12.7 - 12.6	12.4 - 23.2 - 35.3 - 48.2 - 61.4 - 74.5 - 87.2 - 99.8 (35.3-38.4)			
200405010205	ダ	左	1400	晴	良	12:00	3歳500万下		2004-2-1	1	東京	2	3歳500万下	(混)(特指)(馬齢)	7	620	3	7	140	2	3	140	3	10.0	100	1.0	3-6	1180	7	3-7	1360.0	5.0	3-7	470	5.0	7-10	230	2.0	3-10	190	1.0	7=>3	3130	12	3-7-10	720	1			(*3,4)(1,7,10)11(2,6,8)9,5	3,4,7(1,8,10,11)(2,6)9,5	12.8 - 11.2 - 12.0 - 12.9 - 12.6 - 12.0 - 12.9	12.8 - 24.0 - 36.0 - 48.9 - 61.5 - 73.5 - 86.4 (36.0-37.5)			
200405010206	芝	左	1800	晴	良	12:50	3歳新馬		2004-2-1	1	東京	2	3歳新馬	(混)[指](馬齢)	7	300	2	7	150	2	1	340	6	5.0	200	3.0	1-7	2030	7	1-7	1970.0	7.0	1-7	750	8.0	5-7	470	4.0	1-5	1,170	16.0	7=>1	3270	12	1-5-7	3860	12		(*1,4,8)-(7,9)-10-6(3,5)2	1(4,8)7(9,10)-5,6=3-2	1(4,8)7(9,10)(5,6)=3-2	13.2 - 12.2 - 12.8 - 13.1 - 13.1 - 13.1 - 11.8 - 11.2 - 11.1	13.2 - 25.4 - 38.2 - 51.3 - 64.4 - 77.5 - 89.3 - 100.5 - 111.6 (38.2-34.1)			
200405010207	ダ	左	2100	晴	良	13:20	4歳以上500万下		2004-2-1	1	東京	2	4歳以上500万下	(混)[指](別定)	11	270	1	11	120	1	7	120	2	9.0	240	4.0	4-6	320	1	7-11	440.0	1.0	7-11	220	1.0	9-11	700	9.0	7-9	470	3.0	11=>7	910	2	7-9-11	1430	2	(8,*10,16)3,7,12(1,11)6(13,14)5,9,15,2,4	10,16,8,3(7,12)(1,11)(6,13,14)5,9,15(2,4)	(*10,16)(3,7,12)(8,11)(1,13,14)6,9(5,15)(2,4)	10,16,7(3,11,12)(1,14)(8,13)(6,9)(2,5,15)4	7.2 - 11.6 - 12.3 - 12.8 - 13.2 - 13.1 - 13.0 - 12.9 - 12.6 - 12.1 - 12.2	7.2 - 18.8 - 31.1 - 43.9 - 57.1 - 70.2 - 83.2 - 96.1 - 108.7 - 120.8 - 133.0 (31.1-36.9)			
200405010208	ダ	左	1600	晴	良	13:50	4歳以上500万下		2004-2-1	1	東京	2	4歳以上500万下	[指](別定)	13	440	2	13	160	2	16	280	5	7.0	120	1.0	7-8	520	2	13-16	2180.0	8.0	13-16	790	9.0	7-13	300	1.0	7-16	630	7.0	13=>16	3520	12	7-13-16	2210	3			3,4(2,10)(1,7,12,14)(6,16)(8,11,13)9-5,15	3(2,4,10)14(1,7,16)13(9,12)(8,6,11)-(15,5)	12.5 - 11.2 - 11.9 - 12.4 - 12.7 - 12.6 - 12.1 - 12.6	12.5 - 23.7 - 35.6 - 48.0 - 60.7 - 73.3 - 85.4 - 98.0 (35.6-37.3)			
200405010209	芝	左	1800	晴	良	14:25	セントポーリア賞 		2004-2-1	1	東京	2	3歳500万下	(混)(特指)(馬齢)	13	140	1	13	100	1	6	110	2	3.0	190	4.0	4-8	230	1	6-13	250.0	1.0	6-13	130	1.0	3-13	310	3.0	3-6	440	6.0	13=>6	330	1	3-6-13	680	2		2(5,6)(3,11)8(1,4,9,14)13,7(10,12)	2-6(5,11,9)(3,8,14)(4,1,13)(7,10)12	2-6(5,11,9)(3,8,14,13)(4,1)(7,10)-12	12.9 - 11.8 - 12.3 - 12.7 - 12.6 - 12.4 - 11.8 - 11.0 - 11.1	12.9 - 24.7 - 37.0 - 49.7 - 62.3 - 74.7 - 86.5 - 97.5 - 108.6 (37.0-33.9)			
200405010210	芝	左	2000	曇	良	15:00	コレヒデメモリアル 		2004-2-1	1	東京	2	4歳以上1000万下	(混)[指](別定)	2	960	5	2	270	5	7	740	8	8.0	240	4.0	2-5	2810	9	2-7	11750.0	27.0	2-7	2,700	26.0	2-8	1,080	12.0	7-8	3,210	29.0	2=>7	17990	46	2-7-8	29320	71		14,1=5(2,7)(3,12)(8,13)(6,11)4,9,10	14,1,5-(2,7)(8,3,12,13)11(6,10)(9,4)	(*14,1,5)-7(2,12,13,4)(8,3,11,10)-(6,9)	12.8 - 11.4 - 12.2 - 12.6 - 13.0 - 12.7 - 11.8 - 11.3 - 11.6 - 11.6	12.8 - 24.2 - 36.4 - 49.0 - 62.0 - 74.7 - 86.5 - 97.8 - 109.4 - 121.0 (36.4-34.5)			
200405010211	芝	左	1600	曇	良	15:35	東京新聞杯	G3	2004-2-1	1	東京	2	4歳以上オープン	(混)[指](別定)	15	1370	7	15	370	7	10	340	5	2.0	350	6.0	6-8	4900	18	10-15	4600.0	17.0	10-15	1,550	17.0	2-15	1,690	21.0	2-10	1,560	19.0	15=>10	11590	41	2-10-15	16070	45			14(1,9)(2,3,15)(4,7,13)(5,8)(6,10,12)11	14,9(1,15)(3,13)2(5,7)(4,8,12)(6,10,11)	12.6 - 10.8 - 11.7 - 11.9 - 12.0 - 11.2 - 11.4 - 11.4	12.6 - 23.4 - 35.1 - 47.0 - 59.0 - 70.2 - 81.6 - 93.0 (35.1-34.0)			
200405010212	ダ	左	1400	曇	良	16:15	4歳以上1000万下		2004-2-1	1	東京	2	4歳以上1000万下	[指](別定)	3	380	1	3	160	1	12	430	7	7.0	400	6.0	2-6	580	1	3-12	3210.0	13.0	3-12	1,170	11.0	3-7	1,460	16.0	7-12	3,110	32.0	3=>12	5010	21	3-7-12	15790	50			7,8,12,11(5,14)4(2,6,13)(3,9,10)(1,15,16)	7,8,12,11(4,5,2)14,3(6,13)(9,10)1,16,15	12.4 - 11.5 - 12.0 - 12.3 - 11.8 - 12.2 - 12.2	12.4 - 23.9 - 35.9 - 48.2 - 60.0 - 72.2 - 84.4 (35.9-36.2)			
200405010301	ダ	左	1300	晴	良	10:00	3歳未勝利		2004-2-7	1	東京	3	3歳未勝利	牝[指](馬齢)	13	180	1	13	100	1	8	330	7	3.0	160	3.0	6-8	1220	6	8-13	1470.0	7.0	8-13	550	7.0	3-13	220	1.0	3-8	950	14.0	13=>8	1850	8	3-8-13	2020	8			(*7,8)-(2,4,6)13,1,3(10,5,9)12,11	(*7,8)(2,6,13)(4,1)-10,3(11,9)(12,5)	7.0 - 11.3 - 11.8 - 12.9 - 12.7 - 12.6 - 13.1	7.0 - 18.3 - 30.1 - 43.0 - 55.7 - 68.3 - 81.4 (30.1-38.4)			
200405010302	ダ	左	1400	晴	良	10:30	3歳未勝利		2004-2-7	1	東京	3	3歳未勝利	(混)[指](馬齢)	5	660	2	5	160	2	2	190	5	7.0	100	1.0	2-4	3140	13	2-5	3100.0	13.0	2-5	730	12.0	5-7	230	2.0	2-7	280	3.0	5=>2	7440	27	2-5-7	1500	6			7(8,13)5(6,11)2(4,9)(3,10)1 12	(*7,8)13(5,6)11(2,9,10)4,3,1 12	12.9 - 11.4 - 12.3 - 12.8 - 12.8 - 12.6 - 12.8	12.9 - 24.3 - 36.6 - 49.4 - 62.2 - 74.8 - 87.6 (36.6-38.2)			
200405010303	ダ	左	1300	晴	良	11:00	3歳新馬		2004-2-7	1	東京	3	3歳新馬	[指](馬齢)	5	180	1	5	120	1	11	570	9	4.0	220	4.0	4-7	1460	5	5-11	3690.0	12.0	5-11	1,320	16.0	4-5	400	3.0	4-11	3,210	35.0	5=>11	5340	17	4-5-11	8120	29			(*4,5)(8,11,14)(1,7)12(2,9)(6,13)-10-3	4,5,14(8,11,7)12(1,13)(2,9)6(3,10)	7.0 - 11.6 - 12.2 - 12.7 - 12.9 - 12.8 - 12.9	7.0 - 18.6 - 30.8 - 43.5 - 56.4 - 69.2 - 82.1 (30.8-38.6)			
200405010304	ダ	左	1600	晴	良	11:30	3歳未勝利		2004-2-7	1	東京	3	3歳未勝利	[指](馬齢)	14	1870	5	14	360	5	7	130	1	4.0	3,670	15.0	4-8	1110	5	7-14	1710.0	6.0	7-14	780	6.0	4-14	37,470	95.0	4-7	9,900	56.0	14=>7	5070	17	4-7-14	182310	215			15,14,7(3,5)(4,8)6(2,13)9(1,11,12,10)	15,14,7(3,5)-4,8,6,2,9(1,11)(12,13,10)	12.4 - 11.5 - 12.2 - 13.0 - 12.9 - 12.9 - 12.7 - 12.7	12.4 - 23.9 - 36.1 - 49.1 - 62.0 - 74.9 - 87.6 - 100.3 (36.1-38.3)			
200405010305	芝	左	1600	晴	良	12:00	3歳新馬		2004-2-7	1	東京	3	3歳新馬	(混)[指](馬齢)	8	240	1	8	130	1	6	220	3	1.0	600	8.0	4-5	850	2	6-8	940.0	2.0	6-8	400	2.0	1-8	1,000	9.0	1-6	2,060	20.0	8=>6	1550	3	1-6-8	6640	19			8,6(1,10)2,7,4,9,11(3,5,13)-12,14	8,6(1,10)(2,7)4,9(11,13)5,3,12,14	12.9 - 12.0 - 12.6 - 12.4 - 12.6 - 11.7 - 11.4 - 11.5	12.9 - 24.9 - 37.5 - 49.9 - 62.5 - 74.2 - 85.6 - 97.1 (37.5-34.6)			
200405010306	ダ	左	1300	晴	良	12:50	3歳500万下		2004-2-7	1	東京	3	3歳500万下	(特指)(馬齢)	5	450	2	5	130	2	4	110	1	12.0	1,180	10.0	4-4	350	1	4-5	340.0	1.0	4-5	170	1.0	5-12	3,290	32.0	4-12	2,390	25.0	5=>4	990	2	4-5-12	6670	22			(*4,9)(1,3,10)7(2,8)-(5,13)-(12,11)-6	(*4,9)(1,3,10,7)2,8(5,13)12-11=6	6.9 - 11.5 - 12.0 - 12.5 - 12.2 - 12.4 - 12.7	6.9 - 18.4 - 30.4 - 42.9 - 55.1 - 67.5 - 80.2 (30.4-37.3)			
200405010307	ダ	左	1400	晴	良	13:20	4歳以上500万下		2004-2-7	1	東京	3	4歳以上500万下	牝[指](別定)	16	700	3	16	260	5	5	140	1	13.0	280	7.0	3-8	790	3	5-16	1390.0	4.0	5-16	600	4.0	13-16	1,130	16.0	5-13	590	3.0	16=>5	3570	11	5-13-16	4190	11			(*13,14)(5,6,10)(1,2,4)(16,8)(3,11)(9,15)(12,7)	13,14(5,6,10)(1,4,16)(2,8)(3,11)(12,15,7)9	12.4 - 11.4 - 12.6 - 12.9 - 12.4 - 12.4 - 12.5	12.4 - 23.8 - 36.4 - 49.3 - 61.7 - 74.1 - 86.6 (36.4-37.3)			
200405010308	障		3300	晴	良  ダート	13:55	春麗ジャンプS 		2004-2-7	1	東京	3	障害4歳以上オープン	(混)(別定)	9	2920	9	9	770	9	2	1,080	10	10.0	1,700	11.0	2-6	15410	31	2-9	25790.0	55.0	2-9	6,780	57.0	9-10	13,290	73.0	2-10	14,670	76.0	9=>2	50210	100	2-9-10	411960	308	12,1(7,5)2(9,13,4)-6(3,10)-(11,8) 14	12(1,5)(7,4)(2,13)9(6,10)-3-11,8 14	(*12,5)1(7,4)-9(2,13)10,6=3,8-11 14	(12,*5)7(1,4)-9-2-10,13,6=3-8,11 14					
200405010309	ダ	左	1400	晴	良	14:30	青梅特別 		2004-2-7	1	東京	3	4歳以上1000万下	(混)[指](別定)	15	410	3	15	180	3	3	310	5	1.0	140	2.0	2-8	1690	5	3-15	4780.0	14.0	3-15	1,490	16.0	1-15	280	2.0	1-3	730	5.0	15=>3	7350	26	1-3-15	3150	7			4,1,15,8,12-(3,13)11(5,6)(7,9,10)16,2,14	4-1,15-8(3,13,12)(5,11)(7,6)(9,10)-(2,16,14)	12.4 - 10.8 - 11.3 - 11.9 - 12.2 - 12.7 - 12.9	12.4 - 23.2 - 34.5 - 46.4 - 58.6 - 71.3 - 84.2 (34.5-37.8)			
200405010310	ダ	左	2100	曇	良	15:05	金蹄ステークス 		2004-2-7	1	東京	3	4歳以上1600万下	(混)[指](ハンデ)	12	180	1	12	110	1	2	290	5	9.0	190	3.0	2-8	1220	4	2-12	1170.0	4.0	2-12	500	5.0	9-12	290	2.0	2-9	1,030	13.0	12=>2	1610	6	2-9-12	2160	5	9,5,6(1,8)4(2,3)7(10,12)-11	9,5(1,6)8(4,3)(2,10,7,12)-11	(*9,8)(5,6)(1,3)(4,12)(2,7)-11,10	(*9,8,6)(1,3,5)(4,12)(2,7)-(10,11)	7.2 - 11.4 - 13.3 - 13.4 - 13.3 - 11.9 - 12.4 - 12.5 - 12.1 - 12.3 - 12.3	7.2 - 18.6 - 31.9 - 45.3 - 58.6 - 70.5 - 82.9 - 95.4 - 107.5 - 119.8 - 132.1 (31.9-36.7)			
200405010311	芝	左	2000	曇	良	15:40	白富士ステークス 		2004-2-7	1	東京	3	4歳以上オープン	(混)[指](別定)	3	420	1	3	140	1	8	160	2	5.0	230	4.0	3-6	660	1	3-8	1060.0	2.0	3-8	410	2.0	3-5	520	3.0	5-8	660	5.0	3=>8	1970	2	3-5-8	2360	3		6,10,9,8(4,12)3(2,5)13(1,11)7	6,10(8,9)12(4,3)(2,11,5)(1,7,13)	6,10(8,9)(4,12,3)(2,11,5)(1,7,13)	12.9 - 11.8 - 11.6 - 11.8 - 12.1 - 11.8 - 11.5 - 11.4 - 11.7 - 12.3	12.9 - 24.7 - 36.3 - 48.1 - 60.2 - 72.0 - 83.5 - 94.9 - 106.6 - 118.9 (36.3-35.4)			
