	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連単:的中	三連単:配当	三連単:人気
200408010101	ダ	右	1200	晴	良	10:10	3歳未勝利		2004-1-5	1	京都	1	3歳未勝利	(混)[指](馬齢)	14	1050	5	14.0	360	5.0	6.0	2,690	13.0	10.0	210.0	2.0	3-7	19660	31	6-14	78250.0	84.0	6-14	23,820	95.0	10-14	1,330	14.0	6-10	6,410	52.0	14=>6	164750	160	6-10-14	129610	215			(*6,10,15,14)1(3,12,16)(2,7)(4,13,9)-(5,8)11	6(10,15,14)1-3(2,12)(4,16,13,9)7,8,5,11	12.8 - 11.5 - 12.0 - 11.9 - 12.6 - 13.2	12.8 - 24.3 - 36.3 - 48.2 - 60.8 - 74.0 (36.3-37.7)			
200408010102	ダ	右	1800	晴	良	10:35	3歳未勝利		2004-1-5	1	京都	1	3歳未勝利	(混)[指](馬齢)	8	370	3	8.0	150	2.0	14.0	130	1.0	15.0	910.0	11.0	4-7	260	1	8-14	570.0	1.0	8-14	280	1.0	8-15	2,310	27.0	14-15	1,570	17.0	8=>14	1180	2	8-14-15	5450	15	7,8(14,15)-(4,9)16(3,12,10)(5,13)(1,2)11,6	(7,*14)(8,15)4(9,16)(3,12)10(5,13)2(1,11)-6	14(8,15)(7,4)(12,3)-(5,9,10)13(1,16,11)2,6	(*14,8)15(7,4,12)3-5,10-(13,11)(1,9)(6,2)16	12.4 - 11.6 - 12.9 - 12.5 - 13.5 - 13.3 - 12.9 - 12.8 - 12.6	12.4 - 24.0 - 36.9 - 49.4 - 62.9 - 76.2 - 89.1 - 101.9 - 114.5 (36.9-38.3)			
200408010103	ダ	右	1400	晴	良	11:05	3歳未勝利		2004-1-5	1	京都	1	3歳未勝利	牝[指](馬齢)	12	290	2	12.0	150	2.0	13.0	810	9.0	9.0	190.0	3.0	6-7	4400	14	12-13	7620.0	20.0	12-13	1,710	19.0	9-12	340	2.0	9-13	3,450	29.0	12=>13	9330	26	9-12-13	8970	25			(*1,9)(4,7)13(12,15)(2,16)6(3,5)(10,8,11)14	(1,*9)(4,7)13(12,15)2-(6,3)(16,5)(10,11)=8,14	12.5 - 11.2 - 12.0 - 12.6 - 12.6 - 13.4 - 13.0	12.5 - 23.7 - 35.7 - 48.3 - 60.9 - 74.3 - 87.3 (35.7-39.0)			
200408010104	芝	右	2000	晴	良	11:35	3歳新馬		2004-1-5	1	京都	1	3歳新馬	(混)[指](馬齢)	9	170	1	9.0	100	1.0	6.0	110	2.0	5.0	200.0	5.0	6-8	320	1	6-9	320.0	1.0	6-9	150	1.0	5-9	350	3.0	5-6	450	7.0	9=>6	500	1	5-6-9	880	3	(*2,4)9(6,10)(7,5)(1,3)-8	(*2,4)(9,10,5)6,7(1,3)-8	(*2,4)5,9(10,7)(6,1,3)8	(*2,4)(9,10,5,7)(6,1)3-8	13.1 - 12.4 - 13.4 - 13.4 - 12.7 - 12.8 - 12.7 - 12.1 - 12.0 - 11.4	13.1 - 25.5 - 38.9 - 52.3 - 65.0 - 77.8 - 90.5 - 102.6 - 114.6 - 126.0 (38.9-35.5)			
200408010105	ダ	右	1200	晴	良	12:05	3歳500万下		2004-1-5	1	京都	1	3歳500万下	(混)(特指)(馬齢)	11	360	2	11.0	120	2.0	14.0	100	1.0	12.0	140.0	3.0	6-7	230	1	11-14	460.0	2.0	11-14	170	1.0	11-12	300	3.0	12-14	220	2.0	11=>14	930	3	11-12-14	560	1			12(8,10,16)14(3,7)-6,4(1,5)2-11-9,13 15	12(8,10,16,14)(3,7)6,4,1(2,5)-11(9,13) 15	12.3 - 11.1 - 11.9 - 12.6 - 12.7 - 13.1	12.3 - 23.4 - 35.3 - 47.9 - 60.6 - 73.7 (35.3-38.4)			
200408010106	ダ	右	1800	晴	良	12:55	4歳以上500万下		2004-1-5	1	京都	1	4歳以上500万下	(混)[指](別定)	8	560	3	8.0	220	4.0	4.0	130	1.0	7.0	210.0	3.0	3-5	490	1	4-8	1160.0	4.0	4-8	460	4.0	7-8	780	9.0	4-7	360	2.0	8=>4	2740	8	4-7-8	2150	5	5,8,4,7(3,13)9(1,14)-(6,10)11,2,12	5,8,4,7(3,13)9,1,14,6,10(2,11)-12	5,8(4,7,13)(3,9)(1,11)14,12(6,10)2	(*5,8)(4,7,13)(3,9,11)(1,12)2(6,14)10	12.2 - 11.7 - 12.9 - 12.6 - 13.0 - 13.0 - 12.8 - 13.1 - 13.1	12.2 - 23.9 - 36.8 - 49.4 - 62.4 - 75.4 - 88.2 - 101.3 - 114.4 (36.8-39.0)			
200408010107	ダ	右	1400	晴	良	13:25	4歳以上500万下		2004-1-5	1	京都	1	4歳以上500万下	(混)[指](別定)	5	450	2	5.0	160	2.0	12.0	970	12.0	10.0	280.0	3.0	3-6	6410	18	5-12	13130.0	33.0	5-12	3,500	34.0	5-10	710	5.0	10-12	6,840	58.0	5=>12	22380	49	5-10-12	38700	96			4,11,15(10,16)13(2,3,14)8(7,12)5(6,9)1	4,11(10,15)(13,16)(3,14)2(8,12)7(5,9)6,1	12.3 - 10.9 - 12.0 - 12.4 - 12.4 - 12.9 - 13.6	12.3 - 23.2 - 35.2 - 47.6 - 60.0 - 72.9 - 86.5 (35.2-38.9)			
200408010108	ダ	右	1800	晴	良	14:00	4歳以上1000万下		2004-1-5	1	京都	1	4歳以上1000万下	[指](別定)	7	130	1	7.0	100	1.0	2.0	120	2.0	3.0	200.0	3.0	2-6	230	1	2-7	230.0	1.0	2-7	150	1.0	3-7	440	5.0	2-3	740	10.0	7=>2	310	1	2-3-7	1140	3	2,1,12,5,4,6(7,11)-(9,8,10)3	2,1(4,5,12)-(7,6)11-9(8,10)3	2,1(4,12)5(7,11)(6,3)(9,10)8	2-1-(4,12)(7,5,3)6,9,11,10,8	12.5 - 11.6 - 12.9 - 12.5 - 12.6 - 12.3 - 12.5 - 12.8 - 13.6	12.5 - 24.1 - 37.0 - 49.5 - 62.1 - 74.4 - 86.9 - 99.7 - 113.3 (37.0-38.9)			
200408010109	芝	右	2000	晴	良	14:35	初夢賞 		2004-1-5	1	京都	1	4歳以上1000万下	(混)[指](別定)	7	270	2	7.0	120	1.0	5.0	210	4.0	4.0	210.0	3.0	5-6	510	3	5-7	1090.0	4.0	5-7	400	3.0	4-7	390	2.0	4-5	810	8.0	7=>5	1620	5	4-5-7	2180	5	12,6,4-11,2(1,3,7)(5,8,10)-9	12,6-4-11(2,3,7)(1,5,10)8-9	12,11(4,6,10,8)(2,7)(1,3,5)-9	(*12,11,8,5)10(4,7)(2,6)(1,3)-9	12.7 - 11.9 - 12.8 - 12.6 - 13.0 - 12.3 - 12.4 - 11.6 - 11.2 - 11.9	12.7 - 24.6 - 37.4 - 50.0 - 63.0 - 75.3 - 87.7 - 99.3 - 110.5 - 122.4 (37.4-34.7)			
200408010110	ダ	右	1400	晴	良	15:10	門松ステークス 		2004-1-5	1	京都	1	4歳以上1600万下	(混)[指](別定)	9	3250	6	9.0	820	6.0	2.0	410	4.0	14.0	420.0	5.0	1-5	9290	18	2-9	18840.0	27.0	2-9	3,920	25.0	9-14	5,910	39.0	2-14	2,370	19.0	9=>2	50460	57	2-9-14	66210	97			(*7,16)(8,12)(3,6,15)(2,9,14)(1,5,13)-(4,11)10	7(3,16,8)(2,6,12,15)9(1,5,14)13(10,4)11	12.0 - 11.1 - 11.8 - 12.1 - 12.2 - 12.6 - 13.1	12.0 - 23.1 - 34.9 - 47.0 - 59.2 - 71.8 - 84.9 (34.9-37.9)			
200408010111	芝	右	1600	晴	良	15:45	スポニチ賞京都金杯	G3	2004-1-5	1	京都	1	4歳以上オープン	(混)[指](ハンデ)	12	3070	9	12.0	470	8.0	5.0	140	1.0	10.0	370.0	7.0	3-6	1280	5	5-12	4750.0	18.0	5-12	1,810	21.0	10-12	5,170	58.0	5-10	920	8.0	12=>5	12940	45	5-10-12	20000	65			4,2(1,10)(6,8)(7,12)(3,14)-(11,15)9,16-13,5	4,2(1,10)(6,8)(7,12)(3,14)(11,15)(9,16)-13,5	12.2 - 11.0 - 11.2 - 11.6 - 11.6 - 11.8 - 11.5 - 12.4	12.2 - 23.2 - 34.4 - 46.0 - 57.6 - 69.4 - 80.9 - 93.3 (34.4-35.7)			
