	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200410010101	ダ	右	1700	晴	重	10:55	3歳未勝利		2004-1-17	1	小倉	1	3歳未勝利	(馬齢)	2	110	1	2	110	1	8	180	3	1.0	480	7.0	2-7	320	2	2-8	420.0	2.0	2-8	230	2.0	1-2	490	7.0	1-8	1,750	18.0	2=>8	500	2	1-2-8	3440	11	2(4,5,8)10,1,6-9,3,7	2(4,5,8)(1,10)-6-(3,9)7	2(8,10)-4,1,5-6(9,7)-3	2-8(4,10)1=7(9,5,6)-3	7.2 - 10.9 - 11.7 - 12.7 - 12.6 - 12.2 - 12.6 - 13.3 - 14.5	7.2 - 18.1 - 29.8 - 42.5 - 55.1 - 67.3 - 79.9 - 93.2 - 107.7 (29.8-40.4)
200410010102	芝	右	1800	晴	稍重	11:20	3歳未勝利		2004-1-17	1	小倉	1	3歳未勝利	牝(馬齢)	4	840	4	4	180	4	13	140	2	5.0	150	3.0	2-7	1160	5	4-13	1420.0	6.0	4-13	460	5.0	4-5	530	7.0	5-13	420	4.0	4=>13	3850	14	4-5-13	1890	6	(*4,10,14)(1,2)(5,15)(3,9,13)(7,11)(6,16)12-8	4,10(1,14)2(3,5,15)(9,13)(7,11)(6,16)12-8	(*4,10)14(1,3,5)(7,9,2,13)15(6,11,16)12-8	4(10,5)(1,3,14,13)(7,9)2(6,11)(12,16)8-15	12.5 - 11.3 - 12.2 - 12.4 - 12.4 - 12.3 - 11.9 - 11.9 - 12.1	12.5 - 23.8 - 36.0 - 48.4 - 60.8 - 73.1 - 85.0 - 96.9 - 109.0 (36.0-35.9)
200410010103	芝	右	1200	晴	稍重	11:45	3歳未勝利		2004-1-17	1	小倉	1	3歳未勝利	(馬齢)	8	5260	9	8	750	9	12	220	4	9.0	130	1.0	4-6	7440	20	8-12	17110.0	36.0	8-12	3,100	26.0	8-9	1,510	18.0	9-12	440	4.0	8=>12	53640	91	8-9-12	12010	34			(*1,8)-12-13(6,14,15)10(2,5,11)7,9-4,16-3,17	(*1,8)12-13,14,6(2,10,15)9(5,7)-11-(4,16)-3=17	12.0 - 10.3 - 10.9 - 11.4 - 11.8 - 13.0	12.0 - 22.3 - 33.2 - 44.6 - 56.4 - 69.4 (33.2-36.2)
200410010104	芝	右	2000	晴	稍重	12:10	3歳未勝利		2004-1-17	1	小倉	1	3歳未勝利	(混)(馬齢)	2	1990	5	2	460	9	1	120	1	7.0	460	8.0	1-1	1680	6	1-2	1530.0	6.0	1-2	650	6.0	2-7	3,030	28.0	1-7	1,250	11.0	2=>1	5500	15	1-2-7	12290	36	(*2,3)6(1,4,13)(12,17)(14,18)(7,9)11,15,16,10,5-8	2,3,6(1,4,13)12(7,9,17,18)14(16,15,11)10,5-8	2,3(1,4)(7,9,13)(6,18)12(16,14,17,11)15(10,5,8)	2,1(7,4)9(16,3)(14,18)11(10,12)(13,15,17)(5,8)6	12.2 - 11.1 - 11.6 - 12.8 - 12.3 - 12.5 - 12.5 - 12.3 - 12.4 - 12.9	12.2 - 23.3 - 34.9 - 47.7 - 60.0 - 72.5 - 85.0 - 97.3 - 109.7 - 122.6 (34.9-37.6)
200410010105	芝	右	1200	晴	稍重	12:35	3歳新馬		2004-1-17	1	小倉	1	3歳新馬	(混)(馬齢)	3	230	1	3	120	1	9	130	2	8.0	430	6.0	3-8	300	1	3-9	310.0	1.0	3-9	140	1.0	3-8	910	11.0	8-9	1,130	13.0	3=>9	690	1	3-8-9	2960	11			(3,*9)8(2,1)(4,6)-7=5	(3,*9)(1,4)8(2,7)6=5	12.5 - 10.9 - 11.5 - 12.1 - 12.1 - 11.9	12.5 - 23.4 - 34.9 - 47.0 - 59.1 - 71.0 (34.9-36.1)
200410010106	ダ	右	1700	晴	重	13:05	4歳以上500万下		2004-1-17	1	小倉	1	4歳以上500万下	牝(別定)	7	1350	7	7	290	5	12	440	8	11.0	270	4.0	4-7	3550	15	7-12	7500.0	32.0	7-12	2,180	30.0	7-11	1,400	20.0	11-12	1,140	14.0	7=>12	13420	62	7-11-12	15210	60	10(1,14)(5,6,12,13)11,9(2,7)15,4(3,8)	10(1,14)(5,12,13)(6,11)(2,7,9)(3,15)4,8	10(14,13)(12,11)(5,9)(6,7)2(1,3,8)15-4	10,14(12,11)(6,7,9)(5,13,3)(2,8)-(1,15)-4	7.0 - 11.4 - 11.9 - 12.9 - 12.5 - 12.3 - 12.7 - 12.9 - 13.2	7.0 - 18.4 - 30.3 - 43.2 - 55.7 - 68.0 - 80.7 - 93.6 - 106.8 (30.3-38.8)
200410010107	ダ	右	1000	晴	重	13:35	4歳以上500万下		2004-1-17	1	小倉	1	4歳以上500万下	(混)(別定)	7	470	3	7	220	3	4	2,640	12	5.0	540	7.0	3-5	1390	5	4-7	23740.0	49.0	4-7	8,810	56.0	5-7	1,890	16.0	4-5	13,190	67.0	7=>4	36790	77	4-5-7	142850	202			1(2,10)11,3(4,5,7)(6,9,12,13)(8,14)	(*1,2)(10,11)3(4,7)(6,9,5)(12,13)8,14	12.1 - 10.2 - 11.6 - 12.1 - 13.0	12.1 - 22.3 - 33.9 - 46.0 - 59.0 (33.9-36.7)
200410010108	芝	右	2600	晴	良	14:05	4歳以上500万下		2004-1-17	1	小倉	1	4歳以上500万下	(混)(別定)	15	600	3	15	210	4	3	490	8	6.0	200	2.0	2-8	9600	26	3-15	9090.0	29.0	3-15	3,270	33.0	6-15	650	7.0	3-6	1,660	21.0	15=>3	12700	42	3-6-15	16850	46	10,14(3,11)(6,13)2(9,15,16)(4,12)5,7,8 1	(*10,14)(3,11)6(2,13,16,12)(9,15)(4,5)7,8 1	10(14,12)3(6,11,13)2,15(4,9,5)(8,16,7) 1	(10,*3)(12,11,13)(6,15)2(4,9,5)8(14,7)16 1	12.6 - 11.3 - 12.3 - 12.6 - 13.3 - 13.2 - 13.9 - 12.3 - 11.7 - 11.9 - 11.9 - 11.9 - 12.3	12.6 - 23.9 - 36.2 - 48.8 - 62.1 - 75.3 - 89.2 - 101.5 - 113.2 - 125.1 - 137.0 - 148.9 - 161.2 (36.2-36.1)
200410010109	芝	右	1200	晴	良	14:35	4歳以上500万下		2004-1-17	1	小倉	1	4歳以上500万下	(別定)	9	180	1	9	110	1	4	260	4	15.0	640	10.0	2-5	550	1	4-9	1100.0	3.0	4-9	580	4.0	9-15	1,400	14.0	4-15	6,350	58.0	9=>4	1760	3	4-9-15	9460	26			(*4,9)(2,3,13)(12,8)7,5,15(11,10,14)(6,1,16,17)-18	(4,*9)(2,13,8)-(7,3,12)15,14(11,10)1(5,6)17(18,16)	12.0 - 10.4 - 10.8 - 11.4 - 12.0 - 12.8	12.0 - 22.4 - 33.2 - 44.6 - 56.6 - 69.4 (33.2-36.2)
200410010110	芝	右	2000	晴	良	15:05	背振山特別 		2004-1-17	1	小倉	1	4歳以上500万下	(混)(別定)	4	400	2	4	230	2	3	260	3	7.0	1,320	13.0	2-2	1590	7	3-4	1550.0	5.0	3-4	700	5.0	4-7	4,070	41.0	3-7	5,460	60.0	4=>3	2610	7	3-4-7	27700	81	2,5(4,9)(7,12)(3,13,16)(6,14)(1,8,11,15)17(10,18)	2-5(4,9)7,12(3,13,16)(6,14)(1,8,11,15)-(10,18,17)	2(4,5,9)7(3,12)13(1,6,14)16(8,15)(10,11)(18,17)	(*2,9)(4,7)3,5(1,13)(10,6)(8,12,18)(11,14)15,17,16	12.5 - 11.0 - 11.6 - 12.2 - 12.1 - 12.1 - 11.9 - 12.1 - 12.6 - 12.6	12.5 - 23.5 - 35.1 - 47.3 - 59.4 - 71.5 - 83.4 - 95.5 - 108.1 - 120.7 (35.1-37.3)
