	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連単:的中	三連単:配当	三連単:人気
200501010101	芝	右	1500	晴	良	10:40	2歳未勝利		2005-8-13	1	札幌	1	2歳未勝利	(混)[指](馬齢)	5	380	2	5	200	3	1	190	2	8.0	430	6.0	1-5	1470.0	8.0	1-5	1290	6	1-5	540	8	5-8	1,110	13	1-8	1,330	14	5=>1	2480	10	1-5-8	5230	16		5(1,10)7,3,4(6,9)8 2	(*1,5)(10,7,3,4)(6,8,9) 2	1,5(10,7)(3,4)(6,8)-9 2	6.7 - 11.3 - 11.1 - 12.6 - 12.0 - 11.9 - 12.2 - 13.5	6.7 - 18.0 - 29.1 - 41.7 - 53.7 - 65.6 - 77.8 - 91.3 (29.1-37.6)			
200501010102	ダ	右	1000	晴	良	11:10	3歳未勝利		2005-8-13	1	札幌	1	3歳未勝利	(混)[指](馬齢)	4	7320	9	4	1,310	7	1	260	4	7.0	390	6.0	1-4	18920.0	21.0	1-4	25880	35	1-4	5,110	31	4-7	7,680	37	1-7	1,330	13	4=>1	70930	74	1-4-7	33180	60			(*1,5,7,10)-(4,9)-(2,8,11)3-6,12	1(7,10)-5,4-9-2-11,3,8-6-12	12.7 - 11.1 - 11.7 - 12.0 - 13.1	12.7 - 23.8 - 35.5 - 47.5 - 60.6 (35.5-36.8)			
200501010103	ダ	右	1700	晴	良	11:40	3歳未勝利		2005-8-13	1	札幌	1	3歳未勝利	[指](馬齢)	13	640	3	13	250	3	5	240	2	10.0	340	6.0	4-8	470.0	2.0	5-13	1880	7	5-13	580	5	10-13	920	15	5-10	780	9	13=>5	3750	11	5-10-13	5190	18	5,9(4,13)3-10,12,6,11,7,8(1,2)	5(9,13)4-3(10,12)(6,11)7(2,8)1	5(9,13)4-3,10(6,11)12,2(7,8)-1	13,5-4,9,3(6,10)(11,2)12,7-8=1	6.8 - 11.4 - 12.3 - 13.1 - 13.0 - 12.7 - 12.5 - 12.3 - 13.2	6.8 - 18.2 - 30.5 - 43.6 - 56.6 - 69.3 - 81.8 - 94.1 - 107.3 (30.5-38.0)			
200501010104	芝	右	1200	晴	良	12:30	2歳新馬		2005-8-13	1	札幌	1	2歳新馬	(混)[指](馬齢)	3	340	2	3	170	2	8	190	3	10.0	2,070	11.0	3-6	690.0	3.0	3-8	840	3	3-8	450	3	3-10	4,760	38	8-10	5,620	45	3=>8	1620	4	3-8-10	33900	74			(*6,8)(4,11)3,2-5-9(7,12)-(10,13)-1	6(3,8)(4,11)-2,12,5-(7,9)10-13-1	12.3 - 10.9 - 11.5 - 11.8 - 11.7 - 12.2	12.3 - 23.2 - 34.7 - 46.5 - 58.2 - 70.4 (34.7-35.7)			
200501010105	芝	右	2000	晴	良	13:05	3歳未勝利		2005-8-13	1	札幌	1	3歳未勝利	(混)[指](馬齢)	12	1480	7	12	350	6	10	340	5	6.0	250	4.0	5-6	6620.0	21.0	10-12	6520	25	10-12	1,410	20	6-12	1,250	17	6-10	970	11	12=>10	12100	47	6-10-12	10290	38	16-3(2,13)(6,9)-(4,10,12)(14,15)(5,7)8-11=1	16=3-13,2,9,6(4,10,12)(14,15)5,7,8-11-1	16=3(2,13)(6,10,9)12(4,7,14)-(5,15)8-11,1	16-(3,13)(2,10,9)(6,12)(4,7,14)(5,8)1-15-11	12.6 - 10.6 - 11.8 - 12.3 - 12.4 - 12.8 - 12.5 - 12.7 - 12.9 - 12.5	12.6 - 23.2 - 35.0 - 47.3 - 59.7 - 72.5 - 85.0 - 97.7 - 110.6 - 123.1 (35.0-38.1)			
200501010106	ダ	右	1000	晴	良	13:40	3歳以上500万下		2005-8-13	1	札幌	1	3歳以上500万下	牝[指](別定)	11	260	2	11	130	2	1	120	1	9.0	330	6.0	1-8	300.0	1.0	1-11	300	1	1-11	160	1	9-11	560	9	1-9	640	11	11=>1	730	2	1-9-11	1390	4			1(2,3,11)-(9,10)-(5,7,6)8,4	1(2,3,11)-9,10(5,6)(4,7)-8	12.6 - 11.1 - 11.7 - 11.8 - 12.4	12.6 - 23.7 - 35.4 - 47.2 - 59.6 (35.4-35.9)			
200501010107	ダ	右	1700	晴	良	14:15	3歳以上500万下		2005-8-13	1	札幌	1	3歳以上500万下	(特指)(別定)	9	2030	8	9	540	8	3	260	5	1.0	260	4.0	3-6	7000.0	26.0	3-9	7330	25	3-9	1,850	26	1-9	1,840	25	1-3	1,150	18	9=>3	14560	53	1-3-9	17560	61	12,3-(6,7)4,10(2,9)8-(5,13)-1-11	12,3-6(4,7)9(2,10)8-(5,13)-1-11	(*12,3)7(4,9,6,10)(2,8)13,5,1-11	(*12,3)9(4,7)13(2,10)(1,8)5,6,11	6.8 - 10.9 - 12.0 - 13.0 - 13.2 - 12.8 - 12.6 - 12.4 - 12.6	6.8 - 17.7 - 29.7 - 42.7 - 55.9 - 68.7 - 81.3 - 93.7 - 106.3 (29.7-37.6)			
200501010108	芝	右	2600	晴	良	14:50	3歳以上500万下		2005-8-13	1	札幌	1	3歳以上500万下	(混)(特指)(別定)	8	360	1	8	150	1	1	270	5	7.0	630	10.0	1-5	1460.0	5.0	1-8	1770	5	1-8	670	6	7-8	1,990	27	1-7	4,910	58	8=>1	2760	6	1-7-8	18310	67	(*5,9)(8,12,13)(1,11)(7,6)(2,3,10)-14=4	5,9(8,12,13)1(7,6)(3,11)10(2,14)=4	5,9(8,12,13,10)1(3,6)7(2,14)-(11,4)	(5,*10)9(8,1,12,6)(3,13)(7,2,14)4=11	13.2 - 12.1 - 11.5 - 12.6 - 12.7 - 12.8 - 13.1 - 12.9 - 12.8 - 12.4 - 11.9 - 12.0 - 12.2	13.2 - 25.3 - 36.8 - 49.4 - 62.1 - 74.9 - 88.0 - 100.9 - 113.7 - 126.1 - 138.0 - 150.0 - 162.2 (36.8-36.1)			
200501010109	芝	右	1200	晴	良	15:25	札幌日刊スポーツ杯 		2005-8-13	1	札幌	1	3歳以上オープン	(混)(指)(別定)	9	470	3	9	210	3	11	220	4	10.0	680	8.0	7-8	1130.0	6.0	9-11	1790	8	9-11	740	9	9-10	1,960	23	10-11	3,160	31	9=>11	2820	11	9-10-11	19280	59			(*9,10)11,7(4,12)(2,6)(1,8)5,3	9,10(7,11)12(2,4,6,8)(1,3)-5	12.4 - 11.4 - 11.5 - 11.3 - 11.0 - 11.3	12.4 - 23.8 - 35.3 - 46.6 - 57.6 - 68.9 (35.3-33.6)	9=>11=>10	77730.0	239.0
200501010110	ダ	右	1700	晴	良	16:00	羊蹄山特別 		2005-8-13	1	札幌	1	3歳以上1000万下	(混)(特指)(別定)	8	1220	6	8	280	4	4	280	5	7.0	220	2.0	4-6	1380.0	6.0	4-8	3900	18	4-8	1,190	15	7-8	1,120	12	4-7	1,170	13	8=>4	9310	42	4-7-8	9940	38	1,5(3,7)11(8,9)10,13,6,12-2,4	1,5,3,7,11,8(9,10)6,13,12=(4,2)	1(5,7)(3,8,11)10,9(6,12,13)2,4	(*1,7)8,5-(3,11)(4,9,10)(6,2,12,13)	6.8 - 10.9 - 11.6 - 12.4 - 12.7 - 12.7 - 12.5 - 12.4 - 12.6	6.8 - 17.7 - 29.3 - 41.7 - 54.4 - 67.1 - 79.6 - 92.0 - 104.6 (29.3-37.5)	8=>4=>7	70220.0	244.0
