	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連単:的中	三連単:配当	三連単:人気
200503010101	ダ	右	1700	晴	良	09:55	3歳未勝利		2005-4-2	1	福島	1	3歳未勝利	(父)[指](馬齢)	8	140	1	8	110	1	4	190	4	5	120	2	4-8	670.0	3.0	4-8	700	3	4-8	240	3	5-8	120	1	4-5	290	4	8=>4	870	4	4-5-8	430	2	4,8(1,3)7,6(5,9)-2	4,8(1,3)(6,7)(5,9)-2	(*4,8)-(5,7,9)3,6(1,2)	(*4,8)-5-7,9-6,3(1,2)	7.2 - 12.1 - 12.4 - 13.3 - 13.2 - 12.5 - 12.2 - 12.4 - 12.9	7.2 - 19.3 - 31.7 - 45.0 - 58.2 - 70.7 - 82.9 - 95.3 - 108.2 (31.7-37.5)			
200503010102	ダ	右	1700	晴	良	10:25	3歳未勝利		2005-4-2	1	福島	1	3歳未勝利	(混)[指](馬齢)	6	280	2	6	110	1	11	120	2	5	210	4	5-8	230.0	1.0	6-11	390	1	6-11	180	1	5-6	300	3	5-11	350	4	6=>11	840	2	5-6-11	800	2	5,9(4,11)(6,7,12)-(1,8,10)-2=3	(*5,9)(4,11)(6,12)7-(1,8)10,2=3	(*5,9)11(4,6,12)7-(1,8)-10,2=3	(*5,9,11)4,6-(1,12)7,8=10-2=3	7.0 - 11.2 - 11.8 - 13.1 - 13.3 - 12.8 - 13.0 - 13.4 - 13.6	7.0 - 18.2 - 30.0 - 43.1 - 56.4 - 69.2 - 82.2 - 95.6 - 109.2 (30.0-40.0)			
200503010103	ダ	右	1150	晴	良	10:55	3歳未勝利		2005-4-2	1	福島	1	3歳未勝利	[指](馬齢)	5	270	1	5	110	1	10	150	4	6	130	2	5-8	380.0	1.0	5-10	520	2	5-10	220	2	5-6	170	1	6-10	300	3	5=>10	1080	4	5-6-10	620	1			10(2,7,11)5-8,9-6(3,4,1)	(2,*10)(7,11,5)-8,9,6-3,1-4	9.8 - 11.3 - 11.5 - 12.1 - 12.6 - 12.9	9.8 - 21.1 - 32.6 - 44.7 - 57.3 - 70.2 (32.6-37.6)			
200503010104	芝	右	2000	晴	良	11:25	3歳未勝利		2005-4-2	1	福島	1	3歳未勝利	牝[指](馬齢)	15	320	2	15	120	2	8	120	1	6	270	5	4-8	350.0	1.0	8-15	370	1	8-15	180	1	6-15	530	6	6-8	780	9	15=>8	720	2	6-8-15	1390	3	15(10,11)(6,16)-(8,14)9(2,7)(5,13)(1,4)(3,12)	15,10(6,11)16(8,14)(9,7)2(5,13)(1,4)(3,12)	15,10(6,11)16(8,14,7)2(9,5)(1,4,13)-(3,12)	15(6,10)(8,16)-7,14,2(9,11,4,5)(1,13)3-12	12.4 - 11.6 - 11.7 - 12.8 - 12.8 - 12.8 - 12.4 - 12.0 - 11.5 - 12.0	12.4 - 24.0 - 35.7 - 48.5 - 61.3 - 74.1 - 86.5 - 98.5 - 110.0 - 122.0 (35.7-35.5)			
200503010105	芝	右	1200	晴	良	11:55	3歳未勝利		2005-4-2	1	福島	1	3歳未勝利	(混)[指](馬齢)	5	1030	4	5	300	4	6	2,670	13	12	230	3	3-3	55320.0	33.0	5-6	42080	60	5-6	12,460	64	5-12	1,470	12	6-12	11,940	63	5=>6	76450	117	5-6-12	130820	187			(*9,16)(5,12)(6,10)(3,7,15)4,2(13,8)-(1,14)-11	9,16(5,12)(6,10)(3,7)(4,2,15)(1,13,8)-14-11	12.4 - 10.8 - 11.3 - 11.7 - 11.8 - 12.5	12.4 - 23.2 - 34.5 - 46.2 - 58.0 - 70.5 (34.5-36.0)			
200503010106	ダ	右	2400	晴	良	12:45	4歳以上500万下		2005-4-2	1	福島	1	4歳以上500万下	(混)[指](別定)	12	1460	5	12	200	3	7	110	1	11	130	2	4-7	1010.0	5.0	7-12	930	3	7-12	350	2	11-12	650	7	7-11	190	1	12=>7	3420	11	7-11-12	1200	1	(*4,7)13(3,8,14)-(5,9)-10,11(2,15)-12(6,1)	(*4,7)(3,8,13,14)-(5,9)10,11,15,12(2,1)6	7-12-(5,3)(8,1)9(11,6)(2,15)10,4,14=13	(*7,12)=(5,1)(9,3)(8,11)(2,6)15,10=4-14=13	13.3 - 11.6 - 12.3 - 12.6 - 12.7 - 12.9 - 13.6 - 13.5 - 13.1 - 13.1 - 13.0 - 13.2	13.3 - 24.9 - 37.2 - 49.8 - 62.5 - 75.4 - 89.0 - 102.5 - 115.6 - 128.7 - 141.7 - 154.9 (37.2-39.3)			
200503010107	芝	右	1800	晴	良	13:15	4歳以上500万下		2005-4-2	1	福島	1	4歳以上500万下	牝[指](別定)	5	1480	6	5	410	6	12	430	7	7	130	1	3-6	8340.0	24.0	5-12	14110	35	5-12	3,250	35	5-7	890	9	7-12	510	4	5=>12	25770	68	5-7-12	8680	27	6,9(1,7,10)(5,8)(12,14)(3,4,16)11,15,2,13	6(9,10)(1,7)(5,14)(8,16)12(11,15)(3,4)(2,13)	6(9,10)(1,5,7)(14,16)(12,8,11)(4,15,13)(3,2)	(6,*9,10)(1,5,7)(4,12,11)(8,14,16)(3,2,15)13	12.6 - 10.8 - 12.5 - 12.6 - 12.9 - 12.4 - 12.1 - 11.6 - 11.9	12.6 - 23.4 - 35.9 - 48.5 - 61.4 - 73.8 - 85.9 - 97.5 - 109.4 (35.9-35.6)			
200503010108	ダ	右	1150	晴	良	13:45	4歳以上500万下		2005-4-2	1	福島	1	4歳以上500万下	[指](別定)	11	4010	11	11	1,440	11	8	830	10	4	320	3	5-6	7780.0	22.0	8-11	50540	83	8-11	13,340	81	4-11	9,950	69	4-8	3,220	39	11=>8	97550	162	4-8-11	172850	279			(*9,11)(8,10,12,13)(6,4,5)(14,15)(7,3)-2-1	(9,*11,8)4(12,13)(6,10)5(7,3,15)(2,14)-1	9.6 - 11.1 - 11.7 - 12.2 - 12.2 - 13.0	9.6 - 20.7 - 32.4 - 44.6 - 56.8 - 69.8 (32.4-37.4)			
200503010109	ダ	右	1700	晴	良	14:20	花見山特別 		2005-4-2	1	福島	1	4歳以上500万下	(混)[指](別定)	1	180	1	1	100	1	3	130	2	11	130	3	1-3	490.0	2.0	1-3	520	2	1-3	140	1	1-11	160	2	3-11	270	3	1=>3	790	2	1-3-11	640	1	1(3,7)(4,9,11)(2,10)(5,6)8	1(3,7)(4,9,11)10(2,5)(8,6)	1(7,11)(3,4)(9,10)(2,5)6,8	1(7,11)(3,4)-2,5,10(9,6)-8	7.2 - 11.6 - 12.3 - 13.2 - 13.2 - 12.3 - 12.3 - 12.2 - 12.5	7.2 - 18.8 - 31.1 - 44.3 - 57.5 - 69.8 - 82.1 - 94.3 - 106.8 (31.1-37.0)	1=>3=>11	2150.0	2.0
200503010110	芝	右	1800	晴	良	14:55	ひめさゆり賞 		2005-4-2	1	福島	1	3歳500万下	(混)(特指)(馬齢)	10	520	2	10	160	2	8	110	1	7	490	8	7-8	380.0	1.0	8-10	510	1	8-10	240	1	7-10	1,830	20	7-8	1,330	17	10=>8	1580	5	7-8-10	7050	23	3,1,9,7(4,5,6)2-(10,8)	3(1,9)-(7,5,6)4,2(10,8)	3,9(7,1,6)(4,8)(2,5,10)	(*3,9,6,8)4(7,10)1(2,5)	12.4 - 10.3 - 12.8 - 12.3 - 12.6 - 12.5 - 12.0 - 11.7 - 11.9	12.4 - 22.7 - 35.5 - 47.8 - 60.4 - 72.9 - 84.9 - 96.6 - 108.5 (35.5-35.6)	10=>8=>7	30430.0	106.0
