	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連単:的中	三連単:配当	三連単:人気
200507010101	ダ	左	1700	晴	稍重	09:55	3歳未勝利		2005-3-5	1	中京	1	3歳未勝利	牝[指](馬齢)	12	950	4	12	300	4	2	160	2	5	330	5	2-7	370	1	2-12	1610	7	2-12	720	8	5-12	1,790	22	2-5	640	6	12=>2	4120	15	2-5-12	5190	18	(*7,13)15-(4,12)5,2(1,11)-(14,6)-(3,8,9) 10	(*7,13)15(4,12)5(2,11)1,6,14,9,8,3 10	(*7,13,12)-5-(2,15,11)6-9,1,4,14-8,3 10	(*7,12)13-5-2-(6,11)15-9-1-(4,14,8)-3 10	6.9 - 11.1 - 12.1 - 14.4 - 13.5 - 12.6 - 13.1 - 13.2 - 13.4	6.9 - 18.0 - 30.1 - 44.5 - 58.0 - 70.6 - 83.7 - 96.9 - 110.3 (30.1-39.7)			
200507010102	ダ	左	1000	晴	稍重	10:25	3歳未勝利		2005-3-5	1	中京	1	3歳未勝利	(混)[指](馬齢)	2	510	2	2	210	4	10	180	2	13	210	3	2-7	1270	6	2-10	1840	7	2-10	730	10	2-13	700	9	10-13	660	8	2=>10	3800	15	2-10-13	3950	13			2,4,10-(5,13)1,11-6(3,7)-8-12-9	2(4,10)-13-5(1,11)-6(3,7)-8-12=9	12.4 - 11.1 - 12.0 - 12.4 - 13.1	12.4 - 23.5 - 35.5 - 47.9 - 61.0 (35.5-37.5)			
200507010103	ダ	左	1700	晴	稍重	10:55	3歳未勝利		2005-3-5	1	中京	1	3歳未勝利	[指](馬齢)	8	2050	4	8	350	6	3	110	1	1	240	3	2-4	1270	5	3-8	1160	3	3-8	580	3	1-8	1,910	19	1-3	470	2	8=>3	4680	13	1-3-8	3130	9	(*3,5,9)8(14,16)(13,12,15,10)-6(1,11)2,4 7	3(5,9)8,16(13,12,14,10)15(6,11)1,2,4 7	(*3,5,9)(8,10)-12(16,1)15,13,14-(6,11)-2=4 7	3(8,5,9)-(12,10)(13,1)16,15-(6,14)11-2=4 7	7.2 - 11.4 - 11.7 - 13.7 - 13.1 - 12.9 - 13.8 - 13.9 - 13.1	7.2 - 18.6 - 30.3 - 44.0 - 57.1 - 70.0 - 83.8 - 97.7 - 110.8 (30.3-40.8)			
200507010104	芝	左	2000	晴	良	11:25	3歳未勝利		2005-3-5	1	中京	1	3歳未勝利	(混)[指](馬齢)	15	1270	6	15	320	5	4	210	3	1	200	2	2-8	2030	9	4-15	3090	11	4-15	1,040	15	1-15	810	9	1-4	640	5	15=>4	5970	23	1-4-15	3540	9	13(5,15)(3,16)(1,10,12)8,2(4,6)-(9,14)-(7,11)	13(5,15)(3,16)(1,10,12)-(2,8)(4,6)-(9,14)-(7,11)	(*13,5)15-(3,16)(1,10,12,8)-4-6(2,11)9-(7,14)	15(13,5)(3,8)(1,16)4(10,12)-(11,6)2,9,7-14	12.1 - 11.1 - 11.4 - 12.9 - 12.7 - 12.1 - 12.2 - 12.5 - 12.2 - 12.9	12.1 - 23.2 - 34.6 - 47.5 - 60.2 - 72.3 - 84.5 - 97.0 - 109.2 - 122.1 (34.6-37.6)			
200507010105	ダ	左	1000	晴	稍重	11:55	4歳以上500万下		2005-3-5	1	中京	1	4歳以上500万下	牝[指](別定)	1	820	2	1	290	4	4	480	6	13	3,080	11	1-3	3870	14	1-4	6810	21	1-4	1,830	17	1-13	9,010	50	4-13	11,420	55	1=>4	15170	40	1-4-13	134900	178			(*1,4)(10,12)13(8,14)5(2,11)(9,15)(3,6)7	1,4(10,12)13,8(5,14)(2,11)(3,9,15,6)7	12.3 - 11.0 - 12.2 - 12.4 - 12.6	12.3 - 23.3 - 35.5 - 47.9 - 60.5 (35.5-37.2)			
200507010106	ダ	左	1700	晴	良	12:45	4歳以上500万下		2005-3-5	1	中京	1	4歳以上500万下	[指](別定)	13	990	6	13	300	6	3	430	7	14	200	3	2-7	370	1	3-13	4380	20	3-13	1,270	16	13-14	660	6	3-14	1,380	18	13=>3	9670	39	3-13-14	7070	23	13(14,15)(3,5)(2,16)(4,11)(1,7)(8,12)(6,10)-9	13,14,15(3,5)(2,16)11,4,7(1,8,12)(6,10)9	13,14(3,15,5)11(2,16,9)(4,7)1(8,12)(6,10)	13,14(3,5)15,11(2,16,9)(1,4,7)(8,12)-6,10	6.9 - 11.0 - 12.1 - 13.8 - 13.1 - 13.1 - 12.8 - 12.2 - 12.4	6.9 - 17.9 - 30.0 - 43.8 - 56.9 - 70.0 - 82.8 - 95.0 - 107.4 (30.0-37.4)			
200507010107	ダ	左	1000	晴	良	13:15	4歳以上500万下		2005-3-5	1	中京	1	4歳以上500万下	[指](別定)	6	200	1	6	130	1	14	150	2	10	340	7	3-7	340	1	6-14	530	1	6-14	270	1	6-10	1,000	12	10-14	1,500	18	6=>14	920	1	6-10-14	3520	9			(*15,16)(6,14)7(1,2)-(3,13)9(4,8,10)(5,12)-11	(*15,16)6(2,14)(1,7)(3,13)(9,10)4(5,8,12)-11	12.4 - 10.9 - 12.4 - 12.8 - 12.6	12.4 - 23.3 - 35.7 - 48.5 - 61.1 (35.7-37.8)			
200507010108	芝	左	2500	晴	良	13:45	4歳以上500万下		2005-3-5	1	中京	1	4歳以上500万下	(混)[指](別定)	1	2420	9	1	920	10	9	2,470	14	2	180	1	1-5	7710	25	1-9	87590	86	1-9	24,960	94	1-2	1,910	22	2-9	6,210	51	1=>9	302950	191	1-2-9	196610	235	9(10,12)1,11(3,8,16)13,2,4(7,14)(6,5)-15	(*9,10)12,1,11(3,8)(2,13,16)-(7,4)(6,14)5-15	9(10,12)1(3,8)(7,11,13,2)(6,4)5(14,15)-16	9,1(10,12)(7,3,8,2)(11,13)(6,4,5)-(14,15)=16	7.3 - 11.5 - 11.7 - 12.3 - 12.7 - 12.8 - 13.6 - 12.9 - 12.6 - 12.1 - 12.0 - 12.0 - 12.2	7.3 - 18.8 - 30.5 - 42.8 - 55.5 - 68.3 - 81.9 - 94.8 - 107.4 - 119.5 - 131.5 - 143.5 - 155.7 (30.5-36.2)			
200507010109	ダ	左	1700	晴	良	14:20	4歳以上500万下		2005-3-5	1	中京	1	4歳以上500万下	[指](別定)	8	1370	4	8	480	6	2	390	4	6	470	5	1-4	4510	16	2-8	4610	16	2-8	1,510	14	6-8	1,730	17	2-6	1,870	19	8=>2	10090	28	2-6-8	14260	45	(*8,15)13(2,9)11(3,7,16)(5,6)(1,14)-12-(4,10)	8,15(2,9,13)(3,11,16)(6,7)(5,14)1-12(4,10)	8,15(2,9,13)(3,11,16)(6,7)(5,4,10,14)-(1,12)	8(2,15)(3,9)13(6,11,16)7(5,4,10)(1,12,14)	6.9 - 11.4 - 11.7 - 13.3 - 12.9 - 12.7 - 13.1 - 12.4 - 12.6	6.9 - 18.3 - 30.0 - 43.3 - 56.2 - 68.9 - 82.0 - 94.4 - 107.0 (30.0-38.1)	8=>2=>6	82930.0	225.0
200507010110	芝	左	1800	晴	良	14:55	あざみ賞 		2005-3-5	1	中京	1	3歳500万下	(混)(特指)(馬齢)	8	820	5	8	290	5	1	240	2	9	880	9	1-6	2520	14	1-8	2930	17	1-8	910	12	8-9	2,170	30	1-9	2,670	32	8=>1	6060	33	1-8-9	22900	73	(*1,8)(5,9)(7,11,13)(2,4)(3,12)(6,10)	1,8(5,9)(7,11,13)4,2(3,12)10,6	(*1,8)(5,9,11,13)(7,4)(12,10)(2,3)-6	(*1,8)(5,9,11,13,10)(12,7,4)-2,3-6	12.8 - 11.1 - 13.2 - 12.7 - 12.3 - 12.1 - 12.2 - 11.7 - 11.7	12.8 - 23.9 - 37.1 - 49.8 - 62.1 - 74.2 - 86.4 - 98.1 - 109.8 (37.1-35.6)	8=>1=>9	121350.0	402.0
