着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	8	11	---	5	2002106604	牝	3	439.0	-8.0	53	96.8	0	1-1-1		a0163	05574	x046ef	38.0	200551022201
2	4	4	---	1	2002106769	牝	3	438.0	0.0	53	96.8	クビ	3-4-5		05203	05289	038002	11.4	200551022201
3	6	7	---	3	2002104083	牝	3	408.0	-4.0	53	97.1	2	6-5-2		05338	a00b5	160800	5.7	200551022201
4	3	3	---	2	2002102148	牝	3	504.0	-11.0	53	97.6	3	4-2-3		05263	05321	564008	3.4	200551022201
5	7	9	---	4	2002104089	牝	3	445.0	-10.0	51	98.1	3	5-6-6		a01ff	a00b5	160800	2.2	200551022201
6	6	6	---	8	2002101910	牡	3	489.0	-2.0	54	98.3	3/4	11-7-7		a0086	05600	178033	0.0	200551022201
7	8	10	---	7	2002105847	牝	3	456.0	-14.0	53	98.4	クビ	2-2-3		a0179	05266	x030f3	0.0	200551022201
8	7	8	---	10	2002102777	牝	3	442.0	-5.0	53	99.0	4	8-7-9		05228	05352	775008	0.0	200551022201
9	2	2	---	6	2002105231	牡	3	456.0	-7.0	54	99.3	1.1/2	9-10-10		05381	05285	x00964	0.0	200551022201
10	5	5	---	11	2002106376	牝	3	406.0	-5.0	53	99.5	1.1/2	7-9-9		05379	05285	x00964	0.0	200551022201
11	1	1	---	9	2002103425	牝	3	414.0	4.0	53	100.6	7	10-11-11		a0087	05531	x03818	0.0	200551022201
1	7	9	---	10	2002106174	牡	3	421.0	-9.0	54	96.5	0	3-1-1		05317	05448	x01bfa	38.0	200551022202
2	5	5	---	3	2002106545	牝	3	442.0	7.0	53	96.9	2.1/2	8-6-4		a0086	05437	x008d1	11.4	200551022202
3	8	11	---	11	2002104614	牝	3	426.0	-3.0	53	97.0	3/4	10-9-5		05259	05404	881006	5.7	200551022202
4	2	2	---	2	2002101375	牝	3	442.0	-4.0	53	97.8	5	6-2-2		05203	05289	824007	3.4	200551022202
5	1	1	---	6	2002105851	牝	3	413.0	-5.0	53	97.8	クビ	9-10-10		05326	a00ae	926007	2.2	200551022202
6	7	8	---	8	2002102026	牡	3	460.0	2.0	54	97.9	クビ	5-3-3		05102	05466	191008	0.0	200551022202
7	4	4	---	7	2002104224	牝	3	444.0	-5.0	53	98.3	2.1/2	7-8-9		05228	05478	638006	0.0	200551022202
8	6	6	---	1	2002103007	牝	3	494.0	-1.0	53	98.8	3	4-6-6		05328	05347	x03e3b	0.0	200551022202
9	8	10	---	5	2002101994	牡	3	437.0	-2.0	54	99.7	5	11-11-11		a008c	05448	x010d1	0.0	200551022202
10	6	7	---	4	2002109426	牝	3	457.0	-6.0	53	99.8	3/4	2-5-8		05379	05437	x008d1	0.0	200551022202
11	3	3	---	9	2002105832	牝	3	428.0	3.0	53	100.4	3.1/2	1-4-6		05482	a021e	x04939	0.0	200551022202
1	6	7	---	1	2001103702	牡	4	505.0	0.0	56	94.8	0	8-3-3		05228	05387	976008	38.0	200551022203
2	8	11	---	2	2001104765	牝	4	470.0	0.0	54	95.1	2	1-1-1		05203	05309	367800	11.4	200551022203
3	7	9	---	8	2000106551	牝	5	427.0	-9.0	52	95.3	3/4	3-2-2		a0209	05389	531006	5.7	200551022203
4	4	4	---	4	2001101260	牡	4	443.0	-3.0	56	96.2	5	2-5-4		05379	05264	193008	3.4	200551022203
5	3	3	---	3	2001107700	牝	4	428.0	-5.0	54	96.5	1.1/2	7-7-7		05217	05352	x01a5a	2.2	200551022203
6	5	5	---	10	2001109142	牡	4	443.0	-6.0	56	96.7	1.1/4	11-8-8		05317	a00b1	063008	0.0	200551022203
7	7	10	---	6	2001106011	牡	4	560.0	0.0	56	97.3	3.1/2	5-4-6		a0179	a00bf	x030f3	0.0	200551022203
8	6	8	---	5	2001102954	牝	4	434.0	-6.0	54	97.4	3/4	4-5-5		05259	05385	x03a0f	0.0	200551022203
9	2	2	---	7	2001102617	牝	4	402.0	-2.0	54	98.4	6	12-11-10		a01e6	a00b5	x01a03	0.0	200551022203
10	8	12	---	12	2001109404	牝	4	372.0	-8.0	53	99.0	3.1/2	6-9-9		a01e7	05470	x00ccc	0.0	200551022203
11	1	1	---	11	2001104191	牝	4	421.0	0.0	54	99.5	3	9-10-11		a007f	05534	x030e7	0.0	200551022203
12	5	6	---	9	2000101808	牝	5	387.0	-4.0	54	103.3	大	10-12-12		a0087	a00c0	937005	0.0	200551022203
1	2	2	---	1	2001101528	牡	4	515.0	0.0	56	95.6	0	9-4-2		05364	05370	948006	38.0	200551022204
2	7	9	---	7	2001105730	牝	4	434.0	4.0	54	96.2	3.1/2	1-1-1		05328	05470	x016e6	11.4	200551022204
3	7	10	---	4	2001103347	牝	4	455.0	-1.0	54	96.3	1/2	6-2-2		05282	a00c0	x02763	5.7	200551022204
4	5	5	---	6	2001106409	牝	4	426.0	1.0	54	96.5	1.1/2	8-7-7		05228	05586	x01a2a	3.4	200551022204
