着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
2		9	---		2000190009	牝	5			55.0	108.8	0.0			431	5554	739800	0.0	2005A6050102
1		2	---		2000190010	牡	5			55.0	151.4	0.0			0フォーチ	5127	652008	0.0	2005A6050103
4		6	---		1998190013	牡	7			57.0	152.4	5.0			00431	804	584008	0.0	2005A6050103
2		2	---		2000190010	牡	5			57.0	157.3	0			0フォーチ	5127	652008	0.0	2005A6060304
4		7	---		1998190013	牡	7			57.0	157.9	3/4			00431	804	584008	0.0	2005A6060304
1		5	---		000a010c91	牡	3				155.69	0.0			J.Murtag	[外] M.Bell	00nan	0.0	2005A6060405
2		12	---		000a016b0f	牡	3								A.ムンロ	[外] J.ハモンド	00nan	0.0	2005A6060405
3		4	---		000a0115e2	牡	3								L.デットーリ	[外] S.ビンスルール	00nan	0.0	2005A6060405
2		7	---		2000190009	牝	5			55.5	102.7	0			0マカヴォ	05554	739800	0.0	2005A6060604
5		7	---		1998190013	牡	7			57.0	130.7	0			00431	00804	584008	0.0	2005A6061503
7		8	---		2001190003	牝	4			55.5	132.9	9			05374	05559	656008	0.0	2005A6061503
3		5	---		2000190009	牝	5			59.0	128.6	0			0ハナガン	05554	739800	0.0	2005A6062304
3		5	---		2000190009	牝	5			58.0	126.5	0			00431	05554	739800	0.0	2005A6070805
3		3	---		2001190004	牡	4			60.0	148.4	0			05353	05561	732800	0.0	2005A6072305
4		11	---		1998190013	牡	7			60.0	149.2	5			05162	00804	584008	0.0	2005A6072305
1		8	---		2000190009	牝	5			57.0	97.9	0.0			0フォーチ	05554	739800	0.0	2005A6081405
1		3	---		ELECTROCUTIONIST	牡	4			59.5	127.4	0			00974	[他] ヴァリア	00nan	0.0	2005A6081604
2		6	---		2000101517	牡	5			59.5		クビ			00666	00386	260008.0	0.0	2005A6081604
3		4	---		MARAAHEL	牡	4			59.5		アタマ			05018	00840	00nan	0.0	2005A6081604
4		1	---		ACE	牡	4			59.5		1/2			05305	00972	00nan	0.0	2005A6081604
5		5	---		NORSE DANCER	牡	5			59.5		3			0イーガン	[他] エルスワ	00nan	0.0	2005A6081604
6		2	---		000a010533	牡	5			59.5		9			0マカヴォ	05016	00nan	0.0	2005A6081604
7		7	---		NEW MORNING	牝	4			58.0		6			05373	00826	00nan	0.0	2005A6081604
1		4	---		2001190003	牝	4			57.0	152.4	0.0			00875	05559	656008	0.0	2005A6092401
2		7	---		2000190009	牝	5			57.0	99.1	0			0マカヴォ	05554	739800	0.0	2005A6100103
5		1	---		2000190010	牡	5			58.0	126.1	0			00843	05127	652008	0.0	2005A6101503
