	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
200634070401	ダ	右	1000	晴	良	14:30	2歳　未勝利		2006-7-4	1	旭川	1	(規定)		7	100	1	7	100	1	5	150	3	1.0	170.0	5.0	5-7	270	1	7=>5	310	1.0	1-5-7	950	3.0	7=>5=>1	1810	4.0			(1,7),(5,6),4,(3,8),2	(1,7),(5,6),4,8,3,2					
200634070402	ダ	右	1000	晴	良	15:00	2歳　未勝利		2006-7-4	1	旭川	1	(規定)		1	1480	5	1	120	1	2	150	5	5.0	130.0	2.0	1-2	1860	8	1=>2	4260	16.0	1-2-5	1610	6.0	1=>2=>5	13700	47.0			1,8,(2,6,5),3,4,7	1,8,(2,6,5),3,4,7					
200634070403	ダ	右	1500	晴	良	15:30	3歳　条件		2006-7-4	1	旭川	1	(規定)		5	1220	5	5	330	6	8	100	1	2.0	140.0	2.0	5-8	4480	11	5=>8	18220	33.0	2-5-8	2700	9.0	5=>8=>2	54000	113.0	5,7,(1,4,8),9,2,6,3	5,7,(1,8),4,9,2,6,3	5,7,8,1,4,(2,9),(3,6)	(5,7,8),(2,4),9,(3,6)			5-8	3070.0	11.0
200634070404	ダ	右	1000	晴	良	16:00	ルーキーチャレンジ競		2006-7-4	1	旭川	1	(規定)		5	770	2	5	120	2	12	140	4	11.0	100.0	1.0	5-12	2420	7	5=>12	3880	10.0	5-11-12	330	1.0	5=>12=>11	4480	13.0			(11,12,10),(1,5),(3,8),2,(7,6),9,4	(11,12,10),(1,5),3,(7,6,8),2,9,4			5-8	260.0	1.0
200634070405	ダ	右	1000	晴	良	16:35	D3　ー3組		2006-7-4	1	旭川	1	40万円以下	(規定)	10	510	4	10	200	4	8	100	1	2.0	220.0	5.0	8-10	620	2	10=>8	1810	5.0	2-8-10	1230	3.0	10=>8=>2	5950	14.0			(2,8,9),(5,10),(3,6),4,(1,7),(11,12)	(2,8,9),10,5,(3,6),4,(1,7),(11,12)			6-7	330.0	1.0
200634070406	ダ	右	1000	晴	良	17:05	D2　ー2組		2006-7-4	1	旭川	1	60万円以下	(規定)	1	880	3	1	230	3	10	290	5	2.0	210.0	2.0	1-10	4020	14	1=>10	8330	31.0	1-2-10	11200	34.0	1=>10=>2	99870	223.0			(1,2,8),9,(3,11),(6,7,10,12),4,5	(1,2),8,(3,9),11,(6,7,10,12),4,5			1-7	3480.0	15.0
200634070407	ダ	右	1500	晴	良	17:35	D2　ー2組		2006-7-4	1	旭川	1	60万円以下	(規定)	7	460	2	7	200	3	11	290	5	4.0	230.0	4.0	7-11	1290	6	7=>11	1730	7.0	4-7-11	3530	11.0	7=>11=>4	16440	47.0	1,(2,10,11),6,4,7,12,(5,9),3,8	(1,2,10),11,6,4,7,12,(5,9),3,8	1,10,11,2,4,6,(3,7,12,9),5-8	1,(10,11),(2,4),6,(7,12,9),3,5-8			6-8	1100.0	4.0
200634070408	ダ	右	1500	晴	良	18:10	D1　ー3組		2006-7-4	1	旭川	1	80万円以下	(規定)	6	350	2	6	250	4	10	180	3	3.0	250.0	5.0	6-10	700	1	6=>10	1080	1.0	3-6-10	2710	10.0	6=>10=>3	16140	49.0	(6,11),(4,9),(1,10),(2,5),(3,12),(7,8)	(6,11),(1,4,9,10),(2,5),3,12,(7,8)	6,(11,10),(1,3,9),5,(7,4),(2,12),8	6,10,(1,3,11),(9,5),7,4,(2,12),8			5-7	600.0	2.0
200634070409	ダ	右	1600	晴	良	18:45	ケフェウス特別		2006-7-4	1	旭川	1	80万円以下	(規定)	4	1210	4	4	280	5	6	140	2	9.0	150.0	3.0	4-6	2060	5	4=>6	6020	19.0	4-6-9	2300	8.0	4=>6=>9	18280	54.0	1,2,3,7,(4,6),(5,8),9,10	1,2,3,7,4,6,(5,8),9,10	1,(2,3,7),(5,4),(9,8,6),10	1,(2,3,7),(9,5,4),(8,10,6)			4-6	2050.0	7.0
200634070501	ダ	右	1500	晴	良	14:30	2歳　未勝利		2006-7-5	1	旭川	2	(規定)		2	1630	6	2	220	4	4	150	3	1.0	140.0	2.0	2-4	2660	8	2=>4	7790	20.0	1-2-4	1780	5.0	2=>4=>1	16330	48.0	2,(3,7,8,6),4,(5,1)	2,6,3,(4,7,8),(1,5)	2,(6,4),(3,1),7,(5,8)	(2,6,4),1,3,(5,7),8					
200634070502	ダ	右	1500	曇	良	15:00	2歳　未勝利		2006-7-5	1	旭川	2	(規定)		4	380	2	4	140	3	2	120	1	8.0	230.0	5.0	2-4	430	1	4=>2	850	2.0	2-4-8	1240	2.0	4=>2=>8	4600	9.0	(4,8),(2,3,7,9),5,6	(4,8),(2,3,7,9),5,6	(4,8,9),(2,3,7),(5,6)	4,(8,9),(2,3,7),5,6			2-4	590.0	3.0
200634070503	ダ	右	1000	曇	良	15:30	アタックチャレンジ競		2006-7-5	1	旭川	2	(規定)		8	260	1	8	110	1	6	130	2	1.0	160.0	3.0	6-8	340	1	8=>6	480	1.0	1-6-8	320	1.0	8=>6=>1	1680	1.0			1,(2,8,11),6,10,(4,9,12),(3,7)-5	1,8,(2,11),(6,10),(4,9,12),(3,7),5			5-6	310.0	1.0
200634070504	ダ	右	1000	曇	良	16:00	フレッシュチャレンジ		2006-7-5	1	旭川	2	牝(規定)		2	250	2	2	110	1	3	110	2	8.0	130.0	4.0	2-3	200	1	2=>3	490	2.0	2-3-8	550	2.0	2=>3=>8	1240	3.0			2,(3,6)-8,1-4,7,5	2,(3,6),8,1,4,7,5					
200634070505	ダ	右	1500	曇	良	16:35	D3　ー1組		2006-7-5	1	旭川	2	40万円以下	(規定)	5	890	6	5	290	6	12	350	7	9.0	160.0	1.0	5-12	13190	34	5=>12	32100	74.0	5-9-12	16640	51.0	5=>12=>9	278500	548.0	12,(3,4,9),(5,7),11,2,(1,6),8,10	12,(3,9),4,(5,7,11),(1,2,6),8,10	12,(5,9),3,(7,11),(4,2,6),(1,8),10	12,(5,9),(3,7),(2,11,6),(1,4,8),10			5-8	1340.0	7.0
200634070506	ダ	右	1500	曇	良	17:05	3歳　条件		2006-7-5	1	旭川	2	100万円以下	(規定)	8	120	1	8	100	1	6	220	6	2.0	130.0	2.0	6-8	740	5	8=>6	1000	5.0	2-6-8	1620	7.0	8=>6=>2	6880	23.0	1,4,2,10,(3,5),(6,9,8),7	1,4,2,10,3,(6,5),(9,8),7	1,(4,2),(6,10),(3,8),(5,9),7	1,(6,4,2),(3,10,8),(5,9),7			6-7	720.0	5.0
200634070507	ダ	右	1000	曇	良	17:35	3歳　条件		2006-7-5	1	旭川	2	100万円以下	(規定)	5	240	1	5	160	2	10	590	7	11.0	570.0	6.0	5-10	2610	10	5=>10	3100	15.0	5-10-11	13500	39.0	5=>10=>11	49210	148.0			5,8,10,(4,7),(1,11),2,(3,9),6	5,(8,10),(4,1),(7,11),(3,2),(6,9)			5-8	750.0	2.0
200634070508	ダ	右	1000	曇	良	18:05	プルート特別 		2006-7-5	1	旭川	2	80万円以下	(規定)	4	770	4	4	150	3	7	130	1	5.0	190.0	4.0	4-7	880	3	4=>7	2290	11.0	4-5-7	1270	2.0	4=>7=>5	8880	23.0			(2,4),(1,9,10),7,5,(6,3),8	(2,4),(1,9,10),(7,5),(6,3),8			4-7	1170.0	5.0
200634070509	ダ	右	1600	曇	良	18:40	フェクダ特別 		2006-7-5	1	旭川	2	400万円以下	(別定)	8	510	3	8	150	1	4	200	3	3.0	200.0	3.0	4-8	1060	3	8=>4	2370	9.0	3-4-8	3140	10.0	8=>4=>3	13660	40.0	6,10,(1,12),7,(2,14),8,9,4,(5,11),(3,13)	6,(1,10,12),7,(2,14),(8,9),(5,4),11,(3,13)	6,10,(1,12),14,(2,7,8,5),(9,4),(3,11),13	6,10,1,(2,7,12),(14,8),(3,11,9,5,4),13			3-5	750.0	2.0
200634070510	ダ	右	1500	曇	良	19:15	バブルガムフェロー賞 		2006-7-5	1	旭川	2	(規定)		10	1480	2	10	180	4	7	330	6	8.0	100.0	1.0	7-10	6330	14	10=>7	34110	36.0	7-8-10	2440	7.0	10=>7=>8	67900	120.0	3,(1,4),2,5,(6,9),(7,10),8	3,(1,4),2,5,9,(6,10),7,8	(3,4,5,10),(1,8),2,(7,6),9	(3,10),(4,5),8,(1,7),6,2,9			7-8	370.0	1.0
200634070511	ダ	右	1000	曇	良	19:55	栄冠賞〔H2〕	G	2006-7-5	1	旭川	2	(馬齢)		6	2520	6	6	530	6	7	200	2	1.0	700.0	7.0	6-7	6400	18	6=>7	21140	37.0	1-6-7	20290	49.0	6=>7=>1	260810	376.0			6,(5,8,12),13,(4,11,9),(2,7),(1,10),3	6,(5,12),(8,13),(7,4,11,9),(2,1,10),3			5-5	5660.0	13.0
200634070512	ダ	右	1600	曇	良	20:30	シリウス特別 		2006-7-5	1	旭川	2	400万円以下	(別定)	6	450	2	6	160	2	11	200	4	3.0	760.0	8.0	6-11	3160	11	6=>11	5640	21.0	3-6-11	36560	61.0	6=>11=>3	138920	258.0	6,7,(9,11),(8,13),2,(3,5),12,(1,4)	6,7,(9,11),(8,13),(2,3,5),12,(1,4)	6,(9,11),7,13,(3,5),8,(2,12,1),4	6,(9,11),7,(3,13,5),8,(2,12,1),4			5-7	3470.0	13.0
200634070601	ダ	右	1000	曇	良	14:30	2歳　未勝利		2006-7-6	1	旭川	3	(規定)		9	2160	4	9	580	6	7	220	3	2.0	850.0	8.0	7-9	5890	13	9=>7	21330	32.0	2-7-9	35320	56.0	9=>7=>2	396440	307.0			(7,9),10,(2,8),1,(4,5),(3,6)	(7,9),(2,10),(1,8),(4,5),(3,6)			7-8	430.0	3.0
200634070602	ダ	右	1000	雨	良	15:00	2歳　未勝利		2006-7-6	1	旭川	3	(規定)		3	360	2	3	160	2	4	230	4	11.0	190.0	3.0	3-4	610	2	3=>4	1030	3.0	3-4-11	2080	7.0	3=>4=>11	5400	17.0			(3,4),(8,9),11,(5,6,7,10),(1,2)	(3,4),8,(9,11),(5,6,7),(1,10),2			3-4	820.0	3.0
200634070603	ダ	右	1000	曇	良	15:30	3歳　条件		2006-7-6	1	旭川	3	(規定)		10	570	3	10	140	3	6	100	1	11.0	130.0	2.0	6-10	320	1	10=>6	1030	4.0	6-10-11	510	1.0	10=>6=>11	2660	4.0			(2,6),9,10,11,12,(5,7,4),3-(8,1)	(2,6),(11,9,10),(12,4),(5,7),3,(8,1)			5-7	220.0	1.0
200634070604	ダ	右	1500	曇	良	16:00	アタックチャレンジ競		2006-7-6	1	旭川	3	(規定)		7	800	4	7	290	4	4	140	1	6.0	680.0	11.0	4-7	1990	7	7=>4	3940	14.0	4-6-7	13180	42.0	7=>4=>6	71110	214.0	(9,10,11),(3,12),(1,4),7,(5,6),2,8	(9,10,11),(3,12),(1,5,4,7,6),2,8	(11,12),(10,3,4),(9,5,7,6),1,8,2	(12,3),(7,4,6),11,(5,8),1,(10,2),9			4-6	1410.0	6.0
200634070605	ダ	右	1000	曇	良	16:35	フレッシュチャレンジ		2006-7-6	1	旭川	3	(規定)		9	340	2	9	120	1	10	180	3	8.0	210.0	4.0	9-10	1140	3	9=>10	1860	5.0	8-9-10	2230	6.0	9=>10=>8	11900	36.0			(7,9),8,3,10,4,5,2-(1,6)	(7,9),(8,10),3,5,2,4,1,6			8-8	1100.0	5.0
200634070606	ダ	右	1000	曇	良	17:05	2歳　オープン		2006-7-6	1	旭川	3	(規定)		6	120	1	6	100	1	5	210	3				5-6	520	2	6=>5	560	3.0	4-5-6	640	3.0	6=>5=>4	1850	6.0			(6,3),(4,5),2-1	6,(3,5),4,2-1					
200634071101	ダ	右	1000	晴	良	15:20	D3　ー5組		2006-7-11	2	旭川	1	40万円以下	(規定)	5	260	2	5	110	2	7	120	3	4.0	100.0	1.0	5-7	1050	4	5=>7	1280	5.0	4-5-7	330	1.0	5=>7=>4	2540	9.0			(5,7,4),8,6,3,(1,2)	(5,7,4),(3,8),(1,6,2)					
