	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠単:的中	枠単:配当	枠単:人気
200642010101	ダ	左	1400	曇	良	10:30	C313		2006-1-1	9	浦和	1	(別定)																																						6,12,(1,10),8,4,(3,5),2,11,9,7	612101548932117	125106198432711	125110643987112	13.0 - 12.7 - 13.7 - 13.1 - 12.2 - 14.7 - 13.3 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.0 - 25.7 - 39.4 - 52.5 - 64.7 - 79.4 - 92.7 - 92.7 - 92.7 - 92.7 - 92.7 - 92.7 - 92.7 - 92.7 - 92.7 (39.4-40.2)			
200642010102	ダ	左	1400	曇	良	11:00	C3十　1112		2006-1-1	9	浦和	1	(別定)																																						11631227410589	11,6,(3,12),2,4,5,7,10,8-9	11,6,2,5,4,12,3,10,7,8-9	11654210127389	12.8 - 12.3 - 13.0 - 13.4 - 12.2 - 14.7 - 13.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.8 - 25.1 - 38.1 - 51.5 - 63.7 - 78.4 - 91.4 - 91.4 - 91.4 - 91.4 - 91.4 - 91.4 - 91.4 - 91.4 - 91.4 (38.1-39.9)			
200642010103	ダ	左	1400	曇	良	11:30	C3十　1112		2006-1-1	9	浦和	1	(別定)																																						411910381227651	411109831272651	4,11,8,3,10,9,6,(5,7),2,12-1	411358697102121	12.6 - 12.0 - 12.7 - 13.4 - 12.6 - 15.3 - 13.6 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.6 - 24.6 - 37.3 - 50.7 - 63.3 - 78.6 - 92.2 - 92.2 - 92.2 - 92.2 - 92.2 - 92.2 - 92.2 - 92.2 - 92.2 (37.3-41.5)			
200642010104	ダ	左	1400	曇	良	12:05	C3十　1112		2006-1-1	9	浦和	1	(別定)																																						341211108795621	341210119872561	312491011278516	312921048711561	12.6 - 12.3 - 13.2 - 13.2 - 12.4 - 14.6 - 13.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.6 - 24.9 - 38.1 - 51.3 - 63.7 - 78.3 - 91.3 - 91.3 - 91.3 - 91.3 - 91.3 - 91.3 - 91.3 - 91.3 - 91.3 (38.1-40.0)			
200642010105	ダ	左	1400	曇	良	12:40	3歳二		2006-1-1	9	浦和	1	200万円以上225万円未満	(別定)																																					12476859103	12467583910	24176108539	2,4-6,(1,7),5,8,10,3,9	12.1 - 11.8 - 12.8 - 13.0 - 12.2 - 14.7 - 13.1 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.1 - 23.9 - 36.7 - 49.7 - 61.9 - 76.6 - 89.7 - 89.7 - 89.7 - 89.7 - 89.7 - 89.7 - 89.7 - 89.7 - 89.7 (36.7-40.0)			
200642010106	ダ	左	1400	曇	良	13:15	C2二　三		2006-1-1	9	浦和	1	(別定)																																						108123679251141	108126372941151	108126371195421	108127346119521	12.4 - 12.3 - 12.8 - 12.9 - 12.1 - 14.6 - 12.8 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.4 - 24.7 - 37.5 - 50.4 - 62.5 - 77.1 - 89.9 - 89.9 - 89.9 - 89.9 - 89.9 - 89.9 - 89.9 - 89.9 - 89.9 (37.5-39.5)			
200642010107	ダ	左	1400	曇	良	13:50	C2二　三		2006-1-1	9	浦和	1	(別定)																																						428137116121059	428171131012659	4,7,(8,11),1,2,5,10,(3,12,6)-9	471118536102129	12.7 - 12.3 - 13.0 - 13.0 - 11.8 - 13.9 - 13.1 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.7 - 25.0 - 38.0 - 51.0 - 62.8 - 76.7 - 89.8 - 89.8 - 89.8 - 89.8 - 89.8 - 89.8 - 89.8 - 89.8 - 89.8 (38.0-38.8)			
200642010108	ダ	左	1400	曇	良	14:25	C1七		2006-1-1	9	浦和	1	(別定)																																						623819475	(2,6),(1,8,9),3,4,7,5	(2,6),(8,9),7,1,3,4,5	(2,6,8),9,7,4,1,3,5	12.4 - 11.6 - 12.4 - 12.9 - 12.3 - 14.5 - 13.6 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.4 - 24.0 - 36.4 - 49.3 - 61.6 - 76.1 - 89.7 - 89.7 - 89.7 - 89.7 - 89.7 - 89.7 - 89.7 - 89.7 - 89.7 (36.4-40.4)			
200642010109	ダ	左	1600	曇	良	15:00	フレッシュドリーム特 		2006-1-1	9	浦和	1	225万円以上	(別定)																																					234851697	234856197	(3,4,8),2,6,5,7,9,1	283465791	13.4 - 11.7 - 12.6 - 13.5 - 12.9 - 11.9 - 14.4 - 13.2 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.4 - 25.1 - 37.7 - 51.2 - 64.1 - 76.0 - 90.4 - 103.6 - 103.6 - 103.6 - 103.6 - 103.6 - 103.6 - 103.6 - 103.6 (37.7-39.5)			
200642010110	ダ	左	1600	曇	良	15:35	元旦特別 		2006-1-1	9	浦和	1	(ハンデ)																																						1,(2,10),4,6,3,7,5,(8,9)	12104637589	1,2,10,4,(6,5),(7,3),8,9	21510467389	13.8 - 12.1 - 12.4 - 12.8 - 13.2 - 12.1 - 13.7 - 12.7 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.8 - 25.9 - 38.3 - 51.1 - 64.3 - 76.4 - 90.1 - 102.8 - 102.8 - 102.8 - 102.8 - 102.8 - 102.8 - 102.8 - 102.8 (38.3-38.5)			
