	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠単:的中	枠単:配当	枠単:人気
200643011001	ダ	左	1200	曇	良	10:30	3歳ア　イ		2006-1-10	10	船橋	1	132万円以上274万円以下																																							4,(2,7),(3,6,9),10,5,8,(1,11)	4769103112581	4,6,7,(9,10),3,11,(5,8),(2,1)	12.6 - 11.5 - 11.9 - 13.0 - 13.2 - 14.1 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.6 - 24.1 - 36.0 - 49.0 - 62.2 - 76.3 - 76.3 - 76.3 - 76.3 - 76.3 - 76.3 - 76.3 - 76.3 - 76.3 - 76.3 (36.0-40.3)			
200643011002	ダ	左	1400	晴	良	11:00	4歳イ		2006-1-10	10	船橋	1	30万円以上111万円以下																																						4,8,11,(1,12),5,10,3,7,(6,9)	4,8,(1,11),(5,12),10,3,7,6,9	4,8,1,11,5,12,10,7,(3,9),6	4,(1,11),8,5,(7,12),10,9,3,6	12.9 - 13.1 - 13.7 - 13.3 - 13.3 - 13.4 - 14.5 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.9 - 26.0 - 39.7 - 53.0 - 66.3 - 79.7 - 94.2 - 94.2 - 94.2 - 94.2 - 94.2 - 94.2 - 94.2 - 94.2 - 94.2 (39.7-41.2)			
200643011003	ダ	左	1400	晴	良	11:30	4歳ア		2006-1-10	10	船橋	1	30万円以上111万円以下																																						(1,5),10,(7,11),(4,8),9,2,3,6	1,5,(7,10),11,(8,9),(4,2),3,6	1,5,10,7,11,3,8,(2,9),6,4	1,(5,10),7,3,11,(8,2),6,9,4	12.2 - 13.1 - 13.5 - 12.9 - 13.0 - 14.3 - 14.5 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.2 - 25.3 - 38.8 - 51.7 - 64.7 - 79.0 - 93.5 - 93.5 - 93.5 - 93.5 - 93.5 - 93.5 - 93.5 - 93.5 - 93.5 (38.8-41.8)			
200643011004	ダ	左	1200	晴	良	12:00	C3五		2006-1-10	10	船橋	1																																								2,1,(7,11),(3,5,6),(10,9),4,8	2,1,11,7,9,3,5,(4,6),8,10	2,(1,11),7,9,3,5,6,4,8,10	13.3 - 12.0 - 12.3 - 12.6 - 13.2 - 13.5 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.3 - 25.3 - 37.6 - 50.2 - 63.4 - 76.9 - 76.9 - 76.9 - 76.9 - 76.9 - 76.9 - 76.9 - 76.9 - 76.9 - 76.9 (37.6-39.3)			
200643011005	ダ	左	1500	晴	良	12:30	3歳イ		2006-1-10	10	船橋	1	70万円以上132万円以下																																						2,3,1,8,4,(5,9,7,10),6	2,3,1,8,4,7,(5,9,10),6	23874159610	(8,7),2,3,4,5,9,1,(6,10)	7.1 - 12.7 - 13.3 - 13.4 - 12.8 - 13.0 - 13.6 - 13.8 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	7.1 - 19.8 - 33.1 - 46.5 - 59.3 - 72.3 - 85.9 - 99.7 - 99.7 - 99.7 - 99.7 - 99.7 - 99.7 - 99.7 - 99.7 (33.1-40.4)			
200643011006	ダ	左	1500	晴	良	13:00	3歳ア		2006-1-10	10	船橋	1	70万円以上132万円以下																																						1,6,(5,7),2,8,3,9,4	1,(5,6),7,2,3,8,4,9	175623489	172364598	7.1 - 12.0 - 12.6 - 12.8 - 12.9 - 13.7 - 14.2 - 14.7 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	7.1 - 19.1 - 31.7 - 44.5 - 57.4 - 71.1 - 85.3 - 100.0 - 100.0 - 100.0 - 100.0 - 100.0 - 100.0 - 100.0 - 100.0 (31.7-42.6)			
200643011007	ダ	左	1600	晴	良	13:30	特選		2006-1-10	10	船橋	1	132万円以上274万円以下																																						(2,3),8,4,(1,7),6,5	(2,3),4,8,(5,1),(6,7)	(2,8),1,3,4,7,5,6	(2,8,1),3,4,(5,7),6	13.3 - 12.6 - 13.1 - 13.2 - 12.5 - 13.1 - 13.7 - 14.1 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.3 - 25.9 - 39.0 - 52.2 - 64.7 - 77.8 - 91.5 - 105.6 - 105.6 - 105.6 - 105.6 - 105.6 - 105.6 - 105.6 - 105.6 (39.0-40.9)			
200643011008	ダ	左	1200	晴	良	14:00	C1三　アイ		2006-1-10	10	船橋	1																																								(6,8),10,11,3,(1,4,9),2,(5,7)	6,8,10,11,3,9,(1,4),2,(5,7)	(6,8),10,9,11,3,4,1,(2,7),5	12.5 - 11.5 - 11.9 - 12.8 - 13.3 - 13.9 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.5 - 24.0 - 35.9 - 48.7 - 62.0 - 75.9 - 75.9 - 75.9 - 75.9 - 75.9 - 75.9 - 75.9 - 75.9 - 75.9 - 75.9 (35.9-40.0)			
200643011009	ダ	左	1600	晴	良	14:35	若鷹特別 		2006-1-10	10	船橋	1	274万円以上																																						3,10,4,(1,6),(5,9),(2,8),7	3,10,4,1,5,6,(2,9),(7,8)	3,10,(1,4),5,(2,9),6,8,7	(3,10),(1,4),5,(2,8),7,9,6	12.7 - 12.9 - 13.5 - 13.3 - 12.8 - 12.9 - 13.1 - 13.4 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.7 - 25.6 - 39.1 - 52.4 - 65.2 - 78.1 - 91.2 - 104.6 - 104.6 - 104.6 - 104.6 - 104.6 - 104.6 - 104.6 - 104.6 (39.1-39.4)			
200643011010	ダ	左	1600	晴	良	15:10	なすび特別 		2006-1-10	10	船橋	1																																							469572183	4,6,9,5,7,2,(1,8),3	4,6,9,(5,7,8),2,3,1	4,9,6,8,(5,7),3,2,1	12.8 - 12.3 - 13.3 - 13.3 - 12.8 - 13.1 - 13.2 - 13.4 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.8 - 25.1 - 38.4 - 51.7 - 64.5 - 77.6 - 90.8 - 104.2 - 104.2 - 104.2 - 104.2 - 104.2 - 104.2 - 104.2 - 104.2 (38.4-39.7)			
200643011011	ダ	左	1600	晴	良	15:45	白富士盃 		2006-1-10	10	船橋	1																																							(2,11),1,6,(3,10),12,(5,7),9,8,13,4	2,11,1,6,(3,10),(5,7,12),(9,8),13,4	2,11,1,6,3,10,(7,12),5,8,9,13,4	(2,11),6,10,(1,3),12,7,8,9,5,13,4	12.7 - 12.5 - 12.6 - 12.8 - 12.8 - 13.0 - 13.0 - 13.3 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.7 - 25.2 - 37.8 - 50.6 - 63.4 - 76.4 - 89.4 - 102.7 - 102.7 - 102.7 - 102.7 - 102.7 - 102.7 - 102.7 - 102.7 (37.8-39.3)			
