	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠単:的中	枠単:配当	枠単:人気
200644011601	ダ	右	1400	曇	不良	11:00	4歳		2006-1-16	17	大井	1	200万円以上																																							1,4,(9,11),3,12,6,5,7,8,14,10,2,13	1,4,(3,11),(5,9,12),6,7,8,14,13,2,10	1,(3,4),(5,11,12),(8,6,7),9,14,13,(2,10)	12.8 - 11.2 - 11.2 - 11.9 - 13.4 - 13.3 - 13.8 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.8 - 24.0 - 35.2 - 47.1 - 60.5 - 73.8 - 87.6 - 87.6 - 87.6 - 87.6 - 87.6 - 87.6 - 87.6 - 87.6 - 87.6 (35.2-40.5)			
200644011602	ダ	右	1600	曇	不良	11:30	4歳		2006-1-16	17	大井	1	200万円以上																																						11,9,6,12,(7,3,8),1,(4,10),5,2	(11,9),6,(7,3,8),12,1,10,4,5,2	11,2,9,6,1,(3,8),10,12,5,(7,4)	11,2,9,1,6,3,8,(12,10),(7,5),4	13.0 - 12.1 - 12.9 - 13.0 - 12.1 - 13.1 - 13.2 - 13.6 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.0 - 25.1 - 38.0 - 51.0 - 63.1 - 76.2 - 89.4 - 103.0 - 103.0 - 103.0 - 103.0 - 103.0 - 103.0 - 103.0 - 103.0 (38.0-39.9)			
200644011603	ダ	右	1200	曇	不良	12:00	C3七　八		2006-1-16	17	大井	1																																									12,9,(10,14),4,1,8,7,3,13,5,(6,2),11	(12,9),10,(1,4),14,(7,8),(5,2),3,13,6,11	12.5 - 11.1 - 12.2 - 13.5 - 12.8 - 13.2 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.5 - 23.6 - 35.8 - 49.3 - 62.1 - 75.3 - 75.3 - 75.3 - 75.3 - 75.3 - 75.3 - 75.3 - 75.3 - 75.3 - 75.3 (35.8-39.5)			
200644011604	ダ	右	1500	曇	不良	12:30	C3七　八		2006-1-16	17	大井	1																																							(2,3),4,12,(1,7),(10,13),8,6,11,5,9	(2,3),4,7,(1,12),(10,13),8,6,11,5,9	(2,3),4,(7,12),8,13,6,(1,10),(5,9),11	(2,3),8,4,6,7,(1,12,13),9,10,5,11	7.1 - 11.7 - 12.5 - 12.6 - 12.7 - 13.8 - 13.8 - 13.7 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	7.1 - 18.8 - 31.3 - 43.9 - 56.6 - 70.4 - 84.2 - 97.9 - 97.9 - 97.9 - 97.9 - 97.9 - 97.9 - 97.9 - 97.9 (31.3-41.3)			
200644011605	ダ	右	1200	曇	不良	13:00	3歳		2006-1-16	17	大井	1	97万円以上235万円未満																																								(3,4),5,12,(6,11),(2,10),(9,7),1,8,13	3,(4,12),5,6,11,(2,7,10),9,1,8,13	12.6 - 10.9 - 11.7 - 13.2 - 13.0 - 14.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.6 - 23.5 - 35.2 - 48.4 - 61.4 - 75.4 - 75.4 - 75.4 - 75.4 - 75.4 - 75.4 - 75.4 - 75.4 - 75.4 - 75.4 (35.2-40.2)			
200644011606	ダ	右	1400	曇	不良	13:30	3歳		2006-1-16	17	大井	1	97万円以上235万円未満																																							4,5,9,10,(3,11),(8,12),14,13,1,7,6,2	4,5,(9,10),(3,12),11,13,(1,14),(8,7,2),6	4,5,(12,9),(3,10),(11,14),(13,1),2,7,6,8	13.1 - 11.8 - 12.0 - 12.2 - 13.3 - 12.9 - 13.6 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.1 - 24.9 - 36.9 - 49.1 - 62.4 - 75.3 - 88.9 - 88.9 - 88.9 - 88.9 - 88.9 - 88.9 - 88.9 - 88.9 - 88.9 (36.9-39.8)			
200644011607	ダ	右	1600	曇	不良	14:00	3歳		2006-1-16	17	大井	1	97万円以上235万円未満																																						3,(5,14),11,6,(12,13),(1,7),9,(2,4),10,8	3,5,(6,14),11,12,13,1,7,9,(2,4),10,8	(5,14),9,7,6,3,11,12,1,13,(2,4),8,10	(5,14),9,(6,7),(12,1),11,2,(4,13),3,8,10	12.5 - 12.1 - 13.0 - 12.9 - 12.7 - 13.3 - 13.9 - 13.5 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.5 - 24.6 - 37.6 - 50.5 - 63.2 - 76.5 - 90.4 - 103.9 - 103.9 - 103.9 - 103.9 - 103.9 - 103.9 - 103.9 - 103.9 (37.6-40.7)			
200644011608	ダ	右	1400	曇	不良	14:30	C2四　五		2006-1-16	17	大井	1																																								(1,3),5,10,4,6,11,2,8,7,9	(1,3,5),(4,10),6,(2,7,11),8,9	1,3,5,(4,10),6,(2,11),7,8,9	13.2 - 11.7 - 11.7 - 12.3 - 13.3 - 12.8 - 13.1 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.2 - 24.9 - 36.6 - 48.9 - 62.2 - 75.0 - 88.1 - 88.1 - 88.1 - 88.1 - 88.1 - 88.1 - 88.1 - 88.1 - 88.1 (36.6-39.2)			
200644011609	ダ	右	1600	曇	不良	15:00	C2四　五		2006-1-16	17	大井	1																																							(2,8),7,1,4,9,3,6,5	281749365	2,7,(1,8,9),(4,3),(6,5)	279138456	12.9 - 11.9 - 12.6 - 12.7 - 12.8 - 13.5 - 13.7 - 13.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.9 - 24.8 - 37.4 - 50.1 - 62.9 - 76.4 - 90.1 - 103.1 - 103.1 - 103.1 - 103.1 - 103.1 - 103.1 - 103.1 - 103.1 (37.4-40.2)			
200644011610	ダ	右	1600	曇	不良	15:30	ゆきやなぎ特別 		2006-1-16	17	大井	1																																							1,2,(3,5),9,(10,4),(7,8),6	1,2,(3,5),9,10,4,7,8,6	1,2,3,(9,5),10,7,(4,8),6	1,2,3,9,(10,7,5),4,8,6	12.7 - 12.8 - 13.2 - 12.7 - 12.4 - 12.9 - 13.3 - 13.4 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.7 - 25.5 - 38.7 - 51.4 - 63.8 - 76.7 - 90.0 - 103.4 - 103.4 - 103.4 - 103.4 - 103.4 - 103.4 - 103.4 - 103.4 (38.7-39.6)			
