	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200653013001	ダ	右	1250	曇	良	10:50	3歳6　条件		2006-1-30	16	福山	3	(馬齢)																																						2,6,1,7,8,3,(4,5),9	2,6,7,1,(3,8),(4,5),9	2,6,7,8,(1,3),(4,9),5	2,(6,7),8,(1,3),(4,9),5		
200653013002	ダ	右	1250	曇	良	11:20	3歳5　条件		2006-1-30	16	福山	3	(馬齢)																																						3,4,9,(1,2),6,5,7,8	341296578	4,3,2,(1,9),5,7,8,6	4,3,2,1,9,7,5,(6,8)		
200653013003	ダ	右	1250	曇	良	11:50	3歳　4歳8		2006-1-30	16	福山	3	(馬齢)																																						62571041893	65721041893	6,(5,7),(2,8),4,(1,9),10-3	6,7,8,5,(4,9),2,1,10-3		
200653021301	ダ	右	1250	晴	良	10:50	3歳12　条件		2006-2-13	17	福山	4	(馬齢)																																						629735184	629371584	693247185	6,3,9,2,4-(1,7),8,5		
200653021302	ダ	右	1250	晴	良	11:20	3歳11　条件		2006-2-13	17	福山	4	(馬齢)																																						1,10,(3,8),9,2,6,(4,7)-5	1,10,3,8,2,9,6,4,7-5	1,(3,10),2,8,6,4,(7,9),5	1,3,10,2,8,4,6,(7,9),5		
200653021303	ダ	右	1250	晴	良	11:50	3歳　4歳8		2006-2-13	17	福山	4	(馬齢)																																						76813524	7,6,(1,8),(3,5),2,4	7,1,(6,8),2-3,4,5	7,1,8,2,6,3,4-5		
200653021304	ダ	右	1250	晴	良	12:20	3歳　4歳7		2006-2-13	17	福山	4	(馬齢)																																						239145687	231945867	231587496	2,3,1,5,8,7,4,(6,9)		
200653031101	ダ	右	1250	晴	稍重	10:50	3歳10　条件		2006-3-11	18	福山	3	(馬齢)																																						295184673	295184637	2,9,1,5,4,8,(3,6),7	2,1,9,5,7,(4,6),8,3		
200653031102	ダ	右	1250	晴	稍重	11:20	3歳9　条件		2006-3-11	18	福山	3	(馬齢)																																						81051293476	81051293476	81051294673	85101294673		
200653031103	ダ	右	1250	晴	稍重	11:50	3歳　4歳9		2006-3-11	18	福山	3	(馬齢)																																						6,7,9,2,4,8,10,(1,5),3	6,7,9,2,(4,8),10,1,5,3	7,9,6,2,(4,8),10-1,3,5	6,(7,9),2,4,8,10,1,3,5		
200653031104	ダ	右	1250	晴	稍重	12:20	3歳　4歳8		2006-3-11	18	福山	3	(馬齢)																																						68147231095	68171024395	(6,8),10,1,2,7,3,9,4,5	81061273954		
200653031901	ダ	右	1250	曇	不良	10:50	3歳6　条件		2006-3-19	19	福山	2	(馬齢)		3.0	1590.0	6.0	3.0	180.0	4.0	4.0	150.0	2.0	9.0	110.0	1.0				3-4	2160.0	10.0										3=>4	7440.0	33.0				3=>4=>9	18100.0	61.0	2,4,6,1,(5,7),8,3,9	2,4,1,6,5,7,(8,9),3	(2,4),6,(1,8),5,9,3,7	(4,6),2,(1,3,8),9,5,7		
200653031902	ダ	右	1250	曇	不良	11:20	3歳5　条件		2006-3-19	19	福山	2	(馬齢)		8.0	590.0	3.0	8.0	240.0	4.0	4.0	120.0	1.0	9.0	470.0	7.0				4-8	1120.0	3.0										8=>4	3040.0	11.0				8=>4=>9	96440.0	258.0	53642109718	5,3,6,4,2,10,7,9,(1,8)	5,3,6,(2,4),(9,10),7,8,1	3,5,6,(2,4),7,10,9,8,1		
200653031903	ダ	右	1250	曇	不良	11:50	3歳　4歳7		2006-3-19	19	福山	2	(馬齢)		3.0	150.0	1.0	3.0	100.0	1.0	7.0	160.0	4.0	1.0	150.0	3.0				3-7	580.0	3.0										3=>7	710.0	4.0				3=>7=>1	2650.0	9.0	5,1,3,(2,4),7,6,8,9	513246789	513627489	5,1,3,6,(2,7),4,8-9		
200653042201	ダ	右	1250	曇	良	10:50	3歳6　条件		2006-4-22	1	福山	3	(馬齢)		1.0	1300.0	6.0	1.0	510.0	8.0	2.0	200.0	4.0	9.0	150.0	1.0				1-2	4770.0	22.0										1=>2	13220.0	45.0				1=>2=>9	53900.0	184.0	2,3,4,1,(9,7),8,5,6	2,3,1,4,(9,7),5,8,6	2,(1,4),(3,9,5),(7,8,6)	2,1,9,6,5,4,(8,7),3		
200653042202	ダ	右	1250	曇	良	11:20	3歳5　条件		2006-4-22	1	福山	3	(馬齢)		9.0	510.0	2.0	9.0	160.0	3.0	1.0	150.0	2.0	6.0	290.0	6.0				1-9	1450.0	7.0										9=>1	2840.0	13.0				9=>1=>6	23960.0	90.0	1,2,7,(3,6,8,9),4,5	1,6,8,3,2,(7,9),4,5	1,6,(8,9),3,2,4,7,5	169384275		
200653042203	ダ	右	1250	曇	良	11:50	C24		2006-4-22	1	福山	3	(規定)		9.0	330.0	1.0	9.0	100.0	1.0	7.0	160.0	4.0	3.0	110.0	2.0				7-9	1130.0	6.0										9=>7	1970.0	10.0				9=>7=>3	4970.0	14.0	179328465	179324865	(1,7),9,3,2,4,8,5,6	719324856		
200653042204	ダ	右	1250	曇	良	12:20	C23		2006-4-22	1	福山	3	(規定)		3.0	360.0	2.0	3.0	130.0	1.0	8.0	310.0	5.0	5.0	310.0	5.0				3-8	1430.0	5.0										3=>8	1980.0	7.0				3=>8=>5	20120.0	68.0	37896110542	3798611052	3,(7,8,9),6,5,1,10,2	3,8,7,9,(5,6),1,(2,10)		
200653042205	ダ	右	1250	曇	良	12:55	C28		2006-4-22	1	福山	3	(馬齢)		8.0	380.0	2.0	8.0	160.0	1.0	7.0	280.0	6.0	2.0	270.0	5.0				7-8	1420.0	8.0										8=>7	2810.0	13.0				8=>7=>2	17330.0	75.0	893275164	893275164	(8,9),3,2,7,5,1,6,4	8,9,2,3,7,5,1,(4,6)		
200653042206	ダ	右	1250	曇	良	13:30	C27		2006-4-22	1	福山	3	(馬齢)		9.0	1700.0	6.0	9.0	390.0	7.0	1.0	270.0	5.0	6.0	390.0	7.0				1-9	5760.0	21.0										9=>1	20110.0	50.0				9=>1=>6	173570.0	402.0	9,(3,10),2,4,1,6,8,7,5	91032146857	9,10,(1,3,2,6),4,5,(7,8)	91102653478		
200653042207	ダ	右	1250	雨	良	14:05	C26		2006-4-22	1	福山	3	(馬齢)		6.0	140.0	1.0	6.0	100.0	1.0	8.0	290.0	5.0	1.0	160.0	3.0				6-8	800.0	3.0										6=>8	830.0	2.0				6=>8=>1	3150.0	8.0	869345271	8-6,9,3,4,5,1,7,2	8-6,3,9,4,1,5,7,2	8,6,3,(1,9),4,5,2,7		
200653042208	ダ	右	1250	雨	良	14:40	C25		2006-4-22	1	福山	3	(馬齢)		2.0	660.0	5.0	2.0	380.0	5.0	8.0	300.0	3.0	5.0	150.0	2.0				2-8	2600.0	9.0										2=>8	5040.0	17.0				2=>8=>5	31840.0	83.0	1810752634	1810572643	(1,8),10,5,7,2,6,4,3	(1,8),5,2,10,7,4,6,3		
200653042209	ダ	右	1600	雨	稍重	15:15	沈丁花特別 		2006-4-22	1	福山	3	(規定)		7.0	480.0	3.0	7.0	250.0	6.0	5.0	130.0	2.0	2.0	100.0	1.0				5-7	1360.0	4.0										7=>5	2900.0	13.0				7=>5=>2	9600.0	25.0	71058921634	71058291364	7,5,10,2,9,(3,8),1,6,4	75210936814		
200653052001	ダ	右	800	曇	不良	10:50	2歳1　新馬		2006-5-20	3	福山	2	(馬齢)		7.0	250.0	2.0	7.0	100.0	1.0	3.0	110.0	2.0	6.0	120.0	3.0				3-7	360.0	2.0										7=>3	460.0	2.0				7=>3=>6	990.0	3.0			7,6,3,8,1,10,(2,4,9)	7638110249		
