	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
200656120601	ダ	右	950	晴	良	11:00	2歳		2006-12-6	12	荒尾	4	(定量)		5	140	1	5	140	1	3	1,670	7	3-5	2610	10	5=>3	3070	12			1345627.0	1534627.0								
200656120602	ダ	右	1400	晴	良	11:30	2歳		2006-12-6	12	荒尾	4	(定量)		7	350	2	7	120	1	5	140	2	5-7	160	1	7=>5	400	2	4712563.0	4715236.0	4751236.0	7514236.0								
200656120603	ダ	右	1400	晴	良	12:00	アラブ系Bー2組		2006-12-6	12	荒尾	4	(別定)		2	1110	4	2	160	4	1	110	2	1-2	1820	6	2=>1	3120	14	2,4,(1,3,5),7,8,6	24135687.0	24135867.0	25418367.0			5.0	100.0	1.0			
200656120604	ダ	右	950	晴	良	12:30	サラブレッド系Cー2		2006-12-6	12	荒尾	4	(定量)		3	140	1	3	100	1	6	110	2	3-6	130	1	3=>6	170	1			31567248.0	36157284.0			1.0	130.0	3.0			
200656120605	ダ	右	1300	晴	良	13:05	サラブレッド系Cー2		2006-12-6	12	荒尾	4	(定量)		6	380	3	6	130	1	9	160	3	6-9	550	1	6=>9	930	1		9,7,8,2,6,(1,4),5,3	9,7,8,2,6,(5,3),1,4	978653124.0			7.0	150.0	2.0	6-8	470.0	1.0
200656120606	ダ	右	1400	晴	良	13:40	サラブレッド系Cー7		2006-12-6	12	荒尾	4	(定量)		2	640	4	2	640	7	4	400	6	2-4	16500	25	2=>4	26410	45	74352861	74352681	74568213	7,4,2,5,8,6,1-3			7.0	140.0	2.0			
200656122301	ダ	右	1300	晴	良	11:00	サラブレッド系Cー2		2006-12-23	13	荒尾	1	(定量)		3	510	4	3	510	2	5	1,230	3	3-5	170	1	3=>5	370	1		24357861	25347861	5,3,2,7,8,4,6-1			2.0	2,170	4.0			
200656122302	ダ	右	1300	晴	良	11:30	サラブレッド系Cー2		2006-12-23	13	荒尾	1	(定量)		5	150	1	5	100	1	1	110	3	1-5	280	1	5=>1	320	1		13547268.0	13572468.0	13572684.0			7.0	110	2.0			
200656122303	ダ	右	1300	晴	良	12:00	サラブレッド系Cー2		2006-12-23	13	荒尾	1	(定量)		1	220	1	1	130	3	5	110	2	1-5	650	2	1=>5	1670	8		14728536.0	14736825.0	14563278.0			4.0	100	1.0			
200656122304	ダ	右	1300	晴	良	12:35	サラブレッド系Cー1		2006-12-23	13	荒尾	1	(定量)		1	310	2	1	140	2	4	120	1	1-4	590	3	1=>4	1070	3		13456278.0	13456278.0	14362587.0			6.0	200	5.0			
