	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
200658050301	ダ	右	1000	晴	良	11:00	D3　ー3組		2006-5-3	1	札幌(地)	1	40万円以下	(規定)	6	120	1	6	100	1	4	300	5	4-6	1370	4	6=>4	1490	6.0	4-6-7	980	5.0	6=>4=>7	6210	18.0			6,(2,7),4,(3,5)	6,7,(2,4),(3,5)								
200658050302	ダ	右	1000	晴	良	11:35	D3　ー3組		2006-5-3	1	札幌(地)	1	40万円以下	(規定)	7	2110	7	7	1,190	7	6	200	2	6-7	7610	18	7=>6	24060	39.0	4-6-7	4440	17.0	7=>6=>4	71200	140.0			(1,4,6),(2,7),3,5	(1,4,6),(2,7),(3,5)								
200658050303	ダ	右	1000	晴	良	12:10	3歳　条件		2006-5-3	1	札幌(地)	1	(規定)		2	150	1	2	120	1	8	150	3	2-8	350	2	2=>8	510	2.0	1-2-8	1450	5.0	2=>8=>1	3190	10.0			(2,7),8,4,(3,6),1,5	2,7,8,(4,6),(1,3),5			1.0	330.0	5.0			
200658050304	ダ	右	1600	晴	良	12:45	3歳　条件		2006-5-3	1	札幌(地)	1	(規定)		5	460	4	5	130	1	7	160	5	5-7	1290	5	5=>7	2230	9.0	2-5-7	1270	4.0	5=>7=>2	6770	23.0	(2,7),5,(3,6),(1,8),9,4	2,7,5,(3,6),(1,8),9,4	(2,7,5),6,(3,8),1,9,4	(2,7,5),(1,6),8,(3,9),4			2.0	150.0	3.0	5-7	1290.0	6.0
200658050305	ダ	右	1000	晴	良	13:20	D3　ー2組		2006-5-3	1	札幌(地)	1	40万円以下	(規定)	4	510	3	4	170	4	6	150	3	4-6	1410	5	4=>6	3000	12.0	1-4-6	790	3.0	4=>6=>1	6070	19.0			(1,2),4,(6,8),9,(3,5),7	(1,2),4,(6,8),9,(3,5),7			1.0	110.0	1.0	4-6	1480.0	8.0
200658050306	ダ	右	1700	晴	良	13:55	D2　ー3組		2006-5-3	1	札幌(地)	1	60万円以下	(規定)	6	150	1	6	110	1	3	120	2	3-6	150	1	6=>3	220	1.0	3-6-8	1180	6.0	6=>3=>8	1550	4.0	2,(3,6),8,(1,4,5),7	2,(6,3),(8,1),(7,5),4	(2,3,6),8,(1,5),(7,4)	(6,3,2),8,(1,5),4,7			8.0	280.0	7.0			
200658050307	ダ	右	1000	晴	良	14:30	D2　ー1組		2006-5-3	1	札幌(地)	1	60万円以下	(規定)	5	350	2	5	120	1	3	210	5	3-5	1690	10	5=>3	2330	12.0	3-5-8	3820	15.0	5=>3=>8	21440	88.0			5,(6,8),7,4,1,(2,3)	5,(6,8),7,(4,1,2,3)			8.0	180.0	4.0			
200658050308	ダ	右	1700	晴	良	15:05	上湧別町チューリップ 		2006-5-3	1	札幌(地)	1	130万円以下	(規定)	8	290	1	8	150	1	9	240	4	8-9	700	1	8=>9	1810	8.0	1-8-9	4410	11.0	8=>9=>1	13660	28.0	(3,4),12,13,(6,11),(1,9,14),(5,7,8),10,2	4,3,12,13,6,(11,9),(5,1,14),(7,8),10,2	8,(3,12,13,9),6,(5,11,14),4,(1,7),2,10	8,12,(3,6,13,9),(1,11),(5,14),7,2,10,4			1.0	240.0	5.0	5-6	860.0	4.0
200658050309	ダ	右	1700	晴	良	15:40	大通公園特別 		2006-5-3	1	札幌(地)	1	150万円以下	(規定)	6	530	3	6	170	3	7	270	4	6-7	7480	19	6=>7	15620	36.0	4-6-7	5700	15.0	6=>7=>4	54690	126.0	(3,4,5),(6,7,9,10),(2,12),(1,8)	(5,4,3),(6,7,10),(2,9,12),1,8	(4,5),(6,7),(3,10),(2,9,12),(1,8)	(6,4,5),7,(2,10,12),8,(3,1,9)			4.0	140.0	2.0	5-6	1080.0	5.0
200658050310	ダ	右	1000	晴	良	16:15	石狩川特別 		2006-5-3	1	札幌(地)	1	800万円以下	(規定)	3	360	2	3	150	2	8	460	8	3-8	3450	15	3=>8	5940	24.0	2-3-8	3030	7.0	3=>8=>2	32360	106.0			(2,3,11),12,6,(1,8),5,4,10,7,9	2,(11,3),12,6,(1,8),5,4,(7,10),9			2.0	150.0	1.0	3-6	2490.0	14.0
200658050401	ダ	右	1700	晴	良	10:30	D3　ー2組		2006-5-4	1	札幌(地)	2	40万円以下	(規定)	5	770	4	5	380	4	1	120	1	1-5	670	2	5=>1	2310	9.0	1-5-7	430	1.0	5=>1=>7	3260	11.0	(3,1,4),5,(2,6),7	(3,1,4),(5,7,2),6	(3,1,4,5),(2,7,6)	3,(2,1,5),(7,4,6)								
200658050402	ダ	右	1600	晴	良	11:00	3歳　条件		2006-5-4	1	札幌(地)	2	100万円以下	(規定)	4	140	1	4	130	1	3	1,090	6	3-4	2950	8	4=>3	3610	13.0	3-4-6	2280	8.0	4=>3=>6	13800	37.0	4,(2,5),3,(1,6)	4,(2,5),(3,6),1	(4,5,6,1),(2,3)	(4,6,1),(2,5,3)								
200658050501	ダ	右	1000	曇	良	10:30	3歳　条件		2006-5-5	1	札幌(地)	3	(規定)		5	210	1	5	100	2	1	100	3	1-5	340	1	5=>1	570	1.0	1-5-7	260	1.0	5=>1=>7	980	1.0			5,(7,8),1,6,9,4,2	5,(1,7,8),(9,6),4,2			7.0	100.0	1.0	1-5	280.0	1.0
