着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1		9	---		2001103133	牝	5			55.5	93.3	0			05304	00386	415800.0	0.0	2006A4070106
2		5	---		SWEET TALKER	牝	4			55.5		1.3/4			05392	05560	00nan	0.0	2006A4070106
3		7	---		LUAS LINE	牝	4			55.5		1/2			0グライダ	[他] ワックマ	00nan	0.0	2006A4070106
4		4	---		DANCING EDIE	牝	4			54.0		クビ			0ヴァレン	[他] ドラージ	00nan	0.0	2006A4070106
5		1	---		CAMBIOCORSA	牝	4			54.0		アタマ			05356	05475	00nan	0.0	2006A4070106
6		3	---		SHINING ENERGY	牝	4			55.5		クビ			00883	[他] カナーニ	00nan	0.0	2006A4070106
7		2	---		000a011a16	牝	4			54.0		3			00856	[他] グリーリ	00nan	0.0	2006A4070106
8		6	---		FLYING GLITTER	牝	4			54.0		大			05004	[他] ワーナー	00nan	0.0	2006A4070106
取		8	---		HOLLYWOOD STORY	牝	5			55.5					05266	[他] シレフス	00nan	0.0	2006A4070106
1		7	---		WAIT A WHILE	牝	3			55.0	119.3	0			00ゴメス	[他] プレッチ	00nan	0.0	2006A4070208
2		1	---		2003102338	牝	3			55.0		4.1/2			05304	01079	546009.0	0.0	2006A4070208
3		3	---		ARRAVALE	牝	3			55.0		1/2			00883	00931	00nan	0.0	2006A4070208
4		4	---		GALILEO'S STAR	牝	3			55.0		6			00アロヨ	[他] キャシデ	00nan	0.0	2006A4070208
5		2	---		SOL MI FA	牝	3			55.0		ハナ			0ヴァレン	[他] キャシデ	00nan	0.0	2006A4070208
6		6	---		FOXYSOX	牝	3			55.0		1.1/4			00ビソノ	[他] ゲインズ	00nan	0.0	2006A4070208
7		8	---		PROXENIA	牝	3			55.0		ハナ			05004	[他] ギャラガ	00nan	0.0	2006A4070208
8		5	---		ATTIMA	牝	3			55.0		2			05266	[他] カナーニ	00nan	0.0	2006A4070208
