	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連単:的中	三連単:配当	三連単:人気
200706010101	ダ	右	1200	小雨	良	09:50	3歳未勝利		2007-1-6	1	中山	1	3歳未勝利	牝[指](馬齢)	3	720	4	3	290	4	10	400	6	6.0	1,530	9.0	2-5	440.0	1.0	3-10	4090	16	3-10	1,560	18	3-6	5,860	40	6-10	6,150	42	3=>10	8180	33	3-6-10	64060	113			10(15,12)(2,4,3,7)-13(6,14)(1,11,5,8)9-16	10,12-(15,3)(2,4,7)-13(6,14,8)(1,5)(11,9)=16	12.1 - 10.7 - 11.2 - 12.3 - 13.0 - 14.4	12.1 - 22.8 - 34.0 - 46.3 - 59.3 - 73.7 (34.0-39.7)			
200706010102	ダ	右	1800	小雨	良	10:20	3歳未勝利		2007-1-6	1	中山	1	3歳未勝利	[指](馬齢)	3	9470	10	3	2,000	11	7	860	7	4.0	240	3.0	2-4	5560.0	13.0	3-7	96080	65	3-7	14,020	59	3-4	6,190	42	4-7	1,870	19	3=>7	221210	133	3-4-7	156720	166	1,6-5,7(12,13)(3,10)16(8,11,15)4(9,14)2	(*1,6)5(3,7,13)(10,12)(8,16,15)11,4(9,14)2	(*6,5,7)-(1,3,13)15,12,10-(8,11)(16,14)(4,2)-9	(*6,7)5,3-(13,15)-(12,10)-1,14(8,11)4-2,16-9	12.8 - 11.7 - 13.4 - 13.4 - 12.9 - 12.5 - 13.3 - 13.7 - 14.4	12.8 - 24.5 - 37.9 - 51.3 - 64.2 - 76.7 - 90.0 - 103.7 - 118.1 (37.9-41.4)			
200706010103	ダ	右	1800	小雨	良	10:50	3歳未勝利		2007-1-6	1	中山	1	3歳未勝利	(混)[指](馬齢)	1	200	1	1	110	1	12	170	3	13.0	340	6.0	1-6	600.0	3.0	1-12	550	2	1-12	260	2	1-13	680	8	12-13	1,100	13	1=>12	870	2	1-12-13	2600	8	1(8,12)13(9,10,15)14-(5,16)-(7,11)3,4(2,6)	1(8,12)(9,10,13,15)14-(5,16)-(7,11)3-4(2,6)	(*1,12)-8,13(9,10,14)16(5,15)-3(7,11)(4,6)-2	1,12-(8,13)-9(10,14)16-5,3,15(11,4)(7,2)6	12.7 - 12.1 - 12.9 - 13.3 - 12.6 - 12.6 - 13.0 - 13.2 - 14.1	12.7 - 24.8 - 37.7 - 51.0 - 63.6 - 76.2 - 89.2 - 102.4 - 116.5 (37.7-40.3)			
200706010104	ダ	右	1200	雨	良	11:20	3歳新馬		2007-1-6	1	中山	1	3歳新馬	(混)[指](馬齢)	16	590	3	16	250	3	5	210	2	12.0	910	9.0	3-8	1780.0	7.0	5-16	1840	7	5-16	810	9	12-16	4,140	36	5-12	4,100	35	16=>5	4130	13	5-12-16	37100	84			(*8,16)5(4,10,12,15)13-7-(1,6)11-9(2,14) 3	(*8,16)-(10,5)(12,15)-(4,13,7)6-11(1,9)(2,14) 3	12.3 - 11.1 - 11.7 - 12.2 - 12.8 - 13.7	12.3 - 23.4 - 35.1 - 47.3 - 60.1 - 73.8 (35.1-38.7)			
200706010105	芝	右	2200	雨	良	12:10	3歳未勝利		2007-1-6	1	中山	1	3歳未勝利	(混)[指](馬齢)	9	3130	10	9	710	10	2	460	8	13.0	160	1.0	1-5	3980.0	20.0	2-9	19790	52	2-9	5,330	58	9-13	1,920	24	2-13	1,400	14	9=>2	44000	110	2-9-13	24950	78	(12,8,*9)-(2,6,15,13)(3,14)1(4,16)(11,10)(5,7)	9(8,15,13)(12,6)(1,14)(2,3)4(11,16,10)(5,7)	(*9,8,13)(12,15)6(2,1)14(11,4)-10-(7,16)3=5	(*9,13)12-(2,8,15,6)(11,1)(4,14)(7,10)16-3=5	12.7 - 11.8 - 12.8 - 13.1 - 13.5 - 13.3 - 12.8 - 12.5 - 12.0 - 12.4 - 12.9	12.7 - 24.5 - 37.3 - 50.4 - 63.9 - 77.2 - 90.0 - 102.5 - 114.5 - 126.9 - 139.8 (37.3-37.3)			
200706010106	芝	右	1600	雨	良	12:40	3歳新馬		2007-1-6	1	中山	1	3歳新馬	(混)[指](馬齢)	2	420	2	2	270	3	10	1,810	12	14.0	460	7.0	1-5	14410.0	28.0	2-10	37290	65	2-10	7,540	65	2-14	1,850	27	10-14	12,700	86	2=>10	63710	118	2-10-14	160340	276		(11,*14)(13,15)10(8,12)(2,7)16(1,4,6)3,9,5	14,15(13,12)(11,2,10,7)(1,16)(6,4)3-(5,9) 8	(*14,15,13)(2,10,12)(11,7)1(16,6,4)-3,5-9 8	12.9 - 11.5 - 12.2 - 12.8 - 12.4 - 11.9 - 12.2 - 12.3	12.9 - 24.4 - 36.6 - 49.4 - 61.8 - 73.7 - 85.9 - 98.2 (36.6-36.4)			
200706010107	ダ	右	1800	雨	稍重	13:10	4歳以上500万下		2007-1-6	1	中山	1	4歳以上500万下	(混)[指](定量)	6	1190	4	6	380	4	10	250	3	15.0	900	9.0	3-5	570.0	2.0	6-10	4350	14	6-10	1,720	17	6-15	5,270	48	10-15	3,860	39	6=>10	9730	35	6-10-15	60320	134	(*6,14)(7,16)1(13,11)8(10,15)4,12(9,3)2 5	(*6,14)(7,16)1,13(8,11)10(4,15)12,9,3,2 5	(*6,14)16(1,8,13)(12,10,11)(7,9,15)(4,3)2 5	6(14,16)(12,8,13)10(1,9,15)3,11,2(7,4) 5	12.7 - 11.7 - 12.5 - 12.8 - 12.8 - 12.7 - 13.2 - 13.4 - 13.6	12.7 - 24.4 - 36.9 - 49.7 - 62.5 - 75.2 - 88.4 - 101.8 - 115.4 (36.9-40.2)			
200706010108	ダ	右	1200	雨	稍重	13:40	4歳以上1000万下		2007-1-6	1	中山	1	4歳以上1000万下	(混)[指](定量)	15	420	3	15	140	2	12	150	3	1.0	130	1.0	6-8	840.0	3.0	12-15	940	3	12-15	310	2	1-15	320	3	1-12	280	1	15=>12	1950	5	1-12-15	930	1			(*1,5,7)15(14,12)6(8,16)(4,9)(3,13)10(11,2)	(*1,7)(5,15)(14,12)8(6,4,9,16)13(10,11,2)-3	12.1 - 10.5 - 11.0 - 11.9 - 12.2 - 13.3	12.1 - 22.6 - 33.6 - 45.5 - 57.7 - 71.0 (33.6-37.4)			
200706010109	芝	右	2000	雨	稍重	14:15	寒竹賞 		2007-1-6	1	中山	1	3歳500万下	(混)(特指)(馬齢)	11	730	3	11	270	3	7	590	8	6.0	980	9.0	6-8	4090.0	13.0	7-11	8630	26	7-11	1,880	22	6-11	3,840	32	6-7	4,880	36	11=>7	14980	40	6-7-11	73050	105	10,4-6,7-8,11(3,1)9-2,5	10,4-6,7-8(11,1)(3,9)-(2,5)	(*10,4)-6,7(11,8)1-9-(3,5)2	4(10,6)(11,7)(1,8)9,5(3,2)	12.6 - 10.7 - 12.9 - 12.1 - 13.0 - 12.8 - 12.6 - 12.5 - 12.5 - 12.4	12.6 - 23.3 - 36.2 - 48.3 - 61.3 - 74.1 - 86.7 - 99.2 - 111.7 - 124.1 (36.2-37.4)	11=>7=>6	439550.0	525.0
200706010110	ダ	右	1800	雨	重	14:50	アレキサンドライトS 		2007-1-6	1	中山	1	4歳以上1600万下	(混)[指](定量)	8	560	2	8	250	3	11	800	10	2.0	350	6.0	4-6	2120.0	10.0	8-11	15620	49	8-11	3,340	39	2-8	1,180	16	2-11	4,370	55	8=>11	24850	87	2-8-11	36570	123	(*2,8,10)(9,12,16)11(1,6)(5,13)4,14,7-15=3	(2,8,*10)(9,12)(11,16)(1,5,6,13)(4,14)7-15=3	(*2,8,10)(11,12)(9,16,13)(1,5,6,14)(4,7)15-3	(*2,8,10)11,12(5,13)(6,16,7)(9,14)(1,4,15)-3	12.5 - 11.4 - 12.4 - 13.1 - 12.3 - 12.0 - 12.2 - 12.7 - 12.8	12.5 - 23.9 - 36.3 - 49.4 - 61.7 - 73.7 - 85.9 - 98.6 - 111.4 (36.3-37.7)	8=>11=>2	220680.0	695.0
