	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連単:的中	三連単:配当	三連単:人気
200710010101	ダ	右	1000	晴	稍重	09:50	3歳未勝利		2007-1-20	1	小倉	1	3歳未勝利	(混)(馬齢)	6	250	1	6	150	1	8	420	6	7.0	1,000	9.0	4-5	1400.0	7.0	6-8	1910	8	6-8	810	8	6-7	2,270	23	7-8	3,880	33	6=>8	2320	10	6-7-8	17980	53			(*6,10)-7(9,13)5,8,2-14(1,12)(3,4)-11	(*6,10)-7,5(8,9,13)2-14(12,4)1,3-11	12.1 - 10.3 - 11.6 - 12.4 - 12.8	12.1 - 22.4 - 34.0 - 46.4 - 59.2 (34.0-36.8)			
200710010102	芝	右	2000	晴	良	10:20	3歳未勝利		2007-1-20	1	小倉	1	3歳未勝利	牝(馬齢)	2	290	2	2	150	2	4	220	4	3.0	120	1.0	1-2	390.0	1.0	2-4	1660	5	2-4	580	6	2-3	200	1	3-4	420	4	2=>4	2320	7	2-3-4	1200	2	(*3,8)(1,4,6)(2,5,16)(12,7,18)(15,13)(10,11,17)-(9,14)	3,8(1,4)(2,6)12(5,16)(7,18)10(15,13)(11,17)-(9,14)	3(8,4)1(2,6)(5,7)12,15(10,16,13)18,17-11,14,9	(*3,8,4)2(5,7)(1,6,15,13)12,10(17,16)18(9,11,14)	12.2 - 11.0 - 12.2 - 12.9 - 12.4 - 12.0 - 12.2 - 12.3 - 12.1 - 11.9	12.2 - 23.2 - 35.4 - 48.3 - 60.7 - 72.7 - 84.9 - 97.2 - 109.3 - 121.2 (35.4-36.3)			
200710010103	芝	右	1200	晴	良	10:50	3歳未勝利		2007-1-20	1	小倉	1	3歳未勝利	(混)(馬齢)	1	1760	8	1	500	7	5	530	9	9.0	560	10.0	1-3	5020.0	18.0	1-5	12690	47	1-5	3,670	45	1-9	3,530	44	5-9	3,290	42	1=>5	23690	88	1-5-9	83430	216			(*5,18)(8,9)14(7,1)13-(3,10)6,16(2,11)(12,15)(4,17)	(*5,18,9)(8,1,14)7,13-(3,10)(2,6,11)(4,12,16,15)17	11.8 - 10.2 - 10.9 - 11.6 - 12.0 - 12.6	11.8 - 22.0 - 32.9 - 44.5 - 56.5 - 69.1 (32.9-36.2)			
200710010104	芝	右	1800	晴	良	11:20	3歳未勝利		2007-1-20	1	小倉	1	3歳未勝利	(馬齢)	12	330	1	12	140	1	5	170	2	15.0	240	4.0	3-6	680.0	1.0	5-12	830	1	5-12	310	1	12-15	690	5	5-15	780	7	12=>5	1450	1	5-12-15	2280	2	(5,*14)(13,16)(6,12,15)4(1,10,11,9)(2,3)7,8	(*5,14)13(6,12)(15,16)(4,10,9)(1,11)(3,7)2,8	(*5,14,13)(6,12,15,16,9)(4,10,11,7)(1,3)-(2,8)	(*5,14)(12,13)9(6,15)(4,16)(10,11)(1,7)(3,8)2	12.5 - 11.7 - 12.5 - 12.6 - 12.5 - 12.2 - 11.9 - 11.9 - 11.2	12.5 - 24.2 - 36.7 - 49.3 - 61.8 - 74.0 - 85.9 - 97.8 - 109.0 (36.7-35.0)			
200710010105	ダ	右	1000	晴	稍重	11:50	4歳以上500万下		2007-1-20	1	小倉	1	4歳以上500万下	牝(定量)	3	360	2	3	170	1	5	780	9	8.0	290	4.0	3-4	540.0	1.0	3-5	9930	30	3-5	2,530	29	3-8	1,040	13	5-8	5,190	38	3=>5	14630	45	3-5-8	24880	70			3(2,13)(5,4,10)(1,9,12)(6,8)(11,14) 7	3,2,5(6,13,10)(1,12)(4,9,8)11-14 7	12.3 - 10.8 - 11.4 - 12.0 - 12.9	12.3 - 23.1 - 34.5 - 46.5 - 59.4 (34.5-36.3)			
200710010106	ダ	右	1700	晴	稍重	12:40	4歳以上500万下		2007-1-20	1	小倉	1	4歳以上500万下	(定量)	12	1510	6	12	360	6	3	140	1	13.0	190	3.0	2-6	1630.0	9.0	3-12	2920	11	3-12	1,190	14	12-13	1,070	11	3-13	490	3	12=>3	7330	26	3-12-13	4900	10	13(10,12)(9,15,6)7(5,2)3(1,14)11(4,16)8	13,12(10,6)(9,15)(7,2)5,3(1,14)11-(4,16)-8	(*13,12)-(10,9,6)(15,2)(7,14)(1,3)5-11(4,16,8)	(*13,12)-10(9,14)(15,6,3)(1,2)7-(5,11)(4,8)16	6.8 - 11.2 - 12.0 - 12.4 - 12.3 - 11.9 - 12.5 - 12.9 - 13.3	6.8 - 18.0 - 30.0 - 42.4 - 54.7 - 66.6 - 79.1 - 92.0 - 105.3 (30.0-38.7)			
200710010107	ダ	右	2400	晴	稍重	13:10	4歳以上500万下		2007-1-20	1	小倉	1	4歳以上500万下	(混)(定量)	12	8600	11	12	910	10	14	130	1	1.0	600	9.0	6-7	780.0	4.0	12-14	4530	16	12-14	1,790	16	1-12	13,430	75	1-14	1,040	9	12=>14	19050	53	1-12-14	29530	80	(*2,5)(3,9)(1,16)(14,8,15)(6,11)(7,12)-10,4-13	2,5(3,9)-(14,1,16)(8,15)6(7,11)12,10,4,13	(*2,5)9,8(3,14,1)(15,11)(6,12,10)-(7,16)13-4	2(14,5,9,8)1,12,15(3,11)(6,10)-(7,13)-16=4	12.8 - 11.7 - 12.9 - 13.0 - 13.1 - 13.2 - 13.3 - 12.7 - 12.3 - 12.7 - 13.0 - 13.2	12.8 - 24.5 - 37.4 - 50.4 - 63.5 - 76.7 - 90.0 - 102.7 - 115.0 - 127.7 - 140.7 - 153.9 (37.4-38.9)			
200710010108	ダ	右	1700	晴	稍重	13:45	4歳以上500万下		2007-1-20	1	小倉	1	4歳以上500万下	(定量)	9	230	1	9	100	1	8	140	2	5.0	150	3.0	4-5	430.0	2.0	8-9	430	1	8-9	190	1	5-9	270	2	5-8	390	3	9=>8	720	1	5-8-9	700	1	(*2,9)(3,14)(8,6)(1,4,12)11-(7,13,15)(10,16)-5	(*2,9)(3,8,14)6(1,4,12)11,7(13,15)(10,16)5	(*2,9)14(3,8,6)12(4,5)16(7,11,15)(1,10,13)	(*2,9)(3,8)12(4,6,14,5)16(7,15)(11,13)10=1	6.9 - 11.2 - 12.1 - 13.0 - 12.4 - 12.3 - 12.4 - 12.1 - 13.2	6.9 - 18.1 - 30.2 - 43.2 - 55.6 - 67.9 - 80.3 - 92.4 - 105.6 (30.2-37.7)			
200710010109	芝	右	2000	晴	良	14:20	4歳以上500万下		2007-1-20	1	小倉	1	4歳以上500万下	(定量)	16	14090	17	16	3,320	17	4	740	10	9.0	200	2.0	2-8	9770.0	26.0	4-16	161600	126	4-16	33,720	126	9-16	10,510	81	4-9	2,300	29	16=>4	436050	258	4-9-16	380230	445	2,17(3,11)(6,9)5(1,8,12)-(4,13,15)(10,16)14-7	(*2,11)(3,17)9(1,6,8)5,12(4,13)(10,16,15)-14-7	2,11(3,9)17(1,8)(5,6,15)(4,12,13)(16,10)(14,7)	2(11,9)3(17,8)1(5,15)(4,13,10)(12,16)(6,7)-14	12.5 - 11.1 - 11.8 - 11.9 - 11.7 - 11.9 - 12.0 - 11.9 - 12.4 - 12.3	12.5 - 23.6 - 35.4 - 47.3 - 59.0 - 70.9 - 82.9 - 94.8 - 107.2 - 119.5 (35.4-36.6)	16=>4=>9	3975740.0	3109.0
200710010110	芝	右	1200	晴	良	14:55	香春岳特別 		2007-1-20	1	小倉	1	4歳以上500万下	牝(定量)	4	320	1	4	120	1	15	160	2	2.0	170	3.0	2-7	450.0	1.0	4-15	680	1	4-15	260	1	2-4	340	2	2-15	710	5	4=>15	1360	2	2-4-15	1400	1			(*3,12,13,15)(1,4,10)(6,14)7(11,16,18)8(2,17,5) 9	(3,*12,13,15)(1,4,10,6)14(7,11,16,18)(8,2,17,5) 9	11.7 - 10.3 - 11.0 - 11.3 - 11.9 - 12.0	11.7 - 22.0 - 33.0 - 44.3 - 56.2 - 68.2 (33.0-35.2)	4=>15=>2	6230.0	1.0
