	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200730041801	ダ	右	1000	晴	稍重	10:55	3歳　条件		2007-4-18	1	門別	1	(規定)		6	990	5	6	180	3	5	630	8	9.0	220.0	4.0	5-5	8660.0	24.0	5-6	7660	24	6=>5	13740	52	5-6-9	9870	31	6=>5=>9	49270	157			(6,7,2),(9,10),(1,4,11,12),5,3-8	6,(7,2),(9,10),(4,11,12),(1,3,5)-8		
200730041802	ダ	右	1200	晴	稍重	11:25	3歳　条件		2007-4-18	1	門別	1	(規定)		5	2320	8	5	400	6	8	420	7	4.0	170.0	2.0	5-8	3040.0	13.0	5-8	11840	30	5=>8	44530	67	4-5-8	36090	60	5=>8=>4	239690	328			(5,6,7),(3,4,8),2,1	5,(6,7,8),(3,4,2),1		
200730041803	ダ	右	1200	晴	稍重	11:55	3歳　条件		2007-4-18	1	門別	1	(規定)		7	670	4	7	200	3	9	140	2	4.0	210.0	5.0	7-8	1010.0	4.0	7-9	1400	7	7=>9	3630	17	4-7-9	3060	11	7=>9=>4	21040	64			695743821	(6,9),(5,7),4,3,8,(2,1)		
200730041804	ダ	右	1000	晴	良	12:25	D3　ー2組		2007-4-18	1	門別	1	40万円以下	(規定)	7	680	4	7	170	2	4	390	8	12.0	210.0	4.0	4-6	1480.0	7.0	4-7	1490	5	7=>4	2920	10	4-7-12	3830	12	7=>4=>12	16520	47			12,(4,6,7),(9,10),5,(1,3,11),2,8	12,4,7,6,9,10,5,3,11,(2,1),8		
200730041805	ダ	右	1200	晴	良	12:55	D2　ー2組		2007-4-18	1	門別	1	60万円以下	(規定)	7	200	1	7	110	1	9	200	5	12.0	150.0	2.0	6-7	390.0	1.0	7-9	530	1	7=>9	1160	1	7-9-12	1030	1	7=>9=>12	3430	1			8,(5,10),1,(2,9,12),(3,4),6,(11,7)	(8,5,10),12,(1,9),(2,4),7,(3,6),11		
200730041806	ダ	右	1200	晴	良	13:25	新冠町静内三石軽種馬		2007-4-18	1	門別	1	40万円以下	(規定)	8	960	5	8	250	4	7	200	2							7-8	1110	6	8=>7	3360	19	4-7-8	3010	13	8=>7=>4	21360	76			6,7,(4,8),(1,2),3	6,(4,7,8),(1,2),3		
200730041807	ダ	右	1200	晴	良	14:00	門別平取町軽種馬生産		2007-4-18	1	門別	1	40万円以下	(規定)	8	240	1	8	110	2	3	110	1	6.0	160.0	4.0				3-8	490	1	8=>3	1090	2	3-6-8	760	1	8=>3=>6	3880	6			3,8,2,(4,6),5,1,7	3,8,(2,6),4-(5,1),7		
200730041808	ダ	右	1000	晴	良	14:30	JAみついし特別 		2007-4-18	1	門別	1	100万円以下	(規定)	9	610	4	9	160	2	11	130	1	2.0	210.0	5.0	7-8	660.0	2.0	9-11	780	2	9=>11	1750	6	2-9-11	1260	2	9=>11=>2	7410	14			2,7,(9,10,11),8,5,6,4,1,12,3	(2,7,10,11),9,8,5,6,4,(1,3),12		
200730041809	ダ	右	1700	晴	良	15:00	JA門別美味ネギ君特 		2007-4-18	1	門別	1	(別定)		3	130	1	3	100	1	8	130	2							3-8	210	1	3=>8	340	1	3-5-8	1370	4	3=>8=>5	3510	12	(6,8),5,3,(1,4),7	6,(8,5),3,(1,4),7	8653147	8,(6,3,5),(1,7),4		
200730041810	ダ	右	1800	晴	良	15:35	リーディングジョッキ 		2007-4-18	1	門別	1	100万円以下	(規定)	2	510	3	2	250	2	1	900	11	8.0	660.0	9.0	1-2	3920.0	14.0	1-2	4300	15	2=>1	6370	24	1-2-8	15230	45	2=>1=>8	110380	288	6,9,(2,10),7,4,5,3,8,(1,11,12)	(6,9),(2,10,7),(4,5,3),8,(1,11,12)	(7,9),2,10,(5,3),(4,8),(6,11),(1,12)	(7,9),2,10,(4,5),(11,8),3,(1,12),6		
200730041811	ダ	右	1800	晴	良	16:10	日高町長杯門別温泉と 		2007-4-18	1	門別	1	130万円以下	(規定)	1	2590	9	1	820	10	8	400	7	9.0	170.0	1.0	1-6	7890.0	22.0	1-8	16700	42	1=>8	32150	84	1-8-9	20690	70	1=>8=>9	310970	667	6,(7,13),(1,5),12,8,2,(4,9,10),(3,11)	6,(7,13),(1,5),12-8,(2,4,9,10),11,3	(6,7),(1,13,5),8,(2,4,12,9),(11,10),3	(7,1,5),6,(2,4,13,8,9),11,(12,10),3		
200730041901	ダ	右	1700	晴	良	10:40	3歳　条件		2007-4-19	1	門別	2	(規定)		7	220	2	7	100	1	6	110	2							6-7	190	1	7=>6	430	2	1-6-7	810	3	7=>6=>1	2220	6	7,(5,6),(3,4),2,1	7,(5,6),3,4,(2,1)	7,(5,6),(3,4,1),2	7,(5,6),(3,1),4,2		
200730041902	ダ	右	1000	晴	良	11:10	3歳　条件		2007-4-19	1	門別	2	(規定)		6	710	5	6	240	5	5	520	8	4.0	130.0	1.0	5-5	3990.0	19.0	5-6	4650	20	6=>5	7250	33	4-5-6	8590	34	6=>5=>4	74470	252			(9,10),5,(3,6),(4,11),(2,12),1,(8,7)	(9,10,5,6,11),(3,4,2,12),1,7,8		
200730041903	ダ	右	1000	晴	良	11:40	D3　ー1組		2007-4-19	1	門別	2	40万円以下	(規定)	5	550	4	5	230	4	1	190	2	2.0	280.0	5.0				1-5	1000	5	5=>1	1920	10	1-2-5	2330	9	5=>1=>2	18620	57			2,5,(4,7),1,6,8-3	2,5,7,(4,1),6,8-3		
200730041904	ダ	右	1200	晴	良	12:10	浦河荻伏様似町軽種馬		2007-4-19	1	門別	2	40万円以下	(規定)	1	160	1	1	100	1	5	210	5	3.0	150.0	2.0				1-5	1310	5	1=>5	1440	5	1-3-5	1310	6	1=>5=>3	6310	19			(1,8,5),3,(4,7),(2,6)	(1,5),(8,3,4,7),6,2		
200730041905	ダ	右	1000	晴	良	12:40	フレッシュチャレンジ		2007-4-19	1	門別	2	(規定)		3	480	4	3	140	3	1	150	4	2.0	120.0	1.0				1-3	1410	6	3=>1	2830	11	1-2-3	690	3	3=>1=>2	5380	16			1,(6,3),4,2,7,8,5	(1,3),4,6,2,7,(5,8)		
200730041906	ダ	右	1700	晴	良	13:15	D2　ー1組		2007-4-19	1	門別	2	60万円以下	(規定)	11	3080	11	11	940	10	7	200	4	9.0	170.0	1.0	6-8	1150.0	7.0	7-11	7130	25	11=>7	8400	37	7-9-11	18090	60	11=>7=>9	110300	330	(4,5,12),7,11,(2,3,6),10,8-9	12,(4,5),7,11,(2,3,6),(8,10)-9	12,4,(7,5,11),2,3,6,8,10-9	(12,11),(2,4,7),(8,6,3),(5,10)-9		
200730041907	ダ	右	1700	晴	良	13:50	3歳　条件		2007-4-19	1	門別	2	100万円以下	(規定)	10	350	1	10	140	1	6	200	4	11.0	720.0	9.0	5-7	620.0	3.0	6-10	970	3	10=>6	1270	3	6-10-11	6680	27	10=>6=>11	25000	74	(4,8),(10,11),(1,2),(5,6),9,12,3,7	8,(4,10),11,(1,2,6),5,(3,9),12,7	8,(4,10,11),(2,6,9,7),1,5,(3,12)	(4,8,10),(6,11,7),9,(2,5,12),1,3		
