	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
200734052201	ダ	右	1000	晴	良	14:50	3歳　条件		2007-5-22	1	旭川	1	(規定)		5	170	1	5.0	100	1.0	7.0	140	2.0	5-7	230	1	5=>7	410	1	1-5-7	1570	8	5=>7=>1	5300	20			(4,5),6,7,2,1	(5,7),6,4,(2,1)								
200734052202	ダ	右	1000	晴	良	15:20	D3　ー2組		2007-5-22	1	旭川	1	40万円以下	(規定)	4	310	2	4.0	100	1.0	1.0	110	2.0	1-4	200	1	4=>1	410	2	1-3-4	430	1	4=>1=>3	1150	2			4136257	4,1,(3,6),2,5,7								
200734052203	ダ	右	1000	晴	良	15:50	D3　ー2組		2007-5-22	1	旭川	1	40万円以下	(規定)	6	100	1	6.0	100	1.0	5.0	100	2.0	5-6	250	1	6=>5	310	1	5-6-8	270	1	6=>5=>8	620	1			(2,4,6),(5,8)-(3,7),1	(2,6),(5,8),4,7,(3,1)			8.0	130.0	3.0			
200734052204	ダ	右	1000	晴	良	16:25	ルーキーチャレンジ競		2007-5-22	1	旭川	1	(規定)		6	100	1	6.0	100	1.0	8.0	160	2.0	6-8	230	1	6=>8	280	1	6-7-8	290	1	6=>8=>7	630	1			(6,7),8,5,(1,4),3	(6,7),8,5,1,4,3								
200734052205	ダ	右	1500	晴	良	17:00	D3　ー1組		2007-5-22	1	旭川	1	40万円以下	(規定)	2	170	1	2.0	130	2.0	7.0	110	1.0	2-7	240	1	2=>7	470	1	2-5-7	360	1	2=>7=>5	980	1	2,5,7-(3,8),4,1,6	2,5,7-3,8,4,(1,6)	(2,5),7-3-(1,4,8,6)	(2,5),7-3,(1,4,8),6			5.0	150.0	4.0			
200734052206	ダ	右	1000	晴	良	17:35	D3　ー1組		2007-5-22	1	旭川	1	40万円以下	(規定)	2	130	1	2.0	100	1.0	4.0	100	2.0	2-4	140	1	2=>4	210	1	2-4-7	170	1	2=>4=>7	370	1			2,7,(1,3),6,4,5,8	2,7,1,4,(3,6),5,8			7.0	120.0	3.0			
200734052301	ダ	右	1000	晴	良	15:30	2歳　未勝利		2007-5-23	1	旭川	2	(規定)		5	300	2	5.0	120	1.0	3.0	130	2.0	3-5	240	1	5=>3	480	3	3-5-6	130	1	5=>3=>6	520	1			(1,3),5,6,2,4	(1,3,5),6-2,4								
200734052302	ダ	右	1500	晴	良	16:00	3歳　条件		2007-5-23	1	旭川	2	(規定)		4	2610	7	4.0	510	7.0	5.0	140	3.0	4-5	7650	15	4=>5	13390	27	4-5-8	7990	22	4=>5=>8	67070	147	3,4,(1,8),6,2,5,7	3-(1,4),(2,6,8),5,7	3-(1,4),(6,8),2,5-7	4,(3,1,8),(2,6),5,7			8.0	130.0	2.0			
200734052303	ダ	右	1500	晴	良	16:30	3歳　条件		2007-5-23	1	旭川	2	(規定)		3	1140	4	3.0	220	5.0	5.0	100	1.0	3-5	1840	6	3=>5	2730	8	1-3-5	370	2	3=>5=>1	6960	20	4,5,(1,6),7,8,3,2,9	4,5,(1,6),7,8,(2,3),9	(1,4,5,3),6,7,8,(2,9)	(1,4,3),5,7,6,8,9,2			1.0	100.0	2.0	3-5	1220.0	3.0
200734052304	ダ	右	1000	晴	良	17:00	3歳　条件		2007-5-23	1	旭川	2	100万円以下	(規定)	6	630	3	6.0	130	2.0	9.0	100	1.0	6-9	900	2	6=>9	2700	13	5-6-9	740	1	6=>9=>5	7890	17			(9,8),7,(3,6),(2,5,4),1	(9,8),6,(2,7,5,4),3,1			5.0	140.0	3.0	6-8	720.0	2.0
200734052305	ダ	右	1500	晴	良	17:30	ルーキーチャレンジ競		2007-5-23	1	旭川	2	(規定)		6	130	1	6.0	110	2.0	8.0	610	8.0	6-8	2200	7	6=>8	2740	7	6-7-8	1420	5	6=>8=>7	10510	30	7,11,(5,6,8),(2,3,9),10,4-1	7,11,(5,8),6,(2,9),(3,10),4,1	(7,8),11,9,(5,6,3,10),2,4,1	(7,8),(5,3),9,10,11,6,(2,1),4			7.0	110.0	1.0	6-7	1170.0	5.0
200734052306	ダ	右	1000	晴	良	18:05	D1　ー3組		2007-5-23	1	旭川	2	80万円以下	(規定)	4	280	2	4.0	110	1.0	2.0	120	2.0	2-4	200	1	4=>2	490	2	2-3-4	1090	4	4=>2=>3	3990	11			(1,4),(2,6),(3,7,8),5	(1,4),2,3,6,(5,8),7			3.0	200.0	5.0			
200734052307	ダ	右	1000	晴	良	18:40	アルキバ特別 		2007-5-23	1	旭川	2	150万円以下	(規定)	12	190	1	12.0	160	2.0	9.0	840	7.0	9-12	4710	17	12=>9	5410	20	9-11-12	15560	46	12=>9=>11	98150	252			1,2,5,(3,12),8,4,7,10,(9,11),6	1,2,(3,5,12),(8,10),(4,7,9,11),6			11.0	1,540	11.0	7-8	2550.0	12.0
200734052308	ダ	右	1600	晴	良	19:15	ミランダ特別 		2007-5-23	1	旭川	2	800万円以下	(規定)	11	270	2	11.0	110	2.0	3.0	140	3.0	3-11	930	3	11=>3	1290	5	1-3-11	420	1	11=>3=>1	3500	8	7,(11,5),(1,6),(4,3,9),2,10	(7,11),5,(1,6),(3,9),4,(2,10)	11,(7,1,6),(5,3),9,4,10,2	11,1,(6,3),7,(4,5,10),(2,9)			1.0	100	1.0	3-8	940.0	5.0
