	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200746010301	ダ	右	1400	曇	重	10:50	C45		2007-1-3	21	金沢	2	(馬齢)		10.0	190.0	1.0	10.0	160	3.0	3.0	130	2.0	4.0	200.0	5.0	3-8	490.0	3.0	3-10	490.0	2.0	3-10	330	3.0	4-10	420	5.0	3-4	980	13.0	8=>3	620.0	1.0	10=>3	690.0	1.0	3-4-10	1360.0	6.0	10=>3=>4	3330.0	8.0	45101386279	4,5,1,10,(3,8),6,2,7,9	4,10,(5,3),1,8,6,2,7-9	4,10,3,5,1,6,8,(7,2)-9		
200746010302	ダ	右	1500	晴	重	11:25	C44		2007-1-3	21	金沢	2	(馬齢)		3.0	170.0	1.0	3.0	100	1.0	9.0	690	6.0	8.0	110.0	2.0	3-8	2990.0	8.0	3-9	6290.0	10.0	3-9	1,550	14.0	3-8	130	1.0	8-9	1,390	13.0	3=>8	3800.0	12.0	3=>9	6560.0	15.0	3-8-9	2020.0	6.0	3=>9=>8	20970.0	48.0	(3,8),9,10,5,6,1-7,4,2	(3,8),9,(5,10),(1,6)-7,(2,4)	3,8,9,5,10,(1,6),7-4,2	3,8,9,5,7,1,6,10-4,2		
200746010303	ダ	右	1500	晴	重	12:00	C43		2007-1-3	21	金沢	2	(馬齢)		4.0	890.0	5.0	4.0	330	7.0	6.0	100	1.0	9.0	120.0	2.0	4-6	790.0	2.0	4-6	870.0	3.0	4-6	350	5.0	4-9	360	6.0	6-9	150	1.0	4=>6	2670.0	11.0	4=>6	2900.0	11.0	4-6-9	370.0	1.0	4=>6=>9	5500.0	21.0	2,4,7,9,(1,3),(6,8),5	2,4,7,(1,3,9),6,8,5	467913285	(4,6),7,9,3,1,2,8,5		
200746010304	ダ	右	1400	晴	重	12:35	C42		2007-1-3	21	金沢	2	(馬齢)		7.0	120.0	1.0	7.0	100	1.0	1.0	120	3.0	3.0	100.0	2.0	1-7	280.0	2.0	1-7	310.0	2.0	1-7	120	1.0	3-7	130	2.0	1-3	260	4.0	7=>1	380.0	2.0	7=>1	430.0	2.0	1-3-7	210.0	1.0	7=>1=>3	720.0	2.0	10,3,(2,7,5),4,(1,6,8),9	10,3,(2,7),5,4,1,6,(8,9)	10,3,7,5,2,(4,1),9,8,6	10,3,7,(2,5),1,4,9,8,6		
200746010305	ダ	右	1400	晴	重	13:10	ゆずりは特別 		2007-1-3	21	金沢	2	(馬齢)		7.0	100.0	1.0	7.0	100	1.0	8.0	100	2.0	5.0	240.0	5.0	7-8	120.0	1.0	7-8	120.0	1.0	7-8	130	1.0	5-7	280	4.0	5-8	410	5.0	7=>8	130.0	1.0	7=>8	130.0	1.0	5-7-8	490.0	2.0	7=>8=>5	520.0	2.0	5,(7,8),(6,4),2,1,9,3	578642193	5,7,8,4,6,2,(1,9),3	578469213		
200746010306	ダ	右	1300	曇	重	13:45	C32		2007-1-3	21	金沢	2	(馬齢)		3.0	800.0	3.0	3.0	170	3.0	1.0	140	1.0	10.0	690.0	8.0	1-3	460.0	3.0	1-3	490.0	2.0	1-3	220	1.0	3-10	2,680	24.0	1-10	1,320	14.0	3=>1	1590.0	6.0	3=>1	1500.0	7.0	1-3-10	4880.0	17.0	3=>1=>10	31460.0	97.0	1,2,9,10,8,(3,4),5,6,7	1,2,9,10,(3,8),4,5-6,7	1,(2,9),10,3,8,4,5,7,6	1,2,9,10,3,8,4,(6,7),5		
200746010307	ダ	右	1400	晴	重	14:20	ミラノピザ賀正杯		2007-1-3	21	金沢	2	(馬齢)		2.0	180.0	1.0	2.0	110	2.0	4.0	100	1.0	8.0	360.0	6.0	2-4	220.0	1.0	2-4	200.0	1.0	2-4	140	1.0	2-8	1,240	13.0	4-8	1,380	15.0	2=>4	420.0	2.0	2=>4	440.0	2.0	2-4-8	2030.0	7.0	2=>4=>8	6180.0	20.0	2,(6,9),4,8,3,5,(1,7)	2,6,9,4,(3,8),5,1,7	2,(6,9),(4,8),5,1,7,3	246985173		
200746010308	ダ	右	1400	晴	重	15:00	福梅特別 		2007-1-3	21	金沢	2	(馬齢)		5.0	180.0	1.0	5.0	120	3.0	6.0	100	1.0	8.0	130.0	4.0	5-6	210.0	1.0	5-6	190.0	1.0	5-6	180	2.0	5-8	340	4.0	6-8	400	5.0	5=>6	440.0	2.0	5=>6	420.0	2.0	5-6-8	340.0	2.0	5=>6=>8	1200.0	3.0	(4,5),10,(2,8),7,(1,3,9),6	(4,5),10,8,2,(9,7),(1,3),6	58462910317	5,8,4,6,9,3,10,2-(7,1)		
200746010309	ダ	右	1700	晴	重	15:40	初夢特別 		2007-1-3	21	金沢	2	(馬齢)		4.0	1400.0	4.0	4.0	110	2.0	9.0	100	1.0	7.0	160.0	5.0	4-8	320.0	1.0	4-9	350.0	1.0	4-9	160	1.0	4-7	650	9.0	7-9	210	2.0	4=>8	1460.0	6.0	4=>9	2020.0	7.0	4-7-9	660.0	1.0	4=>9=>7	9180.0	28.0	9,7,1,10,6,(2,5),3,4,8	9,7,(1,10),6,2,(5,4,3,8)	9,4,7,10,6,(2,3),5,1,8	49710632518		
200746010401	ダ	右	1300	晴	稍重	10:50	C47		2007-1-4	21	金沢	3	(馬齢)		7.0	120.0	1.0	7.0	100	1.0	8.0	120	2.0	9.0	240.0	5.0	7-7	380.0	2.0	7-8	370.0	1.0	7-8	150	1.0	7-9	180	2.0	8-9	310	6.0	7=>7	330.0	2.0	7=>8	410.0	1.0	7-8-9	560.0	1.0	7=>8=>9	1020.0	1.0	(2,4),7,5,3,1,9,6,8,10	24735196810	2,7,4,3,10,8,(1,9,5),6	2,7,3,4,(8,10),9,6,5,1		
