	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気	枠単:的中	枠単:配当	枠単:人気
200747010101	ダ	右	1400	晴	良	10:50	サラ系C20組		2007-1-1	16	笠松	5			4	260	1	4	120	3	6	110	2	1.0	100.0	1.0	4-6	680	4	4=>6	1230	4	1-4-6	350	1	4=>6=>1	2340	4		53468712	5,(3,4),8,6,7,1,2	46813752								
200747010102	ダ	右	1400	晴	良	11:20	西脇壮洛1歳記念		2007-1-1	16	笠松	5			4	130	1	4	100	1	1	110	3	3.0	100.0	2.0	1-4	310	2	4=>1	380	2	1-3-4	170	1	4=>1=>3	560	2		35467128	(3,4),5,1,7,8,2,6	43512876								
200747010801	ダ	右	1400	曇	不良	11:00	サラ系3歳6組		2007-1-8	17	笠松	1			3	170	1	3	120	1	9	160	2	7.0	750.0	8.0	3-9	370	2	3=>9	550	2	3-7-9	1500	8	3=>9=>7	3360	10		359167842	3,9,(5,1),6,(7,8),4,2	(3,9),6,1,7,5,4,8,2			3-8	300.0	1.0	3=>8	420.0	1.0
200747010802	ダ	右	1400	曇	不良	11:30	サラ系3歳5組		2007-1-8	17	笠松	1			7	2780	5	7	550	7	5	220	5	4.0	190.0	2.0	5-7	29370	27	7=>5	141600	50	4-5-7	48850	43	7=>5=>4	749850	263		(3,8,7),1,6,5,2,4	(3,8,7),(1,5),6,4,2	7,3,5,(8,4),1,2,6								
200747010803	ダ	右	1400	曇	不良	12:00	祝前畑貴彦誕生日記念		2007-1-8	17	笠松	1			4	240	1	4	100	1	8	160	3	5.0	220.0	5.0	4-8	620	2	4=>8	720	1	4-5-8	2450	11	4=>8=>5	5520	18		14857326	1,4,(5,8),7,3,6,2	4,8,1,5,7,6-3,2								
200747010804	ダ	右	800	曇	不良	12:30	サラ系C28組		2007-1-8	17	笠松	1			3	130	1	3	100	1	4	140	2	8.0	160.0	4.0	3-4	210	1	3=>4	290	1	3-4-8	710	3	3=>4=>8	1090	2				381942567.0			3-4	280.0	1.0	3=>4	310.0	1.0
200747010805	ダ	右	1400	曇	不良	13:05	サラ系C27組		2007-1-8	17	笠松	1			7	140	1	7	130	3	8	130	2	3.0	200.0	4.0	7-8	180	1	7=>8	300	1	3-7-8	180	1	7=>8=>3	630	1		7,8,3,6,9-2-4,5,1	7,8,3,6,9,2-4,(1,5)	783629451			7-8	180.0	1.0	7=>8	290.0	1.0
200747010806	ダ	右	1400	曇	不良	13:40	サラ系C26組		2007-1-8	17	笠松	1			3	150	1	3	110	2	2	110	1	4.0	400.0	7.0	2-3	250	1	3=>2	390	1	2-3-4	8380	20	3=>2=>4	36840	74		23154108967.0	23851410796.0	23584196107.0			2-3	240.0	1.0	3=>2	370.0	1.0
200747010807	ダ	右	1400	曇	不良	14:15	サラ系C25組		2007-1-8	17	笠松	1			6	120	1	6	120	1	4	300	5	5.0	240.0	4.0	4-6	840	3	6=>4	1030	5	4-5-6	1570	4	6=>4=>5	4230	18		31569284107.0	13659487210.0	61539487210.0			4-6	930.0	3.0	6=>4	1660.0	5.0
200747010808	ダ	右	1400	曇	不良	14:50	サラ系C24組牝馬		2007-1-8	17	笠松	1	牝		8	210	1	8	100	1	5	130	3	6.0	310.0	4.0	5-8	370	1	8=>5	550	1	5-6-8	1280	4	8=>5=>6	3150	10		18109745263	1,8,9,7,10,(4,5),2,6,3	8,7,(1,10),5,6,2,9,4,3			5-7	230.0	1.0	7=>5	410.0	1.0
200747010809	ダ	右	1600	晴	不良	15:25	めいほう杯 		2007-1-8	17	笠松	1			5	110	1	5	100	1	7	180	2				5-7	200	1	5=>7	220	1	1-5-7	2520	8	5=>7=>1	2840	12		6754321	7563241	5,7,6,2,(3,1),4								
200747010901	ダ	右	800	晴	不良	11:00	サラ系3歳9組牝馬		2007-1-9	17	笠松	2	牝		1	250	2	1	110	2	3	100	1	9.0	160.0	4.0	1-3	150	1	1=>3	400	2	1-3-9	430	2	1=>3=>9	1550	6				1,3,9,2,4-7,5,6-8			1-3	170.0	1.0	1=>3	420.0	2.0
200747010902	ダ	右	1400	晴	不良	11:30	サラ系3歳8組		2007-1-9	17	笠松	2			1	140	1	1	120	1	4	140	3	5.0	160.0	4.0	1-4	1030	4	1=>4	1130	4	1-4-5	1380	6	1=>4=>5	5240	17		963712485	931674258	(9,3,1),4,6,7,5,2,8			1-4	1180.0	5.0	1=>4	1850.0	5.0
200747010903	ダ	右	1400	晴	不良	12:00	サラ系3歳7組		2007-1-9	17	笠松	2			3	1140	5	3	540	8	4	100	1	1.0	240.0	4.0	3-4	1660	8	3=>4	6140	26	1-3-4	2770	13	3=>4=>1	19250	79		75412836	75412836	4,7,(5,1),8,3,2,6								
200747010904	ダ	右	1400	晴	不良	12:30	岐南町徳田ねぎ		2007-1-9	17	笠松	2	牝		5	270	2	5	100	1	6	100	2	4.0	110.0	3.0	5-6	190	1	5=>6	430	1	4-5-6	290	1	5=>6=>4	910	1		2,5,(8,6),1,7,9,4,3	256497183	562479183			5-6	250.0	1.0	5=>6	470.0	2.0
200747010905	ダ	右	1400	晴	不良	13:00	サラ系C22組		2007-1-9	17	笠松	2			4	1470	5	4	280	5	5	190	3	1.0	1,310	8.0	4-5	1050	6	4=>5	2850	16	1-4-5	5830	17	4=>5=>1	60250	125		689237154	4,(6,9,5),1,7,8,2,3	4,5,9,1,(6,7),2,3,8			4-5	1270.0	8.0	4=>5	3130.0	15.0
200747010906	ダ	右	1400	晴	不良	13:35	サラ系C21組		2007-1-9	17	笠松	2			2	320	3	2	160	3	10	120	1	8.0	180	4.0	2-10	530	3	2=>10	1580	8	2-8-10	280	1	2=>10=>8	2730	7		31082596714	10,3,8,5,2-7,9,4,6,1	10825374961			2-8	610.0	3.0	2=>8	1420.0	7.0
200747010907	ダ	右	1400	晴	不良	14:10	サラ系C20組		2007-1-9	17	笠松	2			8	210	1	8	100	2	9	120	3	10.0	100	1.0	8-9	160	1	8=>9	370	1	8-9-10	180	1	8=>9=>10	630	2		2,7,9,8-6,10,1,5,4,3	7,9,8,2-10,6,1,5,4,3	9,8,7,10,2-6,1,4,3,5			7-8	130.0	1.0	7=>8	230.0	1.0
200747010908	ダ	右	1400	晴	不良	14:45	サラ系C19組		2007-1-9	17	笠松	2			9	120	1	9	100	1	6	110	3	10.0	100	2.0	6-9	230	1	9=>6	290	1	6-9-10	170	1	9=>6=>10	440	1		8,9,10,4,6-7,3,2-5,1	8,9,10,4,6,3,7,2-5,1	9,4,6,10,8,3-2,7-5,1			6-8	140.0	1.0	8=>6	240.0	1.0
200747011001	ダ	右	1400	晴	稍重	11:00	サラ系3歳3組		2007-1-10	17	笠松	3			5	2630	5	5	580	8	6	220	5	7.0	120	1.0	5-6	8110	20	5=>6	25010	37	5-6-7	6060	21	5=>6=>7	112900	183		67853142.0	67815342.0	67354182.0								
200747011002	ダ	右	1400	晴	稍重	11:30	サラ系C13組		2007-1-10	17	笠松	3			3	450	2	3	100	2	5	110	3	9.0	100	1.0	3-5	210	1	3=>5	530	1	3-5-9	140	1	3=>5=>9	760	1		9-1,5,6,4,7,8,2,3	9-1,5,6,4,2,3,7,8	953412678			3-5	240.0	1.0	3=>5	440.0	1.0
200747011003	ダ	右	1400	晴	稍重	12:00	サラ系3歳1組特別 		2007-1-10	17	笠松	3			3	1090	4	3	490	4	6	340	3				3-6	1840	6	3=>6	4710	11	3-4-6	1420	4	3=>6=>4	10410	26		4,1-2,3,6,5	413265	436152								
200747011004	ダ	右	1400	晴	稍重	12:30	サラ系A5・B2組		2007-1-10	17	笠松	3			1	480	2	1	140	1	3	170	4	2.0	350	6.0	1-3	1230	7	1=>3	1850	11	1-2-3	9250	16	1=>3=>2	52150	79		87643125	8,7,6,4,3,2,1-5	36128745								
200747011005	ダ	右	1400	晴	稍重	13:00	サラ系C11組選抜		2007-1-10	17	笠松	3			6	240	2	6	100	1	5	110	2	7.0	270	5.0	5-6	160	1	6=>5	440	2	5-6-7	630	2	6=>5=>7	2460	8		267395841.0	267359841.0	657328914.0			5-6	230.0	1.0	6=>5	340.0	2.0
200747011006	ダ	右	1600	晴	稍重	13:35	サラ系A4組選抜		2007-1-10	17	笠松	3			5	360	3	5	140	2	3	180	4	8.0	150	3.0	3-5	850	5	5=>3	1350	8	3-5-8	1000	4	5=>3=>8	3320	13		13648572.0	13865427.0	13586742.0								
200747011101	ダ	右	1400	晴	稍重	11:00	サラ系C9組		2007-1-11	17	笠松	4			7	130	1	7	100	1	6	130	3	8.0	100	2.0	6-7	460	2	7=>6	640	2	6-7-8	320	1	7=>6=>8	1190	2		857231649.0	875326149.0	876532419.0			6-7	670.0	2.0	7=>6	550.0	2.0
200747011102	ダ	右	1400	晴	稍重	11:30	サラ系C8組		2007-1-11	17	笠松	4			1	100	1	1	100	1	6	1,710	8	5.0	110	2.0	1-6	4650	11	1=>6	3210	9	1-5-6	5450	15	1=>6=>5	27310	44		897145263	(8,1),7,9,5,6,4,2,3	167524938			1-6	3520.0	8.0	1=>6	4250.0	9.0
200747011103	ダ	右	1400	晴	稍重	12:00	サラ系C7組		2007-1-11	17	笠松	4			2	1590	6	2	150	3	1	250	4	3.0	140	2.0	1-2	5980	14	2=>1	22730	31	1-2-3	1240	5	2=>1=>3	29310	69		723965184	7,2,3,9,8,1,6,5-4	372819654			1-2	5410.0	12.0	2=>1	13020.0	24.0
200747011104	ダ	右	1400	晴	稍重	12:30	サラ系B10組		2007-1-11	17	笠松	4			3	800	5	3	310	4	9	350	5	5.0	140	2.0	3-9	2800	10	3=>9	3870	15	3-5-9	3360	10	3=>9=>5	29540	64		298357641.0	298356471.0	298536471.0			3-8	1130.0	5.0	3=>8	2210.0	10.0
200747011105	ダ	右	1400	晴	稍重	13:00	サラ系B9組		2007-1-11	17	笠松	4			5	140	1	5	100	1	6	110	2	4.0	120	3.0	5-6	410	3	5=>6	600	3	4-5-6	530	3	5=>6=>4	1710	5		5,3,6,7,4=8,2,9,1	5,3,6,4,7=8,2,1,9	5,6,3,4,7=8,2,1,9			5-6	520.0	3.0	5=>6	510.0	2.0
200747011106	ダ	右	1600	晴	稍重	13:30	サラ系C6組		2007-1-11	17	笠松	4			10	110	1	10	110	1	5	470	7	9.0	1,350	9.0	5-10	550	4	10=>5	460	1	5-9-10	9420	25	10=>5=>9	11060	29		35810721946	3,5,10,7,8,2,9,1,4-6	3,5,10,7,8,9,2,4,1-6			5-8	510.0	3.0	8=>5	510.0	2.0
200747011107	ダ	右	1400	晴	稍重	14:00	サラ系B8組		2007-1-11	17	笠松	4			2	120	1	2	100	2	4	100	1	7.0	100	3.0	2-4	180	1	2=>4	200	1	2-4-7	210	1	2=>4=>7	360	1		14526103798	1,2,4,5,6,10,7,3,9-8	2,4,1,7,6,3,10,9,5-8			2-4	160.0	1.0	2=>4	170.0	1.0
