	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連単:的中	三連単:配当	三連単:人気
200750010101	ダ	右	1400	晴	良	10:55	20071stヴィク		2007-1-1	18	園田	4	(馬齢)		11.0	390.0	2.0	11.0	170	5.0	5.0	100	2.0	4.0	100	1.0	5-8	510.0	2.0	5-11	410.0	1.0	5-11	290	3.0	4-11	470	8.0	4-5	260	2.0	11=>5	1240.0	6.0	4-5-11	860.0	4.0	4971168151032	4,9,7,11,6,8,(1,5),10,3,2	4,9,(7,11),5,6,8,1,10,3,2	4,(5,11),9,7,8,6,1,10,3,2					
200750010102	ダ	右	1400	晴	良	11:25	F3一　3歳		2007-1-1	18	園田	4	(馬齢)		5.0	120.0	1.0	5.0	100	1.0	8.0	110	2.0	4.0	190	4.0	5-7	360.0	1.0	5-8	330.0	1.0	5-8	190	1.0	4-5	250	3.0	4-8	400	5.0	5=>8	370.0	1.0	4-5-8	580.0	1.0	11,6,(7,8),5,9,3,2,4,1,10	1185679243110	8511429671103	8511429617103					
200750010103	ダ	右	1400	晴	良	11:55	D3三　4歳以上		2007-1-1	18	園田	4	(馬齢)		8.0	170.0	1.0	8.0	120	1.0	4.0	230	6.0	1.0	170	4.0	4-8	1370.0	6.0	4-8	1540.0	6.0	4-8	600	9.0	1-8	190	1.0	1-4	1,010	13.0	8=>4	1890.0	9.0	1-4-8	2070.0	10.0	486157329	486157239	486159273	841695273					
200750010104	ダ	右	1400	晴	良	12:25	D3二　4歳以上		2007-1-1	18	園田	4	(馬齢)		6.0	150.0	1.0	6.0	100	1.0	5.0	140	4.0	3.0	710	7.0	5-6	210.0	1.0	5-6	220.0	1.0	5-6	160	1.0	3-6	440	5.0	3-5	690	11.0	6=>5	300.0	1.0	3-5-6	1870.0	6.0	9,8,6,5,1,7,4,(2,3)	985617423	8,6,9,5,(4,7),1,3,2	685437912					
200750010105	ダ	右	1400	晴	良	12:55	D3一　4歳以上		2007-1-1	18	園田	4	(馬齢)		8.0	140.0	1.0	8.0	100	2.0	6.0	100	1.0	3.0	310	6.0	6-7	110.0	1.0	6-8	110.0	1.0	6-8	120	1.0	3-8	610	9.0	3-6	580	7.0	8=>6	160.0	1.0	3-6-8	730.0	3.0	89364110725	89364110725	8,(6,9),3,10,1,4,7,2,5	86391104725					
200750010106	ダ	右	1400	晴	良	13:30	D2三　4歳以上		2007-1-1	18	園田	4	(馬齢)		6.0	150.0	1.0	6.0	100	1.0	3.0	100	2.0	2.0	140	4.0				3-6	110.0	1.0	3-6	100	1.0	2-6	170	2.0	2-3	170	3.0	6=>3	180.0	1.0	2-3-6	200.0	1.0	2,3,7,4,6,(1,5),8	23746158	2,3,6,(4,5,7),8,1	23645871					
200750010107	ダ	右	1400	晴	良	14:05	D2二　4歳以上		2007-1-1	18	園田	4	(馬齢)		7.0	110.0	1.0	7.0	100	1.0	4.0	130	2.0	5.0	180	5.0				4-7	340.0	2.0	4-7	190	2.0	5-7	330	4.0	4-5	1,090	13.0	7=>4	390.0	2.0	4-5-7	1510.0	6.0	34821756	3,4,(2,8),1,7,5,6	34872156	3,4,7,8,(2,5),1,6					
200750010301	ダ	右	1400	晴	良	10:55	F1三　3歳		2007-1-3	18	園田	6	(馬齢)		5.0	180.0	1.0	5.0	110	1.0	4.0	120	3.0	7.0	150	4.0				4-5	300.0	1.0	4-5	150	1.0	5-7	300	5.0	4-7	330	6.0	5=>4	580.0	1.0	4-5-7	780.0	3.0	56281473	56281473	5,4,6,7,2,8-3,1	5,4,7,2,6,8-3,1					
200750010302	ダ	右	1400	晴	良	11:25	F1二　3歳		2007-1-3	18	園田	6	(馬齢)		9.0	130.0	1.0	9.0	100	1.0	8.0	170	3.0	6.0	180	4.0	8-8	720.0	4.0	8-9	820.0	4.0	8-9	320	4.0	6-9	180	1.0	6-8	980	14.0	9=>8	1150.0	4.0	6-8-9	1230.0	5.0	152936874	152936874	916572834	916785324					
200750010303	ダ	右	1400	晴	良	11:55	F1一　3歳		2007-1-3	18	園田	6	(馬齢)		5.0	4240.0	7.0	5.0	1,940	7.0	7.0	210	4.0	1.0	180	3.0	5-7	12770.0	18.0	5-7	12430.0	22.0	5-7	1,430	17.0	1-5	1,460	18.0	1-7	230	1.0	5=>7	27690.0	41.0	1-5-7	6650.0	19.0	234651897	234651897	2,3,1,5,4,6-8,7,9	214536789					
200750010304	ダ	右	1400	晴	良	12:25	C7三　4歳以上		2007-1-3	18	園田	6	(馬齢)		9.0	120.0	1.0	9.0	120	2.0	2.0	220	4.0	10.0	420	6.0	2-8	860.0	4.0	2-9	1120.0	4.0	2-9	400	2.0	9-10	490	6.0	2-10	1,530	12.0	9=>2	1290.0	5.0	2-9-10	4190.0	12.0	7,9,3,(8,10),2,5,6,4,1	7,9,3,(8,10),2,5,6,4,1	9,7,3,10,2,5,1,(4,6),8	9,7,2,3,10,(1,5),4,6,8					
200750010305	ダ	右	1400	晴	良	12:55	C7二　4歳以上		2007-1-3	18	園田	6	(馬齢)		5.0	820.0	4.0	5.0	150	4.0	4.0	130	2.0	7.0	100	1.0	4-5	2920.0	10.0	4-5	2140.0	7.0	4-5	430	5.0	5-7	310	4.0	4-7	190	2.0	5=>4	5580.0	18.0	4-5-7	700.0	2.0	13975106428	13975106428	1,3,7,9,5,6,2,4,10-8	7,5,9,3,1,(2,6),4,10-8					
