	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連単:的中	三連単:配当	三連単:人気
200751062001	ダ	右	1400	曇	稍重	10:55	F5二　3歳		2007-6-20	1	姫路	2	(馬齢)		1	250	1	1	110	1	8	140	2	10.0	180.0	4.0	1-7	300.0	1.0	1-8	880	3	1-8	460	5	1-10	360	2	8-10	760	11	1=>8	1580	4	1-8-10	1210	3	1111048653279	1114108653279	1,11,10,8,5,(4,6),9,3,7,2	1,11,10,8,9,(4,6),5,3,7,2					
200751062002	ダ	右	1400	曇	稍重	11:20	F5一　3歳		2007-6-20	1	姫路	2	(馬齢)		3	350	1	3	210	2	6	440	5	8.0	450.0	6.0	3-6	570.0	2.0	3-6	2520	13	3-6	700	7	3-8	710	8	6-8	2,410	23	3=>6	3560	17	3-6-8	7960	27	8,11,4,6,(1,9),3,5,2,7,10	8,11,4,6,1,9,3,(2,5),7,10	8,(3,11),(1,6,9),4,(5,7),10,2	(3,8),11,1,6,9,4,7,5,10,2					
200751062601	ダ	右	1400	曇	重	11:10	2歳　2歳		2007-6-26	1	姫路	4	(馬齢)		7	110	1	7	150	2	2	720	6							2-7	2240	7	2-7	560	8	1-7	200	2	1-2	890	11	7=>2	2430	8	1-2-7	2140	7	3417652	3417562	4731625	4731265					
200751062602	ダ	右	1400	曇	重	11:45	F3二　3歳		2007-6-26	1	姫路	4	(馬齢)		6	630	3	6	240	3	9	610	7	10.0	180.0	2.0	6-8	770.0	3.0	6-9	3240	15	6-9	920	11	6-10	670	7	9-10	1,120	13	6=>9	4680	15	6-9-10	6620	27	46915102387	46915102387	4,6,9,10,(1,5),2,3,8,7	4,6,9,10,1,(2,5),8,3,7					
200751062603	ダ	右	1400	曇	重	12:20	F3一　3歳		2007-6-26	1	姫路	4	(馬齢)		7	880	5	7	250	5	9	500	8	4.0	160.0	2.0	6-7	700.0	3.0	7-9	9180	23	7-9	1,440	17	4-7	760	10	4-9	1,170	15	7=>9	13070	39	4-7-9	12270	38	7,9,1,10,3,11,8,4,5,(2,6)	7,9,1,10,(3,11),4,8,5,2,6	7911184351062	7,9,(1,8,11),3,4,5,10,6,2					
200751062604	ダ	右	1400	曇	稍重	12:55	D2三　4歳以上		2007-6-26	1	姫路	4	(馬齢)		9	260	1	9	100	1	1	110	2	6.0	140.0	4.0	1-8	320.0	1.0	1-9	370	1	1-9	170	1	6-9	380	4	1-6	540	7	9=>1	690	1	1-6-9	980	2	986735124	9,8,6,(3,7),5,1,2,4	9,8,6,5,7,1,3,2-4	9,8,6,5,1,7,3,2-4					
200751062605	ダ	右	1400	曇	稍重	13:30	D2二　4歳以上		2007-6-26	1	姫路	4	(馬齢)		4	110	1	4	110	1	8	580	7	6.0	360.0	5.0	4-7	580.0	4.0	4-8	2530	7	4-8	730	8	4-6	330	3	6-8	2,270	20	4=>8	2880	8	4-6-8	3350	11	4,9,(5,10),6,(3,8),1,7,2	4,9,(5,10),6,3,8,7,1,2	4,9,10,6,(7,8),5,3,1,2	4,(6,10),9,8,7,1,5,3,2					
200751062606	ダ	右	1400	曇	稍重	14:05	D2一　4歳以上		2007-6-26	1	姫路	4	(馬齢)		2	130	1	2	100	1	3	170	2	1.0	400.0	9.0	2-3	660.0	3.0	2-3	670	3	2-3	320	2	1-2	550	5	1-3	2,550	31	2=>3	800	3	1-2-3	3700	17	10721659483	10721659483	2,7,10,4,1,5,6,3,8-9	10,2,7,1,4,5,3,6,8-9					
200751062607	ダ	右	1400	曇	稍重	14:40	C4二　4歳以上		2007-6-26	1	姫路	4	(馬齢)		8	5240	8	8	710	8	7	140	1	6.0	330.0	6.0	7-8	820.0	3.0	7-8	6970	19	7-8	2,870	23	6-8	4,270	28	6-7	1,280	14	8=>7	19880	47	6-7-8	19650	48	683792451	683729415	6,(7,8),2,9,3,4,(1,5)	678293415			8=>7=>6	85870.0	211.0
200751062608	ダ	右	1400	曇	稍重	15:15	C4一　4歳以上		2007-6-26	1	姫路	4	(馬齢)		9	2970	8	9	450	5	7	650	8	3.0	170.0	2.0	7-8	3240.0	10.0	7-9	15130	30	7-9	2,670	21	3-9	1,110	11	3-7	1,310	13	9=>7	40920	54	3-7-9	17170	45	6,9,1,2,8,10,3,(4,5),7	69128103457	(6,9),1,3,10,2,8,5,7,4	(6,9),1,3,10,8,(2,5),(4,7)			9=>7=>3	174720.0	309.0
200751062609	ダ	右	1500	曇	稍重	15:55	ひめじ広峰特別 		2007-6-26	1	姫路	4	(馬齢)		1	180	1	1	100	1	6	120	3	9.0	100.0	2.0	1-6	530.0	2.0	1-6	460	2	1-6	150	2	1-9	130	1	6-9	350	6	1=>6	610	2	1-6-9	380	1	154762938	1,5,7,(4,6),(2,9),(3,8)	168945237	168945327			1=>6=>9	1030.0	2.0
200751062610	ダ	右	1400	曇	稍重	16:25	A3二　3歳以上 		2007-6-26	1	姫路	4	(馬齢)		3	230	2	3	120	1	1	160	4	9.0	140.0	2.0	1-3	680.0	3.0	1-3	910	3	1-3	350	3	3-9	570	7	1-9	1,310	12	3=>1	1290	3	1-3-9	2280	5	248913567	248193576	245139867	214539876			3=>1=>9	6430.0	17.0
200751062701	ダ	右	1400	曇	稍重	11:10	F2二　3歳		2007-6-27	1	姫路	5	(馬齢)		2	1200	2	2	150	3	1	310	7	7.0	110.0	1.0	1-2	4270.0	12.0	1-2	3390	10	1-2	650	10	2-7	160	1	1-7	330	4	2=>1	4610	14	1-2-7	840	1	124935786	152493786	127563948	127653948					
200751062702	ダ	右	1400	曇	稍重	11:40	F2一　3歳		2007-6-27	1	姫路	5	(馬齢)		4	160	1	4	110	1	6	480	7	11.0	1,520	11.0	4-6	350.0	1.0	4-6	1300	4	4-6	850	10	4-11	820	9	6-11	7,750	48	4=>6	2420	10	4-6-11	17440	53	5,6,10,2,(3,7,11),1,4,8,9	5610231171489	4,6,5,11,3,(1,10),7,2,8,9	4611573110289					
200751062703	ダ	右	1400	曇	稍重	12:10	D1三　4歳以上		2007-6-27	1	姫路	5	(馬齢)		5	8230	8	5	3,530	8	6	260	3	4.0	170	2.0				5-6	28160	21	5-6	5,190	19	4-5	1,640	13	4-6	410	3	5=>6	135240	44	4-5-6	21170	28	38761542	38716452	58364271	56834127					
200751062704	ダ	右	1400	曇	稍重	12:40	D1二　4歳以上		2007-6-27	1	姫路	5	(馬齢)		5	730	5	5	230	6	2	140	1	10.0	160	2.0	2-5	2820.0	12.0	2-5	2390	10	2-5	890	11	5-10	830	9	2-10	450	4	5=>2	5730	25	2-5-10	3800	15	1,2,6,8,(7,9),4,5,10,3	12647895103	1,2,5,6,8,4,(7,9),10,3	5,2,1,6,(4,8),9,(7,10),3					
200751062705	ダ	右	1400	曇	稍重	13:10	D1一　4歳以上		2007-6-27	1	姫路	5	(馬齢)		1	540	2	1	180	3	3	170	2	7.0	190	4.0	1-3	1790.0	7.0	1-3	1620	7	1-3	560	7	1-7	680	9	3-7	710	10	1=>3	3590	12	1-3-7	4070	14	13798106425	13798106425	13791068425	13791068425					
200751062801	ダ	右	1400	曇	良	11:10	F1二　3歳		2007-6-28	1	姫路	6	(馬齢)		3	170	1	3	140	2	1	170	3	6.0	240	4.0	1-3	520.0	2.0	1-3	440	2	1-3	210	2	3-6	660	7	1-6	740	8	3=>1	650	3	1-3-6	2370	8	315748692	315748692	317564829	317564829					
200751062802	ダ	右	1400	曇	良	11:40	F1一　3歳		2007-6-28	1	姫路	6	(馬齢)		6	290	1	6	120	1	7	190	4	4.0	150	3.0	6-7	780.0	2.0	6-7	680	2	6-7	370	5	4-6	330	3	4-7	810	10	6=>7	1060	3	4-6-7	1440	4	1,7,8,(3,9),6,5,2,4	1,7,(3,8),6,9,5,2,4	679314582	6,7,(3,9),4,1,5,(2,8)					
200751062803	ダ	右	1400	曇	良	12:15	C7三　4歳以上		2007-6-28	1	姫路	6	(馬齢)		2	130	1	2	110	2	3	110	3	8.0	100	1.0	2-3	1030.0	3.0	2-3	970	4	2-3	290	4	2-8	140	1	3-8	360	7	2=>3	1300	5	2-3-8	630	3	2,8,4,6,(1,7),5,3=9	2,8,4,6,(1,7),5,3	2,8,4,6,(3,5),1,7	2-8,4,3,6,1,5,7					
200751062804	ダ	右	1400	雨	良	12:50	C7二　4歳以上		2007-6-28	1	姫路	6	(馬齢)		9	180	1	9	110	2	10	240	5	4.0	110	1.0	8-8	1410.0	6.0	9-10	1940	6	9-10	310	2	4-9	140	1	4-10	410	5	9=>10	2040	6	4-9-10	1130	2	6,9,4,10,(1,8),2,7,5,3	6,9,4,10,(1,8),2,7,5,3	96104872513	96104872513					
200751062805	ダ	右	1400	雨	良	13:25	C7一　4歳以上		2007-6-28	1	姫路	6	(馬齢)		3	980	5	3	180	3	6	160	2	7.0	1,950	10.0	3-6	1510.0	7.0	3-6	1360	6	3-6	440	4	3-7	15,940	45	6-7	4,190	37	3=>6	2760	11	3-6-7	48200	86	35210981674	3,5,2,10,9,8,1,6,(4,7)	39654721108	36945271108					
200751062806	ダ	右	1500	曇	良	14:00	A1一　3歳以上 		2007-6-28	1	姫路	6	(馬齢)		6	130	1	6	120	1	5	620	6							5-6	2710	7	5-6	560	8	3-6	150	1	3-5	1,190	12	6=>5	3790	10	3-5-6	1640	6	3217654	3217654	6,5,(3,4),1,7,2	6,5,4,3,(1,7),2					
200751062807	ダ	右	1400	曇	良	14:35	C6二　4歳以上		2007-6-28	1	姫路	6	(馬齢)		5	780	4	5	230	5	8	120	1	3.0	180	3.0				5-8	1110	5	5-8	440	6	3-5	920	17	3-8	230	2	5=>8	2040	8	3-5-8	1990	8	8,7,3,4,(5,6),2,1	87345621	8,5,4,7,(3,6),2,1	5,8,3,2,(4,7),6,1			5=>8=>3	15040.0	58.0
200751062808	ダ	右	1400	曇	良	15:10	A1二　3歳以上 		2007-6-28	1	姫路	6	(馬齢)		3	100	1	3	100	1	7	150	2							3-7	200	1	3-7	100	1	3-8	230	3	7-8	350	6	3=>7	210	1	3-7-8	460	2	7814253	7814253	7381425	7381425			3=>7=>8	730.0	2.0
200751070301	ダ	右	1400	曇	不良	11:10	F5二　3歳		2007-7-3	2	姫路	1	(馬齢)		1	1140	4	1	120	2	6	260	5	7.0	140	3.0				1-6	2500	8	1-6	710	9	1-7	240	3	6-7	410	5	1=>6	7200	19	1-6-7	2500	8	17296453	17296543	1,7,9,2,6,5-3,4	1,7,9,2,6,5-3,4					
200751070302	ダ	右	1400	曇	不良	11:45	F5一　3歳		2007-7-3	2	姫路	1	(馬齢)		9	310	2	9	100	1	4	290	5	3.0	110	2.0	4-8	1770.0	6.0	4-9	2310	9	4-9	630	11	3-9	200	2	3-4	370	5	9=>4	3580	13	3-4-9	830	3	2,9,3,1,6,8,(5,7),4	293186574	293416587	294316587					
200751070303	ダ	右	1400	曇	不良	12:20	D4四　4歳以上		2007-7-3	2	姫路	1	(馬齢)		4	100	1	4	100	2	6	100	1							4-6	110	1	4-6	110	1	2-4	230	5	2-6	170	3	4=>6	150	1	2-4-6	240	2	2,3,(5,6),4,1	2-3,6,5,4,1	2,4,6-3,5,1	4,2,6-3,5,1					
200751070304	ダ	右	1400	曇	重	12:55	D4三　4歳以上		2007-7-3	2	姫路	1	(馬齢)		7	410	3	7	180	2	6	210	3							6-7	690	3	6-7	410	4	1-7	490	6	1-6	900	14	7=>6	1960	9	1-6-7	2850	13	7461325	7461325	7613425	(6,7),1,3,4,2,5					
200751070305	ダ	右	1400	曇	重	13:30	D4二　4歳以上		2007-7-3	2	姫路	1	(馬齢)		1	120	1	1	110	1	5	250	4							1-5	720	3	1-5	410	4	1-6	1,100	10	5-6	3,030	16	1=>5	980	4	1-5-6	5660	13	5743612	5,7,3,6,(1,4),2	5712643	5761234					
200751070306	ダ	右	1400	曇	重	14:05	D4一　4歳以上		2007-7-3	2	姫路	1	(馬齢)		4	220	1	4	130	1	1	260	4							1-4	990	5	1-4	300	5	4-6	130	1	1-6	200	3	4=>1	1260	4	1-4-6	350	1	5461237	5461237	5463217	5462137					
200751070307	ダ	右	1400	曇	重	14:40	C1二　4歳以上		2007-7-3	2	姫路	1	(馬齢)		5	460	2	5	100	2	4	100	1	1.0	110	3.0	4-5	220.0	1.0	4-5	230	1	4-5	120	1	1-5	260	4	1-4	190	3	5=>4	800	4	1-4-5	280	1	58421739	58421739	54187239	5,4,1,7,8,2,(3,9)			5=>4=>1	1690.0	5.0
200751070401	ダ	右	1400	雨	不良	11:10	F4三　3歳		2007-7-4	2	姫路	2	(馬齢)		4	1620	5	4	160	2	5	100	1							4-5	420	2	4-5	220	3	3-4	560	9	3-5	170	1	4=>5	3510	9	3-4-5	850	5	7,4,2,3,(5,6),1	7,4,2,(3,5),1,6	7,5,(2,4),3,6,1	5,7,2,4,3,6-1					
200751070402	ダ	右	1400	雨	不良	11:40	F4二　3歳		2007-7-4	2	姫路	2	(馬齢)		2	180	1	2	110	1	5	130	2							2-5	320	2	2-5	140	3	1-2	110	1	1-5	140	2	2=>5	420	2	1-2-5	190	1	(2,7),1,3,4,5,6	1273546	(1,2),7,3,5,6,4	2173564					
200751070403	ダ	右	1400	雨	不良	12:10	F4一　3歳		2007-7-4	2	姫路	2	(馬齢)		3	450	3	3	180	4	6	110	1	8.0	140	2.0				3-6	600	2	3-6	300	3	3-8	550	7	6-8	300	4	3=>6	1780	7	3-6-8	1020	4	1,5,(4,8),2,6,3,7	15482637	15684237	15684237					
200751070404	ダ	右	1400	雨	不良	12:40	D3四　4歳以上		2007-7-4	2	姫路	2	(馬齢)		5	510	3	5	250	2	4	780	6							4-5	7750	16	4-5	1,600	17	5-6	380	5	4-6	1,350	15	5=>4	13770	26	4-5-6	13420	25	4536217	4,5,3,6,(1,2),7	4,5,7,(3,6),(1,2)	4576312					
200751070405	ダ	右	1400	雨	不良	13:10	D3三　4歳以上		2007-7-4	2	姫路	2	(馬齢)		7	260	2	7	150	3	3	110	1	8.0	390	6.0				3-7	410	2	3-7	230	2	7-8	820	13	3-8	710	9	7=>3	1430	6	3-7-8	2270	10	81375246	83175246	8,3,7,1,5,4,2-6	8,3,7,1,5,4,2-6					
200751070406	ダ	右	1400	雨	不良	13:40	D3二　4歳以上		2007-7-4	2	姫路	2	(馬齢)		7	260	2	7	130	1	4	140	2	2.0	160	5.0				4-7	350	1	4-7	210	1	2-7	360	6	2-4	250	3	7=>4	870	3	2-4-7	750	2	67413582	67413582	76421358	74621538					
200751070407	ダ	右	1400	雨	不良	14:10	D3一　4歳以上		2007-7-4	2	姫路	2	(馬齢)		2	250	2	2	150	2	7	320	4	4.0	960	6.0				2-7	710	4	2-7	310	3	2-4	1,040	13	4-7	1,270	15	2=>7	1440	5	2-4-7	4600	16	78216345	78216435	7,(2,8),3,1,4,6,5	7,2,(4,8),3,6,1,5					
200751070408	ダ	右	1400	雨	不良	14:40	C2二　4歳以上		2007-7-4	2	姫路	2	(馬齢)		8	210	1	8	130	1	10	160	3	1.0	160	4.0	7-8	360.0	1.0	8-10	480	1	8-10	240	3	1-8	190	1	1-10	520	7	8=>10	900	3	1-8-10	650	2	48101395726	48110395726	81041392756	8,10,4,1,2,3,(7,9),5,6			8=>10=>1	2840.0	4.0
200751070501	ダ	右	1400	曇	不良	10:55	2歳二		2007-7-5	2	姫路	3	(馬齢)		2	180	1	2	100	1	3	430	6							2-3	660	4	2-3	180	2	2-5	260	4	3-5	760	10	2=>3	980	5	2-3-5	950	6	231456	2,3,1,(4,5),6	231546	231546					
200751070502	ダ	右	1400	曇	不良	11:20	F3二　3歳		2007-7-5	2	姫路	3	(馬齢)		6	150	1	6	100	1	5	150	3	4.0	140	2.0	5-6	910.0	4.0	5-6	850	5	5-6	290	3	4-6	220	2	4-5	460	6	6=>5	1520	5	4-5-6	900	2	8,(6,9),7,1,10,5,2,(3,4)	89671105234	86191054273	86110954237					
200751070503	ダ	右	1400	曇	重	11:50	F3一　3歳		2007-7-5	2	姫路	3	(馬齢)		10	1380	5	10	510	7	11	230	4	3.0	400	6.0	8-8	2540.0	11.0	10-11	3020	13	10-11	1,300	14	3-10	1,590	15	3-11	690	10	10=>11	6710	29	3-10-11	5600	20	3,10,5,6,8,2,11,(1,7,9),4	3,10,5,6,(2,8),(1,11),(7,9),4	3,10,11,2,9,5,(1,6),8,7,4	3101129516784					
200751070504	ダ	右	1400	曇	重	12:20	D2四　4歳以上		2007-7-5	2	姫路	3	(馬齢)		5	530	3	5	150	4	6	100	2	8.0	100	1.0				5-6	640	4	5-6	220	5	5-8	210	4	6-8	130	1	5=>6	1630	9	5-6-8	450	2	65718324	6,5,(1,7),8,3,2,4	6,5,8,(2,7),1,3,4	65827134					
200751070505	ダ	右	1400	曇	重	12:50	D2三　4歳以上		2007-7-5	2	姫路	3	(馬齢)		7	280	1	7	150	3	9	340	6	1.0	130	1.0	7-8	380.0	1.0	7-9	2520	9	7-9	1,160	13	1-7	200	2	1-9	770	8	7=>9	4710	17	1-7-9	4070	13	892173654	8,9,7,2,1,(5,6),3,4	(8,9),7,5,1,6,2,3-4	9,8,7,5,1,6,2,3-4					
200751070506	ダ	右	1400	曇	重	13:20	D2二　4歳以上		2007-7-5	2	姫路	3	(馬齢)		8	140	1	8	100	1	5	120	2	7.0	150	4.0	5-8	190.0	1.0	5-8	160	1	5-8	130	1	7-8	240	2	5-7	360	6	8=>5	210	1	5-7-8	300	1	584791632	584791632	584791623	584761923					
