	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200753010301	ダ	右	1250	曇	重	10:50	C26		2007-1-3	15	福山	2	(馬齢)		7	190	1	7	100	1	8	110	2	6.0	140.0	3.0	7-8	430	1	7=>8	620	1	7=>8=>6	1740	1	38165742	38165742	(3,8),6,1,7,5,4,2	83671452		
200753010302	ダ	右	1250	曇	重	11:20	C25		2007-1-3	15	福山	2	(馬齢)		5	360	2	5	180	2	9	300	6	4.0	770.0	8.0	5-9	1750	8	5=>9	2840	10	5=>9=>4	111830	268	485912763	485912763	485917263	4,8,5,(1,9),2,7,6,3		
200753010303	ダ	右	1250	曇	重	11:50	C24		2007-1-3	15	福山	2	(馬齢)		4	330	1	4	230	5	8	170	2	6.0	180.0	3.0	4-8	710	4	4=>8	1260	6	4=>8=>6	4880	22	6,7,4,1,8,(2,3),5	67418235	6,4,(7,8),5,2,3,1	46285731		
200753010304	ダ	右	1250	曇	重	12:20	C23		2007-1-3	15	福山	2	(馬齢)		5	200	1	5	120	2	4	100	1	7.0	150.0	4.0	4-5	230	1	5=>4	360	1	5=>4=>7	1040	1	1,9,(2,5),8,7,3,6,4	1,9,2,5,7,3,(8,6),4	1,9,5,2,7,3,4,6-8	1,9,5,2,7,4,3,6-8		
200753010305	ダ	右	1250	曇	稍重	12:55	C22		2007-1-3	15	福山	2	(馬齢)		3	3750	9	3	320	8	2	110	1	7.0	160.0	3.0	2-3	3590	12	3=>2	12100	33	3=>2=>7	67770	158	2,7,9,6,8,(3,5),4,1	2,7,9,(6,8),3,5,4,1	279683451	276983415		
200753010306	ダ	右	1250	曇	稍重	13:30	C21		2007-1-3	15	福山	2	(馬齢)		9	190	1	9	110	1	6	140	3	3.0	120.0	2.0	6-9	480	2	9=>6	730	3	9=>6=>3	2000	4	976145238	976154238	967514238	963715248		
200753010307	ダ	右	1600	曇	稍重	14:05	4歳2　条件		2007-1-3	15	福山	2	(馬齢)		9	400	3	9	240	3	8	230	2	2.0	250.0	4.0	8-9	670	1	9=>8	1190	2	9=>8=>2	4400	3	235946871	2,3,(5,9),4,6,8,7,1	2,3,9,5,4,(6,8),7,1	298534167		
200753010308	ダ	右	1600	曇	稍重	14:40	4歳1　条件		2007-1-3	15	福山	2	(馬齢)		3	1310	6	3	320	6	7	420	7	9.0	240.0	5.0	3-7	5930	22	3=>7	12610	38	3=>7=>9	109340	239	763958241	763598241	7,6,3,5,9,8,(1,4),2	7,(6,3),9,1,8,5,4,2		
200753010309	ダ	右	1600	曇	稍重	15:15	松の内特別		2007-1-3	15	福山	2	(馬齢)		1	430	2	1	130	3	8	100	1	6.0	110.0	2.0	1-8	260	1	1=>8	670	3	1=>8=>6	1190	3	34728651	34728651	36781452	65813742		
200753010310	ダ	右	1800	曇	稍重	15:55	日本写真判定杯正月特 		2007-1-3	15	福山	2	(規定)		2	1330	6	2	250	5	9	170	2	7.0	190.0	4.0	2-9	1960	11	2=>9	5020	21	2=>9=>7	20130	66	2,3,4,6,7,1,5,9-8	2,3,4,6,(7,1),5,9-8	234176958	2,(4,3,1),9,7,6,5,8		
