	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連単:的中	三連単:配当	三連単:人気
200802010101	ダ	右	1700	晴	良	09:55	3歳未勝利		2008-6-21	1	函館	1	3歳未勝利	牝[指](馬齢)	4	180	1	4	110	1	8	540	7	5.0	200	3.0	4-7	1580.0	7.0	4-8	2140	8	4-8	620	7	4-5	270	2	5-8	1,320	16	4=>8	2870	11	4-5-8	3220	11	7(2,6)-(1,4)(5,9)(3,10)11,8	7(2,6)-(1,4)-(3,5)-(10,9)-(8,11)	(*7,4)2,5,3-6(1,8)(10,9)-11	4-5,7,2-3,8-1-6(10,9)11	6.7 - 11.0 - 11.9 - 12.7 - 13.0 - 13.1 - 13.2 - 12.5 - 13.5	6.7 - 17.7 - 29.6 - 42.3 - 55.3 - 68.4 - 81.6 - 94.1 - 107.6 (29.6-39.2)			
200802010102	ダ	右	1000	晴	良	10:20	3歳未勝利		2008-6-21	1	函館	1	3歳未勝利	[指](馬齢)	8	450	3	8	210	3	7	280	6	5.0	280	5.0	7-7	7030.0	22.0	7-8	4670	19	7-8	1,630	21	5-8	700	8	5-7	4,320	31	8=>7	6540	28	5-7-8	15440	47			(*2,8)(5,6,7)-(3,4)1-9,10	(2,*8)(5,6,7)(3,4)-1-9,10	12.2 - 11.0 - 12.0 - 11.9 - 12.7	12.2 - 23.2 - 35.2 - 47.1 - 59.8 (35.2-36.6)			
200802010103	ダ	右	1700	晴	良	10:50	3歳未勝利		2008-6-21	1	函館	1	3歳未勝利	[指](馬齢)	8	150	1	8	110	1	1	280	4	10.0	310	5.0	1-7	620.0	2.0	1-8	670	2	1-8	340	3	8-10	580	5	1-10	2,200	17	8=>1	810	3	1-8-10	2640	8	1,2(4,8)9,10(7,5)6,3	1(4,2)8(9,10)7,5(3,6)	1(8,9)(4,10)-7,2(3,5)6	1,8-(9,10)-(4,7)3,2-(5,6)	6.9 - 11.3 - 12.4 - 13.4 - 12.4 - 12.9 - 12.7 - 12.5 - 13.2	6.9 - 18.2 - 30.6 - 44.0 - 56.4 - 69.3 - 82.0 - 94.5 - 107.7 (30.6-38.4)			
200802010104	ダ	右	1700	晴	良	11:20	3歳未勝利		2008-6-21	1	函館	1	3歳未勝利	[指](馬齢)	6	190	1	6	110	1	9	210	5	5.0	140	2.0	6-8	750.0	3.0	6-9	980	4	6-9	370	5	5-6	160	1	5-9	500	8	6=>9	1260	5	5-6-9	1060	4	1-6,9,3(5,8)2,7,4	1-6,9(3,8)5(2,7)4	(1,*6)8(9,3,7)(5,4)2	6,8(1,9)7,3(5,4)2	6.9 - 10.9 - 11.8 - 12.9 - 13.3 - 13.3 - 13.0 - 12.6 - 13.4	6.9 - 17.8 - 29.6 - 42.5 - 55.8 - 69.1 - 82.1 - 94.7 - 108.1 (29.6-39.0)			
200802010105	芝	右	1000	晴	良	11:50	2歳新馬		2008-6-21	1	函館	1	2歳新馬	[指](馬齢)	7	950	5	7	290	5	10	170	2	8.0	190	4.0	7-8	500.0	2.0	7-10	1990	8	7-10	510	7	7-8	790	10	8-10	410	4	7=>10	4750	19	7-8-10	3010	10			7,8,9(1,2,5,10)-3,6=4	7(1,8,9,10)(2,5)3,6=4	12.2 - 10.6 - 11.4 - 11.1 - 12.2	12.2 - 22.8 - 34.2 - 45.3 - 57.5 (34.2-34.7)			
200802010106	芝	右	2000	晴	良	12:40	3歳未勝利		2008-6-21	1	函館	1	3歳未勝利	(混)[指](馬齢)	12	340	2	12	190	2	6	3,480	12	3.0	210	3.0	5-8	1760.0	9.0	6-12	24160	47	6-12	6,180	48	3-12	520	4	3-6	7,630	53	12=>6	36770	85	3-6-12	46290	110	2,9(4,13)(1,7,11)3-(8,10)-12-6,5	2,9(4,13)(1,7,11)(3,10)8,12,6-5	(*2,9)(4,13,11)7(1,10,8)3,12,6-5	(*2,9)(4,11)(13,10,8)(7,3,12)(1,6)5	12.8 - 10.8 - 11.4 - 12.6 - 13.0 - 13.1 - 12.7 - 12.4 - 11.9 - 12.4	12.8 - 23.6 - 35.0 - 47.6 - 60.6 - 73.7 - 86.4 - 98.8 - 110.7 - 123.1 (35.0-36.7)			
200802010107	ダ	右	1000	晴	良	13:10	3歳以上500万下		2008-6-21	1	函館	1	3歳以上500万下	[指](定量)	3	270	2	3	130	2	8	270	5	4.0	250	3.0	3-6	980.0	3.0	3-8	1190	3	3-8	470	3	3-4	470	4	4-8	1,340	14	3=>8	2160	7	3-4-8	3310	11			7,8,4(3,11)6,12,9(1,5,10)-2	(*7,8)(3,4)11(6,12)9-(1,5)10,2	12.3 - 10.9 - 11.7 - 11.7 - 12.8	12.3 - 23.2 - 34.9 - 46.6 - 59.4 (34.9-36.2)			
200802010108	ダ	右	1700	晴	良	13:40	3歳以上500万下		2008-6-21	1	函館	1	3歳以上500万下	[指](定量)	7	170	1	7	120	1	3	150	2	10.0	560	8.0	3-5	300.0	1.0	3-7	330	1	3-7	180	1	7-10	1,090	12	3-10	1,530	17	7=>3	540	1	3-7-10	3350	10	(*1,9)10(3,11)(6,13)(2,12)7(8,4)-5	1,9,10,3,11,6,13(2,12)(7,4)-8,5	(*1,10)(3,9,4)(6,11)(2,7)(13,12)(5,8)	10(1,4)3(6,7)(2,9,11)-8(5,13,12)	7.0 - 11.0 - 11.5 - 12.3 - 13.1 - 12.8 - 12.9 - 12.6 - 13.2	7.0 - 18.0 - 29.5 - 41.8 - 54.9 - 67.7 - 80.6 - 93.2 - 106.4 (29.5-38.7)			
200802010109	芝	右	1200	晴	良	14:15	3歳以上500万下		2008-6-21	1	函館	1	3歳以上500万下	[指](定量)	6	280	1	6	160	1	9	170	2	2.0	560	10.0	3-5	550.0	1.0	6-9	870	1	6-9	340	1	2-6	900	7	2-9	1,840	26	6=>9	1410	1	2-6-9	6510	11			(*6,13)15,9,10(5,14)(2,16)3(1,4,12)11,7-8	6,13(9,15)(5,10)(2,14)(3,16)12,1(11,7)4-8	12.0 - 10.4 - 10.9 - 11.8 - 11.6 - 12.5	12.0 - 22.4 - 33.3 - 45.1 - 56.7 - 69.2 (33.3-35.9)	6=>9=>2	20290.0	25.0
200802010110	芝	右	2600	晴	良	14:50	八甲田山特別 		2008-6-21	1	函館	1	3歳以上500万下	(特指)(定量)	3	330	1	3	160	1	1	580	8	8.0	350	6.0	1-3	3980.0	16.0	1-3	4000	14	1-3	1,190	12	3-8	1,080	11	1-8	4,520	43	3=>1	4930	21	1-3-8	17760	59	(*3,4)-11=5-7-(2,10)(8,1)(6,12)(9,13)	3,4-11=5-7(2,10)(8,1)12(6,13)9	(*3,4)-11(5,7)10(2,8,1)-(9,6,13,12)	(*3,5)(4,7,1)(11,2,8)(6,10)(9,13)12	12.6 - 11.8 - 12.2 - 13.0 - 12.2 - 11.6 - 12.7 - 12.9 - 13.2 - 13.2 - 12.4 - 11.6 - 12.6	12.6 - 24.4 - 36.6 - 49.6 - 61.8 - 73.4 - 86.1 - 99.0 - 112.2 - 125.4 - 137.8 - 149.4 - 162.0 (36.6-36.6)	3=>1=>8	72140.0	223.0
