	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連単:的中	三連単:配当	三連単:人気
200804010101	ダ	左	1800	晴	良	09:50	3歳未勝利		2008-5-3	1	新潟	1	3歳未勝利	(馬齢)	3	130	1	3	110	1	4	130	2	8.0	600	6.0	3-4	280.0	1.0	3-4	260	1	3-4	150	1	3-8	780	10	4-8	1,130	13	3=>4	420	1	3-4-8	2100	7	8,3-(2,5)(4,9)1(6,7)	8,3(2,5,4)9(1,7)6	(*8,3)(2,5,4)9(6,7)1	(8,*3)4,2,7(5,9)6-1	12.8 - 11.5 - 13.2 - 14.1 - 13.4 - 12.6 - 12.5 - 12.4 - 13.1	12.8 - 24.3 - 37.5 - 51.6 - 65.0 - 77.6 - 90.1 - 102.5 - 115.6 (37.5-38.0)			
200804010102	ダ	左	1200	晴	良	10:20	3歳未勝利		2008-5-3	1	新潟	1	3歳未勝利	(馬齢)	13	330	1	13	150	2	15	220	4	6.0	210	3.0	7-8	1150.0	6.0	13-15	1400	5	13-15	630	5	6-13	770	8	6-15	1,140	11	13=>15	2340	7	6-13-15	3690	9			12(4,13)7(6,15)(10,8)(3,5)1,14(2,9)=11	(*12,13)(4,7,15)6(10,8)3,5,1,2,14,9-11	12.3 - 10.7 - 11.7 - 12.6 - 12.2 - 13.2	12.3 - 23.0 - 34.7 - 47.3 - 59.5 - 72.7 (34.7-38.0)			
200804010103	ダ	左	1800	晴	良	10:50	3歳未勝利		2008-5-3	1	新潟	1	3歳未勝利	牝(馬齢)	8	450	3	8	160	3	6	150	2	12.0	320	6.0	5-6	520.0	2.0	6-8	700	3	6-8	260	1	8-12	770	12	6-12	740	11	8=>6	1460	4	6-8-12	2930	10	9(3,6)-(7,11)(1,2)4-10,12(5,8)	9,3,6,1,11-7(2,4)(10,12,8)5	9,3(1,6)-11,2(12,7,4)8(10,5)	9(3,6)1-(2,11)(12,4)7,8(10,5)	12.5 - 11.1 - 12.6 - 13.5 - 12.6 - 12.7 - 13.0 - 12.9 - 14.0	12.5 - 23.6 - 36.2 - 49.7 - 62.3 - 75.0 - 88.0 - 100.9 - 114.9 (36.2-39.9)			
200804010104	芝	左	1200	晴	良	11:20	3歳未勝利		2008-5-3	1	新潟	1	3歳未勝利	(混)(馬齢)	5	430	1	5	200	2	13	490	9	15.0	400	8.0	3-7	2920.0	15.0	5-13	3650	14	5-13	1,180	14	5-15	1,130	12	13-15	2,600	39	5=>13	7070	27	5-13-15	11250	40			(*5,7)(2,8)13(10,6)(4,1,15)-(9,16)14-3-12-11	(*5,7)(2,8)13(6,15)10(4,1)9(16,14)=3,12-11	12.0 - 10.3 - 11.5 - 12.1 - 12.2 - 12.5	12.0 - 22.3 - 33.8 - 45.9 - 58.1 - 70.6 (33.8-36.8)			
200804010105	芝	左	2000	晴	良	11:50	3歳未勝利		2008-5-3	1	新潟	1	3歳未勝利	(馬齢)	2	310	1	2	140	1	9	230	4	3.0	230	5.0	2-7	640.0	2.0	2-9	860	3	2-9	430	3	2-3	590	7	3-9	920	13	2=>9	1690	5	2-3-9	3340	11	2,11(1,6)8(7,10)(4,9)-(3,5)12	2,11,1(6,8)(7,10)(4,9)5,3,12	2(1,11)(7,6,8)10,9(4,5)3,12	2,11(1,8)(6,10)(7,9)5,4(3,12)	12.4 - 10.9 - 11.8 - 12.6 - 13.1 - 12.8 - 12.6 - 12.0 - 11.8 - 11.9	12.4 - 23.3 - 35.1 - 47.7 - 60.8 - 73.6 - 86.2 - 98.2 - 110.0 - 121.9 (35.1-35.7)			
200804010106	芝	左	1400	晴	良	12:40	3歳未勝利		2008-5-3	1	新潟	1	3歳未勝利	(馬齢)	8	410	2	8	200	3	14	320	5	2.0	440	8.0	4-7	650.0	2.0	8-14	2560	8	8-14	990	11	2-8	1,080	15	2-14	2,400	30	8=>14	4330	12	2-8-14	11950	43			8,9(1,14)16(2,3,6)13-15(12,4,7)(11,10)-5	(*8,9)(1,14)16(2,6,13)3-(12,4)-(11,7)10-(5,15)	12.6 - 10.9 - 11.1 - 11.9 - 11.7 - 11.7 - 12.0	12.6 - 23.5 - 34.6 - 46.5 - 58.2 - 69.9 - 81.9 (34.6-35.4)			
200804010107	ダ	左	1200	晴	良	13:10	4歳以上500万下		2008-5-3	1	新潟	1	4歳以上500万下	(定量)	1	1990	7	1	470	7	9	410	5	2.0	820	9.0	1-5	10360.0	28.0	1-9	13820	36	1-9	3,390	35	1-2	5,150	43	2-9	5,130	42	1=>9	25230	68	1-2-9	72660	151			10,3,1(2,15)11,4(7,13)(5,9,14)12,6=8	(*10,3)(2,1)(11,15)4(7,13)(5,9,14)12,6=8	11.9 - 11.0 - 11.5 - 12.5 - 12.1 - 13.2	11.9 - 22.9 - 34.4 - 46.9 - 59.0 - 72.2 (34.4-37.8)			
200804010108	芝	左	1800	晴	良	13:45	4歳以上500万下		2008-5-3	1	新潟	1	4歳以上500万下	牝(定量)	1	350	1	1	150	1	8	200	3	5.0	430	8.0	1-5	420.0	1.0	1-8	650	1	1-8	330	1	1-5	910	10	5-8	1,010	13	1=>8	1350	1	1-5-8	3310	9			(*7,9)15-(5,8)10(4,14,13)11,12-(2,3)1-6	(*7,9)-(5,15)8,10(4,14)13,11,12(2,3)1-6	12.7 - 11.1 - 12.0 - 12.5 - 12.0 - 11.9 - 12.0 - 11.0 - 12.0	12.7 - 23.8 - 35.8 - 48.3 - 60.3 - 72.2 - 84.2 - 95.2 - 107.2 (35.8-35.0)			
200804010109	ダ	左	1800	晴	良	14:20	4歳以上500万下		2008-5-3	1	新潟	1	4歳以上500万下	(定量)	11	420	2	11	170	3	12	200	4	10.0	170	2.0	7-7	1460.0	7.0	11-12	1530	6	11-12	510	4	10-11	440	3	10-12	510	5	11=>12	2720	8	10-11-12	1800	4	2,12(1,3,9)(4,8)10(7,11)13(5,6)-14	2-12(1,9)(4,3,8)10-(7,11)13(5,6)-14	2,12(9,8)(1,3,10)(4,7,11)(14,6,13)-5	2(12,8)10,9(1,7,11)3(4,6)(14,13)-5	12.4 - 10.9 - 12.6 - 13.3 - 13.2 - 12.7 - 13.2 - 12.3 - 12.9	12.4 - 23.3 - 35.9 - 49.2 - 62.4 - 75.1 - 88.3 - 100.6 - 113.5 (35.9-38.4)	11=>12=>10	10010.0	14.0
200804010110	芝	左	2400	晴	良	14:55	荒川峡特別 		2008-5-3	1	新潟	1	4歳以上500万下	(混)(定量)	10	320	1	10	140	1	1	400	7	5.0	190	3.0	1-7	1570.0	7.0	1-10	2980	16	1-10	970	15	5-10	380	2	1-5	1,360	18	10=>1	4500	19	1-5-10	4830	17	8,6(9,5)-(4,11)1(2,10)-7-12(3,13)	8,6(9,5)(4,11,1)(2,10)7,12(3,13)	(8,*6,5)(9,11,1)(2,10)-7-12,4,3,13	(*6,5)(9,8,1)11(2,10)7-12-3-(4,13)	12.0 - 11.0 - 11.4 - 11.5 - 12.6 - 13.0 - 12.9 - 12.0 - 12.1 - 12.4 - 12.0 - 12.1	12.0 - 23.0 - 34.4 - 45.9 - 58.5 - 71.5 - 84.4 - 96.4 - 108.5 - 120.9 - 132.9 - 145.0 (34.4-36.5)	10=>1=>5	25740.0	82.0
