	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連単:的中	三連単:配当	三連単:人気
200809010101	ダ	右	1200	曇	稍重	10:10	3歳未勝利		2008-3-1	1	阪神	1	3歳未勝利	[指](馬齢)	5	280	1	5	130	1	2	160	4	4.0	300	5.0	2-3	740.0	3.0	2-5	870	4	2-5	330	4	4-5	630	7	2-4	1,030	11	5=>2	1600	6	2-4-5	2320	6			(11,*13)-12(2,14)-6-(5,4)15,9,3,8-(1,7,10)	(*11,13)-(12,2)-(5,14)(6,4)(9,15)-8-3-(1,7)-10	12.4 - 10.7 - 11.5 - 12.0 - 13.0 - 13.5	12.4 - 23.1 - 34.6 - 46.6 - 59.6 - 73.1 (34.6-38.5)			
200809010102	ダ	右	1800	曇	稍重	10:40	3歳未勝利		2008-3-1	1	阪神	1	3歳未勝利	(混)[指](馬齢)	4	200	1	4	110	1	2	580	6	9.0	190	3.0	2-4	2380.0	10.0	2-4	2300	9	2-4	930	11	4-9	280	2	2-9	1,610	15	4=>2	2750	8	2-4-9	3850	13	7,10(2,12)6(1,3)(4,9)8,5-11	7,10(2,12)(1,6,3,9)(4,8)5,11	11,8,12(7,9)-10(2,6)(1,3)4-5	(11,*8,9,10,2)12(7,4)(1,6)-3,5	13.0 - 12.1 - 14.5 - 14.0 - 12.6 - 12.8 - 12.0 - 12.8 - 13.0	13.0 - 25.1 - 39.6 - 53.6 - 66.2 - 79.0 - 91.0 - 103.8 - 116.8 (39.6-37.8)			
200809010103	ダ	右	1400	晴	稍重	11:10	3歳未勝利		2008-3-1	1	阪神	1	3歳未勝利	牝[指](馬齢)	15	320	1	15	140	1	12	190	4	13.0	170	3.0	6-8	1330.0	6.0	12-15	1180	2	12-15	430	3	13-15	330	1	12-13	590	7	15=>12	2420	4	12-13-15	1890	2			8-12(3,7)(6,16)(2,14,9)(1,15)(4,13)5,10=11	8,12(3,7)(6,16)(2,9,15)(1,13)(14,4)5-10=11	12.1 - 11.1 - 12.0 - 12.6 - 12.7 - 12.7 - 13.7	12.1 - 23.2 - 35.2 - 47.8 - 60.5 - 73.2 - 86.9 (35.2-39.1)			
200809010104	障		3110	晴	良  ダート	11:40	障害4歳以上オープン		2008-3-1	1	阪神	1	障害4歳以上オープン	(混)(別定)	5	310	2	5	140	2	13	130	1	10.0	170	4.0	4-8	350.0	1.0	5-13	460	1	5-13	200	1	5-10	400	6	10-13	390	4	5=>13	1000	2	5-10-13	880	1	5-13-10(7,6)3(4,2)-1-(12,9,11)(8,14)	5-13,10(7,6)(4,3)-2-1,9-(12,11)(8,14)	5(13,10)=6-3,1,9-14-(12,11)-8-2 4,7	(5,*10)13=6-3-1,9-14=11-12-8=2 4,7					
200809010105	ダ	右	1200	晴	稍重	12:30	3歳新馬		2008-3-1	1	阪神	1	3歳新馬	(混)[指](馬齢)	3	250	1	3	150	1	7	1,140	12	14.0	1,000	11.0	2-4	3640.0	15.0	3-7	7940	30	3-7	2,780	32	3-14	2,740	31	7-14	17,720	90	3=>7	10940	41	3-7-14	91740	195			2(12,13)(5,7)3,16(11,14)1,8,15-9-(6,10)=4	2(12,13,7)3(5,16)14-11(1,15)8-9,6-10=4	12.3 - 10.8 - 11.7 - 12.0 - 12.4 - 13.3	12.3 - 23.1 - 34.8 - 46.8 - 59.2 - 72.5 (34.8-37.7)			
200809010106	芝	右	1200	晴	良	13:05	3歳500万下		2008-3-1	1	阪神	1	3歳500万下	(混)(特指)(馬齢)	11	3950	11	11	1,710	11	13	1,190	8	4.0	810	3.0	7-8	4990.0	12.0	11-13	20930	39	11-13	4,110	37	4-11	3,540	28	4-13	3,590	30	11=>13	50820	75	4-11-13	83820	122			13,11(7,8,10,12)(1,2,6)(3,9)5-4	13,11,12(7,8,10)(2,6)9(3,5)(1,4)	12.2 - 11.2 - 11.4 - 11.4 - 11.6 - 12.5	12.2 - 23.4 - 34.8 - 46.2 - 57.8 - 70.3 (34.8-35.5)			
200809010107	ダ	右	1800	晴	稍重	13:30	4歳以上500万下		2008-3-1	1	阪神	1	4歳以上500万下	(混)[指](定量)	10	410	2	10	180	2	11	2,390	10	4.0	800	9.0	7-7	13740.0	24.0	10-11	15290	32	10-11	4,770	36	4-10	1,460	17	4-11	17,250	59	10=>11	26350	58	4-10-11	121410	145	4,11(6,8,13)5-10(7,12)9,2-3,1	4(6,11)8(5,13)-(7,10)12-9,2-1,3	4(6,11,8)(5,13)(7,10)12-9,2,1,3	4,11(6,8,13)(5,10,12)7(2,9,1)=3	12.9 - 11.1 - 13.7 - 13.1 - 13.0 - 12.5 - 12.4 - 12.2 - 13.5	12.9 - 24.0 - 37.7 - 50.8 - 63.8 - 76.3 - 88.7 - 100.9 - 114.4 (37.7-38.1)			
200809010108	ダ	右	1200	晴	稍重	14:00	4歳以上500万下		2008-3-1	1	阪神	1	4歳以上500万下	[指](定量)	2	500	3	2	220	4	11	170	2	10.0	270	6.0	2-7	1370.0	7.0	2-11	1280	5	2-11	510	6	2-10	1,120	15	10-11	510	7	2=>11	2720	13	2-10-11	3390	13			(*2,3)(7,13)-11-12,14,8(9,10)4-(1,6)-5	(*2,3)(7,13)-11-(12,10)9(14,4)8(1,6)=5	12.3 - 10.8 - 11.4 - 11.8 - 12.2 - 13.1	12.3 - 23.1 - 34.5 - 46.3 - 58.5 - 71.6 (34.5-37.1)			
200809010109	芝	右	1800	晴	良	14:35	千里山特別 		2008-3-1	1	阪神	1	4歳以上1000万下	(混)[指](ハンデ)	12	980	4	12	380	4	16	540	7	7.0	490	5.0	6-8	5080.0	17.0	12-16	6940	27	12-16	2,250	26	7-12	2,460	30	7-16	3,180	42	12=>16	13060	49	7-12-16	32970	113			(*12,3)(2,8)(1,13)(5,15)10,4(6,16)(11,14)(7,9)	(*12,3)(8,13)(1,2,15)(5,10)(4,16)(6,9)14,11,7	12.7 - 11.1 - 11.4 - 12.3 - 12.4 - 12.3 - 11.5 - 11.3 - 12.0	12.7 - 23.8 - 35.2 - 47.5 - 59.9 - 72.2 - 83.7 - 95.0 - 107.0 (35.2-34.8)	12=>16=>7	204100.0	660.0
200809010110	芝	右	2400	晴	良	15:10	御堂筋ステークス 		2008-3-1	1	阪神	1	4歳以上1600万下	(混)[指](定量)	2	660	4	2	250	4	7	170	1	15.0	320	7.0	1-4	1180.0	4.0	2-7	1580	2	2-7	550	2	2-15	1,190	20	7-15	890	9	2=>7	3280	6	2-7-15	5160	11	4,10,13=(2,7)(9,14)(12,15)8(5,16)-3-11,6,1	4-10,13=(2,7)9,14,15(8,12)(5,16)3,6,11,1	4,10-13-7,2,9,15(8,12,14)(5,16,3)-6-11-1	4,10(13,7)(2,9)(12,15)(8,14,3)(5,6)16,11-1	12.7 - 11.4 - 12.7 - 12.8 - 12.8 - 12.9 - 13.2 - 12.8 - 12.5 - 11.9 - 11.0 - 12.2	12.7 - 24.1 - 36.8 - 49.6 - 62.4 - 75.3 - 88.5 - 101.3 - 113.8 - 125.7 - 136.7 - 148.9 (36.8-35.1)	2=>7=>15	30360.0	71.0
200809010111	芝	右	1600	晴	良	15:45	アーリントンカップ	G3	2008-3-1	1	阪神	1	3歳オープン	(混)(特指)(別定)	12	1970	5	12	720	8	5	840	10	3.0	730	9.0	4-8	2230.0	9.0	5-12	21660	49	5-12	4,670	47	3-12	4,920	50	3-5	4,710	48	12=>5	43520	88	3-5-12	108190	176			12-7,8(5,6,13)9(1,10)(3,2)11 4	12=7,13(8,6)9(5,10)(1,3,2)11 4	12.8 - 11.0 - 11.4 - 11.5 - 11.7 - 11.7 - 11.3 - 13.2	12.8 - 23.8 - 35.2 - 46.7 - 58.4 - 70.1 - 81.4 - 94.6 (35.2-36.2)	12=>5=>3	896050.0	1031.0
200809010112	ダ	右	1400	晴	稍重	16:20	4歳以上1000万下		2008-3-1	1	阪神	1	4歳以上1000万下	(混)[指](定量)	5	930	5	5	280	5	12	220	4	16.0	170	2.0	3-6	3540.0	14.0	5-12	3540	13	5-12	1,330	15	5-16	850	9	12-16	490	4	5=>12	7140	25	5-12-16	5010	13			7(16,12)(3,5,11,14)2(1,4,15)(13,8)(10,9) 6	7(16,12)(3,5,11,14)(1,2,15)13(10,9)4,8 6	12.4 - 10.7 - 11.6 - 12.0 - 12.0 - 12.2 - 13.2	12.4 - 23.1 - 34.7 - 46.7 - 58.7 - 70.9 - 84.1 (34.7-37.4)	5=>12=>16	37230.0	108.0
