	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
200830102101	ダ	右	1000	晴	良	10:30	2歳　未勝利		2008-10-21	1	門別	1	(規定)		3	100	1	3	100	1	2	140	2	2-3	230	1	3=>2	300	1	1-2-3	700	2	3=>2=>1	1490	3			2635174.0	2635174.0								
200830102102	ダ	右	1000	晴	良	11:00	2歳　未勝利		2008-10-21	1	門別	1	(規定)		4	250	1	4	120	1	6	300	4	4-6	1000	4	4=>6	1330	7	1-4-6	890	4	4=>6=>1	4850	16			4,(6,7),1,2,5,3	4671253.0								
200830102103	ダ	右	1000	晴	良	11:30	2歳　牝馬		2008-10-21	1	門別	1	牝(規定)		3	600	2	3	150	4	7	100	1	3-7	350	1	3=>7	1220	5	2-3-7	550	2	3=>7=>2	2940	11			3,7,6,(2,4),8,5,1	3,7-6,4,2,8,1,5			2.0	170.0	5.0			
200830102104	ダ	右	1200	晴	良	12:00	D3　ー3組		2008-10-21	1	門別	1	40万円以下	(規定)	10	270	2	10	120	2	11	100	1	10-11	230	1	10=>11	430	2	1-10-11	1250	4	10=>11=>1	3570	8			11,10,(3,5),12,6,1,9,7,8,(2,4)	(11,10)-3,5,12,1,6,9,7,8,4,2			1.0	240.0	5.0	7-8	160.0	1.0
200830102105	ダ	右	1000	晴	良	12:35	アタックチャレンジ競		2008-10-21	1	門別	1	牝(規定)		2	270	2	2	110	3	6	100	1	2-6	530	2	2=>6	900	3	2-6-8	440	1	2=>6=>8	1760	1			86923145.0	86923154.0			8.0	110.0	2.0	2-6	480.0	2.0
200830102106	ダ	右	1700	晴	良	13:10	アタックチャレンジ競		2008-10-21	1	門別	1	(規定)		5	160	1	5	120	1	6	140	3	5-6	430	2	5=>6	1030	3	1-5-6	5020	17	5=>6=>1	13970	46	1,5,(2,3),6,(4,8),7,9	1,5,(2,3),6,4,8,7,9	1,5,3,6,4,(2,8),9,7	1,5,3,6,4,8,2,(7,9)			1.0	460.0	8.0	5-6	760.0	3.0
200830102107	ダ	右	1700	晴	良	13:45	日高町商工会特別 		2008-10-21	1	門別	1	100万円以下	(規定)	4	220	1	4	120	1	3	130	2	3-4	320	1	4=>3	530	1	3-4-9	4270	12	4=>3=>9	7080	21	9,3,6,2,5,8,4,(1,7)	9,3,(2,6),5,8,4,7,1	9,3,6,(4,5),2,(1,8,7)	9,3,6,5,4,(1,7),2,8			9.0	290.0	6.0	3-4	310.0	1.0
200830102108	ダ	右	1800	晴	良	14:20	日高町長杯門別温泉と 		2008-10-21	1	門別	1	300万円以下	(規定)	9	180	1	9	120	1	8	380	9	8-9	1890	8	9=>8	4960	16	8-9-14	2290	6	9=>8=>14	13930	29	1143101213278695411	1,14,10,3,12,13,2,(6,8),7,9,5,(4,11)	1,14,(10,12),3,13,8,7,(2,6,9),5,11,4	14,(1,12),13,(3,10,8),(7,6,9),2,5,4,11			14.0	140.0	2.0	5-6	2520.0	10.0
200830102109	ダ	右	1800	晴	良	14:55	アドマイヤボス賞 		2008-10-21	1	門別	1	300万円以下	(規定)	1	300	1	1	210	3	10	350	6	1-10	3300	12	1=>10	4790	18	1-9-10	15660	39	1=>10=>9	57270	147	14,11,1,8,(5,9,10),2,3,4,6,7,12,13	14-11,1,8,(5,9,10),2,(3,4),6,7,12,13	14,11,1,8,(5,9),10,2,3,4,6,12,7,13	1,11,14,(5,9,8),10,2,3,12,6,13,4,7			9.0	380.0	7.0	1-6	1660.0	8.0
200830102110	ダ	右	1200	晴	良	15:30	アグネスタキオン・プ 		2008-10-21	1	門別	1	(規定)		2	1830	8	2	480	7	13	400	6	2-13	5780	24	2=>13	17040	50	2-10-13	10240	35	2=>13=>10	64300	203			2,7,(8,13),(3,14),(1,5),6,4,11,9,12,10	2137314581641091211			10.0	190.0	3.0	2-8	6410.0	18.0
