	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連単:的中	三連単:配当	三連単:人気
200835053101	ダ	左	1200	曇	良	10:45	C2十五組		2008-5-31	1	盛岡	1			3	270	2	3	120	1	9	270	5	8.0	180	3.0	3-8	600.0	3.0	3-9	1990	8	3-9	1,040	12	3-8	380	3	8-9	1,040	12	3=>9	2720	11	3-8-9	4270	14			9,8,10,3,1,2,(7,5)-(4,6)	9,8,3,1,10,2,7,5-6,4					
200835053102	ダ	左	1200	曇	良	11:20	C2十四組		2008-5-31	1	盛岡	1			10	550	4	10	110	1	3	110	2	1.0	350	7.0	3-8	630.0	2.0	3-10	1010	4	3-10	480	5	1-10	820	14	1-3	650	11	10=>3	1820	8	1-3-10	2390	10			58917431062.0	58491371062.0					
200835053103	ダ	左	1400	曇	良	11:55	C2七組		2008-5-31	1	盛岡	1			2	120	1	2	110	1	5	560	8	1.0	640	9.0	2-5	5350.0	11.0	2-5	6680	16	2-5	2,120	20	1-2	2,060	18	1-5	12,350	40	2=>5	7580	19	1-2-5	58660	57			2,7,9,5,(4,10),3,8,6,1	2,7,5,(4,10),3,6,1,8,9					
200835053104	ダ	左	1400	曇	良	12:30	C2六組		2008-5-31	1	盛岡	1			10	220	2	10	140	2	5	350	8	1.0	300	5.0	5-8	1580.0	8.0	5-10	1950	10	5-10	750	8	1-10	740	6	1-5	2,300	24	10=>5	2730	13	1-5-10	7580	28			56108493721.0	51086493712.0					
200835053105	ダ	左	1400	曇	良	13:05	3歳B2二組		2008-5-31	1	盛岡	1			8	130	1	8	100	1	2	120	2	5.0	170	4.0	2-7	410.0	2.0	2-8	430	2	2-8	220	2	5-8	220	3	2-5	510	7	8=>2	510	2	2-5-8	1020	4			25861410973.0	28516491073.0			8=>2=>5	1950.0	5.0
200835053106	ダ	左	1400	曇	良	13:40	3歳B2一組		2008-5-31	1	盛岡	1			8	140	1	8	100	1	3	110	2	10.0	150	3.0	3-7	320.0	2.0	3-8	330	1	3-8	180	1	8-10	220	3	3-10	450	7	8=>3	440	1	3-8-10	500	1			23810756941.0	23810594671.0			8=>3=>10	1280.0	1.0
200835053107	ダ	左	1600	曇	良	14:15	3歳B1		2008-5-31	1	盛岡	1			10	140	1	10	100	1	3	110	3	6.0	110	2.0	3-8	290.0	1.0	3-10	250	1	3-10	140	1	6-10	150	2	3-6	160	3	10=>3	400	1	3-6-10	260	1			4,10,7,3,5,2,6,1,8-9	41036572819			10=>3=>6	780.0	1.0
200835053108	芝	左	1600	曇	良	14:50	B2七組		2008-5-31	1	盛岡	1			8	310	2	8	110	1	6	120	2	1.0	130	3.0	6-7	370.0	1.0	6-8	300	1	6-8	190	3	1-8	180	2	1-6	180	1	8=>6	840	1	1-6-8	500	1			87462110395	8,(7,4),6,(1,2),3,5,10,9			8=>6=>1	1850.0	2.0
200835053109	芝	左	1600	曇	良	15:25	B2六組		2008-5-31	1	盛岡	1			9	890	5	9	550	7	6	320	4	2.0	450	6.0	6-8	550.0	3.0	6-9	4270	13	6-9	860	12	2-9	1,670	19	2-6	1,670	19	9=>6	8390	28	2-6-9	14820	36			96104187235.0	96410128735.0			9=>6=>2	85260.0	198.0
200835053110	芝	左	1600	曇	良	16:10	南昌山賞 		2008-5-31	1	盛岡	1			6	130	1	6	110	1	3	210	5	10.0	150	2.0	3-6	1220.0	5.0	3-6	1100	5	3-6	370	5	6-10	200	1	3-10	990	13	6=>3	1570	7	3-6-10	1510	6			4,10,1,6,3,5,7,9,8=2	(4,10),6,3,1,(7,5)-9,8=2			6=>3=>10	6230.0	20.0
