	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連単:的中	三連単:配当	三連単:人気
200836010201	ダ	右	1300	小雪	不良	10:45	C3十組		2008-1-2	12	水沢	1			7	2400	4	7	170	4	8	100	1	2.0	330.0	6.0	7-7	570.0	3.0	7-8	560	3	7-8	280	3	2-7	1,170	14	2-8	290	4	7=>8	2900	9	2-7-8	1700	6	38972104156	38927411056	(3,8,7),9,1,2,4,10,5,6	8,3,7,9,1,2,4-10-5,6					
200836010202	ダ	右	1300	小雪	不良	11:15	C3九組		2008-1-2	12	水沢	1			7	650	4	7	170	3	6	250	6	10.0	170.0	2.0	6-7	2620.0	10.0	6-7	2420	10	6-7	500	10	7-10	330	2	6-10	460	8	7=>6	6370	24	6-7-10	2260	10	11079265834	11072956834	(1,7),10,9,2,6,8,5,3,4	71109682534					
200836010203	ダ	右	1300	小雪	不良	11:45	C2六組		2008-1-2	12	水沢	1			7	150	1	7	120	1	9	150	2	3.0	160.0	3.0	7-8	390.0	1.0	7-9	480	1	7-9	180	1	3-7	210	2	3-9	430	5	7=>9	700	1	3-7-9	650	1	1,(3,9),2,6,4,8,10,7,5	13924678510	(1,3),9,4,(2,8,5),7,(10,6)	39147825106					
200836010204	ダ	右	1400	小雪	不良	12:15	C2三組		2008-1-2	12	水沢	1			5	140	1	5	100	1	3	140	2	7.0	170.0	4.0	3-5	400.0	2.0	3-5	390	1	3-5	190	2	5-7	380	3	3-7	700	9	5=>3	570	2	3-5-7	1200	4	34568271019	34568271019	53486721091	5,3,8,4,7,2,6,(9,10),1					
200836010205	ダ	右	1600	小雪	不良	12:50	C2一組		2008-1-2	12	水沢	1			1	140	1	1	100	1	8	220	5	2.0	150.0	3.0	1-8	650.0	3.0	1-8	1570	7	1-8	410	5	1-2	170	1	2-8	810	13	1=>8	2040	8	1-2-8	2000	9	568712493	586172493	5,8,(1,7),2,(4,9),6,3	5,8,7,1,2,(4,9)-6,3			1=>8=>2	10260.0	30.0
200836010206	ダ	右	1400	小雪	不良	13:25	3歳A2		2008-1-2	12	水沢	1			5	950	5	5	410	5	2	270	3	6.0	500.0	8.0	2-5	3270.0	13.0	2-5	2040	11	2-5	710	10	5-6	1,150	17	2-6	1,210	19	5=>2	4280	18	2-5-6	6120	27	51269103874	15296310784	(2,9),5,8,(1,6),10,3,7,4	52986371104			5=>2=>6	40050.0	138.0
200836010207	ダ	右	1600	小雪	不良	14:00	B2二組		2008-1-2	12	水沢	1			5	140	1	5	120	1	4	160	3	8.0	230.0	7.0	4-5	680.0	4.0	4-5	650	3	4-5	360	4	5-8	410	5	4-8	1,170	15	5=>4	880	2	4-5-8	2010	9	1,3,(5,9),2,10,8,(4,6)=7	1,3,5,9,2,8,10,6,4=7	(3,5),9,8,2,1,(4,6)-10-7	5,3,(8,9),4,6,2,1,7,10			5=>4=>8	5540.0	15.0
200836010208	ダ	右	1800	小雪	不良	14:35	楽天競馬杯B1一組		2008-1-2	12	水沢	1			3	1760	7	3	660	8	1	280	5	4.0	160.0	3.0	1-3	8490.0	17.0	1-3	8120	22	1-3	1,750	21	3-4	820	12	1-4	470	5	3=>1	18280	45	1-3-4	4420	17	28945371016	2,8,9,3,(5,4),(10,7),1,6	(2,8,9,4),3,(10,5),7,1,6	(9,4),8,3,10,7,2,1,5,6			3=>1=>4	44530.0	133.0
200836010301	ダ	右	1300	小雪	不良	10:45	C3八組		2008-1-3	12	水沢	2			4	120	1	4	100	1	7	110	2	6.0	440.0	6.0	4-7	140.0	1.0	4-7	120	1	4-7	110	1	4-6	700	10	6-7	820	11	4=>7	160	1	4-6-7	1130	5	914753286	194752368	4,9,(1,7),2,5,6,8,3	4,7,9,1,(2,6),5,8,3					
200836010302	ダ	右	1300	小雪	不良	11:15	C3七組		2008-1-3	12	水沢	2			7	300	2	7	100	1	6	100	3	4.0	100.0	2.0	6-7	310.0	2.0	6-7	340	2	6-7	130	2	4-7	110	1	4-6	130	3	7=>6	500	3	4-6-7	200	1	3,(4,7),1,2,9,8,6,5	347129865	(3,4),7,1,6,9,2,5,8	(4,7),3,6,1,9,2,8,5					
200836010303	ダ	右	1300	小雪	不良	11:45	C3六組		2008-1-3	12	水沢	2			9	110	1	9	100	1	8	100	2	6.0	160.0	4.0	8-8	170.0	1.0	8-9	170	1	8-9	120	1	6-9	190	2	6-8	210	3	9=>8	220	1	6-8-9	300	1	398724651	3,9,(2,8),6,7,5,4,1	(3,9),8,6,2,4,5,7,1	983624751					
200836010601	ダ	右	1300	雪	不良	10:45	3歳C3二組		2008-1-6	12	水沢	5			4	190	2	4	130	1	6	220	3							4-6	890	4	4-6	350	4	4-5	300	3	5-6	620	8	4=>6	1300	6	4-5-6	1090	4	251643	251643	4,2,(5,6),1,3	462513					
200836010602	ダ	右	1300	曇	不良	11:15	3歳C3一組		2008-1-6	12	水沢	5			4	200	1	4	100	1	1	120	2							1-4	200	1	1-4	130	1	3-4	140	2	1-3	180	4	4=>1	320	1	1-3-4	220	1	34651	34651	34615	(3,4),1,6-5					
200836010603	ダ	右	1400	曇	不良	11:45	C3二組		2008-1-6	12	水沢	5			7	130	1	7	110	1	6	360	6	4.0	120.0	2.0	6-7	570.0	3.0	6-7	590	3	6-7	250	3	4-7	170	1	4-6	590	8	7=>6	690	4	4-6-7	710	2	10342875169	10,3,2,4,8,7,5,6,1-9	4,(10,3),7,2,(8,6),1,5=9	(10,3),(4,7),2,6,1,8,5=9					
200836010604	ダ	右	1400	曇	不良	12:15	C3一組		2008-1-6	12	水沢	5			5	580	3	5	200	4	9	140	2	3.0	290.0	5.0	5-8	310.0	2.0	5-9	750	3	5-9	310	3	3-5	430	6	3-9	360	5	5=>9	1870	7	3-5-9	1500	6	3,9,10,5,(1,2),8,4,(6,7)	3,9,10,1,5,2-8,4,7,6	(3,9),10,5,1,7,2,8,6,4	(3,9),5,10,8,7,1,2,6,4					
200836010605	ダ	右	1300	晴	不良	12:50	C1六組		2008-1-6	12	水沢	5			10	180	1	10	120	3	4	110	1	5.0	380.0	6.0	4-8	240.0	1.0	4-10	250	1	4-10	170	1	5-10	680	8	4-5	520	6	10=>4	330	1	4-5-10	1400	4	64253110897	64235110879	3,4,6,10,5,(2,8),1,7,9	41063582197			10=>4=>5	3280.0	7.0
200836011201	ダ	右	1300	曇	不良	10:45	C3六組		2008-1-12	13	水沢	1			2	820	5	2	300	7	4	190	4	1.0	110.0	1.0	2-4	5660.0	16.0	2-4	4070	13	2-4	1,100	15	1-2	550	8	1-4	270	3	2=>4	10640	28	1-2-4	1920	9	23610189745	23641107895	2,3,6,4,(1,10),7,8,9,5	2,4,1,(7,3,10),8,6,9,5					
200836011202	ダ	右	1300	曇	不良	11:15	C3五組		2008-1-12	13	水沢	1			10	120	1	10	110	1	8	170	3	2.0	190.0	5.0	7-8	510.0	3.0	8-10	910	4	8-10	380	4	2-10	250	2	2-8	700	10	10=>8	950	4	2-8-10	1370	6	81091476325	81019476325	(8,10),9,1,7,(2,4),3,6,5	81012974365					
200836011301	ダ	右	1300	曇	不良	10:45	C3四組		2008-1-13	13	水沢	2			3	290	2	3	120	1	9	140	3	5.0	270.0	6.0	3-8	580.0	3.0	3-9	550	2	3-9	260	2	3-5	830	10	5-9	1,650	15	3=>9	820	3	3-5-9	2890	11	96231510478	9,6,2,3,1-4,5,7,8,10	9,6,3,1,2,5,4-8,7=10	3,9,6,1,5,4-2,8,7=10					
200836011302	ダ	右	1400	曇	不良	11:15	C3三組		2008-1-13	13	水沢	2			10	300	2	10	110	2	1	100	1	4.0	140.0	3.0	1-8	130.0	1.0	1-10	140	1	1-10	100	1	4-10	180	3	1-4	180	2	10=>1	390	2	1-4-10	300	1	31015428976	31051429876	31059142867	31015942687					
200836011401	ダ	右	1300	晴	不良	10:45	3歳C3		2008-1-14	13	水沢	3			2	160	1	2	100	1	5	150	4	8.0	120.0	2.0	2-5	670.0	4.0	2-5	700	3	2-5	320	4	2-8	230	2	5-8	670	9	2=>5	920	3	2-5-8	850	3	(3,5),7,8,1,9,2,6,4	357812964	(3,5),(2,7),8,9,6,1,4	5,3,7,2,8,9,(6,4),1					
200836011402	ダ	右	1300	晴	不良	11:15	3歳C2		2008-1-14	13	水沢	3			2	140	1	2	100	1	6	120	2	5.0	200.0	5.0	2-6	210.0	1.0	2-6	210	1	2-6	150	1	2-5	1,100	15	5-6	780	12	2=>6	250	1	2-5-6	1170	5	245813769	245183796	254817936	257183469					
200836011403	ダ	右	1400	晴	不良	11:45	C3二組		2008-1-14	13	水沢	3			3	160	1	3	100	1	4	100	2	10.0	120.0	3.0	3-4	220.0	1.0	3-4	190	1	3-4	140	1	3-10	250	3	4-10	240	2	3=>4	310	1	3-4-10	440	1	4,(8,10),7,1,(3,5),2,6,9	48107513296	4,10,8,3,7,(1,5),(2,6),9	41038157629					
