	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気	枠単:的中	枠単:配当	枠単:人気
200842012101	ダ	左	1400	曇	良	10:50	4歳一		2008-1-21	10	浦和	1	176万円以上		1	160	1	1.0	120	1.0	6.0	390	6.0	8.0	330.0	4.0	1-6	2270	7	1-6	1,100	7.0	1-8	880	5.0	6-8	2,510	15.0	1=>6	3010	11	1-6-8	7800.0	20.0	1=>6=>8	19150	60	61845732	6-1-8,5,7,3,4,2	6,1-8,7,4,5,3,2	6,1-8,7,4,5,2,3	12.4 - 11.9 - 12.5 - 13.0 - 12.3 - 14.9 - 12.9	12.4 - 24.3 - 36.8 - 49.8 - 62.1 - 77.0 - 89.9 (36.8-40.1)						
200842012102	ダ	左	1300	曇	良	11:20	特選		2008-1-21	10	浦和	1	110万円以上272万円未満		11	1010	3	11.0	130	2.0	8.0	120	1.0	9.0	470.0	9.0	8-11	660	2	8-11	310	2.0	9-11	1,530	17.0	8-9	1,480	16.0	11=>8	1410	4	8-9-11	4470.0	13.0	11=>8=>9	11160	28	11,10,4,8,(7,9),5,3,6,2	11,10,4,8,(5,9),7,3,6,2	111084925736	11,8,10,4,9,2,(5,7),3,6	6.5 - 12.4 - 13.3 - 13.1 - 12.1 - 13.9 - 12.8	6.5 - 18.9 - 32.2 - 45.3 - 57.4 - 71.3 - 84.1 (32.2-38.8)	7-8	400.0	1.0	8=>7	1040.0	2.0
200842012103	ダ	左	1300	曇	良	11:50	特選		2008-1-21	10	浦和	1	110万円以上272万円未満		11	1150	4	11.0	210	3.0	4.0	490	8.0	8.0	150.0	2.0	4-11	10390	25	4-11	2,490	24.0	8-11	410	2.0	4-8	1,080	13.0	11=>4	29330	47	4-8-11	3890.0	13.0	11=>4=>8	83940	216	(2,8),11,10,5,4,1,7,3,9,6	8102115413796	1181052347196	11,8-4,2,3,10,5,7,1,9,6	6.3 - 11.3 - 12.5 - 13.2 - 12.1 - 14.3 - 13.4	6.3 - 17.6 - 30.1 - 43.3 - 55.4 - 69.7 - 83.1 (30.1-39.8)	4-8	7040.0	19.0	8=>4	12300.0	32.0
200842012104	ダ	左	1400	曇	良	12:20	C311　1213		2008-1-21	10	浦和	1			5	100	1	5.0	100	1.0	4.0	260	4.0	3.0	430.0	9.0	4-5	840	4	4-5	300	2.0	3-5	400	5.0	3-4	2,330	23.0	5=>4	760	3	3-4-5	3320.0	15.0	5=>4=>3	8150	29	(5,7),8,3,4,1,9,10,2	7583419210	7583491210	7534819210	12.9 - 12.7 - 13.2 - 13.8 - 12.4 - 14.7 - 13.2	12.9 - 25.6 - 38.8 - 52.6 - 65.0 - 79.7 - 92.9 (38.8-40.3)	4-5	640.0	4.0	5=>4	820.0	4.0
200842012105	ダ	左	1400	曇	良	12:55	C311　1213		2008-1-21	10	浦和	1			5	250	1	5.0	120	1.0	11.0	160	3.0	4.0	170.0	4.0	5-11	940	2	5-11	360	4.0	4-5	320	2.0	4-11	790	11.0	5=>11	1410	3	4-5-11	2030.0	5.0	5=>11=>4	7390	16	4,5,10,11,3,9,(7,8),2,1,6	4,5,10,3,11,1,(2,9),7,8,6	(4,5),3,11,1,2,10,7,9,6,8	(4,5),11,3,7,1,2,10,9,6,8	12.7 - 12.7 - 12.6 - 13.0 - 11.9 - 14.3 - 13.7	12.7 - 25.4 - 38.0 - 51.0 - 62.9 - 77.2 - 90.9 (38.0-39.9)	5-8	700.0	2.0	5=>8	1080.0	3.0
200842012106	ダ	左	1400	曇	良	13:30	C311　1213		2008-1-21	10	浦和	1			2	810	5	2.0	290	5.0	7.0	510	7.0	9.0	500.0	6.0	2-7	6040	25	2-7	1,530	22.0	2-9	1,470	21.0	7-9	2,530	34.0	2=>7	10350	41	2-7-9	9390.0	35.0	2=>7=>9	78160	280	4711351012986	4711312591068	7411239105816	7114291036581	12.9 - 13.1 - 13.9 - 13.8 - 12.1 - 14.8 - 12.7	12.9 - 26.0 - 39.9 - 53.7 - 65.8 - 80.6 - 93.3 (39.9-39.6)	2-6	1800.0	9.0	2=>6	4310.0	18.0
200842012107	ダ	左	1500	曇	良	14:05	C2五		2008-1-21	10	浦和	1			7	370	2	7.0	140	1.0	9.0	200	4.0	3.0	740.0	11.0	7-9	2050	7	7-9	750	6.0	3-7	2,390	38.0	3-9	2,970	47.0	7=>9	3110	7	3-7-9	19730.0	81.0	7=>9=>3	82530	310	371251021189164	371251021189164	371251091268411	3,7,5,12,9,1,10,4,2,(8,6),11	7.0 - 11.6 - 12.4 - 13.0 - 13.3 - 12.0 - 14.7 - 13.6	7.0 - 18.6 - 31.0 - 44.0 - 57.3 - 69.3 - 84.0 - 97.6 (31.0-40.3)	6-7	940.0	4.0	6=>7	1350.0	1.0
200842012108	ダ	左	1600	曇	良	14:40	C2四		2008-1-21	10	浦和	1			4	2040	5	4.0	360	5.0	6.0	130	2.0	3.0	570.0	7.0	4-6	1480	7	4-6	460	2.0	3-4	2,960	27.0	3-6	1,200	14.0	4=>6	3390	10	3-4-6	8840.0	27.0	4=>6=>3	82320	169	2,3,7,10,4,6,1,5,(8,9),11	2,3,7,10,(4,6),(1,5),(8,9),11	2,(4,6),3,9,5,10,7,1,8,11	6423591018117	13.8 - 11.6 - 13.0 - 13.0 - 13.6 - 12.1 - 14.4 - 13.1	13.8 - 25.4 - 38.4 - 51.4 - 65.0 - 77.1 - 91.5 - 104.6 (38.4-39.6)	4-6	1650.0	5.0	4=>6	3460.0	12.0
200842012109	ダ	左	1400	曇	良	15:15	そぴあ賞		2008-1-21	10	浦和	1			8	370	3	8.0	140	3.0	10.0	280	5.0	2.0	120.0	1.0	8-10	3620	14	8-10	850	10.0	2-8	190	1.0	2-10	640	7.0	8=>10	4810	17	2-8-10	1640.0	4.0	8=>10=>2	17410	49	8,(2,4),5,(1,10),3,6,7,11,9,12	824511063911712	825103461912711	821053612947111	12.3 - 12.0 - 12.5 - 13.0 - 12.0 - 14.8 - 12.1	12.3 - 24.3 - 36.8 - 49.8 - 61.8 - 76.6 - 88.7 (36.8-38.9)	6-7	730.0	3.0	6=>7	1450.0	6.0
200842012110	ダ	左	1900	曇	良	15:50	ジャニュアリー特別 		2008-1-21	10	浦和	1	(ハンデ)		11	1320	7	11.0	310	6.0	5.0	130	1.0	10.0	230.0	4.0	5-11	2960	15	5-11	1,040	15.0	10-11	1,360	19.0	5-10	530	5.0	11=>5	7560	30	5-10-11	5570.0	25.0	11=>5=>10	62860	213	4,11,8,(1,5,3),7,10,6,9,2	4118153710962	11,4,9,(5,8),3,10,7,2,1,6	1154109783621	6.7 - 10.9 - 14.2 - 13.1 - 13.8 - 13.6 - 13.4 - 11.7 - 14.5 - 12.6	6.7 - 17.6 - 31.8 - 44.9 - 58.7 - 72.3 - 85.7 - 97.4 - 111.9 - 124.5 (31.8-38.8)	5-8	730.0	3.0	8=>5	1660.0	8.0
200842012111	ダ	左	1500	曇	良	16:25	福寿草特別 		2008-1-21	10	浦和	1			1	500	3	1.0	140	3.0	10.0	120	1.0	9.0	340.0	6.0	1-10	550	2	1-10	270	2.0	1-9	1,640	19.0	9-10	760	12.0	1=>10	1670	6	1-9-10	3090.0	11.0	1=>10=>9	15980	47	610312198112457	(3,6,10),(12,1),(8,9),11,2,4,5,7	(10,1),(3,6),12,9,2,11,8,4,7,5	(10,1),3,12,6,2,9,11,7,8,4,5	7.6 - 11.3 - 12.3 - 12.9 - 13.1 - 12.1 - 14.7 - 12.9	7.6 - 18.9 - 31.2 - 44.1 - 57.2 - 69.3 - 84.0 - 96.9 (31.2-39.7)	1-7	560.0	2.0	1=>7	1370.0	5.0
