	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気	枠単:的中	枠単:配当	枠単:人気
200845010101	ダ	左	1400	晴	重	11:20	3歳12　ハ		2008-1-1	12	川崎	1	16万円未満		4	350	2	4	130	3	2	200	5	5.0	110.0	1.0	2-4	1420	6	2-4	480	8	4-5	150	1	2-5	330	5	4=>2	2370	11	2-4-5	810	2	4=>2=>5	5070	13	45832176	4,5,8,3,2,(1,7),6	4,5,2,(3,8),1,7,6	42531876	13.0 - 12.3 - 13.5 - 11.6 - 12.6 - 14.1 - 12.9	13.0 - 25.3 - 38.8 - 50.4 - 63.0 - 77.1 - 90.0 (38.8-39.6)						
200845010102	ダ	左	1400	晴	重	11:50	3歳11　ロ		2008-1-1	12	川崎	1	16万円未満		4	280	2	4	110	1	6	120	3	2.0	110.0	2.0	4-6	370	1	4-6	160	1	2-4	230	3	2-6	220	2	4=>6	770	2	2-4-6	440	1	4=>6=>2	1810	2	45612873	(4,5),6,1,2,8,7,3	(4,6),2,1,5,7,8,3	46217358	13.1 - 12.8 - 14.1 - 12.3 - 12.7 - 14.3 - 12.9	13.1 - 25.9 - 40.0 - 52.3 - 65.0 - 79.3 - 92.2 (40.0-39.9)						
200845010103	ダ	左	1400	晴	重	12:20	3歳10　イ		2008-1-1	12	川崎	1			5	130	1	5	110	1	11	260	6	2.0	200.0	4.0	5-11	620	3	5-11	330	3	2-5	290	2	2-11	1,100	12	5=>11	790	3	2-5-11	1640	5	5=>11=>2	4840	13	7118321941056	7118321410956	5118271019436	5118271109346	13.3 - 12.9 - 14.0 - 12.4 - 12.9 - 14.0 - 12.9	13.3 - 26.2 - 40.2 - 52.6 - 65.5 - 79.5 - 92.4 (40.2-39.8)	5-8	440.0	2.0	5=>8	550.0	2.0
200845010104	ダ	左	1500	晴	重	12:50	C3五		2008-1-1	12	川崎	1			11	180	1	11	120	1	4	220	4	3.0	650.0	8.0	4-11	770	3	4-11	420	3	3-11	910	9	3-4	1,700	20	11=>4	1040	4	3-4-11	6300	19	11=>4=>3	17500	48	2118461071539	2118461017539	2,11,4,6,10,8,1,5,7,3-9	1124108651379	6.1 - 12.0 - 12.8 - 13.8 - 12.2 - 13.2 - 14.6 - 14.5	6.1 - 18.1 - 30.9 - 44.7 - 56.9 - 70.1 - 84.7 - 99.2 (30.9-42.3)	4-8	580.0	2.0	8=>4	740.0	4.0
200845010105	ダ	左	1500	晴	重	13:20	4歳4　ロ		2008-1-1	12	川崎	1	101万円以上150万円未満		2	510	4	2	180	4	9	230	5	3.0	160.0	2.0	2-9	2450	11	2-9	660	10	2-3	540	7	3-9	470	5	2=>9	4700	20	2-3-9	3090	10	2=>9=>3	23180	73	1611329578104	1611239578104	1119362578104	1,(3,11),9,2,6,7,5,4,10,8	6.2 - 11.3 - 12.8 - 13.9 - 12.0 - 13.2 - 15.1 - 14.0	6.2 - 17.5 - 30.3 - 44.2 - 56.2 - 69.4 - 84.5 - 98.5 (30.3-42.3)	2-7	2570.0	14.0	2=>7	5430.0	26.0
200845010106	ダ	左	1500	晴	重	13:50	4歳3　イ		2008-1-1	12	川崎	1	101万円以上150万円未満		3	150	1	3	100	1	11	170	3	8.0	100.0	2.0	3-11	1340	4	3-11	330	4	3-8	130	1	8-11	440	7	3=>11	1260	5	3-8-11	680	3	3=>11=>8	3700	11	2359111867410	2,3,5,1,11,9,8,(4,6),7,10	(3,5),2,8,11,1,9,7,10,6,4	3115819107246	6.0 - 11.6 - 12.7 - 13.6 - 12.3 - 13.5 - 14.2 - 12.7	6.0 - 17.6 - 30.3 - 43.9 - 56.2 - 69.7 - 83.9 - 96.6 (30.3-40.4)	3-8	750.0	2.0	3=>8	730.0	2.0
200845010107	ダ	左	1500	晴	重	14:20	C2三　四		2008-1-1	12	川崎	1			9	2880	8	9	450	6	5	1,160	11	11.0	150.0	2.0	5-9	76490	60	5-9	8,810	50	9-11	710	7	5-11	3,380	32	9=>5	117670	109	5-9-11	50410	95	9=>5=>11	876170	816	3,8,12,(6,9),7,11,4,2,1,5,10	381269711245110	(3,8),12,9,6,11,7,2,4,5,10-1	8,12,9,6,3,11,7,5,2,10,4=1	6.0 - 11.6 - 12.6 - 13.9 - 12.5 - 13.3 - 14.3 - 13.3	6.0 - 17.6 - 30.2 - 44.1 - 56.6 - 69.9 - 84.2 - 97.5 (30.2-40.9)	5-7	1710.0	7.0	7=>5	6150.0	23.0
200845010108	ダ	左	1500	晴	重	14:55	C2三　四		2008-1-1	12	川崎	1			4	370	2	4	130	2	3	170	3	7.0	230.0	4.0	3-4	1540	6	3-4	470	4	4-7	570	8	3-7	1,050	12	4=>3	2660	9	3-4-7	2810	7	4=>3=>7	11850	36	141211859107326	145128791110326	145812973102116	1,4,5,7,(3,8),9,10,2,12,11-6	6.2 - 11.4 - 12.6 - 13.7 - 12.1 - 12.8 - 14.3 - 13.3	6.2 - 17.6 - 30.2 - 43.9 - 56.0 - 68.8 - 83.1 - 96.4 (30.2-40.4)	3-4	1560.0	8.0	4=>3	2790.0	10.0
200845010109	ダ	左	1600	晴	重	15:30	C1五　C2二		2008-1-1	12	川崎	1	(ハンデ)		8	200	1	8	120	1	6	130	2	4.0	810.0	8.0	6-8	380	1	6-8	210	1	4-8	1,610	16	4-6	1,660	18	8=>6	680	1	4-6-8	5720	17	8=>6=>4	15740	51	879365421	8,7,3,9,(4,6),5,2,1	8,7,(9,5),4,3,6,1,2	8,4,7,5,(1,3),6,9,2	13.3 - 11.3 - 13.3 - 14.2 - 12.2 - 13.1 - 13.7 - 13.1	13.3 - 24.6 - 37.9 - 52.1 - 64.3 - 77.4 - 91.1 - 104.2 (37.9-39.9)	6-8	420.0	1.0	8=>6	710.0	1.0
200845010110	ダ	左	1400	晴	重	16:05	初日の出特別 		2008-1-1	12	川崎	1	(別定)		4	150	1	4	110	2	5	110	1	8.0	250.0	6.0	4-5	280	1	4-5	160	1	4-8	480	5	5-8	480	6	4=>5	440	1	4-5-8	1180	2	4=>5=>8	2650	2	2411105891763	2411581091763	2411598610713	2458711619103	13.0 - 12.1 - 13.1 - 12.1 - 13.0 - 14.0 - 13.4	13.0 - 25.1 - 38.2 - 50.3 - 63.3 - 77.3 - 90.7 (38.2-40.4)	4-5	300.0	1.0	4=>5	430.0	1.0
