	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200847010101	ダ	右	1400	晴	稍重	10:50	サラ系C23組牝馬		2008-1-1	16	笠松	4	牝		4	160	1	4	120	1	6	190	4	7.0	370.0	7.0	4-6	570.0	2.0	4-6	530	2	4=>6	720.0	2.0	4=>6	870	3	4-6-7	1490	6	4=>6=>7	4020	10		14698357.0	14698573.0	4,6,1,(9,7),8,3,5		
200847010102	ダ	右	1400	晴	稍重	11:15	西脇壮洛2歳記念		2008-1-1	16	笠松	4			1	260	1	1	100	1	5	160	4	7.0	130.0	2.0	1-5	500.0	1.0	1-5	340	1	1=>5	640.0	1.0	1=>5	600	1	1-5-7	1000	3	1=>5=>7	1970	3		579486132.0	578194632.0	571826349.0		
200847010103	ダ	右	1400	晴	稍重	11:45	いづみ常連賞		2008-1-1	16	笠松	4			2	150	1	2	100	1	9	160	5	3.0	140.0	3.0	2-8	260.0	1.0	2-9	270	1	2=>8	390.0	1.0	2=>9	400	1	2-3-9	220	1	2=>9=>3	700	1		9,2,8,3,7-6,4,1	9,2,8,3,7-6-4,1	9,2,3,8,6,7=1,4		
200847010104	ダ	右	1400	雪	稍重	12:15	サラ系C20組		2008-1-1	16	笠松	4			1	140	1	1	100	1	7	130	3	6.0	140.0	4.0	1-7	170.0	1.0	1-7	140	1	1=>7	270.0	1.0	1=>7	250	1	1-6-7	290	2	1=>7=>6	630	2		162879435.0	168275493.0	176824593.0		
200847010105	ダ	右	1400	雪	稍重	12:45	笠松競馬参拝祈		2008-1-1	16	笠松	4			6	260	1	6	120	3	8	110	1	2.0	120.0	2.0	6-7	170.0	1.0	6-8	200	1	6=>7	360.0	1.0	6=>8	340	1	2-6-8	500	2	6=>8=>2	1030	3		62814107359.0	62814310759.0	68213410579.0		
200847010106	ダ	右	1400	雪	稍重	13:15	サラ系C6組		2008-1-1	16	笠松	4			4	100	1	4	110	1	5	230	4	6.0	660.0	8.0	4-5	460.0	3.0	4-5	510	4	4=>5	490.0	3.0	4=>5	450	2	4-5-6	7920	19	4=>5=>6	8610	24		296541837	(2,6,4),9,5,1-8,7,3	462591837		
200847010107	ダ	右	1400	雪	稍重	13:45	楽天競馬杯		2008-1-1	16	笠松	4			1	470	2	1	160	3	7	120	1	9.0	400.0	6.0	1-7	370.0	2.0	1-7	360	2	1=>7	710.0	3.0	1=>7	970	5	1-7-9	1760	5	1=>7=>9	9260	32		976254183	974612583	(9,7),4,1,2,6,5,3,8		
200847010108	ダ	右	1400	雪	稍重	14:15	サラ系C4組		2008-1-1	16	笠松	4			7	540	3	7	120	2	4	130	3	5.0	110.0	1.0	4-7	1520.0	7.0	4-7	2890	12	7=>4	5330.0	21.0	7=>4	5270	17	4-5-7	1690	6	7=>4=>5	21190	62		98612574.0	98526741.0	57829461.0		
200847010109	ダ	右	1400	雪	稍重	14:45	サラ系C2組選抜		2008-1-1	16	笠松	4			9	230	1	9	110	1	8	280	5	4.0	150.0	3.0	8-8	2120.0	10.0	8-9	2570	11	8=>8	1500.0	9.0	9=>8	2840	11	4-8-9	2540	9	9=>8=>4	9690	34		489153276	4,8,9-1,3,5,7,2,6	4,8,9-1,3,5,2,7,6		
200847010110	ダ	右	1800	雪	稍重	15:15	岐阜新聞・岐阜放送杯 		2008-1-1	16	笠松	4			5	2040	6	5	330	3	2	290	2							2-5	3130	8				5=>2	14630	23	2-5-7	480	1	5=>2=>7	22340	53		2761453.0	2756134.0	2576314.0		
