	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	三連単:的中	三連単:配当	三連単:人気
200850010301	ダ	右	1400	晴	稍重	10:55	F3三　3歳		2008-1-3	19	園田	3	(馬齢)		5	330	2	5	150	2	6	130	1	5-6	270	1	5-6	130	1	2-5	260	6	2-6	170	3	5=>6	710	3	2-5-6	330	2	465231	465231	4,6,5,(2,3)-1	5,6,4,2,3-1											
200850010302	ダ	右	1400	晴	稍重	11:25	F3二　3歳		2008-1-3	19	園田	3	(馬齢)		3	200	1	3	130	1	4	140	2	3-4	300	1	3-4	150	1	2-3	200	2	2-4	250	5	3=>4	520	1	2-3-4	390	2	7423651	7423615	7432165	7423165											
200850010303	ダ	右	1400	晴	稍重	11:55	F3一　3歳		2008-1-3	19	園田	3	(馬齢)		5	120	1	5	100	1	2	100	2	2-5	230	1	2-5	180	2	5-7	370	6	2-7	710	10	5=>2	320	1	2-5-7	700	4	7635421	7,6,3-5,2,4,1	7,3,5,2,4,6-1	7,5,2,3,4-1,6											
200850010304	ダ	右	1400	晴	稍重	12:25	C3二　4歳以上		2008-1-3	19	園田	3	(馬齢)		2	210	1	2	130	1	4	330	4	2-4	1050	5	2-4	370	6	2-7	160	1	4-7	280	4	2=>4	1840	9	2-4-7	660	2	4,5,1,(3,7),2,6	4517326	4,7,2,5,3,1=6	4,2,7,5,3,1=6											
200850010305	ダ	右	1400	晴	稍重	12:55	C3一　4歳以上		2008-1-3	19	園田	3	(馬齢)		3	550	3	3	140	3	8	360	6	3-8	2870	13	3-8	710	9	3-6	240	2	6-8	320	4	3=>8	5300	19	3-6-8	1630	5	73618452	73618452	73684215	37684251			6.0	120.0	1.0						
200850010306	ダ	右	1400	晴	稍重	13:25	D6三　4歳以上		2008-1-3	19	園田	3	(馬齢)		8	140	1	8	100	2	2	100	1	2-8	160	1	2-8	140	1	7-8	880	8	2-7	910	10	8=>2	210	1	2-7-8	1530	4	8,(2,7),3,6,1,4,5	82736145	82673451	82763541			7.0	270.0	5.0						
200850010307	ダ	右	1400	晴	良	14:00	D6二　4歳以上		2008-1-3	19	園田	3	(馬齢)		8	170	1	8	100	1	9	130	3	8-9	380	1	8-9	180	2	6-8	270	4	6-9	420	8	8=>9	550	1	6-8-9	680	3	389471562	3,8,9,(4,7),(1,5),6,2	8,3,9,6,(5,7),1,4-2	893651742			6.0	180.0	5.0	8-8	370.0	2.0			
200850010308	ダ	右	1230	晴	良	14:35	D6一　4歳以上		2008-1-3	19	園田	3	(馬齢)		3	270	2	3	100	2	1	100	1	1-3	250	1	1-3	110	1	3-8	170	3	1-8	170	2	3=>1	580	2	1-3-8	210	1	1,7,9,3,2,8,6,4,(5,10)	1,7,9,2,3,(6,8),4,5,10	18732961054	1,(3,8),7,2,6,9,10,4,5			8.0	110.0	3.0	1-3	300.0	1.0	3=>1=>8	1100.0	2.0
200850010309	ダ	右	1700	晴	良	15:10	「姫路菓子博2008 		2008-1-3	19	園田	3	(馬齢)		5	170	1	5	100	1	4	110	2	4-5	160	1	4-5	130	1	5-9	640	10	4-9	1,040	13	5=>4	240	1	4-5-9	2060	6	45271681093	45271610893	5,4-2,7,8,1,9,10,6,3	5,4-2,7,1,8,9,10,6,3			9.0	390.0	6.0	4-5	170.0	1.0	5=>4=>9	3350.0	10.0
200850010310	ダ	右	1870	晴	良	15:50	新春賞	G	2008-1-3	19	園田	3	(ハンデ)		2	1760	6	2	390	6	4	140	2	2-4	2450	10	2-4	790	10	2-9	1,560	16	4-9	530	6	2=>4	7590	24	2-4-9	4500	17	7,1-4,(3,9),6,8,2,5,10	1,7-4,3,9,6,8,2,5,10	46971832510	49253687110			9.0	170.0	3.0	2-4	2290.0	8.0	2=>4=>9	37790.0	114.0
200850010311	ダ	右	1400	晴	良	16:25	B2二　4歳以上 		2008-1-3	19	園田	3	(馬齢)		8	140	1	8	110	1	9	180	3	8-9	590	3	8-9	290	3	8-11	1,370	15	9-11	3,670	25	8=>9	690	3	8-9-11	4730	16	341129761085	3,4,11,2,9,(6,7),10,5,8	(3,11),8,4,9,7,6,2,10,5	118394671052			11.0	620.0	8.0	6-7	630.0	3.0	8=>9=>11	10000.0	30.0
200850010401	ダ	右	1400	晴	良	11:10	D5四　4歳以上		2008-1-4	19	園田	4	(馬齢)		3	130	1	3	100	1	7	120	2	3-7	170	1	3-7	130	1	3-4	140	2	4-7	170	4	3=>7	250	1	3-4-7	200	1	6,3,(4,7),2,1,5	6374215	(3,6),7,4,2,5,1	3674251											
200850010402	ダ	右	1400	晴	良	11:45	D5三　4歳以上		2008-1-4	19	園田	4	(馬齢)		6	130	1	6	130	1	5	260	4	5-6	520	2	5-6	190	2	3-6	100	1	3-5	290	6	6=>5	500	2	3-5-6	280	1	5163247	5163247	5162347	5612347											
200850010403	ダ	右	1400	晴	良	12:20	D5二　4歳以上		2008-1-4	19	園田	4	(馬齢)		2	240	2	2	120	1	1	920	7	1-2	5860	11	1-2	1,110	10	2-6	310	3	1-6	2,490	15	2=>1	7040	14	1-2-6	6970	11	3162574	3,1,(2,6),5,7,4	(1,6),7,3,2,5,4	(1,6),2,7,3,5,4											
200850010404	ダ	右	1230	晴	良	12:55	D5一　4歳以上		2008-1-4	19	園田	4	(馬齢)		4	130	1	4	100	2	7	100	1	4-7	120	1	4-7	110	1	4-6	150	2	6-7	160	3	4=>7	150	1	4-6-7	220	1	6,7,1,(2,4),3,5	6714235	(4,7),6,2,1,5,3	(4,7)-6,1,5,3,2											
200850010405	ダ	右	1400	晴	良	13:30	C4　4歳以上		2008-1-4	19	園田	4	(馬齢)		8	240	2	8	100	1	9	110	2	8-9	170	1	8-9	110	1	7-8	180	2	7-9	200	4	8=>9	370	2	7-8-9	250	1	189267534	189267543	8,1,9,6,7,2,3,(4,5)	891762354			7.0	160.0	5.0	8-8	160.0	1.0			
