	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	三連単:的中	三連単:配当	三連単:人気
200851061701	ダ	右	1400	晴	良	11:10	D6五　4歳以上		2008-6-17	1	姫路	1	(馬齢)		4	200	1	4	120	2	6	120	1	4-6	380	2	4-6	180	2	2-4	230	3	2-6	570	9	4=>6	550	2	2-4-6	700	2	4765321	4765231	4765213	4765213											
200851061702	ダ	右	1400	晴	良	11:40	D6四　4歳以上		2008-6-17	1	姫路	1	(馬齢)		2	3830	7	2	610	7	5	180	2	2-5	10210	18	2-5	2,960	19	2-4	1,300	16	4-5	250	1	2=>5	39210	48	2-4-5	10080	23	2,3,(1,5),7,4,8,6	2,(3,5),1,7,4,8,6	52417386	52417368			4.0	200.0	4.0						
200851061703	ダ	右	1400	晴	良	12:10	D6三　4歳以上		2008-6-17	1	姫路	1	(馬齢)		2	110	1	2	110	1	7	130	2	2-7	280	1	2-7	150	1	1-2	320	5	1-7	950	12	2=>7	310	1	1-2-7	1070	5	27385641	27385641	2,7,(3,8),5,6,1,4	23785164			1.0	170.0	4.0						
200851061704	ダ	右	800	晴	良	12:40	ファーストトライ競走		2008-6-17	1	姫路	1	(馬齢)		1	420	2	1	170	3	5	300	6	1-5	2210	12	1-5	750	11	1-3	1,210	20	3-5	1,430	21	1=>5	4770	25	1-3-5	7240	27			17635842	1,7,5,3,6,(4,8),2			3.0	450.0	7.0						
200851061705	ダ	右	1400	晴	良	13:15	D6二　4歳以上		2008-6-17	1	姫路	1	(馬齢)		7	700	3	7	170	4	8	160	3	7-8	1320	6	7-8	440	7	2-7	860	11	2-8	930	12	7=>8	3000	13	2-7-8	3590	12	56278413	57268413	57286143	57281643			2.0	270.0	5.0						
200851061706	ダ	右	1400	晴	良	13:50	D6一　4歳以上		2008-6-17	1	姫路	1	(馬齢)		2	760	4	2	250	5	7	240	4	2-7	3050	14	2-7	980	15	2-4	730	11	4-7	960	13	2=>7	4330	19	2-4-7	5220	23	21837645	21837645	2,1,7,(3,8),6,4,5	1,2,7,3,8,(4,5,6)			4.0	230.0	3.0						
200851061707	ダ	右	1400	晴	良	14:25	C1二　4歳以上		2008-6-17	1	姫路	1	(馬齢)		2	720	3	2	170	4	1	140	2	1-2	1990	7	1-2	580	5	2-3	180	1	1-3	270	4	2=>1	4230	15	1-2-3	890	3	78351109426	78351109426	78103591264	73105918264			3.0	110.0	1.0	1-2	950.0	4.0	2=>1=>3	8500.0	25.0
200851061801	ダ	右	1400	曇	良	11:10	F5三　3歳		2008-6-18	1	姫路	2	(馬齢)		8	580	3	8	140	4	7	110	2	7-8	780	4	7-8	320	5	1-8	170	2	1-7	140	1	8=>7	2110	10	1-7-8	410	1	847153296	8,7,4,9,(1,5),3,2,6	879143562	871943562			1.0	100.0	1.0	7-8	460.0	2.0			
200851061901	ダ	右	1400	雨	重	11:10	F4三　3歳		2008-6-19	1	姫路	3	(馬齢)		6	770	2	6	280	5	9	260	4	6-9	4340	18	6-9	1,480	19	5-6	480	5	5-9	1,480	19	6=>9	6060	27	5-6-9	8020	34	2,6,9,(1,5),3,7,4,8	269153784	(2,6),5,9,8,(1,3),7,4	(2,6),5,9,8,1,3,(4,7)			5.0	160.0	2.0	6-8	840.0	3.0			
200851061902	ダ	右	1400	曇	重	11:45	F4二　3歳		2008-6-19	1	姫路	3	(馬齢)		3	410	2	3	170	4	8	120	1	3-8	1220	6	3-8	350	5	3-9	350	5	8-9	250	2	3=>8	1950	9	3-8-9	790	3	928651734	928657134	938264571	938265471			9.0	140.0	3.0	3-8	680.0	3.0			
