	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気
200853010201	ダ	右	1250	晴	稍重	10:40	C210		2008-1-2	15	福山	1	(馬齢)		4	160	1	4	120	1	5	230	4	4-5	1280	5	4=>5	1880	7	4=>5=>6	20750	51	7314625	7341625	(3,4),6,7,1,5,2	4365172					
200853010202	ダ	右	1250	晴	稍重	11:10	C29		2008-1-2	15	福山	1	(馬齢)		4	490	4	4	240	4	8	140	2	4-8	830	4	4=>8	2140	10	4=>8=>3	49060	118	16834275	16832457	68132457	86231457			3.0	1,120	8.0
200853010203	ダ	右	1250	晴	稍重	11:40	C28		2008-1-2	15	福山	1	(馬齢)		8	300	2	8	220	3	4	380	5	4-8	1240	6	8=>4	2180	10	8=>4=>3	10850	51	7,4,2,(5,8),1,3	7,(2,4),8,5,1,3	7428513	(7,4),8,5,1,2,3					
200853010204	ダ	右	1250	晴	稍重	12:15	4歳4　条件		2008-1-2	15	福山	1	(馬齢)		3	160	1	3	110	1	8	300	6	3-8	3600	13	3=>8	3830	14	3=>8=>1	52890	102	13845726	13845726	13845672	(1,3),8,6,7,4,2,5			1.0	330	7.0
200853010205	ダ	右	1250	晴	稍重	12:50	4歳3　条件		2008-1-2	15	福山	1	(馬齢)		7	640	2	7	130	2	5	270	3	5-7	1780	6	7=>5	4230	12	7=>5=>1	28160	76	7,8,(4,5,9),3,1,6,2	785493162	785431962	7,8,5,(4,3),1,9,6,2			1.0	790	8.0
200853010206	ダ	右	1600	晴	稍重	13:25	3歳2　		2008-1-2	15	福山	1	(馬齢)		6	150	1	6	120	1	7	320	6	6-7	560	2	6=>7	660	2	6=>7=>3	1920	4	65731248	65731248	67532148	67352148			3.0	140	3.0
200853010207	ダ	右	1600	晴	稍重	14:00	3歳1　		2008-1-2	15	福山	1	(馬齢)		4	890	2	4	140	2	7	100	1	4-7	280	1	4=>7	2020	6	4=>7=>3	7160	15	74528361	74253861	74235861	7,4,3,2,5-8,6,1			3.0	160	4.0
200853011301	ダ	右	1250	晴	不良	10:50	C214		2008-1-13	16	福山	1	(馬齢)		3	120	1	3	110	1	9	230	4	3-9	680	4	3=>9	700	3	3=>9=>2	3520	10	791568324	791586324	7,9,8,1,5,6,3,2-4	7,9,(1,3),6,8,2,5,4			2.0	230	4.0
200853011302	ダ	右	1250	晴	不良	11:20	C213		2008-1-13	16	福山	1	(馬齢)		5	230	1	5	110	2	2	110	1	2-5	240	1	5=>2	500	2	5=>2=>9	1260	2	1,8,(2,3),4,5,6,7,9	182354679	281594763	2,(8,5),9,1,6,4,7,3			9.0	120	3.0
200853020301	ダ	右	1250	曇	不良	10:50	C24		2008-2-3	17	福山	2	(馬齢)		4	570	2	4	120	3	2	100	1	2-4	510	1	4=>2	1160	6	4=>2=>1	4550	17	436715928	436175928	431726589	4,2,1,3,7,5,(6,8),9			1.0	120	2.0
200853020302	ダ	右	1250	曇	不良	11:20	C23		2008-2-3	17	福山	2	(馬齢)		7	350	2	7	190	4	2	150	2	2-7	1110	2	7=>2	1930	3	7=>2=>5	8860	19	72910145638	79210145638	79211045638	72915610438			5.0	220	5.0
200853020303	ダ	右	1250	曇	不良	11:50	C215		2008-2-3	17	福山	2	(馬齢)		3	480	3	3	210	3	1	870	8	1-3	2460	10	3=>1	3360	14	3=>1=>5	75960	181	371985462	371985642	371895264	3,1,7,(5,8),2,9,6,4			5.0	870	8.0
200853020304	ダ	右	1250	曇	不良	12:20	C214		2008-2-3	17	福山	2	(馬齢)		9	240	1	9	110	1	6	320	5	6-9	3230	13	9=>6	4240	19	9=>6=>8	19150	61	(1,7),9,2,8,3,6,5,4	179283654	(1,7),9,8,2,(3,6),4,5	798162345			8.0	140	3.0
200853021001	ダ	右	1250	晴	稍重	10:50	3歳5　条件		2008-2-10	17	福山	3	(馬齢)		5	360	2	5	130	2	4	250	6	4-5	1130	5	5=>4	2690	12	5=>4=>9	5670	16	541693782	541369782	541396782	5,4,3,(1,9),7,8,6,2			9.0	100	1.0
200853021002	ダ	右	1250	晴	稍重	11:20	3歳4　条件		2008-2-10	17	福山	3	(馬齢)		9	3780	8	9	490	7	8	160	2	8-9	3780	14	9=>8	14490	37	9=>8=>6	223550	278	(6,8),2,5,4,(3,7),1,9	6,8,(2,5),4,7,3,(1,9)	6,8,(2,5),4,7,3,9,1	6,8,2,5,(7,9),4,3,1			6.0	390	6.0
200853021003	ダ	右	1250	晴	稍重	11:50	3歳3　条件		2008-2-10	17	福山	3	(馬齢)		10	370	2	10	200	4	1	360	6	1-10	6450	21	10=>1	9170	30	10=>1=>3	68880	171	71023891645	71023891645	7,10,3,2,8,(1,6),9,4,5	10731286495			3.0	180	2.0
200853021004	ダ	右	1250	晴	稍重	12:20	C215　ハ		2008-2-10	17	福山	3	(馬齢)		1	350	2	1	120	1	3	390	6	1-3	1680	10	1=>3	2280	8	1=>3=>8	11280	43	15634827	15634827	15638472	13546872			8.0	170	4.0
200853021005	ダ	右	1250	晴	稍重	12:55	C215　ロ		2008-2-10	17	福山	3	(馬齢)		4	650	5	4	180	4	3	110	1	3-4	1140	4	4=>3	3620	15	4=>3=>8	22910	72	3,8,7,5,1,6,4=2	3,8,7,5,1,6,4-2	38751462	38741562			8.0	250	5.0
