着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1		12	---		000a011734	牡	4			57	120.1	0.0			a0379	00nan	00nan	0.0	2008C7a00107
2		9	---		000a013857	牡	4			57					00882	00nan	00nan	0.0	2008C7a00107
3		2	---		000a006e48	セ	5			57					a0378	00nan	00nan	0.0	2008C7a00107
4		13	---		000a01385a	牡	6			57					05392	00nan	00nan	0.0	2008C7a00107
5		5	---		000a01385b	牡	4			57					05440	00nan	00nan	0.0	2008C7a00107
6		10	---		000a01385c	セ	4			57					a037b	00nan	00nan	0.0	2008C7a00107
7		8	---		000a01385d	牡	4			57					00875	00nan	00nan	0.0	2008C7a00107
8		11	---		000a011e1e	牡	4			57					05339	00nan	00nan	0.0	2008C7a00107
9		6	---		000a0129a8	牡	6			57					a037f	00nan	00nan	0.0	2008C7a00107
10		1	---		000a01385f	牡	7			57					00432	00nan	00nan	0.0	2008C7a00107
11		4	---		000a013860	牡	6			57					05376	00nan	00nan	0.0	2008C7a00107
12		7	---		2002100877	牡	5			57					00666	1022.0	226800.0	0.0	2008C7a00107
